<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SGP.US,5,20260206,181000,24,24,20.16,20.825,215897,0
SGP.US,5,20260206,181500,20.825,23.49,20.42,22.255,49768,0
SGP.US,5,20260206,182000,22.0149,24.32,22,23,18057,0
SGP.US,5,20260206,182500,22.77,23.4895,22.22,23,5120,0
SGP.US,5,20260206,183000,23.2341,23.7,22.75,23,3372,0
SGP.US,5,20260206,183500,22.75,23.5,22.75,23.47,6846,0
SGP.US,5,20260206,184000,23.48,23.4894,23.14,23.14,7100,0
SGP.US,5,20260206,184500,23.47,24.2463,22.817,23.4825,9851,0
SGP.US,5,20260206,185000,23.725,25.79,23.6691,24.99,18067,0
SGP.US,5,20260206,185500,24.99,25.88,24.68,25.29,6570,0
SGP.US,5,20260206,190000,25.44,25.8797,24.1056,24.995,7722,0
SGP.US,5,20260206,190500,24.505,25.09,24.0003,24.74,3330,0
SGP.US,5,20260206,191000,24.73,25.71,24.73,25.25,10364,0
SGP.US,5,20260206,191500,25.25,25.25,24.5207,24.9999,15925,0
SGP.US,5,20260206,192000,24.75,25.05,24.7,24.965,2106,0
SGP.US,5,20260206,192500,24.965,25.38,24.84,25.38,4196,0
SGP.US,5,20260206,193000,25.38,27.5,25.28,27.4,49384,0
SGP.US,5,20260206,193500,27.97,29.2,27.41,29.2,12864,0
SGP.US,5,20260206,194500,32,32.44,26.8,27.85,49675,0
SGP.US,5,20260206,195000,27.85,28.6385,25.9,27.375,18112,0
SGP.US,5,20260206,195500,26.99,27.65,26,26.22,4852,0
SGP.US,5,20260206,200000,25.975,27.26,25.975,26.065,3276,0
SGP.US,5,20260206,200500,26,26.6399,25.49,25.53,4792,0
SGP.US,5,20260206,201000,25.745,26.55,24.2,26.01,7728,0
SGP.US,5,20260206,201500,26.4,29.765,26.4,29.42,42772,0
SGP.US,5,20260206,202000,29.5,30.7185,29,29.69,10643,0
SGP.US,5,20260206,202500,29.94,30.29,29,29.225,10032,0
SGP.US,5,20260206,203000,29.225,30.2,29.01,29.81,4923,0
SGP.US,5,20260206,203500,29.81,30.2,28.97,29,46020,0
SGP.US,5,20260206,204000,29,30,28.99,29.57,28194,0
SGP.US,5,20260206,204500,29.8,29.8,26.1601,26.1601,3531,0
SGP.US,5,20260206,205000,26.28,28.5,26.28,27.8,3681,0
SGP.US,5,20260206,205500,27.96,27.96,27,27,605,0
SGP.US,5,20260206,210000,27,27.87,26.72,27.51,4174,0
SGP.US,5,20260206,211000,27.03,27.04,27,27.03,1030,0
SGP.US,5,20260206,211500,27.03,27.03,26.27,26.6999,3985,0
