<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SHMDW.US,5,20260126,153500,3.193,3.193,3.193,3.193,500,0
SHMDW.US,5,20260126,154500,3.23,3.29,3.23,3.29,780,0
SHMDW.US,5,20260126,155000,3.3,3.545,3.04,3.12,4954,0
SHMDW.US,5,20260126,155500,3.27,3.4,3.1075,3.24,21688,0
SHMDW.US,5,20260126,160000,3.24,3.24,3.2012,3.2012,8000,0
SHMDW.US,5,20260126,160500,3.2,3.34,3.2,3.34,19591,0
SHMDW.US,5,20260126,161000,3.28,3.28,3.28,3.28,100,0
SHMDW.US,5,20260126,161500,3.24,3.24,3.2,3.21,6625,0
SHMDW.US,5,20260126,162000,3.22,3.22,3.2,3.2,10871,0
SHMDW.US,5,20260126,162500,3.1601,3.2,3.07,3.07,11048,0
SHMDW.US,5,20260126,163000,3.1,3.13,3.1,3.1104,2709,0
SHMDW.US,5,20260126,163500,3.24,3.3299,3.24,3.3299,6862,0
SHMDW.US,5,20260126,164000,3.33,3.52,3.286,3.32,3134,0
SHMDW.US,5,20260126,164500,3.3,3.32,3.3,3.3,914,0
SHMDW.US,5,20260126,165000,3.25,3.25,3.2,3.2,424,0
SHMDW.US,5,20260126,170000,3.16,3.17,3.16,3.17,400,0
SHMDW.US,5,20260126,171500,3.11,3.14,3.11,3.14,2510,0
SHMDW.US,5,20260126,172000,3.14,3.29,3.1398,3.24,12329,0
SHMDW.US,5,20260126,172500,3.29,3.37,3.28,3.29,9480,0
SHMDW.US,5,20260126,173000,3.352699,3.352699,3.352699,3.352699,1200,0
SHMDW.US,5,20260126,173500,3.31,3.31,3.31,3.31,146,0
SHMDW.US,5,20260126,174000,3.2892,3.29,3.27,3.27,8640,0
SHMDW.US,5,20260126,175000,3.2908,3.2908,3.2908,3.2908,5000,0
SHMDW.US,5,20260126,175500,3.2992,3.2992,3.2992,3.2992,7000,0
SHMDW.US,5,20260126,181500,3.25,3.25,3.23,3.24,3307,0
SHMDW.US,5,20260126,184000,3.2944,3.2944,3.23,3.23,12554,0
SHMDW.US,5,20260126,185500,3.25,3.25,3.22,3.23,900,0
SHMDW.US,5,20260126,190500,3.29,3.37,3.27,3.37,5916,0
SHMDW.US,5,20260126,191500,3.3,3.3,3.3,3.3,500,0
SHMDW.US,5,20260126,192000,3.4399,3.54,3.2564,3.2564,4450,0
SHMDW.US,5,20260126,192500,3.44,3.44,3.44,3.44,2479,0
SHMDW.US,5,20260126,195500,3.35,3.4,3.35,3.35,1500,0
SHMDW.US,5,20260126,200500,3.4,3.4,3.4,3.4,600,0
SHMDW.US,5,20260126,201000,3.4,3.4,3.4,3.4,1000,0
SHMDW.US,5,20260126,201500,3.4001,3.4001,3.4,3.4,1958,0
SHMDW.US,5,20260126,202000,3.2805,3.44,3.2805,3.44,11270,0
SHMDW.US,5,20260126,203000,3.2872,3.44,3.2457,3.2457,10000,0
SHMDW.US,5,20260126,205000,3.13,3.37,3.1,3.2365,10200,0
SHMDW.US,5,20260126,205500,3.2457,3.2457,3.2457,3.2457,2500,0
SHMDW.US,5,20260126,210000,3.37,3.46,3.37,3.46,1200,0
SHMDW.US,5,20260126,211500,3.24,3.69,3.24,3.5501,3800,0
SHMDW.US,5,20260126,212000,3.35,3.51,3.31,3.337,6237,0
SHMDW.US,5,20260126,212500,3.2864,3.2864,3.2864,3.2864,4200,0
SHMDW.US,5,20260126,213000,3.3042,3.46,3.3042,3.375,7597,0
SHMDW.US,5,20260126,213500,3.375,3.45,3.32,3.335,5910,0
SHMDW.US,5,20260126,214000,3.39,3.57,3.28,3.325,5912,0
SHMDW.US,5,20260126,215000,3.25,3.25,3.25,3.25,907,0
SHMDW.US,5,20260127,153000,3.27,3.27,3.27,3.27,233,0
SHMDW.US,5,20260127,154000,3.28,3.385,3.28,3.35,1007,0
SHMDW.US,5,20260127,154500,3.25,3.25,3.25,3.25,8914,0
SHMDW.US,5,20260127,155500,3.2,3.2,3.2,3.2,300,0
SHMDW.US,5,20260127,160000,3.1401,3.1401,3.1401,3.1401,5063,0
SHMDW.US,5,20260127,160500,3.18,3.19,3.16,3.19,1156,0
SHMDW.US,5,20260127,161000,3.2,3.2,3.19,3.2,2200,0
