<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SIGI.US,5,20260126,153000,80.61,81.04,80.41,80.66,5951,0
SIGI.US,5,20260126,153500,81.34,81.34,81.23,81.23,235,0
SIGI.US,5,20260126,154000,81.85,81.85,81.34,81.34,400,0
SIGI.US,5,20260126,154500,81.93,81.93,81.61,81.61,600,0
SIGI.US,5,20260126,155500,82.57,82.57,81.9,82.23,707,0
SIGI.US,5,20260126,160000,81.44,81.93,81.44,81.87,1856,0
SIGI.US,5,20260126,160500,81.9,82.09,81.72,82.09,2626,0
SIGI.US,5,20260126,161000,82.05,82.39,82.04,82.39,5161,0
SIGI.US,5,20260126,161500,82.32,82.33,82.15,82.15,653,0
SIGI.US,5,20260126,162000,82.29,82.32,82.29,82.31,600,0
SIGI.US,5,20260126,162500,82.14,82.23,81.85,81.96,3426,0
SIGI.US,5,20260126,163000,81.85,81.85,81.815,81.815,502,0
SIGI.US,5,20260126,163500,81.78,82.12,81.78,81.985,6276,0
SIGI.US,5,20260126,164000,81.85,81.95,81.77,81.915,4015,0
SIGI.US,5,20260126,164500,81.76,81.91,81.76,81.91,300,0
SIGI.US,5,20260126,165000,81.815,82.085,81.74,82.085,1702,0
SIGI.US,5,20260126,165500,81.83,82.085,81.79,81.79,816,0
SIGI.US,5,20260126,170000,81.75,81.76,81.73,81.76,400,0
SIGI.US,5,20260126,170500,81.65,81.71,81.49,81.71,1200,0
SIGI.US,5,20260126,171000,81.47,81.7,81.47,81.7,509,0
SIGI.US,5,20260126,171500,81.615,81.615,81.34,81.35,3390,0
SIGI.US,5,20260126,172000,81.33,81.36,81.2,81.24,1750,0
SIGI.US,5,20260126,173000,81.26,81.38,81.26,81.38,317,0
SIGI.US,5,20260126,173500,81.22,81.265,81.22,81.265,400,0
SIGI.US,5,20260126,174000,81.26,81.38,81.14,81.14,4397,0
SIGI.US,5,20260126,174500,81.14,81.26,81.12,81.24,2418,0
SIGI.US,5,20260126,175000,81.2,81.22,81.123,81.18,1521,0
