<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SIGIP.US,5,20260126,162000,17.22,17.22,17.22,17.22,227,0
SIGIP.US,5,20260126,163000,17.23,17.23,17.23,17.23,100,0
SIGIP.US,5,20260126,164000,17.23,17.23,17.22,17.22,400,0
SIGIP.US,5,20260126,172500,17.22,17.23,17.22,17.23,347,0
SIGIP.US,5,20260126,175000,17.19,17.23,17.19,17.23,200,0
SIGIP.US,5,20260126,182000,17.2,17.2035,17.2,17.2035,1232,0
SIGIP.US,5,20260126,183000,17.2,17.2,17.2,17.2,200,0
SIGIP.US,5,20260126,183500,17.21,17.21,17.21,17.21,128,0
SIGIP.US,5,20260126,185500,17.22,17.255,17.22,17.255,2300,0
SIGIP.US,5,20260126,190000,17.21,17.24,17.21,17.24,200,0
SIGIP.US,5,20260126,215500,17.23,17.23,17.23,17.23,140,0
SIGIP.US,5,20260127,160000,17.1801,17.1801,17.1801,17.1801,465,0
SIGIP.US,5,20260127,183000,17.22,17.22,17.22,17.22,335,0
SIGIP.US,5,20260127,191000,17.2,17.2,17.2,17.2,100,0
SIGIP.US,5,20260127,202000,17.22,17.2201,17.22,17.22,758,0
SIGIP.US,5,20260127,203000,17.2,17.21,17.2,17.2,400,0
SIGIP.US,5,20260127,203500,17.215,17.215,17.215,17.215,152,0
SIGIP.US,5,20260127,213500,17.19,17.19,17.19,17.19,500,0
SIGIP.US,5,20260128,164000,17.16,17.16,17.16,17.16,100,0
SIGIP.US,5,20260128,164500,17.225,17.225,17.225,17.225,1328,0
SIGIP.US,5,20260128,202000,17.22,17.22,17.22,17.22,108,0
SIGIP.US,5,20260128,212000,17.18,17.18,17.18,17.18,180,0
SIGIP.US,5,20260128,213000,17.18,17.18,17.18,17.18,300,0
SIGIP.US,5,20260128,215500,17.18,17.18,17.18,17.18,389,0
SIGIP.US,5,20260129,164500,17.2,17.2,17.2,17.2,121,0
SIGIP.US,5,20260129,172500,17.16,17.19,17.0401,17.0401,835,0
SIGIP.US,5,20260129,180500,17.155,17.155,17.155,17.155,115,0
SIGIP.US,5,20260130,183000,17.1,17.1,17.1,17.1,100,0
SIGIP.US,5,20260130,185000,17.085,17.085,17.085,17.085,204,0
SIGIP.US,5,20260130,193000,17.09,17.1,17.09,17.1,300,0
SIGIP.US,5,20260130,201000,17.1,17.1,17.1,17.1,146,0
SIGIP.US,5,20260130,203500,17.1001,17.1001,17.1001,17.1001,377,0
SIGIP.US,5,20260130,205000,17.141797,17.141797,17.141797,17.141797,160,0
SIGIP.US,5,20260130,215500,17.02,17.02,17.02,17.02,507,0
SIGIP.US,5,20260202,161000,17.15,17.15,17.15,17.15,200,0
SIGIP.US,5,20260202,162000,17.0201,17.09,17.02,17.09,2050,0
SIGIP.US,5,20260202,165000,17.02,17.02,17.02,17.02,300,0
SIGIP.US,5,20260202,165500,17.09,17.09,17.09,17.09,102,0
SIGIP.US,5,20260202,170000,17.09,17.09,17.09,17.09,1500,0
SIGIP.US,5,20260202,174500,17.1044,17.1044,17.1044,17.1044,145,0
SIGIP.US,5,20260202,194000,17.16,17.16,17.11,17.11,1000,0
SIGIP.US,5,20260202,213000,17.11,17.11,17.11,17.11,300,0
SIGIP.US,5,20260202,213500,17.11,17.11,17.11,17.11,100,0
SIGIP.US,5,20260203,163500,17.11,17.11,17.11,17.11,100,0
SIGIP.US,5,20260203,170000,17.12,17.12,17.12,17.12,266,0
SIGIP.US,5,20260203,172500,17.1264,17.1264,17.12,17.12,200,0
SIGIP.US,5,20260203,173500,17.12,17.12,17.12,17.12,500,0
SIGIP.US,5,20260203,181000,17.14,17.16,17.13,17.16,1900,0
SIGIP.US,5,20260203,183000,17.12,17.14,17.12,17.12,613,0
SIGIP.US,5,20260204,175500,17.134524,17.134524,17.134524,17.134524,1400,0
SIGIP.US,5,20260204,181000,17.03,17.03,17.03,17.03,200,0
SIGIP.US,5,20260204,182500,17.105,17.105,17.105,17.105,1025,0
SIGIP.US,5,20260204,191000,17.1999,17.1999,17.1999,17.1999,2000,0
SIGIP.US,5,20260204,193000,17.145,17.145,17.145,17.145,200,0
SIGIP.US,5,20260205,175000,17.1399,17.1399,17.1399,17.1399,400,0
SIGIP.US,5,20260205,175500,17.1,17.1,17.1,17.1,477,0
SIGIP.US,5,20260205,183500,17.069,17.069,17.069,17.069,272,0
SIGIP.US,5,20260206,153500,17.1,17.1,17.1,17.1,411,0
SIGIP.US,5,20260206,154000,17.145,17.145,17.145,17.145,550,0
SIGIP.US,5,20260206,162000,17.17,17.17,17.17,17.17,100,0
SIGIP.US,5,20260206,162500,17.162,17.162,17.162,17.162,222,0
SIGIP.US,5,20260206,173000,17.21,17.21,17.21,17.21,300,0
SIGIP.US,5,20260206,174500,17.18,17.21,17.18,17.18,1047,0
SIGIP.US,5,20260206,185000,17.2028,17.2028,17.2028,17.2028,146,0
SIGIP.US,5,20260206,190000,17.15,17.21,17.15,17.21,8620,0
SIGIP.US,5,20260206,195000,17.15,17.15,17.15,17.15,100,0
SIGIP.US,5,20260206,203500,17.15,17.15,17.15,17.15,100,0
SIGIP.US,5,20260206,212500,17.1703,17.1703,17.1703,17.1703,121,0
SIGIP.US,5,20260206,213000,17.18,17.18,17.18,17.18,600,0
SIGIP.US,5,20260209,171000,17.155,17.155,17.155,17.155,317,0
SIGIP.US,5,20260209,175000,17.1829,17.1829,17.1829,17.1829,125,0
SIGIP.US,5,20260209,180000,17.1385,17.1385,17.11,17.1385,3343,0
SIGIP.US,5,20260209,203000,17.2899,17.2899,17.2899,17.2899,600,0
SIGIP.US,5,20260209,204000,17.2,17.2,17.2,17.2,3771,0
SIGIP.US,5,20260209,205000,17.2,17.2,17.2,17.2,171,0
SIGIP.US,5,20260210,153000,17.21,17.255,17.21,17.255,507,0
SIGIP.US,5,20260210,162500,17.25,17.25,17.25,17.25,100,0
SIGIP.US,5,20260210,165000,17.25,17.25,17.25,17.25,174,0
SIGIP.US,5,20260210,170000,17.2516,17.255,17.2516,17.255,310,0
SIGIP.US,5,20260210,173500,17.25,17.25,17.25,17.25,100,0
SIGIP.US,5,20260210,180000,17.26,17.26,17.26,17.26,928,0
SIGIP.US,5,20260210,190000,17.25,17.25,17.25,17.25,100,0
SIGIP.US,5,20260210,192500,17.255,17.2599,17.255,17.2599,500,0
SIGIP.US,5,20260210,193000,17.25,17.25,17.25,17.25,100,0
SIGIP.US,5,20260210,202000,17.25,17.25,17.25,17.25,426,0
SIGIP.US,5,20260210,215500,17.25,17.25,17.25,17.25,200,0
SIGIP.US,5,20260211,172500,17.2575,17.2575,17.2575,17.2575,155,0
SIGIP.US,5,20260211,173500,17.2422,17.2422,17.2422,17.2422,1000,0
SIGIP.US,5,20260211,195500,17.245,17.245,17.245,17.245,500,0
SIGIP.US,5,20260212,155000,17.245,17.245,17.245,17.245,152,0
SIGIP.US,5,20260212,162500,17.245,17.245,17.245,17.245,200,0
SIGIP.US,5,20260212,171500,17.245,17.25,17.245,17.25,700,0
SIGIP.US,5,20260212,182500,17.25,17.25,17.245,17.245,300,0
SIGIP.US,5,20260212,192000,17.245,17.245,17.245,17.245,100,0
SIGIP.US,5,20260212,211000,17.2286,17.2286,17.2286,17.2286,122,0
SIGIP.US,5,20260212,212500,17.2285,17.2285,17.201,17.201,625,0
SIGIP.US,5,20260212,213500,17.25,17.25,17.25,17.25,1000,0
SIGIP.US,5,20260213,163000,17.2,17.2,17.2,17.2,250,0
SIGIP.US,5,20260213,165000,17.25,17.25,17.25,17.25,116,0
SIGIP.US,5,20260213,181000,17.2999,17.3,17.2995,17.3,2100,0
SIGIP.US,5,20260213,190500,17.3,17.3,17.3,17.3,200,0
SIGIP.US,5,20260213,191500,17.3,17.3,17.3,17.3,575,0
SIGIP.US,5,20260213,211000,17.2387,17.2387,17.2387,17.2387,123,0
SIGIP.US,5,20260213,212500,17.2264,17.2264,17.2264,17.2264,100,0
SIGIP.US,5,20260217,153000,17.2,17.2776,17.2,17.2776,316,0
SIGIP.US,5,20260217,162500,17.33,17.33,17.33,17.33,189,0
SIGIP.US,5,20260217,163500,17.33,17.33,17.33,17.33,115,0
SIGIP.US,5,20260217,171500,17.28,17.28,17.28,17.28,100,0
SIGIP.US,5,20260217,173000,17.2101,17.2101,17.2101,17.2101,485,0
SIGIP.US,5,20260217,185500,17.22,17.22,17.22,17.22,200,0
SIGIP.US,5,20260217,214000,17.39,17.39,17.39,17.39,134,0
SIGIP.US,5,20260217,215000,17.39,17.39,17.39,17.39,1804,0
SIGIP.US,5,20260218,162000,17.327,17.327,17.327,17.327,130,0
SIGIP.US,5,20260218,190000,17.4351,17.4351,17.4351,17.4351,102,0
SIGIP.US,5,20260218,204000,17.42,17.42,17.42,17.42,100,0
SIGIP.US,5,20260219,155000,17.371784,17.371784,17.371784,17.371784,237,0
SIGIP.US,5,20260219,165500,17.395,17.395,17.395,17.395,182,0
SIGIP.US,5,20260219,175500,17.395,17.395,17.395,17.395,108,0
SIGIP.US,5,20260219,180000,17.3001,17.3001,17.3001,17.3001,291,0
SIGIP.US,5,20260219,185500,17.3101,17.3101,17.3101,17.3101,315,0
SIGIP.US,5,20260219,205500,17.409892,17.409892,17.409892,17.409892,131,0
SIGIP.US,5,20260220,154000,17.4,17.4,17.4,17.4,440,0
SIGIP.US,5,20260220,173000,17.4731,17.4731,17.4731,17.4731,150,0
SIGIP.US,5,20260220,191500,17.42,17.42,17.42,17.42,246,0
SIGIP.US,5,20260220,193500,17.48,17.48,17.48,17.48,100,0
SIGIP.US,5,20260220,194000,17.48,17.48,17.48,17.48,100,0
SIGIP.US,5,20260220,213500,17.45,17.45,17.45,17.45,100,0
SIGIP.US,5,20260223,165500,17.435,17.435,17.435,17.435,876,0
SIGIP.US,5,20260223,170500,17.435,17.435,17.435,17.435,126,0
SIGIP.US,5,20260223,171500,17.435,17.435,17.435,17.435,200,0
SIGIP.US,5,20260223,173000,17.3925,17.3925,17.3925,17.3925,136,0
SIGIP.US,5,20260223,201500,17.36,17.37,17.35,17.35,1288,0
SIGIP.US,5,20260224,163000,17.395,17.395,17.395,17.395,200,0
SIGIP.US,5,20260224,192000,17.31,17.31,17.3,17.3,2128,0
SIGIP.US,5,20260224,193000,17.23,17.23,17.23,17.23,100,0
SIGIP.US,5,20260224,214500,17.3201,17.3201,17.3201,17.3201,185,0
SIGIP.US,5,20260225,161000,17.34,17.34,17.34,17.34,100,0
SIGIP.US,5,20260225,163000,17.295,17.295,17.295,17.295,280,0
SIGIP.US,5,20260225,173000,17.2501,17.2501,17.2501,17.2501,180,0
SIGIP.US,5,20260225,191000,17.32,17.32,17.32,17.32,230,0
SIGIP.US,5,20260226,164000,17.283,17.283,17.283,17.283,185,0
SIGIP.US,5,20260226,170000,17.33,17.33,17.33,17.33,273,0
SIGIP.US,5,20260226,170500,17.33,17.33,17.33,17.33,119,0
SIGIP.US,5,20260226,210500,17.2832,17.2832,17.2832,17.2832,113,0
SIGIP.US,5,20260227,160000,17,17,17,17,2907,0
SIGIP.US,5,20260227,164000,16.99,16.99,16.99,16.99,168,0
SIGIP.US,5,20260227,175000,16.91,16.91,16.91,16.91,110,0
SIGIP.US,5,20260227,180000,16.92,17,16.92,17,900,0
SIGIP.US,5,20260227,191500,16.91,16.91,16.91,16.91,225,0
SIGIP.US,5,20260227,193000,16.91,16.91,16.91,16.91,500,0
SIGIP.US,5,20260227,194500,16.91,16.91,16.84,16.84,1020,0
SIGIP.US,5,20260227,195000,16.89,16.89,16.89,16.89,100,0
SIGIP.US,5,20260227,195500,16.89,16.89,16.89,16.89,220,0
SIGIP.US,5,20260227,201000,16.89,16.92,16.89,16.92,600,0
SIGIP.US,5,20260227,201500,16.98,16.98,16.98,16.98,500,0
SIGIP.US,5,20260227,202500,16.89,16.89,16.89,16.89,500,0
SIGIP.US,5,20260227,204500,16.89,16.89,16.89,16.89,500,0
SIGIP.US,5,20260227,205500,16.89,16.89,16.89,16.89,400,0
SIGIP.US,5,20260227,211000,16.9,16.9,16.89,16.89,400,0
SIGIP.US,5,20260227,212000,16.9,16.9,16.9,16.9,100,0
SIGIP.US,5,20260227,213000,16.89,16.89,16.82,16.8401,2221,0
SIGIP.US,5,20260227,214500,16.84,16.88,16.84,16.88,1884,0
SIGIP.US,5,20260227,215000,16.88,16.88,16.8,16.83,2620,0
SIGIP.US,5,20260227,215500,16.84,16.84,16.84,16.84,200,0
SIGIP.US,5,20260302,163500,16.96,16.96,16.96,16.96,100,0
SIGIP.US,5,20260302,164000,16.93,16.94,16.92,16.94,760,0
SIGIP.US,5,20260302,165500,16.94,16.94,16.94,16.94,200,0
SIGIP.US,5,20260302,170000,16.94,16.94,16.94,16.94,300,0
SIGIP.US,5,20260302,171000,16.92,16.92,16.92,16.92,300,0
SIGIP.US,5,20260302,185500,16.97,16.97,16.97,16.97,200,0
SIGIP.US,5,20260302,193500,16.98,16.98,16.97,16.97,800,0
SIGIP.US,5,20260302,201000,16.97,16.99,16.97,16.9826,1217,0
SIGIP.US,5,20260302,204000,17.02,17.02,17.02,17.02,500,0
SIGIP.US,5,20260302,205000,16.99,16.99,16.99,16.99,200,0
SIGIP.US,5,20260302,212000,17.005,17.005,17.005,17.005,400,0
SIGIP.US,5,20260302,215000,17.005,17.005,16.99,16.99,207,0
SIGIP.US,5,20260302,215500,17,17,16.99,16.99,544,0
SIGIP.US,5,20260303,161000,16.88,16.88,16.88,16.88,100,0
SIGIP.US,5,20260303,162000,16.97,16.97,16.97,16.97,297,0
SIGIP.US,5,20260303,164500,16.914,16.914,16.914,16.914,157,0
SIGIP.US,5,20260303,170000,16.885,16.885,16.885,16.885,133,0
SIGIP.US,5,20260303,171500,16.885,16.885,16.885,16.885,1000,0
SIGIP.US,5,20260303,180000,16.96,16.96,16.96,16.96,100,0
SIGIP.US,5,20260303,180500,16.89,16.89,16.89,16.89,112,0
SIGIP.US,5,20260303,211500,16.925121,16.925121,16.925121,16.925121,296,0
SIGIP.US,5,20260304,155000,16.91,16.91,16.91,16.91,144,0
SIGIP.US,5,20260304,160000,16.91,16.91,16.91,16.91,112,0
SIGIP.US,5,20260304,164500,17.02,17.02,16.94,16.99,1233,0
SIGIP.US,5,20260304,170000,16.9,16.9,16.9,16.9,194,0
SIGIP.US,5,20260304,170500,17.02,17.02,17.02,17.02,100,0
SIGIP.US,5,20260304,171500,16.96,16.96,16.96,16.96,281,0
SIGIP.US,5,20260304,173500,16.9,16.9,16.9,16.9,100,0
SIGIP.US,5,20260304,184500,16.905,16.905,16.905,16.905,200,0
SIGIP.US,5,20260304,192000,16.9,16.91,16.9,16.9,805,0
SIGIP.US,5,20260304,201500,16.89,16.89,16.89,16.89,100,0
SIGIP.US,5,20260304,204000,16.88,16.88,16.88,16.88,100,0
SIGIP.US,5,20260304,211000,16.8208,16.8208,16.8208,16.8208,109,0
SIGIP.US,5,20260305,162000,16.8001,16.8001,16.7999,16.7999,900,0
SIGIP.US,5,20260305,162500,16.76,16.76,16.76,16.76,2048,0
SIGIP.US,5,20260305,172000,16.85,16.85,16.79,16.79,540,0
SIGIP.US,5,20260305,172500,16.7415,16.7415,16.7415,16.7415,125,0
SIGIP.US,5,20260305,192500,16.8,16.8,16.8,16.8,600,0
SIGIP.US,5,20260305,193000,16.75,16.75,16.75,16.75,100,0
SIGIP.US,5,20260305,213500,16.7,16.7,16.7,16.7,400,0
SIGIP.US,5,20260306,163500,16.7,16.7,16.7,16.7,100,0
SIGIP.US,5,20260306,165500,16.69,16.69,16.69,16.69,400,0
SIGIP.US,5,20260306,170500,16.705,16.705,16.705,16.705,150,0
SIGIP.US,5,20260306,172000,16.69,16.69,16.69,16.69,700,0
SIGIP.US,5,20260306,175000,16.66,16.66,16.66,16.66,100,0
SIGIP.US,5,20260306,180500,16.67,16.67,16.67,16.67,122,0
SIGIP.US,5,20260306,181500,16.6784,16.6784,16.6784,16.6784,181,0
SIGIP.US,5,20260306,182000,16.69,16.69,16.69,16.69,151,0
SIGIP.US,5,20260306,200000,16.6782,16.6782,16.6782,16.6782,160,0
SIGIP.US,5,20260306,214500,16.685,16.69,16.68,16.68,500,0
