<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SKK.US,5,20260126,153000,3.173,3.173,2.875,2.95,700.9000000000001,0
SKK.US,5,20260126,153500,3,3.074,3,3.074,553,0
SKK.US,5,20260126,154000,3.071,3.1,3.071,3.1,329.5,0
SKK.US,5,20260126,154500,3.239,3.239,3.076,3.076,60,0
SKK.US,5,20260126,155500,3.15,3.228,3.15,3.228,100,0
SKK.US,5,20260126,161000,3.087,3.254,3.087,3.253,1996.4,0
SKK.US,5,20260126,162000,3.253,3.253,3.253,3.253,300,0
SKK.US,5,20260126,164000,3.3,3.3,3.3,3.3,10,0
SKK.US,5,20260126,180000,3.074,3.163,3.074,3.163,30,0
SKK.US,5,20260126,195000,3.27,3.285,3.23,3.23,30,0
SKK.US,5,20260126,195500,3.3,3.3,3.3,3.3,30,0
SKK.US,5,20260126,201000,3.3,3.301,3.252,3.301,169.8,0
SKK.US,5,20260126,201500,3.266,3.266,3.266,3.266,20.5,0
SKK.US,5,20260126,203500,3.266,3.266,3.204,3.204,220,0
SKK.US,5,20260126,205500,3.284,3.284,3.284,3.284,16.8,0
SKK.US,5,20260126,210500,3.324,3.324,3.324,3.324,10,0
SKK.US,5,20260126,212500,3.266,3.266,3.228,3.228,40,0
SKK.US,5,20260126,214000,3.283,3.283,3.283,3.283,500,0
SKK.US,5,20260126,214500,3.204,3.204,3.204,3.204,20,0
SKK.US,5,20260127,153000,3.204,3.204,3.204,3.204,316.90000000000003,0
SKK.US,5,20260127,153500,3.366,3.46,3.335,3.46,50,0
SKK.US,5,20260127,154500,3.12,3.12,3.12,3.12,10,0
SKK.US,5,20260127,161000,3.3115,3.478,3.3115,3.401,35,0
SKK.US,5,20260127,162000,3.476,3.476,3.476,3.476,20,0
SKK.US,5,20260127,165500,3.078,3.117,3.025,3.025,100,0
SKK.US,5,20260127,172500,3.086,3.086,3.086,3.086,49.900000000000006,0
SKK.US,5,20260127,194500,3.101,3.101,3.101,3.101,44,0
SKK.US,5,20260127,213500,3.3065,3.3065,3.3065,3.3065,10,0
SKK.US,5,20260127,215000,3.158,3.158,3.158,3.158,15.5,0
SKK.US,5,20260127,215500,3.3,3.3,3.3,3.3,65,0
SKK.US,5,20260128,153000,3.15001,3.15001,3.15001,3.15001,220.4,0
SKK.US,5,20260128,155500,3.149,3.149,3.149,3.149,10,0
SKK.US,5,20260128,171000,3.161,3.161,3.161,3.161,30.400000000000002,0
SKK.US,5,20260128,171500,3.204,3.204,3.204,3.204,10,0
SKK.US,5,20260128,173000,3.165,3.165,3.165,3.165,30,0
SKK.US,5,20260128,181000,3.17,3.17,3.17,3.17,10,0
SKK.US,5,20260128,184000,3.207,3.207,3.207,3.207,20,0
SKK.US,5,20260128,190500,3.1914,3.1914,3.1914,3.1914,100,0
SKK.US,5,20260128,193000,3.17,3.17,3.17,3.17,10,0
SKK.US,5,20260128,210000,3.173,3.173,3.173,3.173,83.5,0
SKK.US,5,20260129,153000,3.17,3.17,3.17,3.17,39.7,0
SKK.US,5,20260129,153500,3.17,3.17,3.17,3.17,170,0
SKK.US,5,20260129,155000,3.17,3.171,3.17,3.171,970,0
SKK.US,5,20260129,160000,3.134,3.134,3.134,3.134,157.60000000000002,0
SKK.US,5,20260129,175500,3.133,3.133,3.13,3.13,81.80000000000001,0
SKK.US,5,20260129,180500,3.121,3.121,3.121,3.121,15,0
SKK.US,5,20260129,192500,3.121,3.121,3.121,3.121,82,0
SKK.US,5,20260129,195500,3.106,3.106,3.106,3.106,33,0
SKK.US,5,20260129,210000,3.126,3.126,3.126,3.126,10,0
SKK.US,5,20260129,210500,3.133,3.133,3.133,3.133,316.3,0
SKK.US,5,20260129,211000,3.133,3.133,3.102,3.102,296.7,0
SKK.US,5,20260129,215500,3.132,3.132,3.132,3.132,37.9,0
SKK.US,5,20260130,153000,3.1,3.18,3.1,3.14001,143.4,0
SKK.US,5,20260130,153500,3.14,3.157,3.063,3.063,2480.8,0
SKK.US,5,20260130,154500,3.062,3.062,3,3,359.20000000000005,0
SKK.US,5,20260130,155000,3,3,3,3,10,0
SKK.US,5,20260130,155500,3.09,3.1,3.09,3.1,61.1,0
SKK.US,5,20260130,160000,3,3,3,3,161.60000000000002,0
SKK.US,5,20260130,161500,2.975,2.992,2.975,2.992,200,0
SKK.US,5,20260130,162000,3,3,3,3,66.8,0
SKK.US,5,20260130,163000,2.999,2.999,2.999,2.999,171,0
SKK.US,5,20260130,163500,3,3,3,3,17.5,0
