<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SKYW.US,5,20260126,153000,100.8,101.16,100.0424,101.16,9902,0
SKYW.US,5,20260126,153500,101.16,101.44,101.16,101.44,1404,0
SKYW.US,5,20260126,154000,101.45,101.68,101.415,101.68,1157,0
SKYW.US,5,20260126,154500,102,102.225,102,102.225,1001,0
SKYW.US,5,20260126,155000,102.365,102.375,102.365,102.375,1080,0
SKYW.US,5,20260126,155500,101.98,101.98,101.555,101.555,1742,0
SKYW.US,5,20260126,160000,101.57,101.71,101.57,101.71,1027,0
SKYW.US,5,20260126,160500,101.69,101.9,101.625,101.77,2250,0
SKYW.US,5,20260126,161000,101.88,102.02,101.87,101.96,1106,0
SKYW.US,5,20260126,161500,101.99,102.4,101.99,102.265,2106,0
SKYW.US,5,20260126,162000,102.28,102.305,101.88,101.9,2412,0
SKYW.US,5,20260126,162500,101.65,101.84,101.36,101.375,400,0
SKYW.US,5,20260126,163000,101.315,101.315,101.315,101.315,100,0
SKYW.US,5,20260126,163500,101.2,101.2,101,101,600,0
SKYW.US,5,20260126,164000,100.83,100.87,100.8,100.86,890,0
SKYW.US,5,20260126,164500,100.89,101.275,100.89,101.075,1576,0
SKYW.US,5,20260126,165000,101.04,101.04,100.81,100.81,200,0
SKYW.US,5,20260126,165500,100.83,100.95,100.83,100.89,430,0
SKYW.US,5,20260126,170000,100.865,100.865,100.865,100.865,100,0
SKYW.US,5,20260126,170500,100.865,101,100.85,101,1484,0
SKYW.US,5,20260126,171000,100.82,100.82,100.82,100.82,100,0
SKYW.US,5,20260126,171500,100.57,100.57,100.505,100.505,400,0
SKYW.US,5,20260126,172000,100.54,100.65,100.54,100.65,200,0
SKYW.US,5,20260126,172500,100.66,100.855,100.66,100.855,300,0
SKYW.US,5,20260126,173000,100.89,101.02,100.88,100.88,2174,0
SKYW.US,5,20260126,173500,100.85,100.86,100.85,100.85,300,0
SKYW.US,5,20260126,174000,100.79,100.82,100.684,100.684,630,0
SKYW.US,5,20260126,174500,100.71,100.81,100.71,100.745,790,0
SKYW.US,5,20260126,175000,100.929,100.929,100.7,100.81,302,0
SKYW.US,5,20260126,175500,100.845,100.845,100.76,100.77,813,0
SKYW.US,5,20260126,180500,100.76,101.145,100.76,101.09,1931,0
SKYW.US,5,20260126,181000,101.1,101.15,101.1,101.15,211,0
SKYW.US,5,20260126,181500,101.165,101.23,101.14,101.14,1655,0
SKYW.US,5,20260126,182000,101.105,101.24,101.07,101.24,3590,0
SKYW.US,5,20260126,182500,101.28,101.32,101.25,101.32,500,0
SKYW.US,5,20260126,183000,101.25,101.25,101.23,101.23,1000,0
SKYW.US,5,20260126,183500,101.26,101.26,101.1301,101.255,1402,0
SKYW.US,5,20260126,184000,101.225,101.32,101.225,101.32,1057,0
SKYW.US,5,20260126,185000,101.2201,101.27,101.22,101.27,2289,0
