<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SLN.US,5,20260126,153000,6.1,6.13,5.7,5.7,9281,0
SLN.US,5,20260126,153500,5.7,6,5.7,5.8,2487,0
SLN.US,5,20260126,154000,5.78,5.84,5.78,5.78,2399,0
SLN.US,5,20260126,154500,5.81,5.84,5.75,5.75,3790,0
SLN.US,5,20260126,155000,5.75,5.75,5.6,5.66,11191,0
SLN.US,5,20260126,155500,5.7175,5.72,5.7175,5.72,200,0
SLN.US,5,20260126,160000,5.64,5.7217,5.63,5.64,1646,0
SLN.US,5,20260126,160500,5.65,5.69,5.59,5.6,3781,0
SLN.US,5,20260126,161000,5.565,5.58,5.54,5.55,2943,0
SLN.US,5,20260126,161500,5.535,5.6125,5.535,5.6125,4214,0
SLN.US,5,20260126,162000,5.58,5.75,5.56,5.725,11829,0
SLN.US,5,20260126,162500,5.75,5.75,5.72,5.74,400,0
SLN.US,5,20260126,163000,5.72,5.75,5.63,5.665,6850,0
SLN.US,5,20260126,163500,5.67,5.73,5.625,5.63,6805,0
SLN.US,5,20260126,164000,5.62,5.749,5.62,5.749,5041,0
SLN.US,5,20260126,164500,5.75,5.82,5.75,5.79,2190,0
SLN.US,5,20260126,165000,5.82,5.82,5.82,5.82,100,0
SLN.US,5,20260126,165500,5.79,5.82,5.79,5.79,2227,0
SLN.US,5,20260126,170000,5.77,5.77,5.77,5.77,799,0
SLN.US,5,20260126,170500,5.77,5.81,5.77,5.77,3173,0
SLN.US,5,20260126,171000,5.8,5.8,5.79,5.79,822,0
SLN.US,5,20260126,171500,5.795,5.795,5.77,5.77,299,0
SLN.US,5,20260126,172000,5.76,5.79,5.75,5.75,1627,0
SLN.US,5,20260126,172500,5.75,5.75,5.75,5.75,900,0
SLN.US,5,20260126,173000,5.75,5.75,5.68,5.68,6174,0
SLN.US,5,20260126,173500,5.715,5.715,5.65,5.655,6658,0
SLN.US,5,20260126,174000,5.65,5.68,5.65,5.675,3188,0
SLN.US,5,20260126,174500,5.6884,5.6884,5.651471,5.675,670,0
SLN.US,5,20260126,175000,5.64,5.66,5.64,5.66,200,0
SLN.US,5,20260126,175500,5.645,5.675,5.645,5.675,1922,0
SLN.US,5,20260126,180000,5.6881,5.7,5.68,5.69,1511,0
SLN.US,5,20260126,181000,5.71,5.71,5.67,5.67,200,0
SLN.US,5,20260126,182000,5.67,5.67,5.67,5.67,100,0
SLN.US,5,20260126,182500,5.67,5.67,5.66,5.66,530,0
SLN.US,5,20260126,183000,5.685,5.71,5.685,5.695,1472,0
SLN.US,5,20260126,184000,5.67,5.68,5.665,5.675,2443,0
SLN.US,5,20260126,184500,5.67,5.67,5.67,5.67,1000,0
SLN.US,5,20260126,185000,5.6821,5.6821,5.6821,5.6821,159,0
SLN.US,5,20260126,185500,5.675,5.675,5.66,5.67,680,0
SLN.US,5,20260126,190000,5.65,5.66,5.63,5.63,2282,0
SLN.US,5,20260126,190500,5.61,5.62,5.6,5.62,3288,0
SLN.US,5,20260126,191500,5.6,5.6,5.6,5.6,100,0
SLN.US,5,20260126,192000,5.6,5.6,5.6,5.6,154,0
SLN.US,5,20260126,192500,5.6,5.6,5.595,5.595,539,0
SLN.US,5,20260126,193000,5.57,5.57,5.57,5.57,200,0
SLN.US,5,20260126,193500,5.5951,5.5951,5.55,5.55,220,0
SLN.US,5,20260126,194000,5.56,5.56,5.5,5.5,1073,0
SLN.US,5,20260126,194500,5.537,5.537,5.51,5.51,1294,0
SLN.US,5,20260126,195000,5.535,5.6,5.53,5.595,4200,0
