<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SOLC.US,5,20260126,153000,23.93,23.93,23.93,23.93,100,0
SOLC.US,5,20260126,154000,24.03,24.03,24.03,24.03,1000,0
SOLC.US,5,20260127,153000,24.09,24.09,24.09,24.09,100,0
SOLC.US,5,20260127,160000,24.09,24.09,24.09,24.09,907,0
SOLC.US,5,20260127,201500,24.45,24.45,24.45,24.45,907,0
SOLC.US,5,20260128,154500,24.6798,24.6798,24.6798,24.6798,500,0
SOLC.US,5,20260129,164000,22.76,22.76,22.76,22.76,1200,0
SOLC.US,5,20260129,165500,22.95,22.95,22.95,22.95,100,0
SOLC.US,5,20260129,181000,23.04,23.04,23.04,23.04,200,0
SOLC.US,5,20260129,194000,22.71,22.71,22.71,22.71,100,0
SOLC.US,5,20260129,194500,22.68,22.68,22.68,22.68,100,0
SOLC.US,5,20260129,201000,22.49,22.4901,22.49,22.4901,200,0
SOLC.US,5,20260129,210500,22.699,22.699,22.699,22.699,175,0
SOLC.US,5,20260130,165500,22.64,22.64,22.64,22.64,225,0
SOLC.US,5,20260130,183500,22.74,22.74,22.74,22.74,100,0
SOLC.US,5,20260130,205500,23.15,23.15,23.15,23.15,100,0
SOLC.US,5,20260202,201500,20.31,20.31,20.31,20.31,125,0
SOLC.US,5,20260202,202000,20.29,20.29,20.29,20.29,125,0
SOLC.US,5,20260202,203500,20.18,20.18,20.18,20.18,150,0
SOLC.US,5,20260203,153000,20.07,20.07,20,20,500,0
SOLC.US,5,20260203,162000,19.68,19.68,19.67,19.67,400,0
SOLC.US,5,20260203,171500,19.6,19.64,19.6,19.63,1300,0
SOLC.US,5,20260203,173000,19.5,19.5,19.5,19.5,200,0
SOLC.US,5,20260203,174000,19.64,19.64,19.64,19.64,1200,0
SOLC.US,5,20260203,175500,19.58,19.58,19.58,19.58,200,0
SOLC.US,5,20260203,180000,19.61,19.62,19.61,19.62,600,0
SOLC.US,5,20260203,180500,19.6,19.6,19.53,19.55,500,0
SOLC.US,5,20260203,181000,19.43,19.43,19.42,19.43,300,0
SOLC.US,5,20260203,181500,19.46,19.46,19.46,19.46,400,0
SOLC.US,5,20260203,182000,19.43,19.44,19.43,19.44,300,0
SOLC.US,5,20260203,183000,19.49,19.5,19.49,19.5,200,0
SOLC.US,5,20260203,184000,19.3,19.3,19.3,19.3,100,0
SOLC.US,5,20260203,191500,19.19,19.19,19.19,19.19,300,0
SOLC.US,5,20260203,192000,19.08,19.14,19.08,19.11,1400,0
SOLC.US,5,20260203,192500,19.02,19.02,19.02,19.02,400,0
SOLC.US,5,20260203,193000,19.03,19.06,19.03,19.06,700,0
SOLC.US,5,20260203,194500,18.91,18.91,18.9,18.9,400,0
SOLC.US,5,20260203,200500,18.99,18.99,18.99,18.99,124,0
SOLC.US,5,20260203,201500,19.2,19.3,19.2,19.3,300,0
SOLC.US,5,20260203,202500,19.25,19.25,19.23,19.23,1100,0
SOLC.US,5,20260203,213000,19.61,19.61,19.61,19.61,400,0
SOLC.US,5,20260204,153000,18.36,18.36,18.34,18.35,1614,0
SOLC.US,5,20260204,170000,18.02,18.02,17.99,17.99,1000,0
SOLC.US,5,20260204,171000,18.0099,18.0099,18.0099,18.0099,140,0
SOLC.US,5,20260204,173500,17.74,17.76,17.74,17.76,500,0
SOLC.US,5,20260205,154500,17.53,17.53,17.53,17.53,100,0
SOLC.US,5,20260205,212500,15.42,15.42,15.42,15.42,200,0
SOLC.US,5,20260205,213000,15.35,15.375,15.18,15.18,1200,0
SOLC.US,5,20260206,153000,16.13,16.13,16.13,16.13,100,0
SOLC.US,5,20260206,164500,16.5,16.5,16.5,16.5,500,0
SOLC.US,5,20260206,170500,16.44,16.5,16.44,16.5,450,0
SOLC.US,5,20260206,172000,16.7,16.7,16.7,16.7,700,0
SOLC.US,5,20260206,190000,16.82,16.82,16.82,16.82,100,0
SOLC.US,5,20260206,201500,16.73,16.76,16.68,16.68,2176,0
SOLC.US,5,20260206,213500,17.05,17.05,17.05,17.05,400,0
SOLC.US,5,20260209,154500,16.54,16.54,16.54,16.54,100,0
SOLC.US,5,20260209,183000,16.9,16.9,16.9,16.9,500,0
SOLC.US,5,20260209,184500,17.1138,17.1138,17.1138,17.1138,100,0
SOLC.US,5,20260209,205000,17.1656,17.1656,17.1656,17.1656,100,0
SOLC.US,5,20260211,163000,15.5,15.5,15.5,15.5,300,0
SOLC.US,5,20260211,165500,15.565,15.565,15.565,15.565,322,0
SOLC.US,5,20260211,173500,15.518,15.518,15.518,15.518,160,0
SOLC.US,5,20260211,183500,15.57,15.57,15.57,15.57,100,0
SOLC.US,5,20260211,184000,15.515,15.515,15.515,15.515,200,0
SOLC.US,5,20260211,205000,15.6,15.6,15.6,15.6,100,0
SOLC.US,5,20260211,215000,15.555,15.555,15.555,15.555,350,0
SOLC.US,5,20260211,215500,15.5371,15.5371,15.5371,15.5371,247,0
SOLC.US,5,20260212,163000,15.87,15.87,15.87,15.87,100,0
SOLC.US,5,20260212,191500,15.18,15.18,15.18,15.18,500,0
