<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SPAI.US,5,20260126,153000,6.11,6.12,6.1,6.12,3550,0
SPAI.US,5,20260126,153500,6.19,6.24,5.98,6.07,19404,0
SPAI.US,5,20260126,154000,6.0806,6.26,5.89,5.92,35164,0
SPAI.US,5,20260126,154500,6.253,6.42,6.17,6.39,23805,0
SPAI.US,5,20260126,155000,6.142,6.46,6.1416,6.34,2400,0
SPAI.US,5,20260126,155500,6.16,6.3,6.11,6.11,3435,0
SPAI.US,5,20260126,160000,6.16,6.16,6.02,6.02,400,0
SPAI.US,5,20260126,160500,6.04,6.04,6.02,6.04,425,0
SPAI.US,5,20260126,161000,5.94,6.04,5.94,6.04,200,0
SPAI.US,5,20260126,161500,6.01,6.04,6.01,6.04,300,0
SPAI.US,5,20260126,162000,6.1188,6.1188,5.9725,5.9725,2100,0
SPAI.US,5,20260126,162500,6.025,6.025,5.9,6.01,4074,0
SPAI.US,5,20260126,163000,5.922,6.01,5.922,6.005,800,0
SPAI.US,5,20260126,163500,5.9655,6.005,5.88,5.92,11776,0
SPAI.US,5,20260126,164000,5.92,5.92,5.75,5.79,19055,0
SPAI.US,5,20260126,164500,5.79,5.8899,5.74,5.8,16160,0
SPAI.US,5,20260126,165000,5.82,5.82,5.75,5.75,824,0
SPAI.US,5,20260126,165500,5.8,5.8,5.7922,5.7922,350,0
SPAI.US,5,20260126,170000,5.79,5.79,5.79,5.79,100,0
SPAI.US,5,20260126,170500,5.745,5.745,5.701,5.7023,1750,0
SPAI.US,5,20260126,171000,5.725,5.725,5.61,5.62,5368,0
SPAI.US,5,20260126,171500,5.65,5.65,5.618,5.618,390,0
SPAI.US,5,20260126,172000,5.64,5.64,5.635,5.635,755,0
SPAI.US,5,20260126,172500,5.6,5.63,5.592,5.63,520,0
SPAI.US,5,20260126,173000,5.635,5.635,5.635,5.635,100,0
SPAI.US,5,20260126,173500,5.6169,5.66,5.6169,5.66,2400,0
SPAI.US,5,20260126,174000,5.6386,5.67,5.6386,5.67,200,0
SPAI.US,5,20260126,174500,5.68,5.68,5.68,5.68,100,0
SPAI.US,5,20260126,175000,5.695,5.739,5.695,5.739,2558,0
SPAI.US,5,20260126,180000,5.67,5.72,5.6,5.72,3875,0
SPAI.US,5,20260126,180500,5.73,5.73,5.685,5.685,1475,0
SPAI.US,5,20260126,181000,5.6,5.685,5.6,5.685,200,0
SPAI.US,5,20260126,181500,5.685,5.685,5.6194,5.6194,2100,0
SPAI.US,5,20260126,182000,5.6,5.65,5.6,5.65,1142,0
SPAI.US,5,20260126,183000,5.64,5.64,5.635,5.635,757,0
SPAI.US,5,20260126,183500,5.61,5.6103,5.61,5.6103,760,0
SPAI.US,5,20260126,184000,5.61,5.64,5.565,5.565,2412,0
SPAI.US,5,20260126,184500,5.565,5.565,5.5101,5.5101,1270,0
SPAI.US,5,20260126,185000,5.615,5.62,5.615,5.62,300,0
SPAI.US,5,20260126,185500,5.6239,5.68,5.6239,5.68,2100,0
SPAI.US,5,20260126,190000,5.655,5.655,5.61,5.625,1900,0
SPAI.US,5,20260126,190500,5.625,5.625,5.625,5.625,100,0
SPAI.US,5,20260126,191000,5.5995,5.5995,5.55,5.55,844,0
SPAI.US,5,20260126,191500,5.65,5.65,5.595,5.595,200,0
SPAI.US,5,20260126,192000,5.52,5.595,5.51,5.51,900,0
SPAI.US,5,20260126,193000,5.575,5.575,5.575,5.575,200,0
SPAI.US,5,20260126,194000,5.52,5.52,5.52,5.52,398,0
SPAI.US,5,20260126,194500,5.5387,5.585,5.52,5.58,4480,0
SPAI.US,5,20260126,195000,5.58,5.58,5.52,5.52,1551,0
SPAI.US,5,20260126,195500,5.545,5.545,5.545,5.545,300,0
SPAI.US,5,20260126,200000,5.52,5.52,5.5,5.5,4690,0
SPAI.US,5,20260126,200500,5.53,5.53,5.5,5.5,2801,0
SPAI.US,5,20260126,201000,5.505,5.525,5.5,5.51,1736,0
SPAI.US,5,20260126,201500,5.515,5.515,5.515,5.515,100,0
SPAI.US,5,20260126,202000,5.5,5.505,5.5,5.5,500,0
SPAI.US,5,20260126,202500,5.505,5.505,5.5,5.505,1836,0
SPAI.US,5,20260126,203000,5.5,5.5,5.5,5.5,860,0
SPAI.US,5,20260126,203500,5.5,5.5,5.5,5.5,443,0
SPAI.US,5,20260126,204000,5.505,5.505,5.36,5.36,10559,0
SPAI.US,5,20260126,204500,5.3519,5.39,5.3519,5.38,2300,0
SPAI.US,5,20260126,205000,5.37,5.385,5.37,5.385,400,0
SPAI.US,5,20260126,205500,5.385,5.385,5.36,5.37,900,0
SPAI.US,5,20260126,210000,5.37,5.3732,5.33,5.35,1550,0
SPAI.US,5,20260126,210500,5.36,5.41,5.36,5.39,800,0
SPAI.US,5,20260126,211000,5.4083,5.4083,5.4083,5.4083,100,0
SPAI.US,5,20260126,211500,5.39,5.4099,5.37,5.385,3300,0
SPAI.US,5,20260126,212000,5.39,5.4,5.3816,5.4,2100,0
SPAI.US,5,20260126,212500,5.395,5.395,5.37,5.37,300,0
SPAI.US,5,20260126,213000,5.39,5.393,5.36,5.36,470,0
SPAI.US,5,20260126,213500,5.3714,5.3714,5.35,5.35,500,0
SPAI.US,5,20260126,214000,5.37,5.37,5.34,5.365,1434,0
SPAI.US,5,20260126,214500,5.39,5.39,5.35,5.39,311,0
SPAI.US,5,20260126,215000,5.39,5.4,5.34,5.39,4128,0
SPAI.US,5,20260126,215500,5.34,5.43,5.34,5.36,13459,0
SPAI.US,5,20260127,153000,5.61,5.8257,5.4601,5.4601,10537,0
SPAI.US,5,20260127,153500,5.61,5.61,5.61,5.61,1442,0
SPAI.US,5,20260127,154000,5.585,5.585,5.585,5.585,100,0
SPAI.US,5,20260127,154500,5.59,5.59,5.575,5.585,1944,0
SPAI.US,5,20260127,155000,5.585,5.6,5.5,5.5,3300,0
SPAI.US,5,20260127,155500,5.525,5.525,5.45,5.45,9637,0
SPAI.US,5,20260127,160000,5.41,5.53,5.41,5.5,3100,0
SPAI.US,5,20260127,160500,5.4001,5.58,5.4001,5.58,1200,0
SPAI.US,5,20260127,161000,5.585,5.71,5.58,5.675,2837,0
SPAI.US,5,20260127,161500,5.7099,5.77,5.7,5.7,2086,0
SPAI.US,5,20260127,162000,5.7,5.7,5.7,5.7,1000,0
SPAI.US,5,20260127,162500,5.77,5.78,5.71,5.71,2087,0
SPAI.US,5,20260127,163000,5.7294,5.77,5.7294,5.7556,1996,0
SPAI.US,5,20260127,163500,5.77,5.79,5.7001,5.79,3230,0
SPAI.US,5,20260127,164000,5.718,5.79,5.7,5.7716,2345,0
SPAI.US,5,20260127,164500,5.79,5.79,5.745,5.745,1291,0
SPAI.US,5,20260127,165000,5.777,5.777,5.777,5.777,200,0
SPAI.US,5,20260127,165500,5.755,5.88,5.74,5.88,4149,0
SPAI.US,5,20260127,170000,5.8966,5.945,5.8401,5.9033,10098,0
SPAI.US,5,20260127,170500,5.9411,5.9411,5.897,5.897,520,0
SPAI.US,5,20260127,171000,5.91,5.91,5.91,5.91,200,0
SPAI.US,5,20260127,171500,5.91,5.9799,5.896,5.9156,2820,0
SPAI.US,5,20260127,172000,5.9799,5.9799,5.91,5.91,415,0
SPAI.US,5,20260127,172500,5.97,5.97,5.9599,5.9599,1050,0
SPAI.US,5,20260127,173000,5.9115,6,5.9115,5.95,4735,0
SPAI.US,5,20260127,173500,5.98,5.98,5.98,5.98,1000,0
SPAI.US,5,20260127,175000,5.9598,6.0599,5.9481,5.995,4079,0
SPAI.US,5,20260127,175500,5.9885,6.005,5.96,5.96,900,0
SPAI.US,5,20260127,180000,6.02,6.02,5.915,5.96,1870,0
SPAI.US,5,20260127,180500,5.98,5.98,5.98,5.98,300,0
SPAI.US,5,20260127,181000,5.975,5.975,5.975,5.975,100,0
SPAI.US,5,20260127,181500,5.88,5.9328,5.8613,5.9328,2497,0
SPAI.US,5,20260127,182500,5.88,5.88,5.8791,5.8791,300,0
SPAI.US,5,20260127,183000,5.93,5.93,5.9,5.9,384,0
SPAI.US,5,20260127,184500,5.94,5.94,5.94,5.94,269,0
SPAI.US,5,20260127,185500,5.96,5.9799,5.96,5.9799,1436,0
SPAI.US,5,20260127,190000,5.98,5.99,5.97,5.97,835,0
SPAI.US,5,20260127,190500,5.95,5.95,5.94,5.94,389,0
SPAI.US,5,20260127,191500,5.94,5.98,5.94,5.98,200,0
SPAI.US,5,20260127,192500,5.96,5.96,5.96,5.96,100,0
SPAI.US,5,20260127,194000,5.98,6.056,5.98,6.035,3773,0
SPAI.US,5,20260127,194500,6.056,6.0583,6.02,6.045,823,0
SPAI.US,5,20260127,195000,6.035,6.035,6.01,6.01,2010,0
SPAI.US,5,20260127,195500,6,6.01,5.985,5.985,6550,0
SPAI.US,5,20260127,200000,5.9798,6.0415,5.9798,6.0415,2828,0
SPAI.US,5,20260127,200500,6.02,6.05,5.99,5.995,1830,0
SPAI.US,5,20260127,201000,5.975,5.975,5.9501,5.973,900,0
SPAI.US,5,20260127,201500,6,6.01,5.9972,6,2892,0
SPAI.US,5,20260127,202500,5.996,5.996,5.996,5.996,400,0
SPAI.US,5,20260127,203000,6,6,6,6,337,0
SPAI.US,5,20260127,204000,5.99,5.99,5.99,5.99,1589,0
SPAI.US,5,20260127,211000,5.95,5.95,5.95,5.95,100,0
SPAI.US,5,20260127,211500,5.91,6.035,5.91,6.03,3197,0
SPAI.US,5,20260127,212000,6.025,6.03,6.025,6.03,400,0
SPAI.US,5,20260127,212500,6.03,6.03,6.03,6.03,100,0
SPAI.US,5,20260127,213000,5.99,6.0024,5.99,6,564,0
SPAI.US,5,20260127,213500,5.98,6,5.98,5.99,1076,0
SPAI.US,5,20260127,214000,5.99,5.99,5.97,5.99,800,0
SPAI.US,5,20260127,214500,5.97,6.005,5.97,6,1579,0
SPAI.US,5,20260127,215000,6,6,5.97,5.97,3950,0
SPAI.US,5,20260127,215500,5.96,6,5.95,5.95,14509,0
SPAI.US,5,20260128,153000,5.96,6,5.925,5.925,1830,0
SPAI.US,5,20260128,153500,5.925,5.925,5.925,5.925,390,0
SPAI.US,5,20260128,154000,5.925,5.9325,5.8501,5.8536,5500,0
SPAI.US,5,20260128,154500,5.935,5.9999,5.85,5.85,3753,0
SPAI.US,5,20260128,155000,5.9325,5.9325,5.83,5.83,400,0
SPAI.US,5,20260128,155500,5.83,5.83,5.805,5.805,2544,0
SPAI.US,5,20260128,160000,5.85,5.89,5.85,5.89,200,0
SPAI.US,5,20260128,161000,5.9136,5.9136,5.905,5.905,494,0
SPAI.US,5,20260128,161500,5.905,5.905,5.905,5.905,200,0
SPAI.US,5,20260128,162000,5.83,5.905,5.83,5.905,300,0
SPAI.US,5,20260128,162500,5.73,5.8257,5.73,5.8257,2268,0
SPAI.US,5,20260128,163500,5.96,5.96,5.812,5.812,371,0
SPAI.US,5,20260128,164000,5.74,5.74,5.68,5.715,300,0
SPAI.US,5,20260128,164500,5.715,5.72,5.715,5.72,573,0
SPAI.US,5,20260128,165000,5.715,5.715,5.715,5.715,100,0
SPAI.US,5,20260128,170000,5.66,5.66,5.66,5.66,100,0
SPAI.US,5,20260128,171000,5.64,5.64,5.64,5.64,100,0
SPAI.US,5,20260128,171500,5.69,5.69,5.69,5.69,200,0
SPAI.US,5,20260128,172000,5.73,5.74,5.73,5.74,200,0
SPAI.US,5,20260128,173500,5.7935,5.7935,5.7,5.7,1200,0
SPAI.US,5,20260128,174000,5.69,5.7118,5.64,5.7,800,0
SPAI.US,5,20260128,174500,5.67,5.67,5.67,5.67,100,0
SPAI.US,5,20260128,180000,5.67,5.67,5.67,5.67,175,0
SPAI.US,5,20260128,180500,5.7599,5.7599,5.7599,5.7599,1000,0
SPAI.US,5,20260128,181000,5.7436,5.7436,5.73,5.73,202,0
SPAI.US,5,20260128,181500,5.735,5.8399,5.735,5.8399,1600,0
SPAI.US,5,20260128,182000,5.79,5.79,5.79,5.79,200,0
SPAI.US,5,20260128,182500,5.8,5.8,5.8,5.8,342,0
SPAI.US,5,20260128,183500,5.805,5.805,5.805,5.805,100,0
SPAI.US,5,20260128,184000,5.8,5.88,5.78,5.78,4563,0
SPAI.US,5,20260128,184500,5.8,5.8,5.8,5.8,100,0
SPAI.US,5,20260128,185000,5.8324,5.85,5.8324,5.85,1200,0
SPAI.US,5,20260128,185500,5.8,5.8,5.785,5.785,5200,0
SPAI.US,5,20260128,190000,5.82,5.86,5.73,5.795,7750,0
SPAI.US,5,20260128,190500,5.86,5.87,5.86,5.86,1612,0
SPAI.US,5,20260128,191000,5.83,5.85,5.83,5.85,300,0
SPAI.US,5,20260128,191500,5.86,5.88,5.845,5.88,2603,0
SPAI.US,5,20260128,192500,5.95,5.97,5.95,5.97,200,0
SPAI.US,5,20260128,195500,5.9,5.91,5.85,5.85,1600,0
SPAI.US,5,20260128,200000,5.84,5.885,5.84,5.885,200,0
SPAI.US,5,20260128,200500,5.86,5.86,5.83,5.85,300,0
SPAI.US,5,20260128,201000,5.8586,5.8654,5.835,5.8654,300,0
SPAI.US,5,20260128,201500,5.91,5.91,5.79,5.79,500,0
SPAI.US,5,20260128,202000,5.84,5.84,5.78,5.84,300,0
SPAI.US,5,20260128,202500,5.84,5.84,5.84,5.84,100,0
SPAI.US,5,20260128,203000,5.85,5.85,5.74,5.81,700,0
SPAI.US,5,20260128,203500,5.81,5.81,5.74,5.74,233,0
SPAI.US,5,20260128,204000,5.805,5.805,5.805,5.805,100,0
SPAI.US,5,20260128,204500,5.735,5.86,5.735,5.8325,4348,0
SPAI.US,5,20260128,205000,5.85,5.875,5.85,5.875,300,0
SPAI.US,5,20260128,205500,5.9,5.9,5.89,5.895,11834,0
SPAI.US,5,20260128,210500,5.905,5.905,5.905,5.905,1008,0
SPAI.US,5,20260128,211000,5.9,5.91,5.895,5.91,25805,0
SPAI.US,5,20260128,211500,5.9,5.91,5.9,5.905,500,0
