<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SPTX.US,5,20260501,183000,21,22.75,21,22.73,1005574,0
SPTX.US,5,20260501,183500,22.73,22.74,21.02,21.345,432236,0
SPTX.US,5,20260501,184000,21.28,22.2,21.28,21.95,162300,0
SPTX.US,5,20260501,184500,21.98,22.2,21.49,21.61,163681,0
SPTX.US,5,20260501,185000,21.6,21.875,21.49,21.615,52302,0
SPTX.US,5,20260501,185500,21.62,21.855,21.38,21.56,195878,0
SPTX.US,5,20260501,190000,21.51,21.86,21.5,21.78,128136,0
SPTX.US,5,20260501,190500,21.78,22.35,21.78,22.29,142430,0
SPTX.US,5,20260501,191000,22.27,22.62,22,22.05,107725,0
SPTX.US,5,20260501,191500,22.113,22.685,22,22.485,95844,0
SPTX.US,5,20260501,192000,22.5,23,22.04,22.2,183551,0
SPTX.US,5,20260501,192500,22.18,22.7,22.02,22.5,45350,0
SPTX.US,5,20260501,193000,22.51,22.99,22.45,22.95,33920,0
SPTX.US,5,20260501,193500,22.9,22.9,22.23,22.36,24941,0
SPTX.US,5,20260501,194000,22.35,22.545,22.07,22.49,33096,0
SPTX.US,5,20260501,194500,22.565,22.88,22.47,22.88,37155,0
SPTX.US,5,20260501,195000,22.6,22.815,22.36,22.48,37201,0
SPTX.US,5,20260501,195500,22.56,22.65,22.31,22.525,18943,0
SPTX.US,5,20260501,200000,22.53,22.7,22.405,22.54,14561,0
SPTX.US,5,20260501,200500,22.54,22.7,22.42,22.66,15924,0
SPTX.US,5,20260501,201000,22.56,22.79,22.5,22.525,26515,0
SPTX.US,5,20260501,201500,22.525,22.61,22.525,22.55,16509,0
SPTX.US,5,20260501,202000,22.57,22.69,22.49,22.59,29754,0
SPTX.US,5,20260501,202500,22.59,22.62,22.33,22.4999,19443,0
SPTX.US,5,20260501,203000,22.4,22.47,22.12,22.235,24568,0
SPTX.US,5,20260501,203500,22.235,22.4,22.02,22.4,31262,0
SPTX.US,5,20260501,204000,22.415,22.415,22,22.01,32729,0
SPTX.US,5,20260501,204500,22.01,22.1,21.74,21.99,44238,0
SPTX.US,5,20260501,205000,21.94,22,21.53,21.88,12950,0
SPTX.US,5,20260501,205500,21.88,21.96,21.78,21.88,8345,0
SPTX.US,5,20260501,210000,21.88,21.93,21.55,21.645,16486,0
SPTX.US,5,20260501,210500,21.58,21.63,21.26,21.425,22612,0
SPTX.US,5,20260501,211000,21.415,21.61,21.04,21.585,38458,0
SPTX.US,5,20260501,211500,21.5825,21.585,20.53,20.695,82192,0
SPTX.US,5,20260501,212000,20.695,20.82,20.355,20.44,39954,0
SPTX.US,5,20260501,212500,20.46,20.83,20.3145,20.68,29704,0
SPTX.US,5,20260501,213000,20.68,20.68,20.1,20.11,27574,0
SPTX.US,5,20260501,213500,20.11,20.53,20.01,20.01,49808,0
SPTX.US,5,20260501,214000,20.095,20.31,19.975,20.26,88602,0
SPTX.US,5,20260501,214500,20.26,20.26,20.02,20.09,56487,0
SPTX.US,5,20260501,215000,20.1,20.9,20.06,20.37,227964,0
