<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SSII.US,5,20260126,153000,5.36,5.5931,5.36,5.5931,1968,0
SSII.US,5,20260126,154000,5.4,5.4,5.4,5.4,224,0
SSII.US,5,20260126,155000,5.4,5.51,5.4,5.51,846,0
SSII.US,5,20260126,155500,5.4135,5.4135,5.4135,5.4135,460,0
SSII.US,5,20260126,160500,5.505,5.505,5.505,5.505,100,0
SSII.US,5,20260126,161000,5.52,5.52,5.52,5.52,125,0
SSII.US,5,20260126,161500,5.4472,5.4472,5.4472,5.4472,129,0
SSII.US,5,20260126,162500,5.45,5.45,5.4025,5.4025,300,0
SSII.US,5,20260126,164500,5.57,5.57,5.5,5.5,914,0
SSII.US,5,20260126,165000,5.5,5.5,5.4,5.4,1439,0
SSII.US,5,20260126,170500,5.37,5.37,5.35,5.35,862,0
SSII.US,5,20260126,171000,5.5,5.5,5.5,5.5,173,0
SSII.US,5,20260126,172000,5.385,5.385,5.23,5.28,5359,0
SSII.US,5,20260126,172500,5.25,5.37,5.245,5.265,5042,0
SSII.US,5,20260126,173000,5.2601,5.2601,5.2601,5.2601,265,0
SSII.US,5,20260126,175000,5.32,5.32,5.3,5.3,600,0
SSII.US,5,20260126,175500,5.2811,5.2811,5.2811,5.2811,100,0
SSII.US,5,20260126,181500,5.41,5.41,5.27,5.27,350,0
SSII.US,5,20260126,182500,5.26,5.26,5.17,5.17,3400,0
SSII.US,5,20260126,183000,5.18,5.18,5.1,5.1,9169,0
SSII.US,5,20260126,183500,5.11,5.33,5.11,5.33,400,0
SSII.US,5,20260126,184500,5.3657,5.3657,5.3657,5.3657,100,0
SSII.US,5,20260126,185000,5.2,5.2,5.2,5.2,119,0
SSII.US,5,20260126,190500,5.34,5.34,5.34,5.34,100,0
SSII.US,5,20260126,191500,5.125,5.125,5.125,5.125,222,0
SSII.US,5,20260126,194000,5.13,5.265,5.13,5.265,1100,0
SSII.US,5,20260126,194500,5.13,5.215,5.13,5.215,1744,0
SSII.US,5,20260126,195000,5.16,5.21,5.16,5.16,900,0
SSII.US,5,20260126,195500,5.195,5.195,5.15,5.15,200,0
SSII.US,5,20260126,200000,5.2,5.21,5.15,5.185,736,0
SSII.US,5,20260126,200500,5.185,5.2,5.17,5.17,1165,0
SSII.US,5,20260126,201500,5.18,5.18,5.18,5.18,100,0
SSII.US,5,20260126,202000,5.2,5.2,5.2,5.2,100,0
SSII.US,5,20260126,202500,5.19,5.25,5.19,5.225,1200,0
SSII.US,5,20260126,203500,5.225,5.225,5.225,5.225,903,0
SSII.US,5,20260126,204000,5.18,5.18,5.18,5.18,100,0
SSII.US,5,20260126,204500,5.19,5.19,5.15,5.15,300,0
SSII.US,5,20260126,205000,5.15,5.15,5.15,5.15,200,0
SSII.US,5,20260126,205500,5.15,5.16,5.15,5.15,2795,0
SSII.US,5,20260126,210000,5.1944,5.1944,5.11,5.11,445,0
SSII.US,5,20260126,210500,5.12,5.12,5.12,5.12,200,0
SSII.US,5,20260126,211000,5.15,5.15,5.115,5.115,200,0
SSII.US,5,20260126,211500,5.11,5.11,5.11,5.11,185,0
SSII.US,5,20260126,212000,5.12,5.21,5.12,5.21,3924,0
SSII.US,5,20260126,213000,5.165,5.21,5.12,5.13,9500,0
SSII.US,5,20260126,214500,5.11,5.21,5.1,5.18,14662,0
SSII.US,5,20260126,215000,5.18,5.1804,5.11,5.16,2400,0
SSII.US,5,20260126,215500,5.13,5.18,5.08,5.1,16792,0
SSII.US,5,20260127,153000,5.09,5.09,4.98,4.98,16873,0
SSII.US,5,20260127,153500,4.97,5.03,4.97,5.03,7280,0
SSII.US,5,20260127,154000,5.05,5.05,4.922,4.922,9653,0
SSII.US,5,20260127,154500,5.0308,5.0308,4.92,5.005,3315,0
SSII.US,5,20260127,155000,4.9965,5.005,4.9965,5.005,400,0
SSII.US,5,20260127,155500,5.0186,5.0186,5.0186,5.0186,500,0
SSII.US,5,20260127,160000,5.0638,5.0638,5.0638,5.0638,1200,0
SSII.US,5,20260127,161000,5.0223,5.0223,5.0223,5.0223,220,0
SSII.US,5,20260127,161500,5.005,5.005,5.005,5.005,614,0
SSII.US,5,20260127,162000,5.03,5.18,5.03,5.08,2618,0
SSII.US,5,20260127,162500,5,5,5,5,110,0
SSII.US,5,20260127,163500,5.08,5.16,5.08,5.095,1481,0
SSII.US,5,20260127,164000,5.01,5.03,4.92,5.01,12500,0
SSII.US,5,20260127,164500,5.025,5.03,5.025,5.03,267,0
SSII.US,5,20260127,165000,5.095,5.095,5.095,5.095,110,0
SSII.US,5,20260127,165500,5.095,5.095,5.03,5.03,300,0
SSII.US,5,20260127,170000,5.0821,5.0821,5.0821,5.0821,1000,0
SSII.US,5,20260127,170500,5.07,5.07,5.07,5.07,100,0
SSII.US,5,20260127,171000,5.02,5.02,5.01,5.015,390,0
SSII.US,5,20260127,171500,5.1255,5.1255,5.1255,5.1255,143,0
SSII.US,5,20260127,173000,5.005,5.005,5.005,5.005,100,0
SSII.US,5,20260127,173500,5.07,5.07,5.07,5.07,315,0
SSII.US,5,20260127,174500,4.97,4.97,4.97,4.97,155,0
SSII.US,5,20260127,175000,5.1799,5.1799,5.1799,5.1799,250,0
SSII.US,5,20260127,180500,4.97,4.97,4.97,4.97,100,0
SSII.US,5,20260127,181000,5.0612,5.0612,5.0612,5.0612,100,0
SSII.US,5,20260127,182000,4.96,5.065,4.96,5.065,600,0
SSII.US,5,20260127,183000,4.95,4.95,4.95,4.95,200,0
SSII.US,5,20260127,184000,5.055,5.055,5.055,5.055,1200,0
SSII.US,5,20260127,184500,5,5,5,5,200,0
SSII.US,5,20260127,185000,4.93,4.94,4.93,4.93,550,0
SSII.US,5,20260127,185500,4.93,4.93,4.93,4.93,1000,0
SSII.US,5,20260127,190000,5.17,5.17,4.93,5.06,1725,0
SSII.US,5,20260127,191000,5.05,5.05,4.95,4.95,230,0
SSII.US,5,20260127,192000,5.04,5.06,5.04,5.06,940,0
SSII.US,5,20260127,192500,5.04,5.04,4.96,4.96,300,0
SSII.US,5,20260127,194000,4.97,5.045,4.96,4.96,735,0
SSII.US,5,20260127,194500,4.94,4.975,4.75,4.925,16649,0
SSII.US,5,20260127,195000,5,5,4.82,4.9085,1410,0
SSII.US,5,20260127,195500,4.903,4.905,4.8,4.88,600,0
SSII.US,5,20260127,200000,4.895,4.895,4.88,4.88,270,0
SSII.US,5,20260127,200500,4.82,4.9812,4.73,4.9812,4422,0
SSII.US,5,20260127,201500,4.78,4.945,4.74,4.945,4800,0
SSII.US,5,20260127,202500,4.8,4.8,4.8,4.8,1200,0
SSII.US,5,20260127,203000,4.8808,4.905,4.8808,4.905,1600,0
SSII.US,5,20260127,204500,4.905,4.905,4.905,4.905,125,0
SSII.US,5,20260127,205000,4.7843,5.0253,4.7843,5.0253,453,0
SSII.US,5,20260127,210500,4.85,4.92,4.85,4.92,1092,0
SSII.US,5,20260127,211500,4.8,4.8,4.8,4.8,100,0
SSII.US,5,20260127,212000,4.82,5.02,4.82,5.02,700,0
SSII.US,5,20260127,213000,4.81,4.81,4.81,4.81,100,0
SSII.US,5,20260127,213500,4.94,4.94,4.6,4.875,17945,0
SSII.US,5,20260127,214000,4.69,4.83,4.69,4.83,700,0
SSII.US,5,20260127,214500,4.76,4.82,4.7278,4.82,875,0
SSII.US,5,20260127,215000,4.76,4.765,4.6,4.6199,11999,0
SSII.US,5,20260127,215500,4.64,4.7097,4.59,4.62,14208,0
SSII.US,5,20260128,153000,4.86,4.86,4.69,4.69,1219,0
SSII.US,5,20260128,153500,4.825,4.825,4.595,4.6,2825,0
SSII.US,5,20260128,154000,4.6,4.6,4.57,4.57,1700,0
SSII.US,5,20260128,154500,4.6,4.6,4.38,4.49,16908,0
SSII.US,5,20260128,155000,4.45,4.45,4.4,4.4,5400,0
SSII.US,5,20260128,155500,4.54,4.54,4.54,4.54,550,0
SSII.US,5,20260128,160000,4.52,4.5799,4.5,4.54,7350,0
SSII.US,5,20260128,160500,4.5468,4.5468,4.5468,4.5468,133,0
SSII.US,5,20260128,161000,4.53,4.55,4.45,4.5499,3221,0
SSII.US,5,20260128,161500,4.52,4.54,4.51,4.51,1428,0
SSII.US,5,20260128,162000,4.51,4.51,4.51,4.51,100,0
SSII.US,5,20260128,163000,4.51,4.51,4.51,4.51,114,0
SSII.US,5,20260128,164000,4.5101,4.5101,4.5101,4.5101,885,0
SSII.US,5,20260128,164500,4.545,4.545,4.545,4.545,111,0
SSII.US,5,20260128,170000,4.5174,4.539,4.5,4.5,4123,0
SSII.US,5,20260128,170500,4.45,4.475,4.45,4.475,200,0
SSII.US,5,20260128,171000,4.48,4.48,4.48,4.48,400,0
SSII.US,5,20260128,171500,4.51,4.575,4.495,4.575,2500,0
SSII.US,5,20260128,172000,4.53,4.53,4.51,4.52,440,0
SSII.US,5,20260128,172500,4.49,4.49,4.49,4.49,100,0
SSII.US,5,20260128,173000,4.4401,4.4501,4.44,4.45,3427,0
SSII.US,5,20260128,174000,4.44,4.48,4.3671,4.3671,1240,0
SSII.US,5,20260128,174500,4.4429,4.4429,4.4429,4.4429,201,0
SSII.US,5,20260128,175500,4.53,4.53,4.485,4.52,400,0
SSII.US,5,20260128,180000,4.52,4.6399,4.51,4.6399,3025,0
SSII.US,5,20260128,181000,4.6122,4.6122,4.53,4.55,1098,0
SSII.US,5,20260128,183500,4.55,4.63,4.55,4.63,375,0
SSII.US,5,20260128,185000,4.575,4.575,4.57,4.57,200,0
SSII.US,5,20260128,190000,4.57,4.6087,4.55,4.55,902,0
SSII.US,5,20260128,190500,4.55,4.5849,4.55,4.565,2100,0
SSII.US,5,20260128,191000,4.5425,4.6,4.5425,4.58,1202,0
SSII.US,5,20260128,192500,4.565,4.565,4.565,4.565,200,0
SSII.US,5,20260128,193000,4.5559,4.565,4.5559,4.565,1184,0
SSII.US,5,20260128,193500,4.53,4.53,4.53,4.53,350,0
SSII.US,5,20260128,194000,4.56,4.56,4.54,4.54,200,0
SSII.US,5,20260128,194500,4.5149,4.57,4.5149,4.545,2780,0
SSII.US,5,20260128,195000,4.56,4.56,4.5,4.505,10958,0
SSII.US,5,20260128,195500,4.505,4.55,4.5,4.5,9757,0
SSII.US,5,20260128,200000,4.51,4.5565,4.51,4.5565,1092,0
SSII.US,5,20260128,200500,4.5001,4.5001,4.5001,4.5001,100,0
SSII.US,5,20260128,202500,4.55,4.55,4.55,4.55,300,0
SSII.US,5,20260128,203000,4.5,4.525,4.5,4.525,1704,0
SSII.US,5,20260128,203500,4.55,4.55,4.55,4.55,100,0
SSII.US,5,20260128,204000,4.5374,4.5374,4.5374,4.5374,100,0
SSII.US,5,20260128,205500,4.5704,4.5704,4.53,4.53,200,0
SSII.US,5,20260128,210000,4.53,4.53,4.53,4.53,100,0
SSII.US,5,20260128,211500,4.53,4.58,4.53,4.58,1282,0
SSII.US,5,20260128,212000,4.5201,4.58,4.5201,4.58,609,0
SSII.US,5,20260128,212500,4.5862,4.5862,4.5862,4.5862,100,0
SSII.US,5,20260128,213000,4.54,4.54,4.47,4.477,11477,0
SSII.US,5,20260128,213500,4.5,4.545,4.458,4.48,1381,0
SSII.US,5,20260128,214000,4.545,4.545,4.545,4.545,100,0
SSII.US,5,20260128,214500,4.545,4.545,4.45,4.45,500,0
SSII.US,5,20260128,215000,4.45,4.45,4.45,4.45,211,0
SSII.US,5,20260128,215500,4.47,4.56,4.42,4.43,8767,0
SSII.US,5,20260129,153000,4.42,4.67,4.42,4.67,3324,0
SSII.US,5,20260129,153500,4.67,4.67,4.67,4.67,184,0
SSII.US,5,20260129,154000,4.6842,4.6842,4.6842,4.6842,102,0
SSII.US,5,20260129,154500,4.8151,4.8151,4.45,4.45,1267,0
SSII.US,5,20260129,155000,4.45,4.45,4.45,4.45,600,0
SSII.US,5,20260129,155500,4.51,4.56,4.51,4.56,978,0
SSII.US,5,20260129,160000,4.44,4.44,4.41,4.41,1929,0
SSII.US,5,20260129,160500,4.5344,4.56,4.5344,4.56,3846,0
SSII.US,5,20260129,161000,4.56,4.56,4.56,4.56,775,0
SSII.US,5,20260129,161500,4.5605,4.5605,4.5605,4.5605,1000,0
SSII.US,5,20260129,162500,4.42,4.43,4.42,4.43,200,0
SSII.US,5,20260129,163000,4.43,4.43,4.42,4.42,1784,0
SSII.US,5,20260129,164000,4.4399,4.4399,4.4399,4.4399,100,0
SSII.US,5,20260129,165500,4.45,4.45,4.44,4.45,1000,0
SSII.US,5,20260129,170000,4.42,4.43,4.4,4.43,300,0
SSII.US,5,20260129,170500,4.43,4.43,4.43,4.43,100,0
SSII.US,5,20260129,171000,4.55,4.55,4.55,4.55,100,0
SSII.US,5,20260129,171500,4.6578,4.6578,4.6578,4.6578,1000,0
SSII.US,5,20260129,172000,4.58,4.58,4.58,4.58,150,0
SSII.US,5,20260129,174500,4.485,4.485,4.485,4.485,180,0
SSII.US,5,20260129,175000,4.44,4.44,4.44,4.44,100,0
SSII.US,5,20260129,175500,4.55,4.55,4.55,4.55,250,0
SSII.US,5,20260129,180000,4.485,4.485,4.485,4.485,200,0
SSII.US,5,20260129,180500,4.485,4.5053,4.485,4.5053,810,0
SSII.US,5,20260129,181000,4.51,4.51,4.51,4.51,500,0
SSII.US,5,20260129,182000,4.485,4.52,4.485,4.52,500,0
SSII.US,5,20260129,185000,4.43,4.43,4.4164,4.4164,300,0
SSII.US,5,20260129,190000,4.45,4.45,4.45,4.45,300,0
SSII.US,5,20260129,190500,4.5261,4.5261,4.5261,4.5261,200,0
SSII.US,5,20260129,191500,4.41,4.41,4.31,4.3287,8984,0
SSII.US,5,20260129,193000,4.31,4.33,4.31,4.32,1475,0
SSII.US,5,20260129,193500,4.3662,4.435,4.3662,4.435,330,0
SSII.US,5,20260129,195000,4.3001,4.3001,4.3001,4.3001,5000,0
SSII.US,5,20260129,195500,4.3,4.3,4.3,4.3,1200,0
SSII.US,5,20260129,200000,4.31,4.31,4.31,4.31,138,0
SSII.US,5,20260129,201500,4.3934,4.3934,4.3934,4.3934,100,0
SSII.US,5,20260129,203500,4.35,4.35,4.35,4.35,1000,0
SSII.US,5,20260129,205000,4.35,4.35,4.35,4.35,100,0
SSII.US,5,20260129,211000,4.355,4.355,4.29,4.355,2300,0
SSII.US,5,20260129,212000,4.37,4.37,4.37,4.37,677,0
SSII.US,5,20260129,212500,4.3,4.3,4.3,4.3,100,0
SSII.US,5,20260129,213000,4.355,4.355,4.355,4.355,166,0
SSII.US,5,20260129,213500,4.35,4.35,4.35,4.35,500,0
SSII.US,5,20260129,214500,4.36,4.36,4.29,4.29,1600,0
SSII.US,5,20260129,215000,4.26,4.4075,4.12,4.21,11395,0
SSII.US,5,20260129,215500,4.203,4.25,4.17,4.185,6332,0
SSII.US,5,20260130,153000,4.24,4.32,4.19,4.32,2141,0
SSII.US,5,20260130,153500,4.28,4.35,4.28,4.35,3284,0
SSII.US,5,20260130,154000,4.3677,4.3677,4.25,4.3302,4899,0
SSII.US,5,20260130,154500,4.325,4.3982,4.325,4.325,1000,0
SSII.US,5,20260130,160000,4.3398,4.3398,4.3398,4.3398,100,0
SSII.US,5,20260130,160500,4.34,4.34,4.34,4.34,1500,0
SSII.US,5,20260130,161000,4.34,4.34,4.34,4.34,268,0
SSII.US,5,20260130,161500,4.3175,4.3259,4.2,4.2,7230,0
SSII.US,5,20260130,162000,4.263,4.263,4.263,4.263,250,0
SSII.US,5,20260130,165500,4.285,4.285,4.2075,4.2075,6300,0
SSII.US,5,20260130,170000,4.2,4.2,4.19,4.19,4167,0
SSII.US,5,20260130,170500,4.19,4.29,4.19,4.29,6606,0
SSII.US,5,20260130,171000,4.2418,4.29,4.2418,4.29,1000,0
SSII.US,5,20260130,172000,4.22,4.3,4.22,4.23,1100,0
SSII.US,5,20260130,174000,4.29,4.29,4.23,4.26,1246,0
SSII.US,5,20260130,175500,4.25,4.26,4.25,4.26,689,0
SSII.US,5,20260130,180000,4.25,4.25,4.25,4.25,1300,0
SSII.US,5,20260130,180500,4.29,4.29,4.29,4.29,100,0
SSII.US,5,20260130,181000,4.32,4.32,4.32,4.32,100,0
SSII.US,5,20260130,181500,4.2852,4.29,4.25,4.25,2828,0
SSII.US,5,20260130,182500,4.305,4.54,4.29,4.49,17268,0
SSII.US,5,20260130,183000,4.56,4.597,4.49,4.49,1784,0
SSII.US,5,20260130,183500,4.52,4.55,4.49,4.52,5382,0
SSII.US,5,20260130,184000,4.5478,4.5478,4.5,4.5,1268,0
SSII.US,5,20260130,184500,4.49,4.5665,4.49,4.5665,300,0
SSII.US,5,20260130,185500,4.49,4.49,4.49,4.49,1895,0
SSII.US,5,20260130,190000,4.54,4.54,4.415,4.415,3311,0
SSII.US,5,20260130,190500,4.29,4.36,4.29,4.36,604,0
SSII.US,5,20260130,191000,4.345,4.345,4.345,4.345,100,0
SSII.US,5,20260130,191500,4.28,4.33,4.15,4.2837,16508,0
SSII.US,5,20260130,193500,4.25,4.29,4.25,4.29,2318,0
SSII.US,5,20260130,195000,4.27,4.27,4.27,4.27,400,0
SSII.US,5,20260130,204500,4.395,4.395,4.395,4.395,200,0
SSII.US,5,20260130,205000,4.39,4.39,4.39,4.39,455,0
SSII.US,5,20260130,211000,4.31,4.31,4.27,4.27,4200,0
SSII.US,5,20260130,212000,4.31,4.3101,4.22,4.22,3990,0
SSII.US,5,20260130,212500,4.23,4.2869,4.2,4.2869,11497,0
SSII.US,5,20260130,214500,4.25,4.26,4.25,4.25,1090,0
SSII.US,5,20260130,215000,4.3,4.3,4.3,4.3,142,0
SSII.US,5,20260130,215500,4.379,4.379,4.23,4.23,4426,0
SSII.US,5,20260202,153000,4,4.025,3.895,3.92,12280,0
SSII.US,5,20260202,153500,3.895,3.895,3.895,3.895,100,0
SSII.US,5,20260202,154000,3.89,3.99,3.82,3.82,4314,0
SSII.US,5,20260202,154500,3.82,3.93,3.7501,3.93,8011,0
SSII.US,5,20260202,155000,3.8434,3.88,3.7,3.71,10815,0
SSII.US,5,20260202,155500,3.7158,3.76,3.69,3.69,9101,0
SSII.US,5,20260202,160000,3.69,4,3.6701,3.74,10137,0
SSII.US,5,20260202,160500,3.69,3.9056,3.68,3.75,12910,0
SSII.US,5,20260202,161000,3.87,3.875,3.76,3.78,5446,0
SSII.US,5,20260202,161500,3.9876,3.9876,3.76,3.79,2435,0
SSII.US,5,20260202,162000,3.776,3.776,3.776,3.776,400,0
SSII.US,5,20260202,162500,3.7901,3.7901,3.7901,3.7901,600,0
SSII.US,5,20260202,163000,3.79,3.8,3.78,3.8,1799,0
SSII.US,5,20260202,163500,3.855,3.855,3.855,3.855,300,0
SSII.US,5,20260202,164000,3.79,3.79,3.78,3.78,200,0
SSII.US,5,20260202,164500,3.81,3.9999,3.81,3.9999,6100,0
SSII.US,5,20260202,165000,3.81,3.9206,3.8,3.8099,2596,0
SSII.US,5,20260202,165500,3.81,3.81,3.78,3.81,4060,0
SSII.US,5,20260202,170000,3.8,3.8,3.7,3.7662,21134,0
SSII.US,5,20260202,170500,3.74,3.74,3.74,3.74,100,0
SSII.US,5,20260202,171000,3.68,3.74,3.68,3.7,10219,0
SSII.US,5,20260202,171500,3.7,3.7715,3.68,3.68,9967,0
SSII.US,5,20260202,172000,3.7,3.7,3.69,3.69,1198,0
SSII.US,5,20260202,172500,3.69,3.7,3.69,3.7,3688,0
SSII.US,5,20260202,173000,3.7,3.71,3.7,3.7001,10789,0
SSII.US,5,20260202,173500,3.7001,3.7319,3.7001,3.7094,1563,0
SSII.US,5,20260202,174000,3.71,3.71,3.7,3.705,18909,0
SSII.US,5,20260202,174500,3.7,3.709,3.7,3.705,29956,0
SSII.US,5,20260202,175000,3.705,3.705,3.7,3.705,5782,0
SSII.US,5,20260202,175500,3.705,3.71,3.7,3.71,7400,0
SSII.US,5,20260202,180000,3.7098,3.7098,3.53,3.6,23675,0
SSII.US,5,20260202,180500,3.56,3.62,3.48,3.5712,19520,0
SSII.US,5,20260202,181000,3.5,3.5,3.4,3.4608,18442,0
SSII.US,5,20260202,181500,3.455,3.4958,3.34,3.39,11792,0
SSII.US,5,20260202,182000,3.39,3.42,3.34,3.39,2740,0
SSII.US,5,20260202,182500,3.39,3.4499,3.34,3.34,10474,0
SSII.US,5,20260202,183000,3.4492,3.45,3.3322,3.45,5985,0
SSII.US,5,20260202,183500,3.42,3.4489,3.37,3.4056,1540,0
SSII.US,5,20260202,184000,3.39,3.4,3.34,3.37,5428,0
SSII.US,5,20260202,184500,3.342,3.46,3.342,3.46,6933,0
SSII.US,5,20260202,185000,3.46,3.47,3.46,3.47,2601,0
SSII.US,5,20260202,185500,3.47,3.5,3.47,3.5,725,0
SSII.US,5,20260202,190000,3.4501,3.5803,3.4501,3.4847,7152,0
