<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SVAQU.US,5,20260126,153000,10.05,10.05,10.05,10.05,100,0
SVAQU.US,5,20260126,153500,9.98,9.98,9.98,9.98,100,0
SVAQU.US,5,20260126,155500,9.971,9.971,9.971,9.971,100,0
SVAQU.US,5,20260126,184000,9.99,9.99,9.97,9.99,3749,0
SVAQU.US,5,20260126,215500,10.03,10.03,10.03,10.03,200,0
SVAQU.US,5,20260127,154500,9.98,9.98,9.98,9.98,100,0
SVAQU.US,5,20260127,155500,9.98,9.98,9.98,9.98,100,0
SVAQU.US,5,20260127,160500,9.98,9.98,9.98,9.98,200,0
SVAQU.US,5,20260127,203500,9.9921,9.9921,9.9921,9.9921,181,0
SVAQU.US,5,20260127,215000,10.03,10.03,10.03,10.03,397,0
SVAQU.US,5,20260128,175000,10,10,10,10,197,0
SVAQU.US,5,20260128,211000,10.01,10.01,10.01,10.01,178,0
SVAQU.US,5,20260128,214000,10.01,10.01,10.01,10.01,100,0
SVAQU.US,5,20260129,185000,10.05,10.05,10.05,10.05,147,0
SVAQU.US,5,20260129,185500,10.01,10.02,10.01,10.01,900,0
SVAQU.US,5,20260130,153500,10.0496,10.0496,10.0496,10.0496,5000,0
SVAQU.US,5,20260130,215000,10.01,10.01,10.01,10.01,4900,0
SVAQU.US,5,20260130,215500,10.015,10.015,10.015,10.015,200,0
SVAQU.US,5,20260202,154500,10.01,10.01,10.01,10.01,200,0
SVAQU.US,5,20260202,155500,10,10.01,10,10.01,3066,0
SVAQU.US,5,20260202,161500,10,10,10,10,33330,0
SVAQU.US,5,20260202,163000,10.01,10.01,10.01,10.01,1000,0
SVAQU.US,5,20260202,163500,10.05,10.05,10.05,10.05,100,0
SVAQU.US,5,20260202,172500,10.01,10.01,10.01,10.01,100,0
SVAQU.US,5,20260202,184000,10.045,10.05,10.045,10.05,7222,0
SVAQU.US,5,20260202,184500,10.01,10.01,10.01,10.01,100,0
SVAQU.US,5,20260202,185000,10.01,10.01,10.01,10.01,100,0
SVAQU.US,5,20260202,194000,10.025,10.025,10.025,10.025,100,0
SVAQU.US,5,20260204,194500,10.03,10.03,10.03,10.03,200,0
SVAQU.US,5,20260205,175000,9.97,10,9.97,9.99,18700,0
SVAQU.US,5,20260205,182000,9.97,9.98,9.97,9.97,18700,0
SVAQU.US,5,20260205,183000,9.96,9.98,9.96,9.98,18045,0
SVAQU.US,5,20260205,210000,9.98,9.98,9.98,9.98,500,0
SVAQU.US,5,20260206,202500,9.96,9.98,9.96,9.965,37570,0
SVAQU.US,5,20260206,203000,9.97,9.97,9.955,9.96,17467,0
SVAQU.US,5,20260206,203500,9.95,9.96,9.95,9.95,6893,0
SVAQU.US,5,20260206,204000,9.955,9.955,9.95,9.95,6600,0
SVAQU.US,5,20260206,204500,9.9454,9.9454,9.945,9.945,500,0
SVAQU.US,5,20260206,205500,9.95,9.99,9.95,9.96,23470,0
SVAQU.US,5,20260206,211500,9.94,9.945,9.94,9.94,18428,0
SVAQU.US,5,20260206,212000,9.94,9.96,9.94,9.96,7808,0
SVAQU.US,5,20260206,212500,9.96,9.98,9.95,9.955,34379,0
SVAQU.US,5,20260206,213000,9.98,10,9.98,10,25701,0
SVAQU.US,5,20260206,213500,10,10,9.98,9.98,15000,0
SVAQU.US,5,20260206,214000,10,10,9.95,9.95,24524,0
SVAQU.US,5,20260206,214500,9.95,9.96,9.95,9.96,55470,0
SVAQU.US,5,20260206,215000,9.96,9.96,9.95,9.96,31942,0
SVAQU.US,5,20260209,153000,9.9601,9.992,9.9601,9.992,300,0
SVAQU.US,5,20260209,170000,10.02,10.03,10.02,10.03,200,0
SVAQU.US,5,20260210,155500,9.995,9.995,9.995,9.995,100,0
SVAQU.US,5,20260210,181000,10,10.0001,10,10.0001,2000,0
SVAQU.US,5,20260210,200500,10,10,9.99,9.99,44500,0
SVAQU.US,5,20260210,203500,10.01,10.01,10.01,10.01,100,0
SVAQU.US,5,20260211,170500,9.99,9.99,9.99,9.99,147,0
SVAQU.US,5,20260211,171000,9.995,9.995,9.995,9.995,100,0
SVAQU.US,5,20260211,202000,9.99,9.99,9.99,9.99,49929,0
SVAQU.US,5,20260211,214000,9.995,10,9.995,10,10000,0
SVAQU.US,5,20260212,153000,10,10,10,10,201,0
SVAQU.US,5,20260212,162000,10,10,9.99,9.99,8350,0
SVAQU.US,5,20260212,163500,10,10,10,10,20673,0
SVAQU.US,5,20260212,165500,10,10,10,10,4389,0
SVAQU.US,5,20260212,171000,10.03,10.03,10.01,10.01,25300,0
SVAQU.US,5,20260212,171500,10.03,10.03,10.03,10.03,162052,0
SVAQU.US,5,20260212,172000,10.05,10.05,10.04,10.04,325199,0
SVAQU.US,5,20260212,174000,10.04,10.04,10.04,10.04,5400,0
SVAQU.US,5,20260212,205000,10.03,10.03,10.03,10.03,60000,0
SVAQU.US,5,20260212,211000,10.03,10.035,10.03,10.03,25408,0
SVAQU.US,5,20260212,211500,10.035,10.035,10.03,10.03,4790,0
SVAQU.US,5,20260213,173500,10.01,10.0101,10.01,10.0101,640,0
SVAQU.US,5,20260213,192000,10.02,10.02,10.02,10.02,461,0
SVAQU.US,5,20260213,215500,10.03,10.03,10.03,10.03,361,0
SVAQU.US,5,20260217,171500,10,10,10,10,160000,0
SVAQU.US,5,20260217,172000,10,10,10,10,90000,0
SVAQU.US,5,20260217,194500,10.04,10.04,10.04,10.04,100,0
SVAQU.US,5,20260217,215000,10.01,10.01,10.01,10.01,110,0
SVAQU.US,5,20260218,214000,10,10,10,10,338,0
SVAQU.US,5,20260219,171500,10.025,10.025,10.025,10.025,75000,0
SVAQU.US,5,20260220,211500,10.01,10.01,10.01,10.01,100,0
SVAQU.US,5,20260223,174500,10.02,10.02,10.02,10.02,298,0
SVAQU.US,5,20260223,215500,10.01,10.01,10.01,10.01,100,0
SVAQU.US,5,20260224,153000,10.0325,10.0325,10.0325,10.0325,200,0
SVAQU.US,5,20260227,202500,10.01,10.01,10.01,10.01,5370,0
SVAQU.US,5,20260302,180000,10,10,10,10,100,0
SVAQU.US,5,20260303,163500,10,10,10,10,100,0
SVAQU.US,5,20260303,183500,10,10.0001,10,10,800,0
SVAQU.US,5,20260304,174000,9.98,9.98,9.98,9.98,100,0
SVAQU.US,5,20260305,160000,9.99,9.99,9.99,9.99,100,0
SVAQU.US,5,20260305,212500,9.9998,10,9.9998,10,600,0
SVAQU.US,5,20260305,213000,10,10,10,10,1500,0
SVAQU.US,5,20260305,215000,9.98,9.98,9.98,9.98,100,0
SVAQU.US,5,20260306,162500,10.01,10.01,10.01,10.01,500,0
SVAQU.US,5,20260306,170000,10.02,10.02,10.01,10.01,591,0
SVAQU.US,5,20260306,170500,10.02,10.02,10.02,10.02,400,0
SVAQU.US,5,20260306,174500,10.01,10.01,10.01,10.01,100,0
SVAQU.US,5,20260310,175500,10.03,10.03,10.03,10.03,100,0
SVAQU.US,5,20260312,205500,10.01,10.01,10.01,10.01,148,0
SVAQU.US,5,20260317,145500,10.01,10.01,10.01,10.01,200,0
SVAQU.US,5,20260318,185000,10.01,10.01,10.01,10.01,12250,0
SVAQU.US,5,20260318,185500,10.01,10.01,10.01,10.01,7300,0
SVAQU.US,5,20260326,152000,10,10,10,10,500,0
SVAQU.US,5,20260331,191500,10.02,10.02,10.02,10.02,1709,0
SVAQU.US,5,20260402,215500,10.05,10.05,10.05,10.05,100,0
SVAQU.US,5,20260414,165500,10.05,10.05,10.05,10.05,190,0
SVAQU.US,5,20260416,165000,10.03,10.03,10.03,10.03,120,0
SVAQU.US,5,20260429,183000,10.03,10.03,10.03,10.03,4124,0
SVAQU.US,5,20260515,184000,10.055,10.055,10.055,10.055,20000,0
SVAQU.US,5,20260605,191500,10.1,10.1,10.1,10.1,500,0
SVAQU.US,5,20260610,203500,10.29,10.29,10.29,10.29,100,0
SVAQU.US,5,20260610,210500,10.12,10.12,10.12,10.12,100,0
SVAQU.US,5,20260611,205000,10.28,10.28,10.16,10.16,300,0
SVAQU.US,5,20260612,153000,10.5,10.5,10.5,10.5,200,0
SVAQU.US,5,20260612,172500,10.17,10.17,10.17,10.17,104,0
SVAQU.US,5,20260615,184500,10.2,10.2,10.2,10.2,100,0
SVAQU.US,5,20260616,153000,10.22,10.22,10.22,10.22,400,0
SVAQU.US,5,20260616,155000,10.23,10.23,10.23,10.23,120,0
SVAQU.US,5,20260616,213000,10.5,10.5,10.5,10.5,200,0
SVAQU.US,5,20260616,213500,10.5,10.5,10.5,10.5,500,0
SVAQU.US,5,20260616,214500,10.47,10.49,10.32,10.32,600,0
SVAQU.US,5,20260617,153000,10.55,10.55,10.55,10.55,537,0
SVAQU.US,5,20260617,153500,10.8,10.8,10.8,10.8,100,0
SVAQU.US,5,20260617,154500,10.62,10.62,10.62,10.62,500,0
SVAQU.US,5,20260617,155000,10.63,10.63,10.62,10.6201,878,0
SVAQU.US,5,20260617,155500,10.6201,10.6201,10.55,10.55,2433,0
SVAQU.US,5,20260617,160000,10.75,10.75,10.75,10.75,150,0
SVAQU.US,5,20260617,161000,10.7,10.7,10.7,10.7,100,0
SVAQU.US,5,20260617,164500,10.56,10.56,10.56,10.56,100,0
SVAQU.US,5,20260617,171000,10.58,10.58,10.58,10.58,12500,0
SVAQU.US,5,20260617,180000,10.58,10.58,10.58,10.58,50000,0
SVAQU.US,5,20260618,172000,10.58,10.58,10.58,10.58,125000,0
