<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SYRE.US,5,20260126,153000,31.522,32.55,31.522,32.39,17068,0
SYRE.US,5,20260126,153500,32.33,32.33,32.08,32.27,527,0
SYRE.US,5,20260126,154000,31.995,32.84,31.99,32.79,1991,0
SYRE.US,5,20260126,154500,32.74,32.88,32.52,32.71,3582,0
SYRE.US,5,20260126,155000,32.65,32.65,32.65,32.65,200,0
SYRE.US,5,20260126,155500,32.53,32.66,32.48,32.66,2080,0
SYRE.US,5,20260126,160000,32.585,32.79,32.565,32.75,1609,0
SYRE.US,5,20260126,160500,32.605,32.67,32.28,32.43,600,0
SYRE.US,5,20260126,161000,32.46,32.58,32.46,32.48,400,0
SYRE.US,5,20260126,161500,32.375,32.83,32.375,32.81,1477,0
SYRE.US,5,20260126,162000,32.82,32.82,32.615,32.79,400,0
SYRE.US,5,20260126,162500,32.62,32.7,32.54,32.625,909,0
SYRE.US,5,20260126,163000,32.58,32.83,32.58,32.83,1600,0
SYRE.US,5,20260126,163500,32.84,32.91,32.75,32.79,2617,0
SYRE.US,5,20260126,164000,32.775,32.89,32.775,32.88,1779,0
SYRE.US,5,20260126,164500,32.89,33.03,32.89,33.03,500,0
SYRE.US,5,20260126,165000,33.08,33.08,32.87,32.99,2600,0
SYRE.US,5,20260126,165500,32.86,32.91,32.45,32.46,8841,0
SYRE.US,5,20260126,170000,32.53,32.53,32.48,32.48,234,0
SYRE.US,5,20260126,170500,32.47,32.59,32.44,32.555,1480,0
SYRE.US,5,20260126,171000,32.4,32.52,32.4,32.41,806,0
SYRE.US,5,20260126,171500,32.51,32.52,32.51,32.52,200,0
SYRE.US,5,20260126,172000,32.51,32.55,32.37,32.37,2383,0
SYRE.US,5,20260126,172500,32.42,32.53,32.42,32.43,1021,0
SYRE.US,5,20260126,173500,32.515,32.6,32.5,32.52,980,0
SYRE.US,5,20260126,174000,32.5,32.5,32.5,32.5,200,0
SYRE.US,5,20260126,174500,32.55,32.59,32.55,32.59,500,0
SYRE.US,5,20260126,175000,32.54,32.665,32.54,32.665,1656,0
SYRE.US,5,20260126,175500,32.665,32.665,32.44,32.44,2283,0
SYRE.US,5,20260126,180000,32.4,32.4,32.4,32.4,100,0
SYRE.US,5,20260126,180500,32.44,32.44,32.44,32.44,100,0
SYRE.US,5,20260126,181000,32.43,32.52,32.43,32.52,1721,0
SYRE.US,5,20260126,181500,32.53,32.53,32.53,32.53,300,0
SYRE.US,5,20260126,182000,32.53,32.625,32.52,32.54,2000,0
SYRE.US,5,20260126,182500,32.55,32.58,32.55,32.58,249,0
SYRE.US,5,20260126,183000,32.57,32.67,32.55,32.665,899,0
SYRE.US,5,20260126,183500,32.64,32.66,32.57,32.57,1159,0
SYRE.US,5,20260126,184000,32.55,32.62,32.55,32.62,600,0
SYRE.US,5,20260126,184500,32.71,32.71,32.705,32.705,200,0
SYRE.US,5,20260126,185000,32.74,32.74,32.67,32.67,1500,0
SYRE.US,5,20260126,185500,32.68,32.69,32.68,32.69,408,0
SYRE.US,5,20260126,190000,32.65,32.69,32.63,32.69,1988,0
SYRE.US,5,20260126,190500,32.69,32.69,32.69,32.69,700,0
SYRE.US,5,20260126,191000,32.67,32.74,32.61,32.61,2356,0
SYRE.US,5,20260126,192000,32.66,32.71,32.63,32.71,1371,0
SYRE.US,5,20260126,192500,32.71,32.71,32.71,32.71,100,0
SYRE.US,5,20260126,193000,32.73,32.74,32.71,32.74,400,0
SYRE.US,5,20260126,193500,32.69,32.74,32.64,32.64,2136,0
SYRE.US,5,20260126,194000,32.635,32.6543,32.62,32.62,567,0
SYRE.US,5,20260126,194500,32.61,32.635,32.61,32.61,400,0
SYRE.US,5,20260126,195000,32.6,32.6,32.6,32.6,400,0
SYRE.US,5,20260126,195500,32.57,32.62,32.57,32.62,600,0
SYRE.US,5,20260126,200000,32.57,32.57,32.51,32.51,3394,0
SYRE.US,5,20260126,201000,32.54,32.54,32.465,32.51,1834,0
SYRE.US,5,20260126,201500,32.485,32.51,32.485,32.51,800,0
SYRE.US,5,20260126,202000,32.52,32.56,32.5,32.55,1251,0
SYRE.US,5,20260126,202500,32.54,32.59,32.42,32.42,4374,0
SYRE.US,5,20260126,203000,32.4,32.44,32.38,32.435,1240,0
SYRE.US,5,20260126,203500,32.34,32.34,32.34,32.34,100,0
SYRE.US,5,20260126,204000,32.41,32.42,32.345,32.345,300,0
SYRE.US,5,20260126,204500,32.41,32.41,32.365,32.365,1048,0
SYRE.US,5,20260126,205000,32.32,32.375,32.32,32.34,1033,0
SYRE.US,5,20260126,205500,32.38,32.39,32.37,32.39,500,0
SYRE.US,5,20260126,210000,32.35,32.39,32.33,32.39,1942,0
SYRE.US,5,20260126,210500,32.5,32.5,32.46,32.48,800,0
SYRE.US,5,20260126,211000,32.48,32.52,32.47,32.505,2506,0
SYRE.US,5,20260126,211500,32.47,32.5,32.44,32.44,1700,0
SYRE.US,5,20260126,212000,32.43,32.48,32.38,32.48,3728,0
SYRE.US,5,20260126,212500,32.4001,32.4001,32.4001,32.4001,114,0
SYRE.US,5,20260126,213000,32.54,32.5499,32.49,32.515,962,0
SYRE.US,5,20260126,213500,32.515,32.515,32.41,32.43,2439,0
SYRE.US,5,20260126,214000,32.41,32.47,32.41,32.45,1690,0
SYRE.US,5,20260126,214500,32.48,32.48,32,32.33,71598,0
SYRE.US,5,20260126,215000,32.42,32.43,32.26,32.26,11465,0
SYRE.US,5,20260126,215500,32.26,32.29,32.22,32.29,74894,0
SYRE.US,5,20260127,153000,32.31,33.005,32.31,33.005,7015,0
SYRE.US,5,20260127,153500,33.14,33.14,32.6,32.61,2830,0
SYRE.US,5,20260127,154000,32.8499,32.8499,32.7511,32.7511,622,0
SYRE.US,5,20260127,154500,32.575,32.575,32.545,32.545,436,0
SYRE.US,5,20260127,155000,32.63,32.63,32.495,32.495,200,0
SYRE.US,5,20260127,155500,32.495,32.58,32.495,32.58,500,0
SYRE.US,5,20260127,160000,32.36,32.575,32.36,32.575,300,0
SYRE.US,5,20260127,160500,32.43,32.62,32.43,32.62,900,0
SYRE.US,5,20260127,161000,32.52,32.69,32.5,32.58,3800,0
SYRE.US,5,20260127,161500,32.585,32.595,32.49,32.5,6960,0
SYRE.US,5,20260127,162000,32.5,32.7,32.5,32.69,2550,0
SYRE.US,5,20260127,162500,32.99,32.99,32.81,32.81,800,0
SYRE.US,5,20260127,163000,32.82,32.9502,32.76,32.77,1900,0
SYRE.US,5,20260127,163500,32.75,32.75,32.75,32.75,500,0
