<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TALK.US,5,20260126,153000,4.05,4.09,4.02,4.09,28017,0
TALK.US,5,20260126,153500,4.0999,4.105,4.065,4.08,35567,0
TALK.US,5,20260126,154000,4.06,4.085,4.06,4.075,9906,0
TALK.US,5,20260126,154500,4.075,4.0767,4.06,4.075,9447,0
TALK.US,5,20260126,155000,4.0755,4.08,4.07,4.07,8622,0
TALK.US,5,20260126,155500,4.07,4.075,4.04,4.055,29997,0
TALK.US,5,20260126,160000,4.06,4.09,4.06,4.085,33307,0
TALK.US,5,20260126,160500,4.085,4.1,4.0816,4.1,9956,0
TALK.US,5,20260126,161000,4.1,4.105,4.095,4.095,13663,0
TALK.US,5,20260126,161500,4.095,4.115,4.09,4.115,30429,0
TALK.US,5,20260126,162000,4.12,4.13,4.115,4.13,17623,0
TALK.US,5,20260126,162500,4.125,4.19,4.125,4.17,77411,0
TALK.US,5,20260126,163000,4.165,4.165,4.14,4.14,15867,0
TALK.US,5,20260126,163500,4.15,4.15,4.125,4.125,13488,0
TALK.US,5,20260126,164000,4.121,4.13,4.115,4.115,14365,0
TALK.US,5,20260126,164500,4.115,4.14,4.115,4.14,10854,0
TALK.US,5,20260126,165000,4.14,4.14,4.125,4.125,7717,0
TALK.US,5,20260126,165500,4.125,4.135,4.12,4.125,27042,0
TALK.US,5,20260126,170000,4.12,4.1354,4.12,4.13,17204,0
TALK.US,5,20260126,170500,4.135,4.14,4.1301,4.135,8366,0
TALK.US,5,20260126,171000,4.135,4.15,4.1344,4.135,38475,0
TALK.US,5,20260126,171500,4.13,4.135,4.115,4.115,36356,0
TALK.US,5,20260126,172000,4.12,4.12,4.115,4.12,3576,0
TALK.US,5,20260126,172500,4.115,4.12,4.09,4.115,26108,0
TALK.US,5,20260126,173000,4.115,4.125,4.115,4.125,8078,0
TALK.US,5,20260126,173500,4.125,4.13,4.125,4.125,6359,0
TALK.US,5,20260126,174000,4.125,4.125,4.12,4.125,1878,0
TALK.US,5,20260126,174500,4.125,4.13,4.115,4.12,10047,0
TALK.US,5,20260126,175000,4.125,4.14,4.12,4.14,15856,0
TALK.US,5,20260126,175500,4.135,4.15,4.135,4.135,26308,0
TALK.US,5,20260126,180000,4.135,4.155,4.13,4.155,19959,0
TALK.US,5,20260126,180500,4.155,4.16,4.135,4.145,46020,0
TALK.US,5,20260126,181000,4.155,4.16,4.155,4.1599,1304,0
TALK.US,5,20260126,181500,4.157635,4.17,4.15,4.1599,12723,0
TALK.US,5,20260126,182000,4.155,4.165,4.155,4.155,22535,0
TALK.US,5,20260126,182500,4.1599,4.16,4.15,4.155,14346,0
TALK.US,5,20260126,183000,4.155,4.16,4.155,4.155,4085,0
TALK.US,5,20260126,183500,4.16,4.16,4.15,4.155,4812,0
TALK.US,5,20260126,184000,4.15,4.151,4.15,4.15,12229,0
TALK.US,5,20260126,184500,4.15,4.155,4.15,4.155,950,0
TALK.US,5,20260126,185000,4.15,4.155,4.15,4.155,923,0
TALK.US,5,20260126,185500,4.155,4.155,4.15,4.155,850,0
TALK.US,5,20260126,190000,4.15,4.1588,4.14,4.145,5357,0
TALK.US,5,20260126,190500,4.145,4.15,4.14,4.145,1103,0
TALK.US,5,20260126,191000,4.15,4.15,4.1421,4.145,1799,0
TALK.US,5,20260126,191500,4.145,4.155,4.135,4.14,26507,0
TALK.US,5,20260126,192000,4.1384,4.14,4.1,4.105,36812,0
TALK.US,5,20260126,192500,4.105,4.12,4.105,4.12,11863,0
TALK.US,5,20260126,193000,4.115,4.135,4.1101,4.135,21580,0
TALK.US,5,20260126,193500,4.135,4.14,4.13,4.135,5490,0
TALK.US,5,20260126,194000,4.135,4.145,4.135,4.145,9458,0
TALK.US,5,20260126,194500,4.145,4.148,4.1395,4.145,33974,0
TALK.US,5,20260126,195000,4.145,4.1499,4.135,4.135,6511,0
TALK.US,5,20260126,195500,4.135,4.135,4.13,4.135,4100,0
TALK.US,5,20260126,200000,4.13,4.135,4.125,4.125,21710,0
TALK.US,5,20260126,200500,4.125,4.135,4.111,4.111,27820,0
TALK.US,5,20260126,201000,4.115,4.12,4.11,4.12,17118,0
TALK.US,5,20260126,201500,4.1214,4.125,4.115,4.115,14300,0
TALK.US,5,20260126,202000,4.1164,4.1164,4.11,4.115,14009,0
TALK.US,5,20260126,202500,4.11,4.115,4.11,4.115,450,0
TALK.US,5,20260126,203000,4.11,4.115,4.11,4.11,2080,0
TALK.US,5,20260126,203500,4.115,4.115,4.11,4.115,1400,0
TALK.US,5,20260126,204000,4.11,4.12,4.11,4.115,1837,0
TALK.US,5,20260126,204500,4.11,4.115,4.09,4.1,11857,0
TALK.US,5,20260126,205000,4.095,4.095,4.08,4.085,1829,0
TALK.US,5,20260126,205500,4.08,4.085,4.06,4.075,16176,0
TALK.US,5,20260126,210000,4.07,4.07,4.07,4.07,300,0
TALK.US,5,20260126,210500,4.075,4.095,4.0746,4.09,26245,0
TALK.US,5,20260126,211000,4.09,4.095,4.085,4.09,52739,0
TALK.US,5,20260126,211500,4.1,4.105,4.1,4.105,10431,0
TALK.US,5,20260126,212000,4.105,4.105,4.1,4.105,2023,0
TALK.US,5,20260126,212500,4.105,4.11,4.105,4.105,9968,0
TALK.US,5,20260126,213000,4.105,4.125,4.1045,4.115,58312,0
TALK.US,5,20260126,213500,4.115,4.12,4.1,4.105,6282,0
TALK.US,5,20260126,214000,4.1,4.12,4.095,4.105,75990,0
