<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TGTX.US,5,20260126,153000,31.1,31.175,30.85,31.12,30506,0
TGTX.US,5,20260126,153500,30.9,31.2199,30.8,30.99,31898,0
TGTX.US,5,20260126,154000,31.01,31.29,31.01,31.06,31886,0
TGTX.US,5,20260126,154500,31.17,31.3152,31.1,31.15,10951,0
TGTX.US,5,20260126,155000,31.31,31.33,31.12,31.165,4600,0
TGTX.US,5,20260126,155500,31.24,31.24,31,31.115,18752,0
TGTX.US,5,20260126,160000,31.03,31.23,31.03,31.155,9348,0
TGTX.US,5,20260126,160500,31.155,31.155,31.01,31.0378,14800,0
TGTX.US,5,20260126,161000,31.07,31.17,31.05,31.08,11876,0
TGTX.US,5,20260126,161500,31.1699,31.175,31.09,31.175,13751,0
TGTX.US,5,20260126,162000,31.175,31.19,31.1,31.145,5885,0
TGTX.US,5,20260126,162500,31.145,31.145,31,31.005,15092,0
TGTX.US,5,20260126,163000,31.015,31.2,31.01,31.195,13002,0
TGTX.US,5,20260126,163500,31.16,31.24,31.15,31.2,10733,0
TGTX.US,5,20260126,164000,31.16,31.195,31.14,31.18,5655,0
TGTX.US,5,20260126,164500,31.15,31.26,31.15,31.22,5630,0
TGTX.US,5,20260126,165000,31.24,31.27,31.18,31.18,3055,0
TGTX.US,5,20260126,165500,31.15,31.15,31.1,31.12,3747,0
TGTX.US,5,20260126,170000,31.12,31.15,31.1,31.105,2086,0
TGTX.US,5,20260126,170500,31.08,31.12,31.08,31.12,1179,0
TGTX.US,5,20260126,171000,31.1,31.1,31.04,31.04,2361,0
TGTX.US,5,20260126,171500,31.02,31.03,30.98,31.01,6055,0
TGTX.US,5,20260126,172000,31.02,31.04,30.985,31,11819,0
TGTX.US,5,20260126,172500,30.985,30.985,30.9301,30.945,14083,0
TGTX.US,5,20260126,173000,30.94,30.96,30.91,30.935,4588,0
TGTX.US,5,20260126,173500,30.92,30.953,30.91,30.953,1058,0
TGTX.US,5,20260126,174000,30.93,30.935,30.865,30.88,9208,0
TGTX.US,5,20260126,174500,30.8891,30.9051,30.88,30.9,5957,0
TGTX.US,5,20260126,175000,30.915,30.92,30.86,30.88,5089,0
TGTX.US,5,20260126,175500,30.88,30.8899,30.86,30.87,2344,0
TGTX.US,5,20260126,180000,30.85,30.86,30.8,30.81,7844,0
TGTX.US,5,20260126,180500,30.83,30.84,30.81,30.82,8731,0
TGTX.US,5,20260126,181000,30.81,30.81,30.76,30.76,4829,0
TGTX.US,5,20260126,181500,30.74,30.8,30.74,30.8,3137,0
TGTX.US,5,20260126,182000,30.8,30.85,30.78,30.845,3628,0
TGTX.US,5,20260126,182500,30.84,30.89,30.83,30.8625,5641,0
TGTX.US,5,20260126,183000,30.8899,30.99,30.885,30.92,13042,0
TGTX.US,5,20260126,183500,30.95,30.97,30.895,30.93,5788,0
TGTX.US,5,20260126,184000,30.92,30.95,30.9,30.92,3998,0
TGTX.US,5,20260126,184500,30.9,30.93,30.9,30.91,1448,0
TGTX.US,5,20260126,185000,30.94,30.96,30.9,30.9598,3512,0
TGTX.US,5,20260126,185500,30.97,31,30.93,30.94,10959,0
TGTX.US,5,20260126,190000,30.92,30.94,30.91,30.91,1560,0
TGTX.US,5,20260126,190500,30.93,30.96,30.925,30.93,2865,0
TGTX.US,5,20260126,191000,30.91,30.93,30.86,30.87,2942,0
TGTX.US,5,20260126,191500,30.87,30.92,30.87,30.91,3345,0
TGTX.US,5,20260126,192000,30.91,30.93,30.9,30.91,3653,0
TGTX.US,5,20260126,192500,30.91,30.92,30.890062,30.895,2537,0
TGTX.US,5,20260126,193000,30.89,30.93,30.89,30.925,4178,0
TGTX.US,5,20260126,193500,30.94,30.94,30.875,30.875,3338,0
TGTX.US,5,20260126,194000,30.8853,30.9,30.87,30.87,3362,0
TGTX.US,5,20260126,194500,30.85,30.92,30.84,30.895,3650,0
TGTX.US,5,20260126,195000,30.91,30.91,30.8,30.8348,4122,0
TGTX.US,5,20260126,195500,30.83,30.85,30.81,30.825,2945,0
TGTX.US,5,20260126,200000,30.83,30.89,30.82,30.89,3365,0
TGTX.US,5,20260126,200500,30.9,30.91,30.85,30.85,10890,0
TGTX.US,5,20260126,201000,30.86,30.9,30.86,30.88,4434,0
TGTX.US,5,20260126,201500,30.87,30.93,30.84,30.865,10058,0
TGTX.US,5,20260126,202000,30.86,30.86,30.835,30.84,3821,0
TGTX.US,5,20260126,202500,30.83,30.86,30.8214,30.86,1910,0
TGTX.US,5,20260126,203000,30.83,30.87,30.83,30.87,3451,0
TGTX.US,5,20260126,203500,30.87,30.87,30.84,30.84,2128,0
TGTX.US,5,20260126,204000,30.84,30.85,30.82,30.845,3806,0
TGTX.US,5,20260126,204500,30.84,30.85,30.81,30.8175,4031,0
TGTX.US,5,20260126,205000,30.8,30.82,30.72,30.72,11821,0
TGTX.US,5,20260126,205500,30.73,30.7499,30.72,30.735,4557,0
TGTX.US,5,20260126,210000,30.7201,30.735,30.62,30.7,11374,0
TGTX.US,5,20260126,210500,30.67,30.815,30.67,30.815,4649,0
TGTX.US,5,20260126,211000,30.82,30.83,30.8,30.83,3652,0
TGTX.US,5,20260126,211500,30.815,30.84,30.8,30.825,4527,0
TGTX.US,5,20260126,212000,30.85,30.86,30.81,30.8532,3901,0
TGTX.US,5,20260126,212500,30.87,30.92,30.87,30.9,4039,0
TGTX.US,5,20260126,213000,30.915,30.92,30.86,30.91,8214,0
TGTX.US,5,20260126,213500,30.905,30.93,30.84,30.845,6529,0
TGTX.US,5,20260126,214000,30.845,30.845,30.765,30.82,9807,0
TGTX.US,5,20260126,214500,30.8199,30.8378,30.76,30.77,19852,0
TGTX.US,5,20260126,215000,30.77,30.81,30.75,30.75,20033,0
TGTX.US,5,20260126,215500,30.75,30.75,30.65,30.68,199848,0
TGTX.US,5,20260127,153000,30.6,31.05,30.5,31.04,34666,0
TGTX.US,5,20260127,153500,31.055,31.11,30.73,30.745,14032,0
TGTX.US,5,20260127,154000,30.73,30.86,30.66,30.73,10284,0
TGTX.US,5,20260127,154500,30.725,30.94,30.725,30.94,10802,0
TGTX.US,5,20260127,155000,30.87,31.02,30.87,30.895,12449,0
TGTX.US,5,20260127,155500,30.895,30.895,30.7,30.7,4910,0
TGTX.US,5,20260127,160000,30.71,30.75,30.66,30.7151,11108,0
TGTX.US,5,20260127,160500,30.72,30.72,30.5335,30.625,17728,0
TGTX.US,5,20260127,161000,30.63,30.775,30.625,30.775,3790,0
TGTX.US,5,20260127,161500,30.74,30.81,30.69,30.81,6223,0
TGTX.US,5,20260127,162000,30.8,30.88,30.77,30.84,6470,0
TGTX.US,5,20260127,162500,30.835,30.94,30.83,30.91,8423,0
TGTX.US,5,20260127,163000,30.89,30.92,30.755,30.79,7006,0
TGTX.US,5,20260127,163500,30.81,30.8181,30.77,30.8175,1175,0
TGTX.US,5,20260127,164000,30.7301,30.775,30.5101,30.6195,25666,0
TGTX.US,5,20260127,164500,30.67,30.702,30.6199,30.692,5978,0
TGTX.US,5,20260127,165000,30.675,30.675,30.675,30.675,1302,0
TGTX.US,5,20260127,165500,30.665,30.735,30.61,30.61,4399,0
TGTX.US,5,20260127,170000,30.62,30.705,30.61,30.63,21821,0
TGTX.US,5,20260127,170500,30.635,30.69,30.62,30.64,1994,0
TGTX.US,5,20260127,171000,30.65,30.65,30.565,30.565,9576,0
TGTX.US,5,20260127,171500,30.58,30.65,30.57,30.65,3072,0
TGTX.US,5,20260127,172000,30.67,30.67,30.63,30.655,2650,0
TGTX.US,5,20260127,172500,30.68,30.71,30.65,30.65,11271,0
TGTX.US,5,20260127,173000,30.645,30.81,30.645,30.7788,17411,0
