<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TRUG.US,5,20260126,153000,7.875,8.099,7.61,7.61,343.6,0
TRUG.US,5,20260126,153500,7.855,8,7.801,8,1140.1000000000001,0
TRUG.US,5,20260126,154500,7.725,7.95,7.725,7.8,800.8000000000001,0
TRUG.US,5,20260126,155000,8.099,8.099,8.099,8.099,10,0
TRUG.US,5,20260126,155500,8.099,8.099,8.099,8.099,610,0
TRUG.US,5,20260126,160500,7.726,7.806,7.613,7.613,1069.9,0
TRUG.US,5,20260126,161000,7.716,7.716,7.5,7.611,2624.1000000000004,0
TRUG.US,5,20260126,162000,7.7,7.75001,7.501,7.75001,205,0
TRUG.US,5,20260126,162500,7.52,7.688,7.52,7.688,268.2,0
TRUG.US,5,20260126,163000,7.615,7.615,7.615,7.615,40,0
TRUG.US,5,20260126,163500,7.705,7.8,7.705,7.8,630.2,0
TRUG.US,5,20260126,165500,7.8,7.8,7.8,7.8,25,0
TRUG.US,5,20260126,170000,7.61,7.633,7.61,7.633,168.4,0
TRUG.US,5,20260126,171000,7.623,7.639,7.55,7.55,601.8000000000001,0
TRUG.US,5,20260126,171500,7.57,7.699,7.524,7.699,426.90000000000003,0
TRUG.US,5,20260126,172000,7.571,7.63551,7.525,7.619,480,0
TRUG.US,5,20260126,172500,7.567,7.631,7.567,7.631,150,0
TRUG.US,5,20260126,173000,7.6,7.6,7.6,7.6,100,0
TRUG.US,5,20260126,175000,7.52,7.52,7.52,7.52,10,0
TRUG.US,5,20260126,182000,7.599,7.599,7.498,7.498,2208.5,0
TRUG.US,5,20260126,184000,7.49,7.49,7.49,7.49,35,0
TRUG.US,5,20260126,185500,7.4,7.4,7.355,7.355,766.2,0
TRUG.US,5,20260126,190000,7.399,7.399,7.3275,7.3275,175,0
TRUG.US,5,20260126,190500,7.4,7.4,7.4,7.4,10,0
TRUG.US,5,20260126,191000,7.4,7.4,7.4,7.4,161.20000000000002,0
TRUG.US,5,20260126,192000,7.299,7.3,7.255,7.3,397.5,0
TRUG.US,5,20260126,192500,7.3495,7.3495,7.3495,7.3495,10,0
TRUG.US,5,20260126,193000,7.3,7.362,7.3,7.362,157.20000000000002,0
TRUG.US,5,20260126,193500,7.3,7.301,7.246,7.246,199,0
TRUG.US,5,20260126,194000,7.247,7.285,7.247,7.285,20,0
TRUG.US,5,20260126,195000,7.274,7.299,7.261,7.299,100,0
TRUG.US,5,20260126,195500,7.2595,7.26,7.2595,7.2595,143,0
TRUG.US,5,20260126,200000,7.299,7.299,7.299,7.299,10,0
TRUG.US,5,20260126,200500,7.2595,7.2595,7.2595,7.2595,30,0
TRUG.US,5,20260126,201000,7.22,7.299,7.22,7.299,100,0
TRUG.US,5,20260126,201500,7.259,7.399,7.259,7.31,3434.3,0
TRUG.US,5,20260126,203000,7.3275,7.3275,7.256,7.265,59.6,0
TRUG.US,5,20260126,204000,7.3275,7.3275,7.293,7.298,72.8,0
TRUG.US,5,20260126,204500,7.289,7.3,7.289,7.3,901.5,0
TRUG.US,5,20260126,205500,7.3,7.3,7.3,7.3,10,0
TRUG.US,5,20260126,210500,7.298,7.3,7.283,7.288,1755.9,0
TRUG.US,5,20260126,211000,7.288,7.299,7.276,7.287,336,0
