<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
UONE.US,5,20260126,153000,10.07,10.698,9.88,10.676,9681,0
UONE.US,5,20260126,153500,10.7,10.901,10.04,10.195,6900,0
UONE.US,5,20260126,154000,9.4,9.44,9.4,9.4,2601,0
UONE.US,5,20260126,154500,9.3,9.3801,9.2,9.38,1731,0
UONE.US,5,20260126,155500,9.3026,9.35,9.3026,9.35,677,0
UONE.US,5,20260126,160000,9.5599,9.9299,9.55,9.9299,2966,0
UONE.US,5,20260126,160500,9.7848,9.92,9.7848,9.92,525,0
UONE.US,5,20260126,161000,9.6199,9.62,9.6199,9.62,1300,0
UONE.US,5,20260126,161500,9.55,9.55,9.55,9.55,100,0
UONE.US,5,20260126,163000,9.47,9.47,9.47,9.47,120,0
UONE.US,5,20260126,163500,9.6551,9.6551,9.6551,9.6551,802,0
UONE.US,5,20260126,164000,9.96,9.96,9.959,9.959,1614,0
UONE.US,5,20260126,164500,9.82,9.82,9.82,9.82,100,0
UONE.US,5,20260126,165000,9.9,9.9,9.9,9.9,130,0
UONE.US,5,20260126,170500,9.89,10.47,9.89,10.265,1678,0
UONE.US,5,20260126,171000,10.11,10.11,10.11,10.11,100,0
UONE.US,5,20260126,171500,10.11,10.11,10.11,10.11,406,0
UONE.US,5,20260126,172000,10.1101,10.1861,10.1101,10.14,300,0
UONE.US,5,20260126,172500,10.3,10.31,10.3,10.31,424,0
UONE.US,5,20260126,173500,10.3009,10.3009,10.3009,10.3009,100,0
UONE.US,5,20260126,174000,10.39,10.39,10.39,10.39,200,0
UONE.US,5,20260126,174500,10.4,10.4,10.4,10.4,100,0
UONE.US,5,20260126,180000,10.34,10.364,10.34,10.364,400,0
UONE.US,5,20260126,181000,10.38,10.38,10.38,10.38,100,0
UONE.US,5,20260126,181500,10.39,10.39,10.39,10.39,212,0
UONE.US,5,20260126,182000,10.3135,10.39,10.3135,10.39,200,0
UONE.US,5,20260126,182500,10.48,10.52,10.462,10.52,412,0
UONE.US,5,20260126,190500,10.6726,10.6726,10.6726,10.6726,500,0
UONE.US,5,20260126,191000,10.75,10.95,10.665,10.9443,3051,0
UONE.US,5,20260126,191500,11,11,11,11,610,0
UONE.US,5,20260126,192000,11.4396,11.4396,11.4396,11.4396,201,0
UONE.US,5,20260126,192500,11.5,11.5,10.83,11.16,628,0
UONE.US,5,20260126,194500,11.5,11.5,11,11,1763,0
UONE.US,5,20260126,195000,11.5,11.5,11.25,11.5,1084,0
UONE.US,5,20260126,200000,11.5,11.5,11.5,11.5,300,0
