<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
VBNB.US,5,20260528,194500,24.92,24.92,24.92,24.92,100,0
VBNB.US,5,20260528,201000,24.96,25,24.96,24.97,1100,0
VBNB.US,5,20260528,201500,24.99,25,24.99,25,1000,0
VBNB.US,5,20260528,213000,24.93,24.94,24.91,24.91,600,0
VBNB.US,5,20260528,213500,24.91,24.91,24.91,24.91,100,0
VBNB.US,5,20260528,214000,24.91,24.92,24.91,24.91,300,0
VBNB.US,5,20260528,214500,24.91,24.91,24.9,24.91,400,0
VBNB.US,5,20260528,215000,24.92,24.92,24.9,24.9,600,0
VBNB.US,5,20260529,153000,24.72,24.72,24.58,24.58,2101,0
VBNB.US,5,20260529,162500,24.59,24.59,24.59,24.59,100,0
VBNB.US,5,20260529,171000,24.85,24.85,24.85,24.85,172,0
VBNB.US,5,20260529,190000,24.989,24.989,24.989,24.989,100,0
VBNB.US,5,20260529,190500,24.969,24.969,24.969,24.969,100,0
VBNB.US,5,20260601,153000,26.859,26.859,26.825,26.825,200,0
VBNB.US,5,20260601,153500,26.839,26.84,26.7999,26.8,458,0
VBNB.US,5,20260601,154000,26.789,26.789,26.755,26.755,400,0
VBNB.US,5,20260601,163000,26.28,26.28,26.27,26.27,200,0
VBNB.US,5,20260601,163500,26.32,26.32,26.32,26.32,163,0
VBNB.US,5,20260601,171000,26.42,26.42,26.42,26.42,130,0
VBNB.US,5,20260601,184000,26.639,26.639,26.6323,26.6323,2000,0
VBNB.US,5,20260601,190500,26.639,26.64,26.639,26.6399,1802,0
VBNB.US,5,20260601,194500,26.77,26.77,26.77,26.77,100,0
VBNB.US,5,20260601,195000,26.76,26.77,26.71,26.72,900,0
VBNB.US,5,20260601,201000,26.74,26.74,26.66,26.69,800,0
VBNB.US,5,20260601,201500,26.7,26.7,26.7,26.7,100,0
VBNB.US,5,20260601,211500,26.9,26.9,26.9,26.9,275,0
VBNB.US,5,20260601,212500,27.039,27.039,27.039,27.039,200,0
VBNB.US,5,20260601,213000,27.054,27.054,27.054,27.054,184,0
VBNB.US,5,20260601,213500,27.07,27.07,27.07,27.07,100,0
VBNB.US,5,20260601,214000,27.08,27.08,26.95,27.01,600,0
VBNB.US,5,20260602,155500,26.27,26.27,26.27,26.27,100,0
VBNB.US,5,20260602,161000,26.28,26.28,26.28,26.28,111,0
VBNB.US,5,20260602,163000,26.07,26.07,26.07,26.07,300,0
VBNB.US,5,20260602,171500,25.991,25.991,25.991,25.991,200,0
VBNB.US,5,20260602,174500,25.75,25.75,25.75,25.75,100,0
VBNB.US,5,20260602,175000,25.62,25.62,25.6199,25.6199,300,0
VBNB.US,5,20260602,210000,25.64,25.64,25.64,25.64,100,0
VBNB.US,5,20260602,215500,25.67,25.67,25.6699,25.6699,1106,0
VBNB.US,5,20260603,155000,24.591,24.591,24.591,24.591,100,0
VBNB.US,5,20260603,162000,24.61,24.61,24.61,24.61,200,0
VBNB.US,5,20260603,185000,24.35,24.35,24.35,24.35,169,0
VBNB.US,5,20260603,201000,24.36,24.36,24.36,24.36,205,0
VBNB.US,5,20260603,210500,24.341,24.341,24.34,24.34,1651,0
VBNB.US,5,20260603,211500,24.33,24.33,24.33,24.33,100,0
VBNB.US,5,20260603,215500,24.24,24.24,24.24,24.24,100,0
VBNB.US,5,20260604,191500,23.38,23.39,23.36,23.37,1000,0
VBNB.US,5,20260604,192000,23.37,23.37,23.33,23.35,1000,0
VBNB.US,5,20260604,200000,23.44,23.44,23.44,23.44,295,0
VBNB.US,5,20260605,153000,22.96,22.96,22.96,22.96,300,0
VBNB.US,5,20260608,180000,23.44,23.44,23.44,23.44,100,0
VBNB.US,5,20260608,215000,23.5666,23.5666,23.5666,23.5666,153,0
VBNB.US,5,20260609,155500,23.0801,23.0801,23.0801,23.0801,100,0
VBNB.US,5,20260609,165000,22.82,22.82,22.795,22.82,700,0
VBNB.US,5,20260609,175500,22.74,22.74,22.74,22.74,1000,0
VBNB.US,5,20260609,180500,22.68,22.68,22.68,22.68,100,0
VBNB.US,5,20260609,201500,23.119,23.119,23.0999,23.0999,200,0
VBNB.US,5,20260609,202000,23.04,23.069,23.04,23.069,200,0
VBNB.US,5,20260610,154000,23.111,23.111,23.111,23.111,1100,0
VBNB.US,5,20260610,215000,22.805,22.805,22.805,22.805,200,0
VBNB.US,5,20260610,215500,22.805,22.805,22.771,22.771,200,0
VBNB.US,5,20260612,164000,23.6,23.6,23.6,23.6,100,0
VBNB.US,5,20260615,155000,24.27,24.3,24.27,24.2714,1250,0
VBNB.US,5,20260615,195000,24.3,24.3,24.27,24.27,430,0
VBNB.US,5,20260615,202000,24.2,24.2,24.2,24.2,100,0
VBNB.US,5,20260616,154500,23.5604,23.561,23.5604,23.561,200,0
VBNB.US,5,20260616,161000,23.491,23.5,23.49,23.5,1100,0
VBNB.US,5,20260618,153000,22.97,22.97,22.97,22.97,150,0
VBNB.US,5,20260622,154500,23.36,23.36,23.36,23.36,200,0
VBNB.US,5,20260622,202500,23.159,23.159,23.159,23.159,100,0
