<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
VHCP.US,5,20260209,163000,9.97,9.99,9.97,9.99,1299,0
VHCP.US,5,20260209,163500,10.02,10.02,10.02,10.02,200,0
VHCP.US,5,20260209,183500,10.02,10.02,10.02,10.02,148,0
VHCP.US,5,20260209,190000,9.91,9.91,9.91,9.91,100,0
VHCP.US,5,20260209,214000,9.95,9.95,9.94,9.9465,700,0
VHCP.US,5,20260209,214500,9.95,9.95,9.95,9.95,670,0
VHCP.US,5,20260209,215000,9.95,9.95,9.95,9.95,730,0
VHCP.US,5,20260209,215500,9.99,9.99,9.91,9.97,2106,0
VHCP.US,5,20260210,153000,9.9035,9.9035,9.89,9.89,3477,0
VHCP.US,5,20260210,153500,9.891,9.891,9.89,9.89,1100,0
VHCP.US,5,20260210,154000,9.91,9.91,9.91,9.91,400,0
VHCP.US,5,20260210,155000,9.91,9.91,9.89,9.89,600,0
VHCP.US,5,20260210,155500,9.89,9.89,9.89,9.89,426,0
VHCP.US,5,20260210,161500,9.9042,9.9042,9.9042,9.9042,100,0
VHCP.US,5,20260210,183000,9.9,9.9,9.9,9.9,200,0
VHCP.US,5,20260210,202000,9.95,9.95,9.95,9.95,290661,0
VHCP.US,5,20260211,195000,9.92,9.92,9.92,9.92,11100,0
VHCP.US,5,20260211,205500,9.91,9.91,9.91,9.91,2225,0
VHCP.US,5,20260211,210500,9.91,9.91,9.91,9.91,3245,0
VHCP.US,5,20260211,214500,9.905,9.91,9.905,9.91,5412,0
VHCP.US,5,20260211,215000,9.91,9.91,9.91,9.91,410,0
VHCP.US,5,20260211,215500,9.91,9.91,9.91,9.91,24615,0
VHCP.US,5,20260212,160500,9.95,9.95,9.94,9.94,750530,0
VHCP.US,5,20260212,161000,9.94,9.94,9.94,9.94,500,0
VHCP.US,5,20260212,161500,9.95,9.95,9.95,9.95,16400,0
VHCP.US,5,20260212,173000,9.95,9.95,9.95,9.95,105100,0
VHCP.US,5,20260212,180000,9.95,9.95,9.95,9.95,11400,0
VHCP.US,5,20260212,184500,9.95,9.95,9.95,9.95,172,0
VHCP.US,5,20260212,192500,9.95,9.95,9.95,9.95,65000,0
VHCP.US,5,20260212,193000,9.95,9.95,9.95,9.95,47998,0
VHCP.US,5,20260212,193500,9.95,9.95,9.95,9.95,100000,0
VHCP.US,5,20260212,201000,9.96,9.96,9.96,9.96,100,0
VHCP.US,5,20260212,201500,9.95,9.96,9.95,9.96,1200,0
VHCP.US,5,20260212,204500,9.96,9.96,9.96,9.96,100,0
VHCP.US,5,20260212,212000,9.95,9.95,9.95,9.95,100,0
VHCP.US,5,20260212,215500,9.96,9.96,9.96,9.96,4102,0
VHCP.US,5,20260213,172000,9.95,9.95,9.95,9.95,580176,0
VHCP.US,5,20260213,175000,9.95,9.95,9.95,9.95,250674,0
VHCP.US,5,20260213,175500,9.95,9.95,9.95,9.95,105474,0
VHCP.US,5,20260213,180000,9.95,9.96,9.95,9.95,45132,0
VHCP.US,5,20260213,195000,9.905,9.905,9.905,9.905,100,0
VHCP.US,5,20260218,215500,10.04,10.04,10.04,10.04,430,0
VHCP.US,5,20260219,154500,9.91,9.94,9.9,9.94,15000,0
VHCP.US,5,20260219,215000,9.94,9.94,9.94,9.94,100,0
VHCP.US,5,20260223,215500,9.9,9.9,9.9,9.9,200,0
VHCP.US,5,20260226,170500,9.9,9.9,9.9,9.9,47671,0
VHCP.US,5,20260226,174500,9.92,9.92,9.92,9.92,150000,0
VHCP.US,5,20260226,182500,9.91,9.91,9.9,9.91,4125,0
VHCP.US,5,20260226,205000,9.9,9.9,9.9,9.9,200,0
VHCP.US,5,20260227,211000,9.9,9.9,9.9,9.9,33800,0
VHCP.US,5,20260227,213000,9.9,9.9,9.9,9.9,15671,0
VHCP.US,5,20260302,165000,9.9,9.9,9.9,9.9,200,0
VHCP.US,5,20260302,170000,9.9,9.9,9.9,9.9,100,0
VHCP.US,5,20260302,215000,9.9,9.9,9.9,9.9,200,0
VHCP.US,5,20260303,163500,9.9,9.9,9.9,9.9,100,0
VHCP.US,5,20260305,205000,9.9,9.9,9.9,9.9,50100,0
VHCP.US,5,20260310,204500,9.9,9.9,9.9,9.9,5000,0
VHCP.US,5,20260311,160000,9.9,9.9,9.9,9.9,47200,0
VHCP.US,5,20260311,160500,9.9,9.9,9.9,9.9,2800,0
VHCP.US,5,20260317,205000,9.9,9.9,9.9,9.9,3600,0
VHCP.US,5,20260323,205500,9.9,9.9,9.9,9.9,5500,0
VHCP.US,5,20260324,160000,9.9,9.9,9.9,9.9,172,0
VHCP.US,5,20260327,143000,9.9,9.9,9.9,9.9,100,0
VHCP.US,5,20260331,194500,9.9,9.9,9.9,9.9,10300,0
VHCP.US,5,20260407,153000,9.89,9.89,9.89,9.89,5000,0
VHCP.US,5,20260407,155500,9.89,9.89,9.89,9.89,6700,0
VHCP.US,5,20260407,161500,9.89,9.89,9.89,9.89,8239,0
VHCP.US,5,20260407,205500,9.89,9.89,9.89,9.89,51761,0
VHCP.US,5,20260413,153500,9.93,9.93,9.93,9.93,200,0
VHCP.US,5,20260413,194000,9.9,9.91,9.9,9.91,300,0
VHCP.US,5,20260414,153000,9.91,9.91,9.91,9.91,2900,0
VHCP.US,5,20260414,181000,9.9,9.9,9.9,9.9,9922,0
VHCP.US,5,20260414,182500,9.9,9.9,9.9,9.9,3876,0
VHCP.US,5,20260414,183000,9.9,9.9,9.9,9.9,32900,0
VHCP.US,5,20260414,210500,9.9,9.9,9.9,9.9,200,0
VHCP.US,5,20260415,174500,9.91,9.91,9.905,9.91,25307,0
VHCP.US,5,20260415,201000,9.91,9.91,9.91,9.91,130564,0
VHCP.US,5,20260415,212000,9.91,9.91,9.91,9.91,69704,0
VHCP.US,5,20260417,215000,9.915,9.915,9.915,9.915,4100,0
VHCP.US,5,20260420,154500,9.92,9.92,9.92,9.92,500,0
VHCP.US,5,20260420,160500,9.93,9.93,9.93,9.93,5900,0
VHCP.US,5,20260420,161500,9.93,9.93,9.93,9.93,19960,0
VHCP.US,5,20260421,180500,9.94,9.94,9.94,9.94,4300,0
VHCP.US,5,20260421,181000,9.94,9.94,9.94,9.94,100,0
VHCP.US,5,20260421,182000,9.94,9.94,9.94,9.94,100,0
VHCP.US,5,20260421,183000,9.94,9.94,9.94,9.94,100,0
VHCP.US,5,20260421,200500,9.94,9.94,9.94,9.94,15400,0
VHCP.US,5,20260421,201500,9.92,9.92,9.92,9.92,100,0
VHCP.US,5,20260421,202000,9.92,9.92,9.92,9.92,100,0
VHCP.US,5,20260421,203000,9.92,9.92,9.92,9.92,100,0
VHCP.US,5,20260421,203500,9.92,9.92,9.92,9.92,100,0
VHCP.US,5,20260421,204000,9.92,9.92,9.92,9.92,100,0
VHCP.US,5,20260421,204500,9.92,9.92,9.92,9.92,100,0
VHCP.US,5,20260421,205000,9.92,9.92,9.92,9.92,100,0
VHCP.US,5,20260421,205500,9.92,9.92,9.92,9.92,100,0
VHCP.US,5,20260421,210000,9.92,9.92,9.92,9.92,100,0
VHCP.US,5,20260421,211500,9.92,9.92,9.92,9.92,100,0
VHCP.US,5,20260421,212000,9.92,9.92,9.92,9.92,100,0
VHCP.US,5,20260421,215000,9.91,9.91,9.91,9.91,100,0
VHCP.US,5,20260428,212000,9.91,9.91,9.91,9.91,250000,0
VHCP.US,5,20260429,182500,9.94,9.94,9.94,9.94,2063,0
VHCP.US,5,20260507,175500,9.92,9.92,9.92,9.92,5000,0
VHCP.US,5,20260508,213000,9.935,9.935,9.935,9.935,50000,0
VHCP.US,5,20260511,153000,9.93,9.93,9.93,9.93,41840,0
VHCP.US,5,20260511,190000,9.93,9.935,9.93,9.93,14593,0
VHCP.US,5,20260512,163500,9.93,9.94,9.93,9.94,16100,0
VHCP.US,5,20260512,173000,9.93,9.93,9.93,9.93,9906,0
VHCP.US,5,20260512,174000,9.93,9.93,9.93,9.93,20000,0
VHCP.US,5,20260512,215500,9.94,9.94,9.94,9.94,100,0
VHCP.US,5,20260513,154500,9.94,9.94,9.935,9.94,8300,0
VHCP.US,5,20260513,212500,9.95,9.95,9.95,9.95,100,0
VHCP.US,5,20260514,202500,9.94,9.94,9.94,9.94,25000,0
VHCP.US,5,20260514,205500,9.94,9.94,9.94,9.94,50000,0
VHCP.US,5,20260521,215000,9.94,9.94,9.94,9.94,50000,0
VHCP.US,5,20260522,214500,9.95,9.95,9.95,9.95,500,0
VHCP.US,5,20260522,215000,9.95,9.95,9.95,9.95,600,0
VHCP.US,5,20260527,175000,10,10,10,10,100,0
VHCP.US,5,20260528,172000,9.97,10,9.97,10,200,0
VHCP.US,5,20260528,180000,9.97,9.97,9.97,9.97,50000,0
VHCP.US,5,20260528,184000,10,10,10,10,100,0
VHCP.US,5,20260528,215500,10,10,10,10,100,0
VHCP.US,5,20260529,164000,10,10,10,10,100,0
VHCP.US,5,20260602,174000,10,10,10,10,100,0
VHCP.US,5,20260603,154500,10,10,10,10,6500,0
VHCP.US,5,20260603,162500,10.01,10.01,10.01,10.01,100,0
VHCP.US,5,20260604,174500,10,10.01,10,10.01,10300,0
VHCP.US,5,20260604,215000,10.01,10.01,10.01,10.01,100,0
VHCP.US,5,20260605,160500,10.01,10.01,10.01,10.01,100,0
VHCP.US,5,20260608,164000,10.01,10.01,10.01,10.01,100,0
VHCP.US,5,20260609,164000,10.01,10.01,10.01,10.01,100,0
VHCP.US,5,20260610,170000,10.01,10.01,10.01,10.01,100,0
VHCP.US,5,20260611,163000,10.01,10.01,10.01,10.01,100,0
VHCP.US,5,20260612,202000,10.01,10.01,10.01,10.01,100,0
VHCP.US,5,20260615,190000,10.01,10.01,10.01,10.01,100,0
VHCP.US,5,20260616,163000,10.01,10.01,10.01,10.01,100,0
VHCP.US,5,20260618,170000,10.01,10.01,10.01,10.01,100,0
VHCP.US,5,20260618,174500,10,10,10,10,50000,0
VHCP.US,5,20260618,211500,9.97,9.97,9.97,9.97,11099,0
VHCP.US,5,20260618,214500,9.98,10,9.98,9.98,3377,0
VHCP.US,5,20260622,163000,10.01,10.01,10.01,10.01,100,0
