<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
VIVK.US,5,20260324,143000,1.25,1.25,1.25,1.25,200,0
VIVK.US,5,20260324,143500,1.17,1.36,1.17,1.36,501,0
VIVK.US,5,20260324,144500,1.9,2,1.9,2,601,0
VIVK.US,5,20260324,150000,1.8,1.8,1.8,1.8,100,0
VIVK.US,5,20260324,151500,1.79,1.79,1.42,1.55,5854,0
VIVK.US,5,20260324,152000,1.55,1.55,1.45,1.45,2317,0
VIVK.US,5,20260324,152500,1.55,1.55,1.55,1.55,2000,0
VIVK.US,5,20260324,153000,1.55,1.55,1.53,1.55,2500,0
VIVK.US,5,20260324,153500,1.55,1.55,1.53,1.53,2977,0
VIVK.US,5,20260324,154000,1.55,1.55,1.55,1.55,1000,0
VIVK.US,5,20260324,154500,1.5,1.5,1.5,1.5,200,0
VIVK.US,5,20260324,155500,1.41,1.41,1.41,1.41,1150,0
VIVK.US,5,20260324,161000,1.49,1.55,1.49,1.55,2310,0
VIVK.US,5,20260324,162500,1.5,1.5,1.5,1.5,800,0
VIVK.US,5,20260324,174000,1.446,1.446,1.446,1.446,249,0
VIVK.US,5,20260324,181000,1.44,1.44,1.44,1.44,165,0
VIVK.US,5,20260324,185000,1.44,1.44,1.44,1.44,400,0
VIVK.US,5,20260324,191500,1.4635,1.4635,1.45,1.45,302,0
VIVK.US,5,20260324,193000,1.44,1.4535,1.35,1.36,10277,0
VIVK.US,5,20260324,193500,1.38,1.38,1.38,1.38,200,0
VIVK.US,5,20260324,200000,1.36,1.36,1.36,1.36,500,0
VIVK.US,5,20260324,201000,1.39,1.45,1.39,1.45,1850,0
VIVK.US,5,20260324,202000,1.48,1.48,1.48,1.48,504,0
VIVK.US,5,20260324,202500,1.48,1.48,1.48,1.48,100,0
VIVK.US,5,20260324,203500,1.431,1.431,1.431,1.431,250,0
VIVK.US,5,20260324,204000,1.44,1.44,1.44,1.44,115,0
VIVK.US,5,20260324,204500,1.428,1.428,1.428,1.428,256,0
VIVK.US,5,20260324,205500,1.47,1.47,1.45,1.4646,748,0
VIVK.US,5,20260325,143000,1.39,1.39,1.1405,1.1405,4089,0
VIVK.US,5,20260325,143500,1.25,1.25,1.06,1.2,3930,0
VIVK.US,5,20260325,144000,1.24,1.2556,1.22,1.25,699,0
VIVK.US,5,20260325,144500,1.26,1.26,1.24,1.26,2725,0
VIVK.US,5,20260325,145000,1.18,1.18,1.139,1.139,650,0
VIVK.US,5,20260325,145500,1.15,1.1525,1.1,1.13,1045,0
VIVK.US,5,20260325,150000,1.15,1.15,1.15,1.15,263,0
VIVK.US,5,20260325,150500,1.25,1.27,1.23,1.23,1859,0
VIVK.US,5,20260325,151000,1.26,1.26,1.187,1.187,1253,0
VIVK.US,5,20260325,151500,1.16,1.26,1.16,1.2098,3325,0
VIVK.US,5,20260325,152000,1.2566,1.27,1.2566,1.267,5994,0
VIVK.US,5,20260325,152500,1.2678,1.2678,1.19,1.19,3996,0
VIVK.US,5,20260325,153000,1.19,1.19,1.19,1.19,500,0
VIVK.US,5,20260325,153500,1.1798,1.1798,1.1798,1.1798,450,0
VIVK.US,5,20260325,154000,1.24,1.24,1.24,1.24,250,0
VIVK.US,5,20260325,154500,1.23,1.23,1.19,1.19,600,0
VIVK.US,5,20260325,155000,1.188,1.188,1.188,1.188,100,0
VIVK.US,5,20260325,155500,1.1832,1.1832,1.1832,1.1832,385,0
VIVK.US,5,20260325,161500,1.19,1.19,1.19,1.19,100,0
VIVK.US,5,20260325,162000,1.17,1.17,1.17,1.17,475,0
VIVK.US,5,20260325,162500,1.1708,1.1892,1.1708,1.18,325,0
VIVK.US,5,20260325,163500,1.18,1.18,1.18,1.18,115,0
VIVK.US,5,20260325,164500,1.1708,1.1708,1.1708,1.1708,109,0
VIVK.US,5,20260325,165000,1.172,1.172,1.172,1.172,100,0
VIVK.US,5,20260325,170000,1.16,1.16,1.16,1.16,400,0
VIVK.US,5,20260325,170500,1.2,1.2,1.2,1.2,135,0
VIVK.US,5,20260325,171000,1.16,1.2,1.16,1.2,1400,0
VIVK.US,5,20260325,171500,1.24,1.25,1.21,1.25,2337,0
VIVK.US,5,20260325,172000,1.27,1.27,1.27,1.27,1100,0
VIVK.US,5,20260325,172500,1.35,1.37,1.35,1.37,1100,0
VIVK.US,5,20260325,173500,1.3688,1.3688,1.3688,1.3688,200,0
VIVK.US,5,20260325,175500,1.4,1.41,1.4,1.41,2037,0
VIVK.US,5,20260325,181000,1.46,1.46,1.42,1.42,414,0
VIVK.US,5,20260325,181500,1.432,1.432,1.41,1.432,3800,0
VIVK.US,5,20260325,183000,1.52,1.79,1.52,1.79,800,0
VIVK.US,5,20260325,183500,2.01,2.01,2.01,2.01,100,0
VIVK.US,5,20260325,184000,1.7606,1.7606,1.7606,1.7606,205,0
VIVK.US,5,20260325,190000,1.94,1.94,1.94,1.94,100,0
VIVK.US,5,20260325,190500,1.7546,1.7546,1.7546,1.7546,263,0
VIVK.US,5,20260325,191000,1.7432,1.83,1.7432,1.83,1100,0
VIVK.US,5,20260325,191500,1.77,1.8,1.77,1.8,350,0
VIVK.US,5,20260325,192000,1.81,1.81,1.81,1.81,245,0
VIVK.US,5,20260325,193500,1.8,1.8,1.8,1.8,200,0
VIVK.US,5,20260325,194000,1.77,1.77,1.77,1.77,100,0
VIVK.US,5,20260325,194500,1.77,1.77,1.73,1.73,1420,0
VIVK.US,5,20260325,200000,1.75,1.75,1.75,1.75,100,0
VIVK.US,5,20260325,201000,1.61,1.61,1.61,1.61,716,0
VIVK.US,5,20260325,201500,1.6298,1.7,1.6298,1.7,400,0
VIVK.US,5,20260325,203000,1.62,1.62,1.62,1.62,399,0
VIVK.US,5,20260325,203500,1.698,1.698,1.698,1.698,150,0
VIVK.US,5,20260325,205000,1.7,1.7,1.7,1.7,105,0
VIVK.US,5,20260325,205500,1.75,1.75,1.75,1.75,200,0
VIVK.US,5,20260326,143000,1.72,2.1,1.62,2.1,2251,0
VIVK.US,5,20260326,143500,2.09,2.281,2.044,2.2,3050,0
VIVK.US,5,20260326,144000,2.29,2.35,1.88,1.99,3000,0
VIVK.US,5,20260326,144500,2.05,2.17,2.05,2.15,3300,0
VIVK.US,5,20260326,145000,2.13,2.13,2.042,2.042,450,0
VIVK.US,5,20260326,145500,2.01,2.01,1.9,1.9,1716,0
VIVK.US,5,20260326,150000,1.939,1.939,1.9,1.9,637,0
VIVK.US,5,20260326,150500,1.87,1.87,1.81,1.81,300,0
VIVK.US,5,20260326,151000,1.81,1.81,1.8,1.8,400,0
VIVK.US,5,20260326,151500,1.85,1.85,1.85,1.85,600,0
VIVK.US,5,20260326,152000,1.94,2.0319,1.9392,2.03,2900,0
VIVK.US,5,20260326,152500,2.02,2.02,2.02,2.02,400,0
VIVK.US,5,20260326,153000,2.08,2.1,2,2,2664,0
VIVK.US,5,20260326,153500,2.022,2.045,2.022,2.045,350,0
VIVK.US,5,20260326,154500,1.913,1.913,1.913,1.913,672,0
VIVK.US,5,20260326,160000,1.88,1.88,1.88,1.88,100,0
VIVK.US,5,20260326,163000,1.9719,1.9719,1.9719,1.9719,100,0
VIVK.US,5,20260326,164000,1.95,1.95,1.95,1.95,100,0
VIVK.US,5,20260326,164500,1.89,1.89,1.89,1.89,200,0
VIVK.US,5,20260326,165000,1.86,1.94,1.85,1.94,620,0
VIVK.US,5,20260326,165500,1.9,1.9,1.9,1.9,437,0
VIVK.US,5,20260326,170000,1.95,1.97,1.95,1.97,300,0
VIVK.US,5,20260326,171500,1.96,1.96,1.95,1.96,800,0
VIVK.US,5,20260326,174000,1.93,1.93,1.93,1.93,100,0
VIVK.US,5,20260326,180500,1.93,1.93,1.91,1.91,508,0
VIVK.US,5,20260326,182000,1.95,1.95,1.95,1.95,100,0
VIVK.US,5,20260326,183500,1.95,1.95,1.95,1.95,239,0
VIVK.US,5,20260326,191000,2.04,2.04,2.04,2.04,3076,0
VIVK.US,5,20260326,193500,2.01,2.01,2.01,2.01,100,0
VIVK.US,5,20260326,194000,2.01,2.0785,2,2,2300,0
VIVK.US,5,20260326,194500,2.01,2.01,2.01,2.01,100,0
VIVK.US,5,20260326,200000,1.93,1.93,1.93,1.93,188,0
VIVK.US,5,20260326,200500,2.01,2.01,2.01,2.01,100,0
VIVK.US,5,20260326,201500,2.05,2.09,2.05,2.09,690,0
VIVK.US,5,20260326,203500,2.02,2.041,2.02,2.041,5000,0
VIVK.US,5,20260326,204500,2.059,2.059,2.059,2.059,200,0
VIVK.US,5,20260326,205000,2.08,2.08,2.08,2.08,325,0
VIVK.US,5,20260327,143000,2.01,2.01,2.01,2.01,670,0
VIVK.US,5,20260327,144000,2.034,2.034,2.034,2.034,250,0
VIVK.US,5,20260327,150500,2.02,2.02,2.02,2.02,2500,0
VIVK.US,5,20260327,151000,2.01,2.01,2.01,2.01,1000,0
VIVK.US,5,20260327,152000,2.01,2.034,1.9,1.9306,4598,0
VIVK.US,5,20260327,153000,1.8625,1.8625,1.82,1.82,500,0
VIVK.US,5,20260327,154500,1.98,1.98,1.98,1.98,100,0
VIVK.US,5,20260327,162500,1.896,1.896,1.896,1.896,227,0
VIVK.US,5,20260327,163500,1.89,1.89,1.86,1.86,237,0
VIVK.US,5,20260327,164000,1.86,1.95,1.62,1.95,7122,0
VIVK.US,5,20260327,165000,1.78,1.78,1.58,1.58,4770,0
VIVK.US,5,20260327,165500,1.6,1.7,1.6,1.7,3332,0
VIVK.US,5,20260327,170000,1.7,1.77,1.7,1.73,10115,0
VIVK.US,5,20260327,170500,1.75,1.75,1.7365,1.7365,500,0
VIVK.US,5,20260327,171000,1.705,1.705,1.705,1.705,178,0
VIVK.US,5,20260327,172000,1.75,1.75,1.75,1.75,1346,0
VIVK.US,5,20260327,173000,1.92,1.92,1.92,1.92,100,0
VIVK.US,5,20260327,173500,1.79,1.79,1.79,1.79,100,0
VIVK.US,5,20260327,174500,1.79,1.79,1.79,1.79,104,0
VIVK.US,5,20260327,175000,1.93,1.93,1.93,1.93,1000,0
VIVK.US,5,20260327,192000,1.93,1.95,1.93,1.95,440,0
VIVK.US,5,20260327,192500,1.93,1.93,1.93,1.93,1398,0
VIVK.US,5,20260327,193500,1.93,1.93,1.71,1.71,2500,0
VIVK.US,5,20260327,195500,1.96,1.96,1.96,1.96,150,0
VIVK.US,5,20260327,204500,1.9025,1.95,1.9025,1.92,4000,0
VIVK.US,5,20260327,205000,1.96,1.96,1.925,1.96,4993,0
VIVK.US,5,20260327,205500,1.9716,2,1.9716,2,6100,0
VIVK.US,5,20260330,153000,2.02,2.02,1.85,1.965,2771,0
VIVK.US,5,20260330,153500,1.9525,1.9525,1.91,1.9423,400,0
VIVK.US,5,20260330,154500,2.0475,2.0475,2.0475,2.0475,115,0
VIVK.US,5,20260330,155500,2.09,2.16,2.09,2.16,300,0
VIVK.US,5,20260330,160000,2.15,2.2,2.15,2.2,630,0
VIVK.US,5,20260330,160500,2.28,2.28,2.28,2.28,400,0
VIVK.US,5,20260330,161000,2.28,2.28,2.25,2.25,1824,0
VIVK.US,5,20260330,161500,2.26,2.26,2.25,2.25,200,0
VIVK.US,5,20260330,162000,2.228,2.27,2.228,2.24,1080,0
VIVK.US,5,20260330,162500,2.25,2.3,2.25,2.3,1434,0
VIVK.US,5,20260330,163000,2.3,2.4,2.3,2.4,800,0
VIVK.US,5,20260330,163500,2.39,2.39,2.39,2.39,208,0
VIVK.US,5,20260330,164500,2.381,2.39,2.36,2.39,1392,0
VIVK.US,5,20260330,165500,2.36,2.36,2.36,2.36,900,0
VIVK.US,5,20260330,170000,2.36,2.36,2.36,2.36,200,0
VIVK.US,5,20260330,170500,2.36,2.3656,2.35,2.35,500,0
VIVK.US,5,20260330,171000,2.35,2.35,2.35,2.35,228,0
VIVK.US,5,20260330,172000,2.33,2.33,2.33,2.33,200,0
VIVK.US,5,20260330,174500,2.33,2.33,2.33,2.33,104,0
VIVK.US,5,20260330,175500,2.34,2.35,2.325,2.325,2500,0
VIVK.US,5,20260330,181000,2.3,2.3,2.3,2.3,100,0
VIVK.US,5,20260330,182000,2.3035,2.3035,2.27,2.27,1534,0
VIVK.US,5,20260330,183000,2.29,2.29,2.29,2.29,100,0
VIVK.US,5,20260330,184000,2.241,2.241,2.1,2.13,4607,0
VIVK.US,5,20260330,184500,2.2095,2.2095,2.2095,2.2095,100,0
VIVK.US,5,20260330,194000,2.2125,2.2125,2.21,2.21,823,0
VIVK.US,5,20260330,194500,2.225,2.225,2.21,2.21,1219,0
VIVK.US,5,20260330,195000,2.24,2.24,2.211,2.211,350,0
VIVK.US,5,20260330,200000,2.25,2.25,2.25,2.25,100,0
VIVK.US,5,20260330,205000,2.25,2.25,2.25,2.25,991,0
VIVK.US,5,20260330,210500,2.185,2.185,2.185,2.185,108,0
VIVK.US,5,20260330,212000,2.24,2.24,2.24,2.24,100,0
VIVK.US,5,20260330,213500,2.22,2.22,2.22,2.22,910,0
VIVK.US,5,20260330,215500,2.2234,2.2234,2.22,2.22,500,0
VIVK.US,5,20260331,153000,2.22,2.22,2.22,2.22,0,0
VIVK.US,5,20260331,153500,2.21,2.21,2.21,2.21,200,0
VIVK.US,5,20260331,154000,2.21,2.21,1.97,1.97,147,0
VIVK.US,5,20260331,155000,2,2,2,2,2602,0
VIVK.US,5,20260331,155500,2.01,2.01,2.01,2.01,14,0
VIVK.US,5,20260331,161000,2.1,2.1,2.1,2.1,150,0
VIVK.US,5,20260331,161500,2.03,2.14,1.82,2.14,18010,0
VIVK.US,5,20260331,162000,2.14,2.15,2.14,2.14,2558,0
VIVK.US,5,20260331,162500,2.19,2.19,2.19,2.19,8,0
VIVK.US,5,20260331,163000,2.19,2.2,2.19,2.2,1486,0
VIVK.US,5,20260331,163500,2.35,2.45,2.35,2.45,300,0
VIVK.US,5,20260331,164500,2.48,2.53,2.4,2.51,2414,0
VIVK.US,5,20260331,165000,2.55,2.7,2.55,2.7,200,0
VIVK.US,5,20260331,170000,2.6,2.61,2.6,2.61,200,0
VIVK.US,5,20260331,170500,2.61,2.61,2.61,2.61,90,0
VIVK.US,5,20260331,172500,2.69,2.89,2.61,2.89,6819,0
VIVK.US,5,20260331,173000,2.89,2.89,2.75,2.89,274,0
VIVK.US,5,20260331,173500,2.75,2.95,2.75,2.95,400,0
VIVK.US,5,20260331,174000,2.74,2.74,2.74,2.74,608,0
VIVK.US,5,20260331,174500,2.81,2.81,2.81,2.81,42,0
VIVK.US,5,20260331,175000,2.81,2.81,2.8,2.8,2630,0
VIVK.US,5,20260331,175500,2.96,3,2.9,2.95,13304,0
VIVK.US,5,20260331,180000,2.91,2.91,2.91,2.91,8,0
VIVK.US,5,20260331,180500,3.05,3.12,3.05,3.05,417,0
VIVK.US,5,20260331,181500,3.05,3.1,3.05,3.1,110,0
VIVK.US,5,20260331,182000,3.1,3.1,3,3,3264,0
