<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
VRM.US,5,20260126,153000,18.53,18.53,18.53,18.53,160,0
VRM.US,5,20260126,215500,19.7,19.7,19.7,19.7,162,0
VRM.US,5,20260127,203000,19.66,19.66,19.66,19.66,100,0
VRM.US,5,20260127,211000,19.145,19.145,19.145,19.145,247,0
VRM.US,5,20260127,215500,19.65,19.65,19.65,19.65,161,0
VRM.US,5,20260129,153000,18.7,18.7,18.7,18.7,116,0
VRM.US,5,20260129,164500,19.948,19.948,19.948,19.948,208,0
VRM.US,5,20260129,165000,20.14,20.55,20.14,20.5,785,0
VRM.US,5,20260129,170500,20.6376,20.6376,20.51,20.51,200,0
VRM.US,5,20260129,171000,20.51,20.51,20.5,20.5,1240,0
VRM.US,5,20260129,172000,20.55,21.5,20.55,21.5,1144,0
VRM.US,5,20260129,180500,20.5,20.5,19.8801,19.8801,1700,0
VRM.US,5,20260129,210500,19.3,19.3,19.3,19.3,145,0
VRM.US,5,20260129,214000,20.35,20.35,20.35,20.35,100,0
VRM.US,5,20260129,215000,21.47,21.5,21.42,21.5,690,0
VRM.US,5,20260129,215500,21.54,22,21.54,21.94,484,0
VRM.US,5,20260130,154500,21.652,21.652,21.652,21.652,200,0
VRM.US,5,20260130,162000,21.045,21.045,21.045,21.045,270,0
VRM.US,5,20260130,170500,19.21,19.21,19.21,19.21,189,0
VRM.US,5,20260130,173500,19.8,20.6,19.8,20.6,200,0
VRM.US,5,20260130,192500,20.07,20.07,20.07,20.07,200,0
VRM.US,5,20260130,200000,20.07,20.095,19.72,20.07,2135,0
VRM.US,5,20260130,214500,19.4,19.47,19.28,19.4,930,0
VRM.US,5,20260130,215500,19.27,19.27,19.27,19.27,100,0
VRM.US,5,20260202,165000,20.34,20.34,20.34,20.34,100,0
VRM.US,5,20260202,172500,20.2546,20.2546,20.2546,20.2546,200,0
VRM.US,5,20260202,185000,20.26,20.26,20.26,20.26,100,0
VRM.US,5,20260202,215500,20.35,20.35,20.35,20.35,161,0
VRM.US,5,20260203,215500,19.02,19.02,19.02,19.02,166,0
VRM.US,5,20260204,204500,18.675,18.675,18.675,18.675,1300,0
VRM.US,5,20260204,212000,18.4721,18.4721,18.4721,18.4721,301,0
VRM.US,5,20260204,215500,18.12,18.12,18.12,18.12,168,0
VRM.US,5,20260205,175500,17.02,17.02,17.02,17.02,100,0
VRM.US,5,20260205,181500,17.29,17.29,17.29,17.29,100,0
VRM.US,5,20260205,205500,17.97,18.08,17.97,18.08,200,0
VRM.US,5,20260206,183000,18,18,18,18,200,0
VRM.US,5,20260209,153000,17.01,17.01,17.01,17.01,224,0
VRM.US,5,20260209,205500,16.88,16.88,16.88,16.88,100,0
VRM.US,5,20260209,215500,16.83,16.83,16.83,16.83,137,0
VRM.US,5,20260210,165000,18.0019,18.0019,18.0019,18.0019,100,0
VRM.US,5,20260210,185000,17.5,17.5,17.5,17.5,164,0
VRM.US,5,20260210,185500,17.5,17.5,17.5,17.5,167,0
VRM.US,5,20260210,203500,17,17,17,17,117,0
VRM.US,5,20260210,212500,16.715,16.9504,16.715,16.9504,200,0
VRM.US,5,20260211,181000,16.32,16.36,16.3,16.36,1442,0
VRM.US,5,20260211,212500,15.79,15.79,15.79,15.79,123,0
VRM.US,5,20260212,153000,16.38,16.38,16.38,16.38,263,0
VRM.US,5,20260212,155000,16.9,17.39,16.9,17.01,601,0
VRM.US,5,20260212,164500,18.73,18.73,18.72,18.72,200,0
VRM.US,5,20260212,165000,18.72,18.72,18.72,18.72,100,0
VRM.US,5,20260212,170000,18.7696,18.7696,18.7696,18.7696,100,0
VRM.US,5,20260212,173500,18.75,19,18.75,19,216,0
