<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
WHFCL.US,5,20260126,160500,25.34,25.34,25.34,25.34,100,0
WHFCL.US,5,20260126,161000,25.3804,25.45,25.3804,25.45,2498,0
WHFCL.US,5,20260127,191000,25.404,25.404,25.404,25.404,100,0
WHFCL.US,5,20260129,183500,25.4245,25.4245,25.4245,25.4245,801,0
WHFCL.US,5,20260129,190000,25.4112,25.4112,25.4,25.41,500,0
WHFCL.US,5,20260202,162000,25.32,25.32,25.32,25.32,100,0
WHFCL.US,5,20260202,183000,25.422,25.422,25.422,25.422,150,0
WHFCL.US,5,20260202,195000,25.3878,25.3878,25.3878,25.3878,300,0
WHFCL.US,5,20260202,215000,25.4,25.4,25.4,25.4,300,0
WHFCL.US,5,20260203,183000,25.4,25.4,25.4,25.4,300,0
WHFCL.US,5,20260203,190500,25.448,25.448,25.44,25.44,200,0
WHFCL.US,5,20260203,202000,25.417,25.417,25.4,25.417,818,0
WHFCL.US,5,20260204,200500,25.4,25.4,25.33,25.33,1226,0
WHFCL.US,5,20260204,203500,25.33,25.3302,25.33,25.3302,200,0
WHFCL.US,5,20260204,210500,25.3,25.3001,25.3,25.3,600,0
WHFCL.US,5,20260204,211000,25.24,25.24,25.24,25.24,100,0
WHFCL.US,5,20260204,211500,25.245,25.26,25.245,25.26,800,0
WHFCL.US,5,20260204,212000,25.2466,25.3,25.2466,25.3,1600,0
WHFCL.US,5,20260205,160000,25.29,25.29,25.29,25.29,375,0
WHFCL.US,5,20260205,163500,25.3,25.3,25.3,25.3,200,0
WHFCL.US,5,20260205,203000,25.32,25.32,25.32,25.32,400,0
WHFCL.US,5,20260205,203500,25.32,25.32,25.32,25.32,119,0
WHFCL.US,5,20260206,205500,25.35,25.35,25.35,25.35,141,0
WHFCL.US,5,20260206,211000,25.39,25.39,25.39,25.39,187,0
WHFCL.US,5,20260206,213500,25.37,25.37,25.37,25.37,50000,0
WHFCL.US,5,20260206,215500,25.29,25.29,25.29,25.29,138,0
WHFCL.US,5,20260209,183000,25.31,25.31,25.31,25.31,100,0
WHFCL.US,5,20260209,185000,25.31,25.4499,25.31,25.4499,974,0
WHFCL.US,5,20260209,194500,25.33,25.33,25.33,25.33,100,0
WHFCL.US,5,20260210,160000,25.3786,25.3786,25.3786,25.3786,400,0
WHFCL.US,5,20260210,215500,25.33,25.33,25.33,25.33,161,0
WHFCL.US,5,20260211,215500,25.43,25.43,25.43,25.43,100,0
WHFCL.US,5,20260212,210000,25.39,25.39,25.39,25.39,124,0
WHFCL.US,5,20260213,174500,25.39,25.39,25.39,25.39,220,0
WHFCL.US,5,20260213,175000,25.34,25.34,25.34,25.34,100,0
WHFCL.US,5,20260213,175500,25.3539,25.3539,25.3539,25.3539,100,0
WHFCL.US,5,20260213,212000,25.41,25.41,25.4006,25.4011,2400,0
WHFCL.US,5,20260213,214500,25.4225,25.4249,25.401,25.4249,500,0
WHFCL.US,5,20260213,215000,25.4,25.4,25.4,25.4,106,0
WHFCL.US,5,20260217,155000,25.4,25.4,25.4,25.4,100,0
WHFCL.US,5,20260217,162000,25.4,25.4,25.4,25.4,100,0
