<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
WSGE.US,5,20260126,213500,25.765,25.77,25.76,25.76,42664,0
WSGE.US,5,20260126,214500,25.76,25.76,25.76,25.76,8100,0
WSGE.US,5,20260126,215000,25.74,25.74,25.74,25.74,4965,0
WSGE.US,5,20260130,164500,25.87,25.88,25.87,25.87,42664,0
WSGE.US,5,20260203,161000,25.85,25.85,25.85,25.85,320,0
WSGE.US,5,20260203,185000,25.71,25.7101,25.71,25.7101,1196,0
WSGE.US,5,20260205,204000,25.49,25.49,25.49,25.49,2301,0
WSGE.US,5,20260211,164500,26.13,26.13,26.1299,26.1299,6704,0
WSGE.US,5,20260218,211000,25.96,25.96,25.96,25.96,169101,0
WSGE.US,5,20260219,163500,26,26,26,26,1123,0
WSGE.US,5,20260219,164500,26,26,26,26,1123,0
WSGE.US,5,20260223,210500,25.96,25.96,25.96,25.96,2100,0
WSGE.US,5,20260224,204000,26.18,26.18,26.18,26.18,128,0
WSGE.US,5,20260226,202000,26.2201,26.2201,26.2201,26.2201,114,0
WSGE.US,5,20260226,210500,26.24,26.24,26.24,26.24,100,0
WSGE.US,5,20260303,153000,25.65,25.65,25.65,25.65,575,0
WSGE.US,5,20260303,212500,25.57,25.57,25.57,25.57,128,0
WSGE.US,5,20260304,174500,25.76,25.76,25.76,25.76,434,0
WSGE.US,5,20260304,183500,25.7599,25.7599,25.7599,25.7599,100,0
WSGE.US,5,20260304,204500,25.81,25.81,25.81,25.81,134,0
WSGE.US,5,20260310,200000,25.44,25.44,25.44,25.44,415,0
WSGE.US,5,20260310,205000,25.36,25.36,25.36,25.36,415,0
WSGE.US,5,20260313,192500,24.725,24.725,24.725,24.725,4000,0
WSGE.US,5,20260313,202000,24.73,24.73,24.73,24.73,1930,0
WSGE.US,5,20260317,154000,25.19,25.21,25.19,25.21,20498,0
WSGE.US,5,20260317,185000,25.15,25.17,25.15,25.17,1640,0
WSGE.US,5,20260318,181000,24.96,24.96,24.96,24.96,118,0
WSGE.US,5,20260319,202500,24.76,24.76,24.76,24.76,100,0
WSGE.US,5,20260319,204000,24.7401,24.7401,24.7401,24.7401,121,0
WSGE.US,5,20260320,165500,24.44,24.45,24.44,24.45,24000,0
WSGE.US,5,20260323,173500,24.6,24.6,24.6,24.6,2650,0
WSGE.US,5,20260323,181000,24.62,24.6201,24.62,24.6201,694,0
WSGE.US,5,20260324,184500,24.49,24.49,24.49,24.49,183,0
WSGE.US,5,20260325,175000,24.85,24.85,24.85,24.85,353292,0
WSGE.US,5,20260325,201000,24.8,24.8,24.8,24.8,7151,0
WSGE.US,5,20260327,155000,24.181,24.181,24.181,24.181,500,0
WSGE.US,5,20260327,160000,24.235,24.235,24.235,24.235,151,0
WSGE.US,5,20260327,171500,24.17,24.17,24.17,24.17,100,0
WSGE.US,5,20260327,202000,24.055,24.055,24.055,24.055,1432,0
WSGE.US,5,20260327,203500,24.05,24.05,24.05,24.05,200,0
WSGE.US,5,20260330,160000,24.085,24.085,24.085,24.085,1450,0
WSGE.US,5,20260330,162000,24.07,24.07,24.07,24.07,100,0
WSGE.US,5,20260330,202000,23.981,23.9811,23.98,23.98,4142,0
WSGE.US,5,20260331,202000,24.55,24.55,24.55,24.55,613,0
WSGE.US,5,20260401,154000,24.89,24.89,24.89,24.89,100,0
WSGE.US,5,20260408,165500,25.71,25.71,25.71,25.71,688,0
WSGE.US,5,20260409,200500,25.905,25.92,25.905,25.92,396,0
WSGE.US,5,20260410,155500,25.99,25.99,25.99,25.99,1092,0
WSGE.US,5,20260413,193000,26.02,26.02,26.0072,26.0072,9206,0
WSGE.US,5,20260414,202000,26.33,26.33,26.33,26.33,402,0
WSGE.US,5,20260415,185500,26.33,26.33,26.33,26.33,11900,0
WSGE.US,5,20260416,154000,26.48,26.48,26.48,26.48,100,0
WSGE.US,5,20260417,154000,26.77,26.77,26.77,26.77,165,0
WSGE.US,5,20260424,182000,26.7,26.7,26.7,26.7,195,0
WSGE.US,5,20260427,191500,26.69,26.69,26.66,26.6899,9108,0
WSGE.US,5,20260428,183500,26.51,26.51,26.51,26.51,343,0
WSGE.US,5,20260429,205000,26.38,26.38,26.365,26.365,10000,0
WSGE.US,5,20260429,205500,26.38,26.39,26.36,26.36,14300,0
WSGE.US,5,20260429,212500,26.42,26.42,26.42,26.42,100,0
WSGE.US,5,20260430,163000,26.67,26.67,26.67,26.67,100,0
WSGE.US,5,20260501,163000,27.04,27.04,27.04,27.04,200,0
WSGE.US,5,20260501,185500,26.94,26.94,26.94,26.94,23367,0
WSGE.US,5,20260501,200000,26.95,26.95,26.95,26.95,100,0
WSGE.US,5,20260504,172000,26.78,26.78,26.78,26.78,100,0
WSGE.US,5,20260504,201500,26.71,26.71,26.71,26.71,100,0
WSGE.US,5,20260505,160000,26.95,26.95,26.9499,26.95,526,0
WSGE.US,5,20260505,161000,26.96,26.96,26.96,26.96,200,0
WSGE.US,5,20260505,215000,27.02,27.02,27.02,27.02,100,0
WSGE.US,5,20260506,162000,27.36,27.36,27.36,27.36,200,0
WSGE.US,5,20260506,203500,27.46,27.46,27.46,27.46,100,0
WSGE.US,5,20260506,215500,27.51,27.51,27.51,27.51,239,0
WSGE.US,5,20260507,161500,27.42,27.42,27.42,27.42,100,0
WSGE.US,5,20260507,164000,27.44,27.44,27.44,27.44,100,0
WSGE.US,5,20260507,180500,27.36,27.36,27.36,27.36,210,0
WSGE.US,5,20260508,162500,27.42,27.42,27.42,27.42,200,0
WSGE.US,5,20260511,162500,27.5,27.5,27.5,27.5,200,0
WSGE.US,5,20260511,194000,27.505,27.505,27.505,27.505,1040,0
WSGE.US,5,20260511,194500,27.505,27.505,27.505,27.505,182,0
WSGE.US,5,20260511,202000,27.5,27.5,27.5,27.5,100,0
WSGE.US,5,20260511,204000,27.48,27.48,27.48,27.48,432,0
WSGE.US,5,20260512,162000,27.21,27.21,27.21,27.21,100,0
WSGE.US,5,20260512,192500,27.17,27.17,27.17,27.17,200,0
WSGE.US,5,20260512,212000,27.26,27.26,27.26,27.26,200,0
WSGE.US,5,20260512,212500,27.27,27.27,27.24,27.24,682,0
WSGE.US,5,20260513,163500,27.34,27.34,27.34,27.34,100,0
WSGE.US,5,20260513,171000,27.34,27.34,27.34,27.34,100,0
WSGE.US,5,20260513,203000,27.46,27.46,27.46,27.46,100,0
WSGE.US,5,20260514,155000,27.51,27.51,27.51,27.51,100,0
WSGE.US,5,20260514,162000,27.53,27.53,27.53,27.53,100,0
WSGE.US,5,20260514,182000,27.62,27.62,27.62,27.62,100,0
WSGE.US,5,20260514,215500,27.57,27.57,27.57,27.57,136,0
WSGE.US,5,20260515,194000,27.18,27.18,27.18,27.18,100,0
WSGE.US,5,20260518,161000,27.2,27.2,27.2,27.2,100,0
WSGE.US,5,20260518,192000,27.11,27.11,27.11,27.11,100,0
WSGE.US,5,20260519,161000,26.93,26.93,26.93,26.93,200,0
WSGE.US,5,20260520,161000,26.99,26.99,26.99,26.99,200,0
WSGE.US,5,20260520,204000,27.3,27.3,27.3,27.3,100,0
WSGE.US,5,20260521,161000,27.28,27.28,27.28,27.28,100,0
WSGE.US,5,20260521,192000,27.42,27.42,27.42,27.42,100,0
WSGE.US,5,20260521,215000,27.44,27.44,27.44,27.44,100,0
WSGE.US,5,20260522,192000,27.57,27.57,27.57,27.57,200,0
WSGE.US,5,20260522,200000,27.58,27.58,27.58,27.58,200,0
WSGE.US,5,20260526,165500,27.88,27.88,27.88,27.88,200,0
WSGE.US,5,20260526,210000,27.83,27.83,27.83,27.83,100,0
WSGE.US,5,20260527,162000,27.89,27.89,27.89,27.89,200,0
WSGE.US,5,20260527,194000,27.81,27.81,27.78,27.8099,750,0
WSGE.US,5,20260527,215000,27.83,27.83,27.83,27.83,200,0
WSGE.US,5,20260528,204000,27.92,27.92,27.92,27.92,200,0
WSGE.US,5,20260529,161500,27.99,27.99,27.99,27.99,200,0
WSGE.US,5,20260529,172000,28.02,28.02,28.02,28.02,200,0
WSGE.US,5,20260529,183000,27.99,27.99,27.99,27.99,100,0
WSGE.US,5,20260529,185000,28,28,28,28,100,0
WSGE.US,5,20260529,194000,27.99,27.99,27.99,27.99,200,0
WSGE.US,5,20260529,204500,27.96,27.96,27.96,27.96,200,0
WSGE.US,5,20260529,215000,27.98,27.98,27.98,27.98,200,0
WSGE.US,5,20260601,161500,27.94,27.94,27.94,27.94,100,0
WSGE.US,5,20260601,162500,27.93,27.93,27.93,27.93,100,0
WSGE.US,5,20260601,173000,28,28,28,28,100,0
WSGE.US,5,20260601,175500,28,28,28,28,100,0
WSGE.US,5,20260601,181500,27.98,27.98,27.98,27.98,200,0
WSGE.US,5,20260601,193000,28.08,28.08,28.08,28.08,100,0
WSGE.US,5,20260601,214500,28.11,28.11,28.11,28.11,100,0
WSGE.US,5,20260602,162500,28.1,28.1,28.1,28.1,100,0
WSGE.US,5,20260602,182000,28.18,28.18,28.18,28.18,100,0
WSGE.US,5,20260602,191500,28.15,28.15,28.15,28.15,100,0
WSGE.US,5,20260603,161500,28.03,28.03,28.03,28.03,100,0
WSGE.US,5,20260603,170500,28.05,28.05,28.05,28.05,200,0
WSGE.US,5,20260603,182000,27.99,27.99,27.99,27.99,200,0
WSGE.US,5,20260603,191000,27.98,27.98,27.98,27.98,200,0
WSGE.US,5,20260603,215000,27.99,27.99,27.99,27.99,200,0
WSGE.US,5,20260604,163000,27.97,27.97,27.97,27.97,100,0
WSGE.US,5,20260604,174500,28.02,28.02,28.02,28.02,200,0
WSGE.US,5,20260604,215000,28.1,28.1,28.1,28.1,200,0
WSGE.US,5,20260605,154000,27.75,27.75,27.75,27.75,199,0
WSGE.US,5,20260605,162000,27.69,27.69,27.69,27.69,100,0
WSGE.US,5,20260605,170500,27.68,27.68,27.68,27.68,100,0
WSGE.US,5,20260605,180500,27.55,27.55,27.55,27.55,200,0
WSGE.US,5,20260605,191000,27.46,27.46,27.46,27.46,100,0
WSGE.US,5,20260605,194000,27.49,27.49,27.49,27.49,100,0
WSGE.US,5,20260605,200000,27.46,27.46,27.46,27.46,100,0
WSGE.US,5,20260605,202500,27.39,27.39,27.37,27.37,200,0
WSGE.US,5,20260605,210500,27.29,27.29,27.29,27.29,200,0
WSGE.US,5,20260608,161500,27.48,27.48,27.48,27.48,100,0
WSGE.US,5,20260608,162500,27.49,27.49,27.49,27.49,100,0
WSGE.US,5,20260608,172500,27.57,27.57,27.57,27.57,200,0
WSGE.US,5,20260608,191000,27.44,27.44,27.44,27.44,100,0
WSGE.US,5,20260608,193000,27.45,27.45,27.45,27.45,100,0
WSGE.US,5,20260608,201000,27.47,27.47,27.47,27.47,100,0
WSGE.US,5,20260608,210500,27.44,27.44,27.44,27.44,100,0
WSGE.US,5,20260608,211000,27.42,27.42,27.42,27.42,100,0
WSGE.US,5,20260609,161000,27.63,27.63,27.63,27.63,100,0
WSGE.US,5,20260609,165000,27.42,27.42,27.42,27.42,139,0
WSGE.US,5,20260609,170000,27.45,27.45,27.45,27.45,100,0
WSGE.US,5,20260609,184000,26.96,26.96,26.96,26.96,100,0
WSGE.US,5,20260609,190500,27.11,27.11,27.11,27.11,100,0
WSGE.US,5,20260609,201000,27.29,27.29,27.27,27.27,718,0
WSGE.US,5,20260610,161000,27.45,27.45,27.45,27.45,100,0
WSGE.US,5,20260610,180500,27.25,27.25,27.25,27.25,100,0
WSGE.US,5,20260610,195500,27.2,27.2,27.2,27.2,100,0
WSGE.US,5,20260610,210500,27.1,27.1,27.1,27.1,100,0
