<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
XAIR.US,5,20260126,153000,1.66,1.66,1.63,1.65,27795,0
XAIR.US,5,20260126,153500,1.634,1.6599,1.634,1.65,4974,0
XAIR.US,5,20260126,154000,1.65,1.656,1.631,1.6396,29859,0
XAIR.US,5,20260126,154500,1.635,1.6399,1.63,1.635,4825,0
XAIR.US,5,20260126,155000,1.635,1.6365,1.63,1.635,5481,0
XAIR.US,5,20260126,155500,1.63,1.64,1.63,1.635,19831,0
XAIR.US,5,20260126,160000,1.6393,1.64,1.63,1.635,3365,0
XAIR.US,5,20260126,160500,1.6387,1.6387,1.6302,1.635,1108,0
XAIR.US,5,20260126,161000,1.6314,1.6355,1.63,1.6301,4249,0
XAIR.US,5,20260126,161500,1.6301,1.6301,1.6301,1.6301,401,0
XAIR.US,5,20260126,162000,1.63,1.6385,1.63,1.63,2803,0
XAIR.US,5,20260126,162500,1.6309,1.64,1.63,1.63,1194,0
XAIR.US,5,20260126,163000,1.63,1.63,1.6,1.6,7674,0
XAIR.US,5,20260126,163500,1.6,1.605,1.6,1.605,2712,0
XAIR.US,5,20260126,164000,1.6099,1.6099,1.605,1.605,2971,0
XAIR.US,5,20260126,164500,1.6094,1.6094,1.6,1.6,1450,0
XAIR.US,5,20260126,165000,1.6097,1.6097,1.6,1.6,2377,0
XAIR.US,5,20260126,165500,1.605,1.6099,1.605,1.605,908,0
XAIR.US,5,20260126,170000,1.605,1.6054,1.6,1.601,3606,0
XAIR.US,5,20260126,170500,1.6,1.6,1.57,1.575,34824,0
XAIR.US,5,20260126,171000,1.5794,1.5794,1.565,1.565,5092,0
XAIR.US,5,20260126,171500,1.575,1.575,1.562,1.562,2850,0
XAIR.US,5,20260126,172000,1.58,1.58,1.57,1.57,500,0
XAIR.US,5,20260126,172500,1.58,1.58,1.5701,1.5702,1393,0
XAIR.US,5,20260126,173000,1.575,1.575,1.5612,1.57,3445,0
XAIR.US,5,20260126,173500,1.575,1.5954,1.575,1.5954,5291,0
XAIR.US,5,20260126,174000,1.595,1.6,1.595,1.595,570,0
XAIR.US,5,20260126,175000,1.595,1.61,1.59,1.61,24918,0
XAIR.US,5,20260126,180500,1.6,1.6,1.59,1.59,812,0
XAIR.US,5,20260126,181000,1.6,1.6,1.585,1.5862,3303,0
XAIR.US,5,20260126,181500,1.59,1.59,1.58,1.58,6216,0
XAIR.US,5,20260126,182000,1.57,1.58,1.56,1.57,4770,0
XAIR.US,5,20260126,182500,1.59,1.59,1.575,1.575,466,0
XAIR.US,5,20260126,183000,1.565,1.565,1.56,1.56,1286,0
XAIR.US,5,20260126,183500,1.56,1.57,1.56,1.57,2839,0
XAIR.US,5,20260126,184000,1.6017,1.6017,1.6017,1.6017,5000,0
XAIR.US,5,20260126,184500,1.59,1.59,1.59,1.59,108,0
XAIR.US,5,20260126,185500,1.588,1.588,1.585,1.585,1126,0
XAIR.US,5,20260126,190000,1.5747,1.5747,1.5747,1.5747,170,0
XAIR.US,5,20260126,190500,1.58,1.58,1.5734,1.5734,1140,0
XAIR.US,5,20260126,191000,1.58,1.58,1.58,1.58,288,0
