<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
XBPEW.US,5,20260126,190500,0.058,0.059,0.058,0.059,5685,0
XBPEW.US,5,20260126,191000,0.059,0.059,0.059,0.059,100,0
XBPEW.US,5,20260126,192000,0.06,0.06,0.06,0.06,900,0
XBPEW.US,5,20260127,161000,0.05,0.05,0.05,0.05,2100,0
XBPEW.US,5,20260127,213500,0.058899,0.058899,0.058899,0.058899,200,0
XBPEW.US,5,20260128,171500,0.059,0.059,0.059,0.059,5100,0
XBPEW.US,5,20260128,172000,0.06,0.06,0.06,0.06,200,0
XBPEW.US,5,20260128,180000,0.060001,0.060001,0.060001,0.060001,100,0
XBPEW.US,5,20260128,192500,0.0601,0.0601,0.0601,0.0601,900,0
XBPEW.US,5,20260128,214000,0.0601,0.0601,0.06,0.06,4901,0
XBPEW.US,5,20260128,215500,0.0599,0.0599,0.0599,0.0599,333,0
XBPEW.US,5,20260129,215000,0.0613,0.0613,0.0612,0.0613,7100,0
XBPEW.US,5,20260130,153000,0.0613,0.0613,0.0613,0.0613,7134,0
XBPEW.US,5,20260130,185500,0.0613,0.0613,0.0613,0.0613,517,0
XBPEW.US,5,20260130,190000,0.0613,0.0613,0.0613,0.0613,100,0
XBPEW.US,5,20260130,213500,0.0613,0.063681,0.0613,0.063681,858,0
XBPEW.US,5,20260202,165500,0.0651,0.0652,0.0651,0.0651,18568,0
XBPEW.US,5,20260202,172000,0.0651,0.0651,0.0651,0.0651,100,0
XBPEW.US,5,20260202,180000,0.0652,0.0652,0.0651,0.0651,300,0
XBPEW.US,5,20260204,170000,0.0651,0.0651,0.0651,0.0651,3668,0
XBPEW.US,5,20260204,180000,0.07,0.07,0.07,0.07,565,0
XBPEW.US,5,20260206,172000,0.075,0.075,0.0735,0.074899,2106,0
XBPEW.US,5,20260206,191000,0.0735,0.0735,0.0735,0.0735,1500,0
XBPEW.US,5,20260206,194000,0.0721,0.0721,0.0721,0.0721,100,0
XBPEW.US,5,20260206,202000,0.072,0.072,0.072,0.072,100,0
XBPEW.US,5,20260206,204500,0.072,0.072,0.072,0.072,100,0
XBPEW.US,5,20260210,153000,0.09,0.09,0.09,0.09,1249,0
XBPEW.US,5,20260210,195500,0.072,0.0721,0.0663,0.0663,9008,0
XBPEW.US,5,20260210,200000,0.066399,0.066399,0.066399,0.066399,199,0
XBPEW.US,5,20260212,214000,0.062,0.062,0.06,0.0611,4272,0
XBPEW.US,5,20260219,153000,0.0876,0.0876,0.0876,0.0876,2083,0
XBPEW.US,5,20260219,155000,0.0673,0.0674,0.0673,0.0674,800,0
XBPEW.US,5,20260219,162000,0.065,0.065,0.065,0.065,100,0
XBPEW.US,5,20260219,215000,0.063,0.0631,0.063,0.0631,200,0
XBPEW.US,5,20260220,164000,0.0641,0.075,0.0641,0.075,448,0
XBPEW.US,5,20260227,215500,0.060101,0.073,0.06,0.06,1258,0
