<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
XCBEW.US,5,20260316,143000,0.25,0.27,0.25,0.27,15400,0
XCBEW.US,5,20260316,145500,0.2575,0.26,0.2525,0.2525,10802,0
XCBEW.US,5,20260316,150500,0.26,0.26,0.256635,0.256635,400,0
XCBEW.US,5,20260316,151000,0.26,0.26,0.26,0.26,9087,0
XCBEW.US,5,20260316,153500,0.26,0.26,0.26,0.26,200,0
XCBEW.US,5,20260316,154500,0.2501,0.26,0.2501,0.2555,7012,0
XCBEW.US,5,20260316,160000,0.2555,0.2555,0.2554,0.2555,2986,0
XCBEW.US,5,20260316,165500,0.2884,0.2884,0.2884,0.2884,100,0
XCBEW.US,5,20260316,203500,0.27,0.27,0.27,0.27,186,0
XCBEW.US,5,20260317,190500,0.2822,0.29,0.2822,0.29,2500,0
XCBEW.US,5,20260318,152500,0.2381,0.2506,0.2201,0.2201,300,0
XCBEW.US,5,20260319,172000,0.2722,0.28,0.2721,0.28,2600,0
XCBEW.US,5,20260319,193500,0.28,0.28,0.28,0.28,50000,0
XCBEW.US,5,20260320,154000,0.25,0.25,0.25,0.25,100,0
XCBEW.US,5,20260320,171000,0.25,0.25,0.25,0.25,150000,0
XCBEW.US,5,20260320,201000,0.25,0.25,0.25,0.25,700,0
XCBEW.US,5,20260323,143000,0.3,0.3,0.3,0.3,18000,0
XCBEW.US,5,20260323,165500,0.27,0.27,0.27,0.27,200,0
XCBEW.US,5,20260324,143500,0.2407,0.2417,0.2402,0.2402,2300,0
XCBEW.US,5,20260401,171500,0.2401,0.2401,0.2401,0.2401,100,0
XCBEW.US,5,20260401,172000,0.24,0.24,0.230049,0.2399,400,0
XCBEW.US,5,20260402,172500,0.2301,0.2301,0.2301,0.2301,1000,0
XCBEW.US,5,20260402,173000,0.24,0.24,0.2399,0.2399,1000,0
XCBEW.US,5,20260406,183000,0.24,0.24,0.24,0.24,25000,0
XCBEW.US,5,20260406,183500,0.24,0.24,0.24,0.24,50000,0
XCBEW.US,5,20260406,193000,0.23,0.23,0.23,0.23,100,0
XCBEW.US,5,20260406,214500,0.23,0.23,0.23,0.23,3000,0
XCBEW.US,5,20260407,193000,0.23,0.23,0.23,0.23,5000,0
XCBEW.US,5,20260407,211500,0.2201,0.2201,0.2201,0.2201,500,0
XCBEW.US,5,20260409,175500,0.24,0.2401,0.24,0.24,4200,0
XCBEW.US,5,20260409,180500,0.26,0.26,0.2599,0.26,7800,0
XCBEW.US,5,20260414,153000,0.24,0.26,0.24,0.26,2978,0
XCBEW.US,5,20260414,202500,0.24,0.24,0.24,0.24,4340,0
XCBEW.US,5,20260414,203500,0.24,0.24,0.24,0.24,2200,0
XCBEW.US,5,20260415,153000,0.24,0.24,0.24,0.24,1360,0
XCBEW.US,5,20260416,153000,0.26,0.26,0.26,0.26,800,0
XCBEW.US,5,20260416,181500,0.26,0.26,0.26,0.26,1250,0
XCBEW.US,5,20260416,190000,0.26,0.26,0.26,0.26,2250,0
XCBEW.US,5,20260416,200500,0.26,0.26,0.26,0.26,120,0
XCBEW.US,5,20260422,155500,0.26,0.26,0.26,0.26,3000,0
XCBEW.US,5,20260428,153500,0.28,0.28,0.2799,0.28,4900,0
XCBEW.US,5,20260428,154000,0.28,0.28,0.28,0.28,400,0
XCBEW.US,5,20260428,165000,0.279998,0.279998,0.279998,0.279998,200,0
XCBEW.US,5,20260428,170500,0.28,0.28,0.28,0.28,100,0
XCBEW.US,5,20260428,175500,0.28,0.28,0.28,0.28,100,0
XCBEW.US,5,20260429,162000,0.28,0.28,0.28,0.28,100,0
XCBEW.US,5,20260501,163000,0.2501,0.2501,0.2501,0.2501,212,0
XCBEW.US,5,20260506,194000,0.2501,0.257585,0.2501,0.257585,1700,0
XCBEW.US,5,20260512,170500,0.275,0.275,0.275,0.275,100,0
XCBEW.US,5,20260515,175500,0.28,0.28,0.28,0.28,7217,0
XCBEW.US,5,20260518,161000,0.2725,0.2725,0.2725,0.2725,100,0
XCBEW.US,5,20260518,191000,0.2501,0.2501,0.2501,0.2501,12974,0
XCBEW.US,5,20260519,163500,0.26,0.26,0.26,0.26,21514,0
XCBEW.US,5,20260519,184000,0.260049,0.260049,0.260049,0.260049,100,0
XCBEW.US,5,20260519,204000,0.27,0.27,0.26005,0.26005,200,0
XCBEW.US,5,20260521,162500,0.2599,0.26,0.2599,0.26,500,0
XCBEW.US,5,20260527,191500,0.26,0.26,0.26,0.26,100,0
XCBEW.US,5,20260603,174000,0.2823,0.2823,0.2823,0.2823,300,0
XCBEW.US,5,20260615,170500,0.2645,0.2929,0.2645,0.2645,700,0
XCBEW.US,5,20260615,171000,0.2645,0.2645,0.2645,0.2645,400,0
XCBEW.US,5,20260615,173500,0.26,0.26,0.26,0.26,100,0
XCBEW.US,5,20260616,181000,0.2501,0.2821,0.2501,0.2821,1100,0
