<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
XQQI.US,5,20260203,154500,50.2,50.2,50.0083,50.03,698,0
XQQI.US,5,20260203,155000,50.03,50.03,49.93,49.93,1996,0
XQQI.US,5,20260203,155500,50.02,50.03,49.6,49.75,8497,0
XQQI.US,5,20260203,160000,49.689,49.7,49.6599,49.6599,900,0
XQQI.US,5,20260203,160500,49.67,49.68,49.67,49.68,205,0
XQQI.US,5,20260203,161000,49.69,49.69,49.62,49.62,1800,0
XQQI.US,5,20260203,161500,49.62,49.67,49.62,49.67,200,0
XQQI.US,5,20260203,162000,49.61,49.61,49.462,49.462,9505,0
XQQI.US,5,20260203,165000,49.58,49.58,49.58,49.58,100,0
XQQI.US,5,20260203,165500,49.62,49.68,49.62,49.68,587,0
XQQI.US,5,20260203,170000,49.61,49.61,49.61,49.61,455,0
XQQI.US,5,20260203,170500,49.58,49.6,49.58,49.6,303,0
XQQI.US,5,20260203,171000,49.55,49.55,49.54,49.54,401,0
XQQI.US,5,20260203,172000,49.49,49.49,49.49,49.49,101,0
XQQI.US,5,20260203,173000,49.46,49.46,49.46,49.46,100,0
XQQI.US,5,20260203,173500,49.45,49.45,49.45,49.45,100,0
XQQI.US,5,20260203,174000,49.45,49.45,49.45,49.45,202,0
XQQI.US,5,20260203,174500,49.46,49.46,49.46,49.46,100,0
XQQI.US,5,20260203,175000,49.45,49.45,49.41,49.43,1211,0
XQQI.US,5,20260203,180000,49.415,49.44,49.415,49.44,600,0
XQQI.US,5,20260203,181000,49.43,49.44,49.29,49.29,1500,0
XQQI.US,5,20260203,181500,49.2998,49.33,49.2998,49.33,200,0
XQQI.US,5,20260203,182000,49.31,49.31,49.3094,49.3094,200,0
XQQI.US,5,20260203,182500,49.32,49.32,49.31,49.31,500,0
XQQI.US,5,20260203,183000,49.27,49.28,49.25,49.25,400,0
XQQI.US,5,20260203,190500,49.22,49.23,49.22,49.23,200,0
XQQI.US,5,20260203,191500,49.15,49.21,49.15,49.21,500,0
XQQI.US,5,20260203,192000,49.1705,49.1705,49.16,49.16,300,0
XQQI.US,5,20260203,194000,49.04,49.04,49.04,49.04,100,0
XQQI.US,5,20260203,194500,49,49.035,49,49.035,750,0
XQQI.US,5,20260203,195000,49.039,49.039,49.039,49.039,102,0
XQQI.US,5,20260203,195500,48.98,48.98,48.98,48.98,100,0
XQQI.US,5,20260203,200500,48.88,48.88,48.88,48.88,300,0
XQQI.US,5,20260203,201000,49.05,49.05,49.05,49.05,100,0
XQQI.US,5,20260203,201500,49.04,49.04,49.04,49.04,500,0
XQQI.US,5,20260203,202000,49.095,49.095,49.09,49.09,1100,0
XQQI.US,5,20260203,202500,49.065,49.065,48.965,48.965,1565,0
XQQI.US,5,20260203,203000,49.01,49.02,49.01,49.01,2200,0
XQQI.US,5,20260203,204500,48.95,49.01,48.95,48.95,4513,0
XQQI.US,5,20260203,205000,48.9,48.9,48.9,48.9,405,0
XQQI.US,5,20260203,210000,48.945,48.945,48.945,48.945,100,0
XQQI.US,5,20260203,210500,49,49.0083,49,49.0083,200,0
XQQI.US,5,20260203,213000,49.112,49.15,49.112,49.15,408,0
XQQI.US,5,20260203,213500,49.23,49.23,49.23,49.23,200,0
XQQI.US,5,20260203,214500,49.22,49.2499,49.22,49.2499,1100,0
XQQI.US,5,20260203,215000,49.27,49.28,49.27,49.27,400,0
XQQI.US,5,20260203,215500,49.28,49.32,49.28,49.32,500,0
XQQI.US,5,20260204,153000,48.2,48.2,48.158,48.158,500,0
XQQI.US,5,20260204,153500,48.16,48.31,48.08,48.31,4000,0
XQQI.US,5,20260204,154000,48.2282,48.38,48.2282,48.38,203,0
XQQI.US,5,20260204,154500,48.31,48.6861,48.26,48.26,2025,0
XQQI.US,5,20260204,155000,48.25,48.2597,48.19,48.19,3639,0
