<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
XRXDW.US,5,20260217,153000,0.1664,0.2,0.1505,0.1875,604457,0
XRXDW.US,5,20260217,153500,0.1875,0.2045,0.17,0.1711,136895,0
XRXDW.US,5,20260217,154000,0.1722,0.1899,0.1601,0.17005,251195,0
XRXDW.US,5,20260217,154500,0.1633,0.1767,0.152,0.16,62528,0
XRXDW.US,5,20260217,155000,0.1576,0.168,0.1576,0.1592,46148,0
XRXDW.US,5,20260217,155500,0.16,0.16,0.159,0.16,41149,0
XRXDW.US,5,20260217,160000,0.16,0.1757,0.1585,0.16,92350,0
XRXDW.US,5,20260217,160500,0.16,0.16,0.1599,0.16,99333,0
XRXDW.US,5,20260217,161000,0.15995,0.1725,0.1597,0.16,53200,0
XRXDW.US,5,20260217,161500,0.15985,0.16,0.153,0.1575,13411,0
XRXDW.US,5,20260217,162000,0.1575,0.15999,0.155,0.1599,24559,0
XRXDW.US,5,20260217,162500,0.15995,0.16,0.153,0.153,12957,0
XRXDW.US,5,20260217,163000,0.15955,0.16,0.153,0.1598,9200,0
XRXDW.US,5,20260217,163500,0.1581,0.16,0.1522,0.1539,214528,0
XRXDW.US,5,20260217,164000,0.1539,0.1599,0.153,0.1561,49890,0
XRXDW.US,5,20260217,164500,0.153,0.156101,0.1525,0.1561,18446,0
XRXDW.US,5,20260217,165000,0.1526,0.1638,0.1522,0.16,78005,0
XRXDW.US,5,20260217,165500,0.16,0.1649,0.1599,0.1625,27556,0
XRXDW.US,5,20260217,170000,0.16,0.162501,0.16,0.16,47937,0
XRXDW.US,5,20260217,170500,0.16,0.1625,0.16,0.1612,28950,0
XRXDW.US,5,20260217,171000,0.16,0.1625,0.16,0.16,43327,0
XRXDW.US,5,20260217,171500,0.16,0.1624,0.1599,0.16,114897,0
XRXDW.US,5,20260217,172000,0.1619,0.1619,0.16,0.1615,22015,0
XRXDW.US,5,20260217,172500,0.16,0.1608,0.1522,0.1525,29082,0
XRXDW.US,5,20260217,173000,0.1528,0.15685,0.1522,0.15685,18242,0
XRXDW.US,5,20260217,173500,0.1522,0.161499,0.1522,0.1568,33550,0
XRXDW.US,5,20260217,174000,0.1531,0.1614,0.152,0.1568,25059,0
XRXDW.US,5,20260217,174500,0.1522,0.1595,0.1502,0.1559,34176,0
