<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
YDDL.US,5,20260126,153000,7.21,7.21,7.11,7.11,933,0
YDDL.US,5,20260126,153500,7.11,7.11,7.11,7.11,100,0
YDDL.US,5,20260126,160000,7.256,7.256,7.256,7.256,1111,0
YDDL.US,5,20260126,160500,7.08,7.125,7.08,7.125,501,0
YDDL.US,5,20260126,162000,7.0072,7.0072,7.0072,7.0072,300,0
YDDL.US,5,20260126,162500,6.98,6.98,6.98,6.98,100,0
YDDL.US,5,20260126,163000,6.98,6.98,6.98,6.98,100,0
YDDL.US,5,20260126,163500,6.88,6.88,6.87,6.87,400,0
YDDL.US,5,20260126,164000,6.98,7,6.87,6.87,10200,0
YDDL.US,5,20260126,165500,6.98,6.98,6.95,6.95,1100,0
YDDL.US,5,20260126,171000,6.97,6.97,6.97,6.97,3500,0
YDDL.US,5,20260126,171500,6.97,6.97,6.97,6.97,6480,0
YDDL.US,5,20260126,173000,6.98,6.98,6.98,6.98,100,0
YDDL.US,5,20260126,174000,6.98,6.98,6.98,6.98,200,0
YDDL.US,5,20260126,174500,6.98,6.98,6.98,6.98,100,0
YDDL.US,5,20260126,182500,6.95,6.95,6.95,6.95,10000,0
YDDL.US,5,20260126,183500,6.86,6.86,6.86,6.86,300,0
YDDL.US,5,20260126,184000,6.95,6.98,6.95,6.98,5100,0
YDDL.US,5,20260126,184500,7.08,7.08,7.08,7.08,100,0
YDDL.US,5,20260126,190500,6.85,6.86,6.81,6.8172,2607,0
YDDL.US,5,20260126,191000,6.8,6.8,6.6,6.6,19581,0
YDDL.US,5,20260126,191500,6.66,6.66,6.54,6.54,500,0
YDDL.US,5,20260126,192500,6.53,6.54,6.53,6.54,200,0
YDDL.US,5,20260126,193000,6.55,6.55,6.531,6.531,200,0
YDDL.US,5,20260126,193500,6.5,6.5248,6.5,6.5,777,0
YDDL.US,5,20260126,194000,6.5,6.501,6.5,6.5,3148,0
YDDL.US,5,20260126,194500,6.5,6.5,6.5,6.5,5200,0
YDDL.US,5,20260126,200000,6.5,6.5,6.45,6.45,6000,0
YDDL.US,5,20260126,201500,6.42,6.42,6.4,6.41,300,0
YDDL.US,5,20260126,203000,6.41,6.41,6.41,6.41,100,0
YDDL.US,5,20260126,204000,6.5,6.5,6.5,6.5,1000,0
YDDL.US,5,20260126,204500,6.57,6.635,6.5,6.5901,10602,0
YDDL.US,5,20260126,205000,6.69,6.69,6.69,6.69,100,0
YDDL.US,5,20260126,211000,6.59,6.59,6.4,6.4,6389,0
YDDL.US,5,20260126,211500,6.4,6.45,6.4,6.4,5691,0
YDDL.US,5,20260126,212000,6.4,6.4,6.4,6.4,1730,0
YDDL.US,5,20260126,212500,6.35,6.36,6.35,6.35,1859,0
YDDL.US,5,20260126,213000,6.35,6.35,6.31,6.35,2089,0
YDDL.US,5,20260126,214500,6.33,6.33,6.24,6.31,6600,0
YDDL.US,5,20260126,215500,6.38,6.38,6.24,6.38,2889,0
YDDL.US,5,20260127,153000,6.5,6.5336,6.5,6.5336,4570,0
YDDL.US,5,20260127,154000,6.53,6.53,6.53,6.53,285,0
YDDL.US,5,20260127,154500,6.635,6.635,6.635,6.635,100,0
