<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ZBRA.US,5,20260126,153000,240.39,240.61,240.01,240.59,4131,0
ZBRA.US,5,20260126,153500,241.145,241.765,240.85,241.305,1364,0
ZBRA.US,5,20260126,154000,241.305,241.305,240.47,240.52,3021,0
ZBRA.US,5,20260126,154500,240.9485,242.325,240.935,242.32,8049,0
ZBRA.US,5,20260126,155000,242.185,242.885,242.185,242.71,1969,0
ZBRA.US,5,20260126,155500,242.49,242.49,241.74,242.13,1538,0
ZBRA.US,5,20260126,160000,242.26,242.26,241.645,241.88,3406,0
ZBRA.US,5,20260126,160500,241.76,242.235,241.65,241.65,2412,0
ZBRA.US,5,20260126,161000,241.77,242.72,241.68,242.17,2722,0
ZBRA.US,5,20260126,161500,242.72,242.95,242.0301,242.95,2374,0
ZBRA.US,5,20260126,162000,243.3,243.55,242.86,243.55,3292,0
ZBRA.US,5,20260126,162500,243.1612,243.4,242.78,242.78,4471,0
ZBRA.US,5,20260126,163000,242.78,243.955,242.61,243.695,1880,0
ZBRA.US,5,20260126,163500,243.71,243.78,243.2,243.25,1735,0
ZBRA.US,5,20260126,164000,243.2,243.405,242.62,242.62,2504,0
ZBRA.US,5,20260126,164500,243.04311,243.24,242.87,242.87,1679,0
ZBRA.US,5,20260126,165000,242.9,243.07,242.64,242.76,805,0
ZBRA.US,5,20260126,165500,242.73,242.83,242.31,242.31,1823,0
ZBRA.US,5,20260126,170000,242.53,242.82,242.4501,242.82,1787,0
ZBRA.US,5,20260126,170500,242.8,243.43,242.31,243.43,4163,0
ZBRA.US,5,20260126,171000,243.52,243.54,242.47,242.53,4933,0
ZBRA.US,5,20260126,171500,242.53,242.6488,242.1,242.5675,2510,0
ZBRA.US,5,20260126,172000,242.1001,242.92,242.1001,242.92,1772,0
ZBRA.US,5,20260126,172500,242.93,243.42,242.93,243.07,1197,0
ZBRA.US,5,20260126,173000,243.245,243.43,243.02,243.36,1725,0
ZBRA.US,5,20260126,173500,243.48,243.48,242.91,242.97,1210,0
ZBRA.US,5,20260126,174000,242.99,242.99,242.76,242.76,1243,0
ZBRA.US,5,20260126,174500,242.76,242.76,242.4901,242.4901,2010,0
ZBRA.US,5,20260126,175000,242.7,242.92,242.7,242.86,3178,0
ZBRA.US,5,20260126,175500,242.86,242.86,242.42,242.5475,3596,0
ZBRA.US,5,20260126,180000,242.57,242.62,242.37,242.595,2846,0
ZBRA.US,5,20260126,180500,242.63,242.99,242.51,242.86,2103,0
ZBRA.US,5,20260126,181000,242.74,242.81,242.48,242.63,1329,0
ZBRA.US,5,20260126,181500,242.7225,242.935,242.42,242.88,3298,0
ZBRA.US,5,20260126,182000,242.87,243.02,242.7,243.02,979,0
ZBRA.US,5,20260126,182500,243.07,243.3045,242.99,242.99,1853,0
ZBRA.US,5,20260126,183000,243.14,243.38,243.14,243.32,783,0
ZBRA.US,5,20260126,183500,243.32,243.325,243.0101,243.18,2970,0
ZBRA.US,5,20260126,184000,243.185,243.2599,243.06,243.21,1317,0
ZBRA.US,5,20260126,184500,243.21,243.24,242.4,242.5625,1893,0
ZBRA.US,5,20260126,185000,242.62,242.85,242.62,242.69,734,0
ZBRA.US,5,20260126,185500,242.66,242.685,242.56,242.595,1177,0
ZBRA.US,5,20260126,190000,242.53,242.8,242.52,242.61,3187,0
ZBRA.US,5,20260126,190500,242.55,242.67,242.55,242.665,684,0
ZBRA.US,5,20260126,191000,242.64,242.87,242.5462,242.75,2655,0
ZBRA.US,5,20260126,191500,242.76,242.9,242.68,242.9,1310,0
ZBRA.US,5,20260126,192000,242.895,243,242.6,242.77,970,0
ZBRA.US,5,20260126,192500,242.75,242.9,242.6301,242.86,1613,0
ZBRA.US,5,20260126,193000,242.86,243.01,242.74,242.855,1374,0
ZBRA.US,5,20260126,193500,242.85,242.85,242.5001,242.6,2716,0
ZBRA.US,5,20260126,194000,242.53,242.55,242.39,242.39,1184,0
ZBRA.US,5,20260126,194500,242.39,242.39,242.187,242.2375,1630,0
ZBRA.US,5,20260126,195000,242.225,242.4,242.1001,242.265,1670,0
ZBRA.US,5,20260126,195500,242.26,242.3505,242.08,242.25,2826,0
ZBRA.US,5,20260126,200000,242.32,242.685,242.228,242.59,2461,0
ZBRA.US,5,20260126,200500,242.59,242.71,242.5089,242.66,5625,0
ZBRA.US,5,20260126,201000,242.87,243.025,242.53,242.773,2189,0
ZBRA.US,5,20260126,201500,242.737,242.89,242.54,242.82,1290,0
ZBRA.US,5,20260126,202000,242.865,243.07,242.72,243.01,1263,0
ZBRA.US,5,20260126,202500,243.11,243.11,242.66,242.6611,1945,0
ZBRA.US,5,20260126,203000,243.0186,243.2,242.94,243.2,2525,0
ZBRA.US,5,20260126,203500,243.19,243.325,243.097,243.3002,1177,0
ZBRA.US,5,20260126,204000,243.33,243.44,243.27,243.27,789,0
ZBRA.US,5,20260126,204500,243.14,243.3799,243,243.2,1466,0
ZBRA.US,5,20260126,205000,243.35,243.395,243.35,243.395,600,0
ZBRA.US,5,20260126,205500,243.34,243.65,243.29,243.65,1496,0
ZBRA.US,5,20260126,210000,243.46,243.51,243.31,243.51,1397,0
ZBRA.US,5,20260126,210500,243.605,244.045,243.5866,243.86,1748,0
ZBRA.US,5,20260126,211000,243.86,244.17,243.6301,244.17,3953,0
ZBRA.US,5,20260126,211500,244.17,244.54,244.14,244.54,3560,0
ZBRA.US,5,20260126,212000,244.53,244.77,244.42,244.67,3066,0
ZBRA.US,5,20260126,212500,244.765,244.99,244.47,244.47,8131,0
ZBRA.US,5,20260126,213000,244.468,244.69,244.45,244.575,1428,0
ZBRA.US,5,20260126,213500,244.665,244.68,244.22,244.35,3690,0
ZBRA.US,5,20260126,214000,244.25,244.27,243.8939,244.11,3647,0
ZBRA.US,5,20260126,214500,244.1125,244.27,244.02,244.27,2470,0
ZBRA.US,5,20260126,215000,244.17,244.23,243.8,243.92,7050,0
ZBRA.US,5,20260126,215500,243.8,243.81,243.19,243.51,97281,0
ZBRA.US,5,20260127,153000,243.71,244.345,242.9,242.97,3125,0
ZBRA.US,5,20260127,153500,243.38,243.38,240.41,240.41,1168,0
ZBRA.US,5,20260127,154000,240.57,241.72,240.54,241.07,2186,0
ZBRA.US,5,20260127,154500,240.64,241.35,240.28,241.17,3747,0
ZBRA.US,5,20260127,155000,241.17,242.33,241.17,242.185,3143,0
ZBRA.US,5,20260127,155500,242.185,242.185,241.35,241.73,1299,0
ZBRA.US,5,20260127,160000,241.53,241.9,241.38,241.705,2793,0
ZBRA.US,5,20260127,160500,241.7,241.78,240.99,241.55,4872,0
ZBRA.US,5,20260127,161000,241.565,241.695,241.11,241.68,2742,0
ZBRA.US,5,20260127,161500,241.54,241.7463,241.23,241.4975,2671,0
ZBRA.US,5,20260127,162000,241.465,241.7399,241.1,241.425,2855,0
ZBRA.US,5,20260127,162500,241.41,241.575,240.66,240.8,3922,0
ZBRA.US,5,20260127,163000,240.8,241.24,240.36,240.895,6348,0
ZBRA.US,5,20260127,163500,241.06,241.385,240.86,240.86,1660,0
ZBRA.US,5,20260127,164000,240.86,241.35,240.44,241.35,2018,0
ZBRA.US,5,20260127,164500,241.215,241.31,240.88,241.095,1207,0
ZBRA.US,5,20260127,165000,241.07,241.07,240.56,240.86,1614,0
ZBRA.US,5,20260127,165500,240.86,240.86,240.49,240.675,1180,0
ZBRA.US,5,20260127,170000,240.715,240.7899,240.16,240.44,1696,0
ZBRA.US,5,20260127,170500,240.42,240.4515,240.1,240.18,1706,0
ZBRA.US,5,20260127,171000,240.18,240.535,240.18,240.46,989,0
ZBRA.US,5,20260127,171500,240.68,240.84,240.45,240.82,1390,0
ZBRA.US,5,20260127,172000,240.82,240.82,240.4,240.4,1327,0
ZBRA.US,5,20260127,172500,240.6499,240.6499,239.53,239.53,4852,0
ZBRA.US,5,20260127,173000,239.08,239.475,239.08,239.355,1218,0
ZBRA.US,5,20260127,173500,239.36,239.37,238.875,239.08,3084,0
ZBRA.US,5,20260127,174000,238.96,239.16,238.77,238.82,5583,0
ZBRA.US,5,20260127,174500,238.82,239.2219,238.74,238.9101,1015,0
ZBRA.US,5,20260127,175000,239.08,239.096,238.92,239.04,1068,0
ZBRA.US,5,20260127,175500,239.03,239.34,238.86,239.33,4429,0
ZBRA.US,5,20260127,180000,239.31,239.53,239.12,239.45,2270,0
ZBRA.US,5,20260127,180500,239.395,239.63,239.39,239.6,3151,0
