<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ACHR-WS.US,5,20260126,153000,1.495,1.495,1.495,1.495,2000,0
ACHR-WS.US,5,20260126,154000,1.5,1.515,1.46,1.515,3106,0
ACHR-WS.US,5,20260126,154500,1.5,1.5,1.5,1.5,1104,0
ACHR-WS.US,5,20260126,155000,1.5,1.5,1.5,1.5,431,0
ACHR-WS.US,5,20260126,161000,1.4692,1.4692,1.4692,1.4692,100,0
ACHR-WS.US,5,20260126,162500,1.46,1.47,1.45,1.4699,742,0
ACHR-WS.US,5,20260126,163000,1.45,1.46,1.45,1.46,4112,0
ACHR-WS.US,5,20260126,163500,1.44,1.44,1.44,1.44,100,0
ACHR-WS.US,5,20260126,164000,1.42,1.42,1.42,1.42,900,0
ACHR-WS.US,5,20260126,164500,1.42,1.45,1.42,1.45,1716,0
ACHR-WS.US,5,20260126,170500,1.42,1.42,1.42,1.42,1300,0
ACHR-WS.US,5,20260126,171500,1.427,1.45,1.427,1.4499,900,0
ACHR-WS.US,5,20260126,172000,1.4,1.4002,1.38,1.38,36854,0
ACHR-WS.US,5,20260126,172500,1.405,1.405,1.38,1.38,14328,0
ACHR-WS.US,5,20260126,173000,1.3856,1.3856,1.38,1.38,1200,0
ACHR-WS.US,5,20260126,173500,1.385,1.385,1.38,1.385,1118,0
ACHR-WS.US,5,20260126,174000,1.39,1.39,1.38,1.38,11596,0
ACHR-WS.US,5,20260126,174500,1.38,1.38,1.375,1.38,1720,0
ACHR-WS.US,5,20260126,175000,1.374,1.38,1.374,1.38,2540,0
ACHR-WS.US,5,20260126,175500,1.38,1.38,1.3799,1.3799,400,0
ACHR-WS.US,5,20260126,180000,1.37,1.37,1.365,1.365,1710,0
ACHR-WS.US,5,20260126,181000,1.365,1.37,1.365,1.37,7200,0
ACHR-WS.US,5,20260126,181500,1.3699,1.37,1.365,1.37,500,0
ACHR-WS.US,5,20260126,182000,1.3792,1.3792,1.3792,1.3792,200,0
ACHR-WS.US,5,20260126,182500,1.3799,1.38,1.3799,1.38,9077,0
ACHR-WS.US,5,20260126,183000,1.38,1.385,1.38,1.38,37699,0
ACHR-WS.US,5,20260126,183500,1.38,1.38,1.37,1.38,20476,0
ACHR-WS.US,5,20260126,184000,1.38,1.38,1.38,1.38,100,0
ACHR-WS.US,5,20260126,185000,1.38,1.38,1.38,1.38,100,0
ACHR-WS.US,5,20260126,185500,1.385,1.39,1.38,1.38,3800,0
ACHR-WS.US,5,20260126,195000,1.38,1.38,1.38,1.38,100,0
ACHR-WS.US,5,20260126,200000,1.39,1.39,1.39,1.39,300,0
ACHR-WS.US,5,20260126,201500,1.39,1.39,1.39,1.39,100,0
ACHR-WS.US,5,20260126,204000,1.3917,1.4,1.38,1.38,3382,0
ACHR-WS.US,5,20260126,204500,1.39,1.39,1.3899,1.3899,1400,0
ACHR-WS.US,5,20260126,205500,1.38,1.38,1.38,1.38,949,0
ACHR-WS.US,5,20260126,210000,1.38,1.39,1.38,1.3899,1626,0
ACHR-WS.US,5,20260126,210500,1.38,1.38,1.38,1.38,5574,0
ACHR-WS.US,5,20260126,211000,1.385,1.39,1.38,1.38,1323,0
ACHR-WS.US,5,20260126,211500,1.385,1.39,1.385,1.3899,700,0
ACHR-WS.US,5,20260126,212000,1.38,1.3802,1.38,1.38,3440,0
ACHR-WS.US,5,20260126,213000,1.3845,1.3845,1.3845,1.3845,1000,0
ACHR-WS.US,5,20260126,214000,1.3875,1.3875,1.385,1.385,600,0
ACHR-WS.US,5,20260126,214500,1.385,1.39,1.385,1.39,300,0
ACHR-WS.US,5,20260126,215000,1.385,1.39,1.3835,1.39,1000,0
ACHR-WS.US,5,20260126,215500,1.39,1.39,1.38,1.39,4155,0
ACHR-WS.US,5,20260127,153000,1.39,1.39,1.39,1.39,200,0
ACHR-WS.US,5,20260127,154500,1.37,1.38,1.37,1.3799,2861,0
ACHR-WS.US,5,20260127,155000,1.38,1.38,1.38,1.38,1320,0
ACHR-WS.US,5,20260127,155500,1.38,1.3826,1.3799,1.3826,18057,0
ACHR-WS.US,5,20260127,161500,1.3999,1.3999,1.3999,1.3999,450,0
ACHR-WS.US,5,20260127,162000,1.4,1.4,1.4,1.4,1000,0
ACHR-WS.US,5,20260127,164500,1.41,1.41,1.4,1.4,300,0
ACHR-WS.US,5,20260127,173000,1.4001,1.4001,1.4001,1.4001,300,0
ACHR-WS.US,5,20260127,173500,1.43,1.44,1.43,1.44,200,0
ACHR-WS.US,5,20260127,174000,1.45,1.45,1.445,1.445,1132,0
ACHR-WS.US,5,20260127,175500,1.42,1.42,1.41,1.41,8328,0
ACHR-WS.US,5,20260127,180000,1.41,1.41,1.3937,1.3937,3799,0
ACHR-WS.US,5,20260127,180500,1.38,1.38,1.38,1.38,6799,0
ACHR-WS.US,5,20260127,181000,1.37,1.37,1.37,1.37,10089,0
ACHR-WS.US,5,20260127,181500,1.36,1.36,1.355,1.355,2808,0
ACHR-WS.US,5,20260127,182000,1.36,1.3994,1.35,1.35,16217,0
ACHR-WS.US,5,20260127,182500,1.36,1.3642,1.35,1.36,2298,0
ACHR-WS.US,5,20260127,183500,1.37,1.37,1.37,1.37,32575,0
ACHR-WS.US,5,20260127,184000,1.37,1.37,1.355,1.355,19427,0
ACHR-WS.US,5,20260127,184500,1.355,1.37,1.355,1.36,15869,0
ACHR-WS.US,5,20260127,185000,1.37,1.39,1.37,1.39,1231,0
ACHR-WS.US,5,20260127,193000,1.37,1.37,1.37,1.37,200,0
ACHR-WS.US,5,20260127,193500,1.36,1.37,1.36,1.37,2900,0
ACHR-WS.US,5,20260127,195000,1.379,1.379,1.379,1.379,1500,0
ACHR-WS.US,5,20260127,201500,1.39,1.39,1.3899,1.3899,300,0
ACHR-WS.US,5,20260127,202000,1.37,1.37,1.37,1.37,1100,0
ACHR-WS.US,5,20260127,204000,1.37,1.37,1.37,1.37,300,0
ACHR-WS.US,5,20260127,210500,1.39,1.39,1.39,1.39,196,0
ACHR-WS.US,5,20260127,212500,1.3784,1.3784,1.37,1.37,6399,0
ACHR-WS.US,5,20260127,213000,1.38,1.38,1.38,1.38,401,0
ACHR-WS.US,5,20260127,213500,1.37,1.37,1.37,1.37,400,0
ACHR-WS.US,5,20260127,214000,1.375,1.375,1.375,1.375,200,0
ACHR-WS.US,5,20260127,215000,1.3753,1.3753,1.3753,1.3753,200,0
