<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ACKY.US,5,20260126,153000,19.995,19.995,19.995,19.995,250,0
ACKY.US,5,20260126,153500,19.99,19.99,19.95,19.95,215,0
ACKY.US,5,20260126,154000,19.97,19.97,19.92,19.94,1160,0
ACKY.US,5,20260126,155000,19.94,19.94,19.92,19.92,900,0
ACKY.US,5,20260126,155500,19.927,19.927,19.927,19.927,355,0
ACKY.US,5,20260126,160000,19.93,19.96,19.9,19.9276,1274,0
ACKY.US,5,20260126,160500,19.93,19.93,19.92,19.92,478,0
ACKY.US,5,20260126,161000,19.93,19.94,19.93,19.94,2650,0
ACKY.US,5,20260126,161500,19.945,19.98,19.945,19.98,1280,0
ACKY.US,5,20260126,162000,19.988354,19.988354,19.988354,19.988354,350,0
ACKY.US,5,20260126,162500,19.98,19.98,19.98,19.98,200,0
ACKY.US,5,20260126,163000,19.987,19.987,19.987,19.987,400,0
ACKY.US,5,20260126,163500,20,20,20,20,100,0
ACKY.US,5,20260126,164000,19.9725,19.9725,19.95,19.95,1800,0
ACKY.US,5,20260126,164500,19.95,19.9526,19.95,19.9526,304,0
ACKY.US,5,20260126,170500,19.96,19.96,19.96,19.96,100,0
ACKY.US,5,20260126,174000,19.95,19.95,19.95,19.95,100,0
ACKY.US,5,20260126,174500,19.97,19.97,19.97,19.97,100,0
ACKY.US,5,20260126,175500,19.9567,19.96,19.92,19.96,2780,0
ACKY.US,5,20260126,181500,19.99,19.99,19.99,19.99,100,0
ACKY.US,5,20260126,182000,19.965,19.965,19.965,19.965,100,0
ACKY.US,5,20260126,183500,20,20,20,20,100,0
ACKY.US,5,20260126,184000,19.9505,19.9505,19.9505,19.9505,949,0
ACKY.US,5,20260126,190000,19.97,19.97,19.97,19.97,100,0
ACKY.US,5,20260126,190500,19.95,19.9647,19.95,19.9647,5100,0
ACKY.US,5,20260126,191500,19.9201,19.9201,19.9201,19.9201,124,0
ACKY.US,5,20260126,193000,19.98,19.98,19.98,19.98,10000,0
