<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ADT.US,5,20260126,153000,8.04,8.06,8.025,8.035,16479,0
ADT.US,5,20260126,153500,8.035,8.045,8.035,8.045,3319,0
ADT.US,5,20260126,154000,8.045,8.045,8.015,8.025,28828,0
ADT.US,5,20260126,154500,8.025,8.065,8.02,8.055,22983,0
ADT.US,5,20260126,155000,8.055,8.0799,8.05,8.075,26758,0
ADT.US,5,20260126,155500,8.075,8.075,8.05,8.055,21673,0
ADT.US,5,20260126,160000,8.055,8.055,8.0415,8.045,22977,0
ADT.US,5,20260126,160500,8.045,8.0554,8.04,8.045,27969,0
ADT.US,5,20260126,161000,8.045,8.055,8.045,8.05,48358,0
ADT.US,5,20260126,161500,8.055,8.055,8.034,8.035,76170,0
ADT.US,5,20260126,162000,8.035,8.055,8.035,8.055,34725,0
ADT.US,5,20260126,162500,8.055,8.06,8.045,8.045,32396,0
ADT.US,5,20260126,163000,8.045,8.07,8.0442,8.07,47213,0
ADT.US,5,20260126,163500,8.0695,8.08,8.0695,8.08,27563,0
ADT.US,5,20260126,164000,8.0714,8.08,8.07,8.075,8400,0
ADT.US,5,20260126,164500,8.075,8.08,8.07,8.075,31210,0
ADT.US,5,20260126,165000,8.08,8.09,8.075,8.08,40690,0
ADT.US,5,20260126,165500,8.0832,8.085,8.07,8.0725,26704,0
ADT.US,5,20260126,170000,8.0728,8.0728,8.06,8.06,28355,0
ADT.US,5,20260126,170500,8.0603,8.0603,8.055,8.06,31056,0
ADT.US,5,20260126,171000,8.055,8.06,8.0514,8.055,17543,0
ADT.US,5,20260126,171500,8.06,8.06,8.0532,8.0532,6924,0
ADT.US,5,20260126,172000,8.055,8.06,8.055,8.06,5057,0
ADT.US,5,20260126,172500,8.06,8.06,8.055,8.055,17750,0
ADT.US,5,20260126,173000,8.06,8.07,8.055,8.0624,30439,0
ADT.US,5,20260126,173500,8.07,8.07,8.065,8.065,16740,0
ADT.US,5,20260126,174000,8.065,8.07,8.05,8.055,47569,0
ADT.US,5,20260126,174500,8.055,8.06,8.055,8.06,4732,0
ADT.US,5,20260126,175000,8.055,8.0654,8.055,8.065,58085,0
ADT.US,5,20260126,175500,8.06,8.065,8.055,8.055,28731,0
ADT.US,5,20260126,180000,8.055,8.055,8.045,8.045,8514,0
ADT.US,5,20260126,180500,8.045,8.05,8.045,8.045,11505,0
ADT.US,5,20260126,181000,8.045,8.05,8.04,8.045,4982,0
ADT.US,5,20260126,181500,8.045,8.05,8.042,8.045,10389,0
ADT.US,5,20260126,182000,8.05,8.05,8.04,8.045,7004,0
ADT.US,5,20260126,182500,8.045,8.05,8.04,8.045,9405,0
ADT.US,5,20260126,183000,8.045,8.05,8.04,8.05,8300,0
ADT.US,5,20260126,183500,8.05,8.06,8.04,8.0599,78041,0
ADT.US,5,20260126,184000,8.0591,8.07,8.05,8.055,76960,0
ADT.US,5,20260126,184500,8.055,8.06,8.055,8.06,10902,0
ADT.US,5,20260126,185000,8.06,8.07,8.06,8.06,63605,0
ADT.US,5,20260126,185500,8.06,8.065,8.055,8.055,23231,0
ADT.US,5,20260126,190000,8.055,8.055,8.05,8.05,600,0
ADT.US,5,20260126,190500,8.0568,8.0568,8.05,8.05,23773,0
ADT.US,5,20260126,191000,8.05,8.055,8.04,8.045,58705,0
ADT.US,5,20260126,191500,8.045,8.05,8.045,8.045,6040,0
ADT.US,5,20260126,192000,8.05,8.06,8.0499,8.06,72177,0
ADT.US,5,20260126,192500,8.06,8.07,8.0525,8.055,74149,0
ADT.US,5,20260126,193000,8.055,8.07,8.055,8.065,47363,0
ADT.US,5,20260126,193500,8.0655,8.07,8.06,8.065,8728,0
ADT.US,5,20260126,194000,8.06,8.06,8.055,8.055,31307,0
ADT.US,5,20260126,194500,8.055,8.06,8.05,8.06,8862,0
ADT.US,5,20260126,195000,8.055,8.06,8.05,8.06,4643,0
ADT.US,5,20260126,195500,8.05,8.0599,8.05,8.05,12205,0
ADT.US,5,20260126,200000,8.055,8.06,8.05,8.055,18019,0
ADT.US,5,20260126,200500,8.055,8.06,8.0546,8.06,34759,0
ADT.US,5,20260126,201000,8.055,8.07,8.055,8.065,45949,0
ADT.US,5,20260126,201500,8.07,8.08,8.065,8.08,91876,0
ADT.US,5,20260126,202000,8.0746,8.0968,8.0746,8.0801,153726,0
ADT.US,5,20260126,202500,8.085,8.0899,8.08,8.085,11741,0
ADT.US,5,20260126,203000,8.085,8.0954,8.085,8.0873,43068,0
ADT.US,5,20260126,203500,8.09,8.09,8.0842,8.085,31571,0
ADT.US,5,20260126,204000,8.085,8.09,8.084,8.085,20235,0
ADT.US,5,20260126,204500,8.085,8.09,8.0825,8.085,15980,0
ADT.US,5,20260126,205000,8.085,8.09,8.08,8.085,29545,0
ADT.US,5,20260126,205500,8.09,8.09,8.08,8.0834,25877,0
ADT.US,5,20260126,210000,8.0834,8.1,8.0834,8.095,30323,0
ADT.US,5,20260126,210500,8.095,8.1,8.09,8.0915,44710,0
ADT.US,5,20260126,211000,8.095,8.1,8.09,8.095,21756,0
ADT.US,5,20260126,211500,8.095,8.1,8.085,8.095,86026,0
ADT.US,5,20260126,212000,8.09,8.095,8.085,8.085,37402,0
ADT.US,5,20260126,212500,8.085,8.09,8.08,8.085,14509,0
ADT.US,5,20260126,213000,8.08,8.09,8.08,8.085,34486,0
ADT.US,5,20260126,213500,8.085,8.095,8.085,8.085,52947,0
ADT.US,5,20260126,214000,8.085,8.1,8.085,8.095,67581,0
ADT.US,5,20260126,214500,8.095,8.105,8.0935,8.1,124597,0
ADT.US,5,20260126,215000,8.095,8.1,8.08,8.085,94025,0
ADT.US,5,20260126,215500,8.085,8.09,8.07,8.07,1155871,0
ADT.US,5,20260127,153000,8.095,8.16,8.07,8.16,53216,0
ADT.US,5,20260127,153500,8.16,8.165,8.09,8.09,35048,0
ADT.US,5,20260127,154000,8.09,8.1,8.08,8.0986,10754,0
ADT.US,5,20260127,154500,8.1,8.11,8.095,8.1,19049,0
ADT.US,5,20260127,155000,8.1,8.1,8.0745,8.075,11662,0
ADT.US,5,20260127,155500,8.0775,8.0775,8.034,8.035,96290,0
ADT.US,5,20260127,160000,8.035,8.045,8.025,8.025,35652,0
ADT.US,5,20260127,160500,8.025,8.03,8.02,8.025,19731,0
ADT.US,5,20260127,161000,8.0288,8.035,8.02,8.035,15379,0
ADT.US,5,20260127,161500,8.035,8.04,8.025,8.03,46798,0
ADT.US,5,20260127,162000,8.035,8.05,8.0336,8.05,13763,0
ADT.US,5,20260127,162500,8.045,8.05,8.03,8.03,28621,0
ADT.US,5,20260127,163000,8.03,8.035,8.025,8.03,16726,0
ADT.US,5,20260127,163500,8.035,8.04,8.03,8.035,19855,0
ADT.US,5,20260127,164000,8.035,8.04,8.03,8.03,8437,0
ADT.US,5,20260127,164500,8.03,8.04,8.03,8.035,39224,0
ADT.US,5,20260127,165000,8.035,8.04,8.03,8.03,18748,0
ADT.US,5,20260127,165500,8.035,8.04,8.03,8.035,13782,0
ADT.US,5,20260127,170000,8.035,8.047,8.035,8.045,45417,0
ADT.US,5,20260127,170500,8.045,8.05,8.04,8.05,3250,0
ADT.US,5,20260127,171000,8.0476,8.05,8.04,8.045,4318,0
ADT.US,5,20260127,171500,8.045,8.045,8.04,8.045,7549,0
ADT.US,5,20260127,172000,8.04,8.05,8.04,8.045,6780,0
ADT.US,5,20260127,172500,8.04,8.048,8.04,8.045,4410,0
ADT.US,5,20260127,173000,8.045,8.06,8.045,8.06,23336,0
ADT.US,5,20260127,173500,8.06,8.06,8.055,8.06,6425,0
ADT.US,5,20260127,174000,8.06,8.085,8.0532,8.065,358486,0
ADT.US,5,20260127,174500,8.065,8.09,8.06,8.075,266918,0
ADT.US,5,20260127,175000,8.075,8.075,8.06,8.07,25583,0
ADT.US,5,20260127,175500,8.07,8.07,8.06,8.065,36006,0
ADT.US,5,20260127,180000,8.07,8.07,8.055,8.065,81855,0
ADT.US,5,20260127,180500,8.065,8.07,8.06,8.06,1370,0
ADT.US,5,20260127,181000,8.07,8.07,8.0386,8.0386,60981,0
ADT.US,5,20260127,181500,8.035,8.045,8.035,8.0375,85837,0
ADT.US,5,20260127,182000,8.035,8.04,8.03,8.035,20458,0
ADT.US,5,20260127,182500,8.03,8.04,8.03,8.035,139769,0
ADT.US,5,20260127,183000,8.0375,8.04,8.03,8.04,103392,0
ADT.US,5,20260127,183500,8.04,8.04,8.035,8.035,35073,0
ADT.US,5,20260127,184000,8.0333,8.0454,8.03,8.03,120304,0
ADT.US,5,20260127,184500,8.035,8.035,8.02,8.02,37601,0
ADT.US,5,20260127,185000,8.03,8.03,8.02,8.02,3551,0
ADT.US,5,20260127,185500,8.025,8.03,8.02,8.025,6064,0
ADT.US,5,20260127,190000,8.025,8.03,8.02,8.025,9596,0
ADT.US,5,20260127,190500,8.02,8.02,8.015,8.015,27381,0
ADT.US,5,20260127,191000,8.015,8.02,8.01,8.015,7333,0
ADT.US,5,20260127,191500,8.0163,8.02,8.01,8.02,16470,0
