<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AEFC.US,5,20260126,153000,20.19,20.19,20.19,20.19,100,0
AEFC.US,5,20260126,154500,20.1501,20.1501,20.1501,20.1501,100,0
AEFC.US,5,20260126,155500,20.1201,20.155,20.1201,20.155,551,0
AEFC.US,5,20260126,160500,20.12,20.12,20.12,20.12,100,0
AEFC.US,5,20260126,161000,20.125,20.125,20.125,20.125,100,0
AEFC.US,5,20260126,161500,20.13,20.13,20.13,20.13,100,0
AEFC.US,5,20260126,162000,20.16,20.19,20.16,20.19,2382,0
AEFC.US,5,20260126,162500,20.17,20.17,20.17,20.17,100,0
AEFC.US,5,20260126,163000,20.18,20.19,20.18,20.19,700,0
AEFC.US,5,20260126,164500,20.18,20.18,20.18,20.18,100,0
AEFC.US,5,20260126,165000,20.18,20.18,20.18,20.18,100,0
AEFC.US,5,20260126,165500,20.17,20.17,20.17,20.17,100,0
AEFC.US,5,20260126,170000,20.15,20.15,20.15,20.15,100,0
AEFC.US,5,20260126,170500,20.15,20.15,20.15,20.15,100,0
AEFC.US,5,20260126,171000,20.14,20.14,20.14,20.14,100,0
AEFC.US,5,20260126,171500,20.15,20.15,20.15,20.15,200,0
AEFC.US,5,20260126,172000,20.15,20.15,20.15,20.15,100,0
AEFC.US,5,20260126,173000,20.14,20.14,20.14,20.14,100,0
AEFC.US,5,20260126,173500,20.14,20.14,20.14,20.14,100,0
AEFC.US,5,20260126,180000,20.15,20.15,20.15,20.15,100,0
AEFC.US,5,20260126,180500,20.15,20.15,20.15,20.15,100,0
AEFC.US,5,20260126,181500,20.15,20.15,20.15,20.15,100,0
AEFC.US,5,20260126,183000,20.22,20.22,20.18,20.18,629,0
AEFC.US,5,20260126,183500,20.14,20.14,20.14,20.14,100,0
AEFC.US,5,20260126,184000,20.14,20.14,20.14,20.14,100,0
AEFC.US,5,20260126,185000,20.14,20.18,20.14,20.18,252,0
AEFC.US,5,20260126,185500,20.14,20.14,20.14,20.14,100,0
AEFC.US,5,20260126,190000,20.14,20.14,20.14,20.14,914,0
AEFC.US,5,20260126,190500,20.11,20.11,20.11,20.11,100,0
AEFC.US,5,20260126,191500,20.12,20.12,20.12,20.12,100,0
AEFC.US,5,20260126,192500,20.11,20.1145,20.11,20.1145,370,0
AEFC.US,5,20260126,193500,20.18,20.18,20.18,20.18,739,0
AEFC.US,5,20260126,194000,20.11,20.11,20.1,20.1,200,0
AEFC.US,5,20260126,194500,20.1,20.1,20.1,20.1,100,0
AEFC.US,5,20260126,195500,20.1,20.1,20.1,20.1,100,0
AEFC.US,5,20260126,200000,20.1,20.1,20.1,20.1,100,0
AEFC.US,5,20260126,200500,20.11,20.11,20.1,20.1,327,0
AEFC.US,5,20260126,201500,20.1286,20.1286,20.1214,20.125,793,0
AEFC.US,5,20260126,202000,20.17,20.17,20.14,20.17,2981,0
AEFC.US,5,20260126,202500,20.14,20.14,20.12,20.12,300,0
AEFC.US,5,20260126,204000,20.1681,20.1681,20.11,20.11,218,0
AEFC.US,5,20260126,204500,20.12,20.12,20.12,20.12,100,0
