<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AGM_G.US,5,20260126,164500,18.47,18.47,18.47,18.47,100,0
AGM_G.US,5,20260126,192000,18.395,18.395,18.395,18.395,216,0
AGM_G.US,5,20260126,200000,18.395,18.395,18.395,18.395,100,0
AGM_G.US,5,20260126,205000,18.36,18.36,18.35,18.35,300,0
AGM_G.US,5,20260126,210000,18.34,18.43,18.34,18.43,300,0
AGM_G.US,5,20260126,214000,18.39,18.39,18.39,18.39,162,0
AGM_G.US,5,20260126,215500,18.31,18.44,18.31,18.44,200,0
AGM_G.US,5,20260127,165000,18.47,18.47,18.47,18.47,100,0
AGM_G.US,5,20260127,165500,18.48,18.48,18.48,18.48,638,0
AGM_G.US,5,20260127,171500,18.2801,18.4799,18.2801,18.4799,1474,0
AGM_G.US,5,20260127,213500,18.3,18.3,18.29,18.29,900,0
AGM_G.US,5,20260127,215500,18.4,18.4,18.4,18.4,100,0
AGM_G.US,5,20260128,170500,18.4,18.4,18.4,18.4,200,0
AGM_G.US,5,20260128,195000,18.32,18.375,18.32,18.375,628,0
AGM_G.US,5,20260128,205000,18.37,18.37,18.37,18.37,1100,0
AGM_G.US,5,20260128,215500,18.41,18.41,18.41,18.41,100,0
AGM_G.US,5,20260129,153000,18.3001,18.3001,18.3001,18.3001,254,0
AGM_G.US,5,20260129,165500,18.4,18.4,18.4,18.4,700,0
AGM_G.US,5,20260129,171500,18.4399,18.4399,18.42,18.42,500,0
AGM_G.US,5,20260129,172000,18.4001,18.4002,18.3,18.3,3489,0
AGM_G.US,5,20260129,173500,18.16,18.16,18.16,18.16,535,0
AGM_G.US,5,20260129,174000,18.16,18.2,18.14,18.2,7038,0
AGM_G.US,5,20260129,180500,18.2101,18.2102,18.2101,18.2102,799,0
AGM_G.US,5,20260129,214500,18.24,18.24,18.22,18.22,200,0
AGM_G.US,5,20260129,215000,18.2182,18.2182,18.21,18.21,204,0
AGM_G.US,5,20260129,215500,18.22,18.22,18.22,18.22,100,0
AGM_G.US,5,20260130,153500,18.4174,18.4174,18.4174,18.4174,125,0
AGM_G.US,5,20260130,160000,18.1664,18.1664,18.1664,18.1664,274,0
AGM_G.US,5,20260130,181500,18.13,18.1398,18.11,18.1398,500,0
AGM_G.US,5,20260130,182000,18.14,18.14,18.14,18.14,309,0
AGM_G.US,5,20260130,202500,18.13,18.13,18.13,18.13,400,0
AGM_G.US,5,20260130,211000,18.13,18.13,18.13,18.13,100,0
AGM_G.US,5,20260130,214500,18.11,18.11,18.11,18.11,100,0
AGM_G.US,5,20260130,215500,18.08,18.13,18.08,18.13,394,0
AGM_G.US,5,20260202,154500,18.13,18.13,18.13,18.13,200,0
AGM_G.US,5,20260202,160500,18.0701,18.0701,18.0701,18.0701,1500,0
AGM_G.US,5,20260202,161000,18.1214,18.1214,18.1214,18.1214,220,0
AGM_G.US,5,20260202,165500,18.1955,18.1955,18.1955,18.1955,757,0
AGM_G.US,5,20260202,175500,18.2,18.3,18.2,18.3,200,0
AGM_G.US,5,20260202,180000,18.25,18.25,18.25,18.25,325,0
AGM_G.US,5,20260202,180500,18.24,18.24,18.24,18.24,100,0
AGM_G.US,5,20260202,182000,18.24,18.2814,18.24,18.2814,1002,0
AGM_G.US,5,20260202,200500,18.2289,18.2294,18.2289,18.2294,500,0
AGM_G.US,5,20260202,201000,18.21,18.21,18.21,18.21,500,0
AGM_G.US,5,20260202,203000,18.21,18.21,18.21,18.21,299,0
AGM_G.US,5,20260202,210000,18.24,18.25,18.24,18.25,208,0
AGM_G.US,5,20260202,211000,18.3,18.3,18.29,18.3,500,0
AGM_G.US,5,20260202,211500,18.33,18.33,18.33,18.33,1302,0
AGM_G.US,5,20260202,215500,18.26,18.31,18.26,18.31,200,0
AGM_G.US,5,20260203,154500,18.22,18.3,18.22,18.3,200,0
AGM_G.US,5,20260203,155000,18.21,18.255,18.21,18.255,500,0
AGM_G.US,5,20260203,160500,18.2611,18.2611,18.2611,18.2611,300,0
AGM_G.US,5,20260203,164500,18.2358,18.2358,18.2358,18.2358,125,0
AGM_G.US,5,20260203,171500,18.3376,18.35,18.3376,18.35,300,0
AGM_G.US,5,20260203,191000,18.25,18.25,18.22,18.22,799,0
AGM_G.US,5,20260203,191500,18.195,18.195,18.195,18.195,200,0
AGM_G.US,5,20260203,192500,18.2543,18.2543,18.2543,18.2543,200,0
AGM_G.US,5,20260203,215500,18.14,18.27,18.14,18.27,200,0
AGM_G.US,5,20260204,153000,18.22,18.22,18.15,18.15,600,0
AGM_G.US,5,20260204,154000,18.19,18.19,18.19,18.19,180,0
AGM_G.US,5,20260204,164000,18.215,18.215,18.215,18.215,176,0
AGM_G.US,5,20260204,185000,18.22,18.22,18.22,18.22,950,0
AGM_G.US,5,20260204,190000,18.15,18.15,17.8801,17.95,9416,0
AGM_G.US,5,20260204,190500,18,18.02,18,18.02,200,0
AGM_G.US,5,20260204,194000,18.16,18.16,18.16,18.16,100,0
AGM_G.US,5,20260204,204000,18.09,18.09,18.09,18.09,448,0
AGM_G.US,5,20260204,204500,18.09,18.09,18.09,18.09,484,0
AGM_G.US,5,20260204,205000,18.1,18.1,18.09,18.09,200,0
AGM_G.US,5,20260204,212000,18.11,18.11,18.11,18.11,100,0
AGM_G.US,5,20260204,214000,18.13,18.13,18.13,18.13,200,0
AGM_G.US,5,20260204,214500,18.145,18.16,18.14,18.16,300,0
AGM_G.US,5,20260204,215000,18.16,18.16,18.16,18.16,100,0
AGM_G.US,5,20260204,215500,18.21,18.21,18.21,18.21,100,0
AGM_G.US,5,20260205,155500,18.07,18.19,18.07,18.19,1524,0
AGM_G.US,5,20260205,160500,18.17,18.17,18.17,18.17,100,0
AGM_G.US,5,20260205,173500,18.14,18.14,18.14,18.14,100,0
AGM_G.US,5,20260205,174000,18.14,18.14,18.14,18.14,100,0
AGM_G.US,5,20260205,174500,18.175,18.175,18.175,18.175,900,0
AGM_G.US,5,20260205,182500,18.2,18.2099,18.2,18.2,1000,0
AGM_G.US,5,20260205,202500,18.21,18.21,18.21,18.21,400,0
AGM_G.US,5,20260205,203500,18.2,18.2,18.2,18.2,200,0
AGM_G.US,5,20260205,204500,18.2,18.2,18.2,18.2,800,0
AGM_G.US,5,20260205,210500,18.22,18.22,18.21,18.21,300,0
AGM_G.US,5,20260206,153500,18.28,18.28,18.28,18.28,100,0
AGM_G.US,5,20260206,161500,18.2799,18.2799,18.2799,18.2799,900,0
AGM_G.US,5,20260206,163500,18.245,18.2799,18.245,18.279,1549,0
AGM_G.US,5,20260206,181500,18.28,18.28,18.28,18.28,200,0
AGM_G.US,5,20260206,183500,18.31,18.31,18.31,18.31,100,0
AGM_G.US,5,20260206,201000,18.34,18.34,18.34,18.34,100,0
AGM_G.US,5,20260206,203000,18.295,18.295,18.295,18.295,109,0
AGM_G.US,5,20260206,204000,18.25,18.26,18.25,18.25,1600,0
AGM_G.US,5,20260206,204500,18.22,18.22,18.09,18.11,1642,0
AGM_G.US,5,20260206,211000,18.21,18.21,18.21,18.21,200,0
AGM_G.US,5,20260206,211500,18.27,18.2799,18.22,18.2798,900,0
AGM_G.US,5,20260206,212000,18.28,18.29,18.28,18.29,400,0
AGM_G.US,5,20260206,215500,18.31,18.31,18.31,18.31,100,0
AGM_G.US,5,20260209,170500,18.34,18.34,18.34,18.34,100,0
AGM_G.US,5,20260209,175000,18.3,18.3,18.3,18.3,316,0
AGM_G.US,5,20260209,180000,18.32,18.32,18.32,18.32,275,0
AGM_G.US,5,20260209,180500,18.3213,18.3213,18.3213,18.3213,552,0
AGM_G.US,5,20260209,181000,18.28,18.3,18.28,18.3,954,0
AGM_G.US,5,20260209,214500,18.31,18.3167,18.31,18.3101,558,0
AGM_G.US,5,20260209,215500,18.31,18.31,18.31,18.31,100,0
AGM_G.US,5,20260210,153500,18.325,18.325,18.325,18.325,100,0
AGM_G.US,5,20260210,154500,18.31,18.3101,18.31,18.3101,600,0
AGM_G.US,5,20260210,155000,18.31,18.31,18.31,18.31,300,0
AGM_G.US,5,20260210,160500,18.31,18.3101,18.3,18.3,674,0
AGM_G.US,5,20260210,162000,18.31,18.31,18.31,18.31,100,0
AGM_G.US,5,20260210,165000,18.3,18.3,18.3,18.3,164,0
AGM_G.US,5,20260210,173500,18.31,18.31,18.31,18.31,442,0
AGM_G.US,5,20260210,175000,18.33,18.33,18.33,18.33,100,0
AGM_G.US,5,20260210,181500,18.32,18.32,18.313,18.313,1750,0
AGM_G.US,5,20260210,190000,18.3,18.32,18.3,18.32,200,0
AGM_G.US,5,20260210,190500,18.32,18.32,18.32,18.32,825,0
AGM_G.US,5,20260210,191500,18.3,18.3,18.2831,18.2831,1293,0
AGM_G.US,5,20260210,205000,18.28,18.28,18.28,18.28,101,0
AGM_G.US,5,20260210,210500,18.28,18.28,18.28,18.28,100,0
AGM_G.US,5,20260210,215000,18.28,18.28,18.28,18.28,300,0
AGM_G.US,5,20260210,215500,18.32,18.32,18.32,18.32,100,0
AGM_G.US,5,20260211,162500,18.32,18.32,18.32,18.32,800,0
