<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ATCL.US,5,20260218,153500,25.06,25.06,25.06,25.06,208,0
ATCL.US,5,20260218,154500,25.06,25.06,25.055,25.055,900,0
ATCL.US,5,20260218,155000,25.07,25.07,25.07,25.07,100,0
ATCL.US,5,20260218,165500,25.13,25.13,25.11,25.11,6000,0
ATCL.US,5,20260218,170000,25.11,25.12,25.0975,25.12,6000,0
ATCL.US,5,20260218,170500,25.13,25.13,25.12,25.12,12000,0
ATCL.US,5,20260218,171000,25.105,25.12,25.105,25.12,3000,0
ATCL.US,5,20260218,171500,25.13,25.13,25.11,25.11,5000,0
ATCL.US,5,20260218,173000,25.12,25.12,25.09,25.1197,9000,0
ATCL.US,5,20260218,173500,25.12,25.13,25.105,25.1299,12000,0
ATCL.US,5,20260218,175500,25.11,25.11,25.11,25.11,200,0
ATCL.US,5,20260218,205000,25.0699,25.0699,25.0699,25.0699,200,0
ATCL.US,5,20260218,213500,25.01,25.01,25.01,25.01,2500,0
ATCL.US,5,20260219,160500,25.09,25.09,25.09,25.09,1200,0
ATCL.US,5,20260219,174000,25.08,25.08,25.0799,25.0799,8000,0
ATCL.US,5,20260219,174500,25.065,25.065,25.055,25.055,700,0
ATCL.US,5,20260219,195000,25.05,25.05,25.0499,25.0499,2754,0
ATCL.US,5,20260219,202500,25.045,25.07,25.045,25.07,2000,0
ATCL.US,5,20260219,203500,25.045,25.045,25.045,25.045,500,0
ATCL.US,5,20260219,204500,25.035,25.035,25.035,25.035,500,0
ATCL.US,5,20260220,154000,25.0984,25.0984,25.0984,25.0984,399,0
ATCL.US,5,20260220,155000,25.08,25.08,25.08,25.08,553,0
ATCL.US,5,20260220,160000,25.11,25.11,25.11,25.11,200,0
ATCL.US,5,20260220,160500,25.12,25.12,25.12,25.12,100,0
ATCL.US,5,20260220,161000,25.125,25.125,25.125,25.125,100,0
ATCL.US,5,20260220,161500,25.12,25.12,25.12,25.12,100,0
ATCL.US,5,20260220,162000,25.12,25.12,25.12,25.12,100,0
ATCL.US,5,20260220,163500,25.12,25.12,25.12,25.12,200,0
ATCL.US,5,20260220,164000,25.13,25.13,25.12,25.13,984,0
ATCL.US,5,20260220,165000,25.1442,25.1442,25.1442,25.1442,500,0
ATCL.US,5,20260220,172500,25.125,25.125,25.125,25.125,100,0
ATCL.US,5,20260220,174000,25.1438,25.1438,25.1438,25.1438,180,0
ATCL.US,5,20260220,181000,25.13,25.13,25.13,25.13,100,0
ATCL.US,5,20260220,182000,25.12,25.12,25.12,25.12,100,0
ATCL.US,5,20260220,183500,25.09,25.1,25.085,25.095,3400,0
ATCL.US,5,20260220,193500,25.1458,25.1458,25.1458,25.1458,1950,0
ATCL.US,5,20260220,194000,25.125,25.125,25.125,25.125,1000,0
ATCL.US,5,20260220,204000,25.145,25.145,25.14,25.145,500,0
ATCL.US,5,20260220,204500,25.14,25.14,25.14,25.14,100,0
ATCL.US,5,20260220,210000,25.1335,25.1335,25.1335,25.1335,2000,0
ATCL.US,5,20260220,211000,25.1439,25.1439,25.1439,25.1439,350,0
ATCL.US,5,20260220,211500,25.12,25.12,25.12,25.12,400,0
ATCL.US,5,20260220,212000,25.14,25.14,25.14,25.14,100,0
ATCL.US,5,20260220,214000,25.135,25.1486,25.135,25.1486,2125,0
ATCL.US,5,20260220,215500,25.135,25.145,25.135,25.145,525,0
ATCL.US,5,20260223,155500,25.17,25.17,25.16,25.16,241,0
ATCL.US,5,20260223,165500,25.1,25.1,25.1,25.1,400,0
ATCL.US,5,20260223,170000,25.1,25.1,25.1,25.1,100,0
ATCL.US,5,20260223,172000,25.05,25.05,25.05,25.05,1600,0
ATCL.US,5,20260223,175000,25.07,25.07,25.07,25.07,100,0
ATCL.US,5,20260223,182000,25.07,25.07,25.0572,25.0572,4000,0
ATCL.US,5,20260223,184000,25.04,25.045,25.04,25.045,210,0
ATCL.US,5,20260223,184500,25.045,25.045,25.045,25.045,100,0
ATCL.US,5,20260223,185000,25.05,25.05,25.05,25.05,4499,0
ATCL.US,5,20260223,191500,25.08,25.08,25.08,25.08,100,0
ATCL.US,5,20260223,200000,25.07,25.075,25.07,25.075,200,0
ATCL.US,5,20260223,201000,25.07,25.07,25.07,25.07,100,0
ATCL.US,5,20260223,203500,25.04,25.04,25.04,25.04,10240,0
