<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AXP.US,5,20260126,153000,362.5,364.5,361.6232,364.255,19744,0
AXP.US,5,20260126,153500,364.5,364.84,363.1673,363.935,24478,0
AXP.US,5,20260126,154000,363.9898,364.75,363.9,364.5,35083,0
AXP.US,5,20260126,154500,364.385,364.87,362.99,363.135,19491,0
AXP.US,5,20260126,155000,363.18,363.18,362.46,362.71,10727,0
AXP.US,5,20260126,155500,362.6,362.775,362.09,362.205,42389,0
AXP.US,5,20260126,160000,362.52,363.21,361.4501,361.9,70936,0
AXP.US,5,20260126,160500,361.6,362.14,361.265,361.265,8632,0
AXP.US,5,20260126,161000,361.37,362.17,360.8144,362.06,16311,0
AXP.US,5,20260126,161500,362.04,362.5,361.79,362.02,7956,0
AXP.US,5,20260126,162000,362,362.2778,361.88,362.0901,4675,0
AXP.US,5,20260126,162500,362.09,362.19,360.88,360.88,9653,0
AXP.US,5,20260126,163000,360.87,361.84,360.8,361.84,12871,0
AXP.US,5,20260126,163500,361.765,362.2546,361.22,361.3784,32051,0
AXP.US,5,20260126,164000,361.24,361.54,361.15,361.4,8816,0
AXP.US,5,20260126,164500,361.5,361.99,361.5,361.8,11312,0
AXP.US,5,20260126,165000,361.82,362.21,361.54,361.94,17497,0
AXP.US,5,20260126,165500,361.995,362.105,361.69,361.89,14326,0
AXP.US,5,20260126,170000,361.97,362.03,361.215,361.28,13962,0
AXP.US,5,20260126,170500,361.37,361.37,360.6601,360.93,16344,0
AXP.US,5,20260126,171000,360.93,361.2721,360.8875,361.1052,7804,0
AXP.US,5,20260126,171500,361.01,361.4,360.94,361.18,26282,0
AXP.US,5,20260126,172000,361.17,361.57,361.02,361.34,9443,0
AXP.US,5,20260126,172500,361.3,361.54,361.07,361.32,12738,0
AXP.US,5,20260126,173000,361.32,361.52,361.1,361.35,8408,0
AXP.US,5,20260126,173500,361.35,361.45,361.21,361.21,8394,0
AXP.US,5,20260126,174000,361.21,361.35,361.15,361.34,5997,0
AXP.US,5,20260126,174500,361.24,361.41,361.21,361.385,4146,0
AXP.US,5,20260126,175000,361.385,361.88,361.385,361.71,16212,0
AXP.US,5,20260126,175500,361.66,361.795,361.33,361.33,13170,0
AXP.US,5,20260126,180000,361.3306,361.46,360.99,361.36,9413,0
AXP.US,5,20260126,180500,361.36,361.48,361.115,361.48,6477,0
AXP.US,5,20260126,181000,361.48,361.6,361.32,361.55,4530,0
AXP.US,5,20260126,181500,361.55,361.82,361.47,361.7,9338,0
AXP.US,5,20260126,182000,361.69,361.82,361.4,361.46,6346,0
AXP.US,5,20260126,182500,361.52,361.605,361.4,361.505,10512,0
AXP.US,5,20260126,183000,361.56,361.805,361.56,361.61,6467,0
AXP.US,5,20260126,183500,361.62,361.8,361.51,361.735,6123,0
AXP.US,5,20260126,184000,361.62,361.69,361.51,361.5925,4448,0
AXP.US,5,20260126,184500,361.625,361.65,361.3301,361.605,6904,0
AXP.US,5,20260126,185000,361.624,361.624,361.269,361.39,27772,0
AXP.US,5,20260126,185500,361.43,361.43,361.08,361.09,4306,0
AXP.US,5,20260126,190000,361.09,361.23,361,361.14,12547,0
AXP.US,5,20260126,190500,361.14,361.18,360.95,361.17,14993,0
AXP.US,5,20260126,191000,361.19,361.58,361.19,361.53,6384,0
AXP.US,5,20260126,191500,361.45,362.075,361.45,362.045,7919,0
AXP.US,5,20260126,192000,362.01,362.28,361.95,362.22,7353,0
AXP.US,5,20260126,192500,362.28,362.47,362.21,362.4601,4055,0
AXP.US,5,20260126,193000,362.46,362.7,362.28,362.31,6885,0
AXP.US,5,20260126,193500,362.3486,362.405,362.19,362.2229,5760,0
AXP.US,5,20260126,194000,362.256,362.4599,362.17,362.385,5152,0
AXP.US,5,20260126,194500,362.3901,362.769,362.3,362.61,8786,0
AXP.US,5,20260126,195000,362.54,362.59,362.38,362.5,10022,0
AXP.US,5,20260126,195500,362.49,362.525,362.18,362.3,8828,0
AXP.US,5,20260126,200000,362.3,362.56,362.25,362.5,9466,0
AXP.US,5,20260126,200500,362.5,362.7,362.33,362.69,8232,0
AXP.US,5,20260126,201000,362.65,362.79,362.53,362.725,12863,0
AXP.US,5,20260126,201500,362.65,362.6599,362.44,362.56,8932,0
AXP.US,5,20260126,202000,362.56,362.8859,362.49,362.84,9911,0
AXP.US,5,20260126,202500,362.84,363.1599,362.84,362.915,7218,0
AXP.US,5,20260126,203000,362.95,363.265,362.915,363.13,17314,0
AXP.US,5,20260126,203500,363.19,363.3199,363.04,363.14,7813,0
AXP.US,5,20260126,204000,363.1,363.315,363.08,363.185,5402,0
AXP.US,5,20260126,204500,363.195,363.1956,362.982,363.045,10382,0
AXP.US,5,20260126,205000,363.045,363.12,362.96,363,6594,0
AXP.US,5,20260126,205500,363.005,363.24,362.94,363.12,9525,0
