<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BAC_N.US,5,20260126,153500,21.39,21.39,21.355,21.355,2400,0
BAC_N.US,5,20260126,154000,21.39,21.39,21.39,21.39,100,0
BAC_N.US,5,20260126,155500,21.39,21.39,21.361,21.39,2354,0
BAC_N.US,5,20260126,160000,21.3821,21.3821,21.3821,21.3821,176,0
BAC_N.US,5,20260126,160500,21.365,21.365,21.365,21.365,364,0
BAC_N.US,5,20260126,161000,21.3892,21.39,21.3892,21.39,271,0
BAC_N.US,5,20260126,161500,21.39,21.39,21.39,21.39,600,0
BAC_N.US,5,20260126,162000,21.385,21.41,21.385,21.41,924,0
BAC_N.US,5,20260126,162500,21.4,21.403,21.4,21.4025,1451,0
BAC_N.US,5,20260126,163000,21.4299,21.4299,21.4299,21.4299,100,0
BAC_N.US,5,20260126,163500,21.4,21.4,21.39,21.39,221,0
BAC_N.US,5,20260126,164000,21.39,21.4,21.39,21.39,711,0
BAC_N.US,5,20260126,164500,21.39,21.39,21.39,21.39,100,0
BAC_N.US,5,20260126,165000,21.4187,21.42,21.41,21.42,3100,0
BAC_N.US,5,20260126,165500,21.418,21.418,21.41,21.41,250,0
BAC_N.US,5,20260126,170000,21.41,21.425,21.41,21.425,200,0
BAC_N.US,5,20260126,170500,21.42,21.43,21.39,21.39,621,0
BAC_N.US,5,20260126,171000,21.4,21.4,21.4,21.4,200,0
BAC_N.US,5,20260126,171500,21.41,21.41,21.4,21.4,520,0
BAC_N.US,5,20260126,172000,21.3901,21.3901,21.3901,21.3901,100,0
BAC_N.US,5,20260126,172500,21.4,21.4,21.4,21.4,195,0
BAC_N.US,5,20260126,173500,21.4,21.41,21.39,21.39,1233,0
BAC_N.US,5,20260126,174000,21.4,21.4,21.4,21.4,2500,0
BAC_N.US,5,20260126,174500,21.4,21.4,21.4,21.4,200,0
BAC_N.US,5,20260126,175000,21.4,21.4,21.395,21.395,803,0
BAC_N.US,5,20260126,175500,21.39,21.4,21.39,21.4,2598,0
BAC_N.US,5,20260126,180000,21.39,21.39,21.38,21.38,1757,0
BAC_N.US,5,20260126,180500,21.38,21.38,21.3604,21.3604,850,0
BAC_N.US,5,20260126,181000,21.3999,21.3999,21.3824,21.3824,860,0
BAC_N.US,5,20260126,181500,21.38,21.38,21.38,21.38,326,0
BAC_N.US,5,20260126,182000,21.36,21.36,21.36,21.36,338,0
BAC_N.US,5,20260126,182500,21.37,21.38,21.37,21.375,900,0
BAC_N.US,5,20260126,183000,21.375,21.38,21.3706,21.38,3726,0
BAC_N.US,5,20260126,183500,21.4,21.4,21.4,21.4,1600,0
BAC_N.US,5,20260126,184500,21.4,21.4,21.4,21.4,140,0
BAC_N.US,5,20260126,185000,21.39,21.39,21.39,21.39,100,0
BAC_N.US,5,20260126,185500,21.4,21.4,21.4,21.4,100,0
BAC_N.US,5,20260126,190500,21.3801,21.3801,21.3801,21.3801,1500,0
BAC_N.US,5,20260126,191000,21.38,21.38,21.38,21.38,100,0
BAC_N.US,5,20260126,192500,21.38,21.3801,21.38,21.3801,500,0
BAC_N.US,5,20260126,193500,21.38,21.38,21.38,21.38,100,0
BAC_N.US,5,20260126,194000,21.39,21.39,21.39,21.39,200,0
BAC_N.US,5,20260126,194500,21.3908,21.3908,21.3908,21.3908,300,0
