<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BAM.US,5,20260126,153000,51.46,51.81,51.39,51.39,56142,0
BAM.US,5,20260126,153500,51.39,51.45,51.19,51.2,20770,0
BAM.US,5,20260126,154000,51.17,51.3,51.12,51.13,17648,0
BAM.US,5,20260126,154500,51.17,51.19,51.01,51.02,61876,0
BAM.US,5,20260126,155000,51.02,51.04,50.915,51,16222,0
BAM.US,5,20260126,155500,51.02,51.04,50.83,50.87,39734,0
BAM.US,5,20260126,160000,50.86,51.03,50.83,50.955,47109,0
BAM.US,5,20260126,160500,50.97,51.12,50.94,51.07,48118,0
BAM.US,5,20260126,161000,51.07,51.12,51.04,51.1,35429,0
BAM.US,5,20260126,161500,51.08,51.08,50.98,51.005,12360,0
BAM.US,5,20260126,162000,51,51.045,50.98,51.04,29374,0
BAM.US,5,20260126,162500,51.04,51.095,50.96,50.96,11056,0
BAM.US,5,20260126,163000,50.965,51.1,50.935,51.05,18134,0
BAM.US,5,20260126,163500,51.06,51.09,50.98,50.985,5553,0
BAM.US,5,20260126,164000,50.985,50.985,50.8,50.86,16046,0
BAM.US,5,20260126,164500,50.88,50.92,50.86,50.905,11034,0
BAM.US,5,20260126,165000,50.905,50.96,50.9,50.9,14993,0
BAM.US,5,20260126,165500,50.9,50.94,50.82,50.83,7829,0
BAM.US,5,20260126,170000,50.85,50.85,50.68,50.7,16979,0
BAM.US,5,20260126,170500,50.71,50.7615,50.66,50.685,9176,0
BAM.US,5,20260126,171000,50.685,50.73,50.66,50.69,12199,0
BAM.US,5,20260126,171500,50.67,50.67,50.6192,50.63,17723,0
BAM.US,5,20260126,172000,50.63,50.746,50.63,50.71,15804,0
BAM.US,5,20260126,172500,50.71,50.88,50.7,50.865,28307,0
BAM.US,5,20260126,173000,50.88,50.91,50.795,50.795,16622,0
BAM.US,5,20260126,173500,50.795,50.85,50.79,50.83,27394,0
BAM.US,5,20260126,174000,50.825,50.84,50.79,50.805,8795,0
BAM.US,5,20260126,174500,50.805,50.88,50.77,50.88,14890,0
BAM.US,5,20260126,175000,50.87,50.87,50.8201,50.86,6674,0
BAM.US,5,20260126,175500,50.84,50.86,50.815,50.85,6280,0
BAM.US,5,20260126,180000,50.855,50.875,50.82,50.86,16758,0
BAM.US,5,20260126,180500,50.86,50.905,50.86,50.87,19442,0
BAM.US,5,20260126,181000,50.86,50.945,50.85,50.93,32284,0
BAM.US,5,20260126,181500,50.93,51.03,50.9,51.03,15337,0
BAM.US,5,20260126,182000,51.03,51.04,51,51,4550,0
BAM.US,5,20260126,182500,51,51.1,51,51.085,14187,0
BAM.US,5,20260126,183000,51.12,51.155,51.1,51.155,8204,0
BAM.US,5,20260126,183500,51.14,51.23,51.13,51.215,15120,0
