<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BKH.US,5,20260126,153000,72.19,72.3999,72.06,72.3999,3084,0
BKH.US,5,20260126,153500,72.23,72.5,72.19,72.5,5737,0
BKH.US,5,20260126,154000,72.53,72.8,72.5,72.8,2598,0
BKH.US,5,20260126,154500,72.89,72.97,72.74,72.85,2886,0
BKH.US,5,20260126,155000,72.785,73.02,72.69,72.8,4304,0
BKH.US,5,20260126,155500,72.78,72.78,72.52,72.66,1665,0
BKH.US,5,20260126,160000,72.55,72.61,72.43,72.445,2973,0
BKH.US,5,20260126,160500,72.42,72.4499,72.3,72.4499,2349,0
BKH.US,5,20260126,161000,72.45,72.575,72.45,72.575,663,0
BKH.US,5,20260126,161500,72.59,72.59,72.365,72.5306,1883,0
BKH.US,5,20260126,162000,72.445,72.45,72.445,72.445,300,0
BKH.US,5,20260126,162500,72.31,72.31,71.935,72.03,4202,0
BKH.US,5,20260126,163000,71.895,72.2699,71.895,72.17,4233,0
BKH.US,5,20260126,163500,72.15,72.2,71.93,72.15,1655,0
BKH.US,5,20260126,164000,72.105,72.2099,71.96,71.965,3169,0
BKH.US,5,20260126,164500,72.01,72.21,72,72.16,2347,0
BKH.US,5,20260126,165000,72.1,72.1,71.95,71.98,2020,0
BKH.US,5,20260126,165500,71.965,71.97,71.95,71.96,724,0
BKH.US,5,20260126,170000,71.98,72.08,71.945,72.065,1321,0
BKH.US,5,20260126,170500,72.07,72.1,72,72.04,1275,0
BKH.US,5,20260126,171000,72.035,72.04,71.94,71.965,2339,0
BKH.US,5,20260126,171500,71.93,72.025,71.88,71.93,4233,0
BKH.US,5,20260126,172000,71.88,72.01,71.88,71.93,1400,0
BKH.US,5,20260126,172500,71.93,72.025,71.92,72.015,3217,0
BKH.US,5,20260126,173000,72.03,72.06,71.97,72.06,1405,0
BKH.US,5,20260126,173500,72.03,72.03,72.03,72.03,100,0
BKH.US,5,20260126,174000,71.98,72.05,71.88,71.88,3606,0
BKH.US,5,20260126,174500,71.87,71.9,71.79,71.83,4895,0
BKH.US,5,20260126,175000,71.88,71.88,71.8,71.82,1013,0
BKH.US,5,20260126,175500,71.8,71.85,71.78,71.82,2670,0
BKH.US,5,20260126,180000,71.78,71.92,71.765,71.92,4183,0
BKH.US,5,20260126,180500,71.94,72.065,71.94,72.03,1397,0
BKH.US,5,20260126,181000,71.98,72,71.95,71.95,1600,0
BKH.US,5,20260126,181500,71.98,72.04,71.975,72.04,600,0
BKH.US,5,20260126,182000,72.02,72.05,72.005,72.04,995,0
BKH.US,5,20260126,182500,72.045,72.2,72.02,72.07,13505,0
BKH.US,5,20260126,183000,72.13,72.13,72.04,72.055,2727,0
BKH.US,5,20260126,183500,72.04,72.16,72.04,72.06,5327,0
BKH.US,5,20260126,184000,72.11,72.2,72.095,72.18,6017,0
