<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BMNP.US,5,20260616,153000,91.49,92.99,91.49,91.5,2002,0
BMNP.US,5,20260616,153500,89.99,89.99,89.99,89.99,1747,0
BMNP.US,5,20260616,154000,89.7499,89.75,89.665,89.74,4457,0
BMNP.US,5,20260616,154500,89.74,89.75,89.74,89.75,900,0
BMNP.US,5,20260616,155000,89.7495,89.7495,89,89.7,5672,0
BMNP.US,5,20260616,155500,89.35,89.742,89.35,89.7,600,0
BMNP.US,5,20260616,160000,89.7,89.7,89.25,89.25,200,0
BMNP.US,5,20260616,160500,89,89.25,89,89.25,800,0
BMNP.US,5,20260616,161000,89.5,89.5,89.45,89.45,2344,0
BMNP.US,5,20260616,161500,89.5,89.5,89.135,89.135,289,0
BMNP.US,5,20260616,162000,89,89,89,89,2497,0
BMNP.US,5,20260616,162500,89.25,89.25,89.25,89.25,100,0
BMNP.US,5,20260616,163000,89.25,89.25,89.25,89.25,200,0
BMNP.US,5,20260616,163500,89.9999,89.9999,89.9999,89.9999,1000,0
BMNP.US,5,20260616,164000,89.25,89.5,89.25,89.5,427,0
BMNP.US,5,20260616,164500,89.25,89.25,89.25,89.25,200,0
BMNP.US,5,20260616,165000,89.4999,89.4999,89.4999,89.4999,200,0
BMNP.US,5,20260616,165500,89.25,89.275,89.25,89.275,326,0
BMNP.US,5,20260616,170500,89.05,89.05,89.05,89.05,964,0
BMNP.US,5,20260616,171000,89.25,89.25,89.05,89.25,1995,0
BMNP.US,5,20260616,171500,89.05,89.05,89.05,89.05,2955,0
BMNP.US,5,20260616,173000,89,89,89,89,100,0
BMNP.US,5,20260616,173500,89.05,89.275,89.05,89.275,2907,0
BMNP.US,5,20260616,174500,89.29,89.29,89.25,89.29,1500,0
BMNP.US,5,20260616,180500,89.5,89.5,89,89,205,0
BMNP.US,5,20260616,181000,89.25,89.25,89.25,89.25,100,0
BMNP.US,5,20260616,181500,88.9986,88.9986,88.9986,88.9986,150,0
BMNP.US,5,20260616,182500,89,89,89,89,300,0
BMNP.US,5,20260616,183500,88.98,89,88.98,89,770,0
BMNP.US,5,20260616,185000,88.98,89,88.98,88.98,650,0
BMNP.US,5,20260616,190000,88.825,88.825,88.825,88.825,2600,0
BMNP.US,5,20260616,190500,88.825,88.85,88.825,88.85,347,0
BMNP.US,5,20260616,191000,89,89,88.85,88.85,8500,0
BMNP.US,5,20260616,191500,88.85,88.85,88.85,88.85,1000,0
BMNP.US,5,20260616,192500,89,89,89,89,100,0
BMNP.US,5,20260616,193000,89,89,88.8,88.85,1400,0
BMNP.US,5,20260616,193500,88.85,88.86,88.85,88.86,600,0
BMNP.US,5,20260616,194000,88.85,89,88.75,88.85,1890,0
BMNP.US,5,20260616,195000,89,89,88.7,88.79,2337,0
BMNP.US,5,20260616,195500,88.79,88.79,88.65,88.79,5076,0
BMNP.US,5,20260616,200000,88.65,88.79,88.65,88.79,15300,0
BMNP.US,5,20260616,200500,88.79,88.99,88.58,88.79,13612,0
BMNP.US,5,20260616,201000,88.79,88.79,88.55,88.55,500,0
BMNP.US,5,20260616,202000,89,89,89,89,100,0
BMNP.US,5,20260616,202500,88.5,88.5,88.5,88.5,100,0
BMNP.US,5,20260616,204000,88.5,88.5,88.4999,88.4999,224,0
BMNP.US,5,20260616,205500,88.5,88.5,88.4999,88.4999,200,0
BMNP.US,5,20260616,210500,88.5,88.5,88.5,88.5,900,0
BMNP.US,5,20260616,212000,88.4999,88.4999,88.285,88.285,200,0
BMNP.US,5,20260616,212500,88.29,88.29,88.29,88.29,100,0
BMNP.US,5,20260616,214000,88.5,88.5,88.395,88.4956,1235,0
BMNP.US,5,20260616,214500,88.38,88.38,88.38,88.38,802,0
BMNP.US,5,20260616,215000,88.1,88.1,88.1,88.1,4525,0
BMNP.US,5,20260616,215500,88.1,89,88.1,88.1,4885,0
BMNP.US,5,20260617,153000,89.28,89.28,89.28,89.28,150,0
BMNP.US,5,20260617,153500,89.05,89.15,87.87,87.875,8026,0
BMNP.US,5,20260617,154000,88,88,87.95,88,413,0
BMNP.US,5,20260617,154500,87.9999,87.9999,87.9999,87.9999,155,0
BMNP.US,5,20260617,155500,87.975,87.9995,87.975,87.9995,1012,0
BMNP.US,5,20260617,160000,88,88,88,88,3252,0
BMNP.US,5,20260617,161000,88,88.2499,87.86,88.02,22732,0
BMNP.US,5,20260617,161500,88.02,88.02,87.935,87.935,10641,0
BMNP.US,5,20260617,162000,87.985,87.985,87.985,87.985,113,0
BMNP.US,5,20260617,162500,88.01,88.02,88.01,88.02,22200,0
BMNP.US,5,20260617,163000,88.02,88.02,87.9984,87.9984,10957,0
BMNP.US,5,20260617,164500,88,88,87.9999,87.9999,900,0
BMNP.US,5,20260617,165000,87.95,88,87.95,88,2997,0
BMNP.US,5,20260617,165500,87.9922,87.9922,87.99,87.99,250,0
BMNP.US,5,20260617,170000,88,88,87.9999,88,1100,0
BMNP.US,5,20260617,170500,87.99,88,87.98,87.98,1400,0
BMNP.US,5,20260617,171500,87.98,87.99,87.98,87.99,11800,0
BMNP.US,5,20260617,172000,87.98,87.98,87.98,87.98,100,0
BMNP.US,5,20260617,173000,87.9999,88,87.9411,87.9411,400,0
BMNP.US,5,20260617,173500,88,88,87.9962,87.9962,200,0
BMNP.US,5,20260617,174000,87.9411,87.985,87.9411,87.985,3300,0
BMNP.US,5,20260617,174500,88,88,87.97,88,2397,0
BMNP.US,5,20260617,175000,87.9763,87.9763,87.9763,87.9763,300,0
BMNP.US,5,20260617,175500,87.97,88,87.97,87.97,315,0
BMNP.US,5,20260617,180000,88,88,87.925,87.925,500,0
BMNP.US,5,20260617,180500,88,88,87.9962,87.9962,600,0
BMNP.US,5,20260617,181000,87.86,87.865,87.72,87.7975,2922,0
BMNP.US,5,20260617,181500,87.7,87.7,87.6841,87.7,1440,0
BMNP.US,5,20260617,182000,87.6999,87.6999,87.6961,87.6961,1350,0
BMNP.US,5,20260617,182500,87.695,87.695,87.695,87.695,120,0
BMNP.US,5,20260617,183000,87.7,87.7,87.7,87.7,2699,0
BMNP.US,5,20260617,183500,87.9198,88.75,87.9198,88.75,416,0
BMNP.US,5,20260617,184000,88.7499,88.7499,88.371,88.371,212,0
BMNP.US,5,20260617,184500,88.1,88.37,88,88.37,15458,0
BMNP.US,5,20260617,185500,88.5,88.5,88.5,88.5,150,0
BMNP.US,5,20260617,191500,88.5,88.5,88.5,88.5,200,0
BMNP.US,5,20260617,192000,88.354,88.354,88.354,88.354,200,0
BMNP.US,5,20260617,192500,88.55,88.55,88.55,88.55,1000,0
BMNP.US,5,20260617,193000,88.592,88.592,88.5,88.5,800,0
BMNP.US,5,20260617,194000,88.5912,88.633,88.5,88.5,500,0
BMNP.US,5,20260617,194500,88.55,88.55,88.55,88.55,100,0
BMNP.US,5,20260617,200000,88.55,88.75,88.55,88.62,6000,0
BMNP.US,5,20260617,200500,88.6,89.4999,88.6,88.62,1258,0
BMNP.US,5,20260617,201000,88.5,88.62,88.5,88.6173,620,0
BMNP.US,5,20260617,201500,88.55,88.55,88.55,88.55,331,0
BMNP.US,5,20260617,202500,88.6,88.6,88.25,88.25,4107,0
BMNP.US,5,20260617,204000,88.25,88.25,88.24,88.25,7513,0
BMNP.US,5,20260617,205000,88.51,88.6,88.51,88.6,2299,0
BMNP.US,5,20260617,205500,88.6,88.6,88.6,88.6,197,0
BMNP.US,5,20260617,210000,88.62,88.62,88.62,88.62,511,0
BMNP.US,5,20260617,210500,88.6,88.6,88.6,88.6,350,0
BMNP.US,5,20260617,211000,88.62,88.62,88.62,88.62,400,0
BMNP.US,5,20260617,212500,88.62,88.62,88.62,88.62,200,0
