<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BPRO.US,5,20260126,153000,29.46,30,27.6,27.6,2437,0
BPRO.US,5,20260126,153500,27.9802,28.03,27.74,27.9874,10199,0
BPRO.US,5,20260126,154000,27.995,28.117,27.995,28.117,2872,0
BPRO.US,5,20260126,154500,28.13,28.13,28.0506,28.0506,207,0
BPRO.US,5,20260126,160000,28.09,28.13,28.09,28.13,584,0
BPRO.US,5,20260126,160500,28.2809,28.2809,28.2809,28.2809,100,0
BPRO.US,5,20260126,161000,28.16,28.16,28.0765,28.0765,939,0
BPRO.US,5,20260126,162000,28.117,28.117,28.117,28.117,100,0
BPRO.US,5,20260126,162500,28.165,28.165,28.16,28.16,909,0
BPRO.US,5,20260126,163000,28.16,28.165,28.16,28.16,1697,0
BPRO.US,5,20260126,164000,28.1645,28.1645,28.1634,28.1634,5210,0
BPRO.US,5,20260126,164500,28.1899,28.1899,28.1899,28.1899,200,0
BPRO.US,5,20260126,165000,28.18,28.18,28.18,28.18,942,0
BPRO.US,5,20260126,165500,28.1915,28.1915,28.1915,28.1915,1200,0
BPRO.US,5,20260126,170000,28.215,28.268,28.215,28.268,606,0
BPRO.US,5,20260126,170500,28.2697,28.2697,28.22,28.22,1368,0
BPRO.US,5,20260126,171000,28.22,28.22,28.22,28.22,667,0
BPRO.US,5,20260126,171500,28.2606,28.2606,28.2606,28.2606,200,0
BPRO.US,5,20260126,172000,28.24,28.2559,28.229,28.2559,3600,0
BPRO.US,5,20260126,172500,28.2221,28.24,28.22,28.22,1694,0
BPRO.US,5,20260126,173000,28.295,28.295,28.295,28.295,277,0
BPRO.US,5,20260126,174500,28.741,28.8999,28.741,28.8999,1100,0
BPRO.US,5,20260126,175000,28.789,28.8697,28.789,28.8697,200,0
BPRO.US,5,20260126,180500,28.855,28.855,28.47,28.47,700,0
BPRO.US,5,20260126,182000,28.7308,28.7367,28.7308,28.7367,550,0
BPRO.US,5,20260126,182500,28.56,28.76,28.56,28.76,900,0
BPRO.US,5,20260126,183000,29.695,29.695,29.02,29.02,392,0
BPRO.US,5,20260126,183500,29.395,30.2899,29.1177,30.2899,1047,0
BPRO.US,5,20260126,184000,29.9761,29.9761,29.9761,29.9761,500,0
BPRO.US,5,20260126,184500,28.94,29.3,28.94,28.94,5600,0
BPRO.US,5,20260126,185000,29.23,29.24,29.1584,29.19,2400,0
BPRO.US,5,20260126,185500,29.235,29.28,29.23,29.23,1517,0
BPRO.US,5,20260126,190000,29.15,29.15,29.15,29.15,172,0
BPRO.US,5,20260126,190500,29.2052,29.2052,29.2052,29.2052,278,0
BPRO.US,5,20260126,191000,29.25,29.27,29.25,29.27,9714,0
BPRO.US,5,20260126,191500,29.2699,29.2699,29.1825,29.2616,3489,0
BPRO.US,5,20260126,192000,29.25,29.29,29.2326,29.2899,2602,0
BPRO.US,5,20260126,193000,29.29,29.29,29.22,29.22,3740,0
BPRO.US,5,20260126,193500,29.22,29.22,29.22,29.22,1313,0
BPRO.US,5,20260126,194000,29.225,29.225,29.19,29.21,800,0
BPRO.US,5,20260126,194500,29.175,29.19,29.12,29.1899,5061,0
BPRO.US,5,20260126,195000,29.1144,29.19,29.1144,29.19,950,0
BPRO.US,5,20260126,195500,29.19,29.19,29.19,29.19,150,0
BPRO.US,5,20260126,200000,29.12,29.12,29,29.01,7000,0
BPRO.US,5,20260126,200500,29.085,29.175,29.05,29.17,8200,0
BPRO.US,5,20260126,201000,29.095,29.095,29.095,29.095,100,0
BPRO.US,5,20260126,202500,29.085,29.085,29.085,29.085,300,0
BPRO.US,5,20260126,203000,29.095,29.095,29.095,29.095,200,0
BPRO.US,5,20260126,205000,29.02,29.02,29.0132,29.02,3507,0
BPRO.US,5,20260126,205500,29.02,29.055,29.015,29.055,3220,0
BPRO.US,5,20260126,210000,29.055,29.055,29.055,29.055,1750,0
BPRO.US,5,20260126,210500,29.055,29.055,29.055,29.055,1700,0
BPRO.US,5,20260126,211000,29.07,29.07,29.07,29.07,1775,0
BPRO.US,5,20260126,212500,29.07,29.07,29.07,29.07,1700,0
BPRO.US,5,20260126,213000,29.07,29.07,28.75,28.85,10416,0
BPRO.US,5,20260126,213500,28.83,28.83,28.83,28.83,150,0
BPRO.US,5,20260126,214000,28.8848,28.91,28.83,28.91,706,0
BPRO.US,5,20260126,214500,28.9099,28.9099,28.9099,28.9099,1200,0
BPRO.US,5,20260126,215000,28.8428,28.91,28.8428,28.91,275,0
BPRO.US,5,20260126,215500,28.95,28.95,28.77,28.77,7982,0
BPRO.US,5,20260127,153000,29.2,29.225,28.8,28.8,1022,0
BPRO.US,5,20260127,153500,28.77,28.77,28.02,28.02,739,0
BPRO.US,5,20260127,155000,28.05,28.05,28.05,28.05,500,0
BPRO.US,5,20260127,155500,28.0073,28.0073,28,28,1821,0
BPRO.US,5,20260127,160000,27.98,27.98,27.98,27.98,100,0
BPRO.US,5,20260127,160500,27.7585,27.7585,27.7045,27.7045,975,0
BPRO.US,5,20260127,161000,27.78,27.8,27.78,27.8,1000,0
BPRO.US,5,20260127,162000,27.52,27.52,27.3,27.3,1500,0
BPRO.US,5,20260127,162500,27.27,27.27,27.23,27.25,1309,0
BPRO.US,5,20260127,163000,27,27.1399,26.975,27.1399,2600,0
BPRO.US,5,20260127,164000,27,27.02,27,27.005,2085,0
BPRO.US,5,20260127,170500,26.81,26.81,26.5415,26.5415,2445,0
BPRO.US,5,20260127,171500,26.71,26.92,26.71,26.92,4178,0
BPRO.US,5,20260127,172000,26.89,26.89,26.82,26.832,2953,0
BPRO.US,5,20260127,172500,26.825,26.825,26.825,26.825,100,0
BPRO.US,5,20260127,173500,26.76,26.764,26.76,26.764,725,0
BPRO.US,5,20260127,174000,26.8246,26.88,26.8246,26.88,2400,0
BPRO.US,5,20260127,174500,26.77,26.815,26.77,26.815,400,0
BPRO.US,5,20260127,175000,26.82,26.82,26.82,26.82,600,0
BPRO.US,5,20260127,180000,26.75,26.8,26.75,26.8,400,0
BPRO.US,5,20260127,180500,26.75,26.75,26.75,26.75,300,0
BPRO.US,5,20260127,181000,26.765,26.82,26.765,26.81,2000,0
BPRO.US,5,20260127,182000,26.81,26.81,26.81,26.81,759,0
BPRO.US,5,20260127,182500,26.7819,26.8199,26.7,26.7,7600,0
BPRO.US,5,20260127,183000,26.69,26.69,26.69,26.69,100,0
BPRO.US,5,20260127,183500,26.699,26.7,26.699,26.6999,601,0
BPRO.US,5,20260127,185000,26.6986,26.7,26.666,26.666,1908,0
BPRO.US,5,20260127,185500,26.7,26.7,26.666,26.666,1000,0
BPRO.US,5,20260127,190000,26.7,26.7,26.665,26.7,1318,0
BPRO.US,5,20260127,190500,26.63,26.65,26.63,26.65,200,0
BPRO.US,5,20260127,192000,26.67,26.67,26.51,26.51,200,0
BPRO.US,5,20260127,192500,26.5874,26.5874,26.5537,26.5537,650,0
BPRO.US,5,20260127,193000,26.595,26.595,26.595,26.595,5257,0
BPRO.US,5,20260127,193500,26.6026,26.6026,26.5874,26.595,661,0
BPRO.US,5,20260127,194000,26.5904,26.68,26.5904,26.6254,2100,0
BPRO.US,5,20260127,194500,26.69,26.69,26.595,26.595,11299,0
BPRO.US,5,20260127,195000,26.5,26.595,26.5,26.5949,1427,0
BPRO.US,5,20260127,200000,26.5,26.5,26.5,26.5,330,0
BPRO.US,5,20260127,201500,26.21,26.22,26.21,26.21,3032,0
BPRO.US,5,20260127,202500,26.12,26.12,26.12,26.12,1160,0
BPRO.US,5,20260127,203500,26.057,26.11,26.057,26.11,1699,0
BPRO.US,5,20260127,204000,26.22,26.22,26.22,26.22,215,0
BPRO.US,5,20260127,205500,26.28,26.28,26.28,26.28,100,0
BPRO.US,5,20260127,212500,26.65,26.7,26.615,26.7,3360,0
BPRO.US,5,20260127,213000,26.69,26.69,26.69,26.69,432,0
BPRO.US,5,20260127,213500,26.69,26.69,26.69,26.69,100,0
BPRO.US,5,20260127,214000,26.69,26.69,26.69,26.69,700,0
BPRO.US,5,20260127,214500,26.69,26.7,26.69,26.7,600,0
BPRO.US,5,20260127,215500,26.7,26.7,26.69,26.69,359,0
BPRO.US,5,20260128,153500,26.7001,26.765,26.7001,26.76,1612,0
BPRO.US,5,20260128,160500,26.7,26.7,26.7,26.7,347,0
BPRO.US,5,20260128,165500,26.65,26.65,26.65,26.65,116,0
BPRO.US,5,20260128,170500,26.6801,26.6801,26.6776,26.6776,490,0
BPRO.US,5,20260128,171000,26.65,26.71,26.65,26.71,1062,0
BPRO.US,5,20260128,171500,26.85,26.85,26.85,26.85,500,0
BPRO.US,5,20260128,174500,26.8,26.9,26.8,26.89,1973,0
BPRO.US,5,20260128,175000,26.9,26.9,26.9,26.9,200,0
BPRO.US,5,20260128,175500,26.865,26.865,26.8,26.8649,1120,0
BPRO.US,5,20260128,181500,26.92,26.92,26.92,26.92,296,0
BPRO.US,5,20260128,183000,26.92,26.92,26.92,26.92,100,0
BPRO.US,5,20260128,183500,26.8661,26.8661,26.86,26.86,211,0
BPRO.US,5,20260128,184000,26.86,26.86,26.8,26.8,348,0
BPRO.US,5,20260128,184500,26.83,26.83,26.83,26.83,500,0
BPRO.US,5,20260128,185000,26.88,26.88,26.88,26.88,500,0
BPRO.US,5,20260128,190000,26.84,26.84,26.84,26.84,100,0
BPRO.US,5,20260128,192500,26.81,26.81,26.81,26.81,100,0
BPRO.US,5,20260128,193500,26.7355,26.79,26.7355,26.79,1400,0
BPRO.US,5,20260128,194000,26.69,26.69,26.69,26.69,100,0
BPRO.US,5,20260128,195000,26.63,26.63,26.63,26.63,300,0
BPRO.US,5,20260128,200000,26.65,26.65,26.65,26.65,401,0
BPRO.US,5,20260128,200500,26.69,26.69,26.69,26.69,100,0
BPRO.US,5,20260128,201000,26.63,26.63,26.63,26.63,112,0
BPRO.US,5,20260128,202000,26.7,26.7,26.7,26.7,399,0
BPRO.US,5,20260128,202500,26.82,26.82,26.68,26.68,400,0
BPRO.US,5,20260128,203500,26.78,26.78,26.78,26.78,100,0
BPRO.US,5,20260128,204000,26.703,26.78,26.703,26.78,645,0
BPRO.US,5,20260128,204500,26.81,26.81,26.81,26.81,100,0
BPRO.US,5,20260128,205000,26.89,26.89,26.89,26.89,447,0
BPRO.US,5,20260128,205500,26.96,26.96,26.94,26.94,1360,0
BPRO.US,5,20260128,210000,26.98,27.06,26.98,27.06,901,0
BPRO.US,5,20260128,210500,27.05,27.06,27.05,27.06,1011,0
BPRO.US,5,20260128,211000,27.05,27.13,27.05,27.13,1000,0
BPRO.US,5,20260128,211500,26.98,27.04,26.98,27.04,1300,0
BPRO.US,5,20260128,212000,27.05,27.05,27.04,27.04,600,0
BPRO.US,5,20260128,212500,27.06,27.06,27.0205,27.06,1739,0
BPRO.US,5,20260128,213000,27.07,27.07,27.025,27.06,1673,0
BPRO.US,5,20260128,213500,27.06,27.06,27.06,27.06,500,0
BPRO.US,5,20260128,214000,27.07,27.14,27.07,27.07,1900,0
BPRO.US,5,20260128,214500,27.14,27.15,27.14,27.15,1000,0
BPRO.US,5,20260128,215000,27.15,27.19,27.15,27.18,1178,0
BPRO.US,5,20260128,215500,27.14,27.15,27.115,27.15,3700,0
BPRO.US,5,20260129,154000,27.5499,27.5499,27.5499,27.5499,725,0
BPRO.US,5,20260129,154500,27.43,27.43,27.43,27.43,1310,0
