<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BTC.US,5,20260126,153000,38.75,38.87,38.665,38.8613,68960,0
BTC.US,5,20260126,153500,38.872,39.03,38.872,38.96,40345,0
BTC.US,5,20260126,154000,38.9799,39.11,38.93,38.965,45286,0
BTC.US,5,20260126,154500,38.96,39.04,38.92,38.9251,16698,0
BTC.US,5,20260126,155000,38.92,38.94,38.82,38.865,20033,0
BTC.US,5,20260126,155500,38.8497,39.019,38.845,38.99,28126,0
BTC.US,5,20260126,160000,39.01,39.035,38.935,39.03,11698,0
BTC.US,5,20260126,160500,39.02,39.04,38.975,39.03,12974,0
BTC.US,5,20260126,161000,39.035,39.25,38.97,39.2051,50889,0
BTC.US,5,20260126,161500,39.23,39.285,39.17,39.205,19638,0
BTC.US,5,20260126,162000,39.2,39.2034,39.135,39.135,19909,0
BTC.US,5,20260126,162500,39.135,39.135,39.08,39.1301,15584,0
BTC.US,5,20260126,163000,39.0616,39.105,38.995,39.08,18921,0
BTC.US,5,20260126,163500,39.04,39.055,38.99,38.99,16246,0
BTC.US,5,20260126,164000,39.01,39.01,38.64,38.67,78472,0
BTC.US,5,20260126,164500,38.665,38.7,38.6,38.7,14270,0
BTC.US,5,20260126,165000,38.76,38.78,38.69,38.71,31586,0
BTC.US,5,20260126,165500,38.755,38.77,38.73,38.748,34981,0
BTC.US,5,20260126,170000,38.75,38.81,38.6984,38.77,71460,0
BTC.US,5,20260126,170500,38.745,38.755,38.585,38.61,20731,0
BTC.US,5,20260126,171000,38.605,38.6458,38.59,38.64,14325,0
BTC.US,5,20260126,171500,38.64,38.67,38.555,38.67,38202,0
BTC.US,5,20260126,172000,38.685,38.876,38.68,38.85,20749,0
BTC.US,5,20260126,172500,38.835,38.845,38.765,38.7699,13843,0
BTC.US,5,20260126,173000,38.77,38.8,38.72,38.77,6215,0
BTC.US,5,20260126,173500,38.753,38.755,38.69,38.69,46443,0
BTC.US,5,20260126,174000,38.685,38.7109,38.65,38.67,19622,0
BTC.US,5,20260126,174500,38.665,38.84,38.65,38.84,19877,0
BTC.US,5,20260126,175000,38.845,38.87,38.82,38.835,14398,0
BTC.US,5,20260126,175500,38.82,38.82,38.73,38.73,8414,0
BTC.US,5,20260126,180000,38.725,38.81,38.72,38.795,19079,0
BTC.US,5,20260126,180500,38.7858,38.795,38.69,38.69,11622,0
BTC.US,5,20260126,181000,38.695,38.695,38.64,38.6481,23825,0
BTC.US,5,20260126,181500,38.67,38.695,38.565,38.575,30920,0
BTC.US,5,20260126,182000,38.5701,38.67,38.5701,38.63,11499,0
BTC.US,5,20260126,182500,38.63,38.68,38.63,38.635,15185,0
BTC.US,5,20260126,183000,38.63,38.64,38.49,38.58,45462,0
BTC.US,5,20260126,183500,38.59,38.725,38.59,38.715,20326,0
BTC.US,5,20260126,184000,38.7,38.725,38.6834,38.6973,3635,0
BTC.US,5,20260126,184500,38.7,38.7301,38.68,38.7301,12986,0
BTC.US,5,20260126,185000,38.71,38.79,38.71,38.7845,6255,0
BTC.US,5,20260126,185500,38.79,38.795,38.76,38.765,2481,0
BTC.US,5,20260126,190000,38.765,38.83,38.76,38.82,13589,0
BTC.US,5,20260126,190500,38.795,38.82,38.76,38.82,14942,0
BTC.US,5,20260126,191000,38.83,38.845,38.8,38.8311,18265,0
BTC.US,5,20260126,191500,38.825,38.938,38.785,38.9,20368,0
BTC.US,5,20260126,192000,38.88,38.89,38.82,38.87,4995,0
BTC.US,5,20260126,192500,38.884,38.95,38.87,38.945,11195,0
BTC.US,5,20260126,193000,38.955,39.04,38.955,39.015,21997,0
BTC.US,5,20260126,193500,39.025,39.05,38.955,38.965,8049,0
BTC.US,5,20260126,194000,38.99,38.99,38.9089,38.9089,16905,0
BTC.US,5,20260126,194500,38.9009,38.98,38.875,38.98,17103,0
BTC.US,5,20260126,195000,38.98,39.015,38.9776,39.01,11753,0
BTC.US,5,20260126,195500,39,39.09,38.9927,39.09,11053,0
BTC.US,5,20260126,200000,39.1,39.15,39.085,39.085,29269,0
BTC.US,5,20260126,200500,39.06,39.115,39.06,39.11,129951,0
BTC.US,5,20260126,201000,39.095,39.11,39.06,39.07,9162,0
BTC.US,5,20260126,201500,39.09,39.0919,39.03,39.05,14260,0
BTC.US,5,20260126,202000,39.0578,39.0578,38.96,38.975,8375,0
BTC.US,5,20260126,202500,38.99,38.99,38.975,38.975,6793,0
BTC.US,5,20260126,203000,38.985,39.005,38.9503,39.005,4617,0
BTC.US,5,20260126,203500,38.97,39.025,38.9654,39.025,10395,0
