<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BTGO.US,5,20260126,153000,14.47,14.62,14,14.08,95288,0
BTGO.US,5,20260126,153500,14.1,14.14,13.77,13.9,158852,0
BTGO.US,5,20260126,154000,13.9738,13.98,13.74,13.8985,141251,0
BTGO.US,5,20260126,154500,13.88,14.2,13.7719,14.12,64250,0
BTGO.US,5,20260126,155000,14.06,14.1,13.955,14.0275,46419,0
BTGO.US,5,20260126,155500,14.025,14.05,13.91,13.975,40422,0
BTGO.US,5,20260126,160000,13.97,14,13.8,13.81,74816,0
BTGO.US,5,20260126,160500,13.8453,13.9499,13.54,13.6,65890,0
BTGO.US,5,20260126,161000,13.66,13.6799,13.5,13.6301,95504,0
BTGO.US,5,20260126,161500,13.63,13.73,13.3,13.35,109478,0
BTGO.US,5,20260126,162000,13.34,13.5,13.25,13.496,103897,0
BTGO.US,5,20260126,162500,13.49,13.49,13.25,13.47,105796,0
BTGO.US,5,20260126,163000,13.38,13.47,13.2925,13.34,48199,0
BTGO.US,5,20260126,163500,13.33,13.49,13.27,13.405,66467,0
BTGO.US,5,20260126,164000,13.405,13.46,13.285,13.285,28321,0
BTGO.US,5,20260126,164500,13.28,13.4,13.25,13.4,48750,0
BTGO.US,5,20260126,165000,13.355,13.44,13.13,13.13,60204,0
BTGO.US,5,20260126,165500,13.13,13.28,13,13.0323,90558,0
BTGO.US,5,20260126,170000,13.02,13.16,13,13.1564,126684,0
BTGO.US,5,20260126,170500,13.135,13.25,13.07,13.235,17716,0
BTGO.US,5,20260126,171000,13.23,13.55,13.23,13.53,53489,0
BTGO.US,5,20260126,171500,13.51,13.55,13.165,13.2,44798,0
BTGO.US,5,20260126,172000,13.2,13.2669,13.1801,13.1801,25486,0
BTGO.US,5,20260126,172500,13.185,13.26,13.125,13.19,23022,0
BTGO.US,5,20260126,173000,13.21,13.21,13.1,13.11,16719,0
BTGO.US,5,20260126,173500,13.12,13.2,13.1,13.17,30530,0
BTGO.US,5,20260126,174000,13.17,13.22,13.11,13.175,25821,0
