<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BUI.US,5,20260126,153000,26.83,26.83,26.8,26.8,655,0
BUI.US,5,20260126,153500,26.8,26.8,26.795,26.795,214,0
BUI.US,5,20260126,154500,26.88,26.98,26.88,26.98,2478,0
BUI.US,5,20260126,155000,26.89,26.89,26.85,26.85,590,0
BUI.US,5,20260126,160000,26.9,26.9,26.9,26.9,100,0
BUI.US,5,20260126,160500,26.9,26.9,26.9,26.9,100,0
BUI.US,5,20260126,161000,26.93,26.93,26.93,26.93,100,0
BUI.US,5,20260126,161500,26.9295,26.9295,26.92,26.92,230,0
BUI.US,5,20260126,162000,26.91,26.95,26.91,26.95,956,0
BUI.US,5,20260126,162500,26.9395,26.9395,26.915,26.915,362,0
BUI.US,5,20260126,163500,26.95,26.95,26.9485,26.95,697,0
BUI.US,5,20260126,164000,26.915,26.94,26.915,26.9262,1208,0
BUI.US,5,20260126,164500,26.8901,26.98,26.8901,26.97,1864,0
BUI.US,5,20260126,165000,26.9785,26.9785,26.9627,26.9627,370,0
BUI.US,5,20260126,165500,26.9611,26.98,26.9611,26.98,678,0
BUI.US,5,20260126,171000,26.925,26.925,26.925,26.925,300,0
BUI.US,5,20260126,172000,26.9286,26.9286,26.9286,26.9286,120,0
BUI.US,5,20260126,172500,26.8805,26.9699,26.8805,26.9699,700,0
BUI.US,5,20260126,173500,26.9122,26.9141,26.9122,26.9141,4207,0
BUI.US,5,20260126,174000,26.9122,26.9122,26.8086,26.8086,1735,0
BUI.US,5,20260126,175500,26.83,26.83,26.83,26.83,150,0
BUI.US,5,20260126,180000,26.83,26.83,26.83,26.83,100,0
BUI.US,5,20260126,181000,26.84,26.84,26.81,26.81,950,0
BUI.US,5,20260126,182500,26.84,26.84,26.84,26.84,400,0
BUI.US,5,20260126,183000,26.84,26.84,26.84,26.84,100,0
BUI.US,5,20260126,184000,26.8799,26.8799,26.8799,26.8799,400,0
BUI.US,5,20260126,184500,26.84,26.84,26.836,26.8368,874,0
BUI.US,5,20260126,191000,26.835,26.835,26.835,26.835,360,0
BUI.US,5,20260126,192500,26.835,26.89,26.83,26.89,1380,0
BUI.US,5,20260126,193000,26.9,26.9,26.865,26.865,470,0
BUI.US,5,20260126,194500,26.9,26.9,26.9,26.9,100,0
BUI.US,5,20260126,195000,26.8722,26.8722,26.865,26.865,200,0
BUI.US,5,20260126,200000,26.91,26.91,26.82,26.82,4687,0
BUI.US,5,20260126,202500,26.91,26.91,26.91,26.91,100,0
BUI.US,5,20260126,203500,26.8576,26.8576,26.85,26.85,1900,0
BUI.US,5,20260126,204000,26.9099,26.9099,26.865,26.865,1587,0
BUI.US,5,20260126,204500,26.8529,26.86,26.8529,26.86,1200,0
BUI.US,5,20260126,205000,26.87,26.87,26.83,26.85,5828,0
BUI.US,5,20260126,205500,26.85,26.85,26.85,26.85,138,0
BUI.US,5,20260126,210000,26.85,26.85,26.85,26.85,300,0
BUI.US,5,20260126,210500,26.8,26.85,26.8,26.845,2124,0
BUI.US,5,20260126,211000,26.83,26.83,26.83,26.83,294,0
BUI.US,5,20260126,211500,26.89,26.91,26.89,26.91,2315,0
BUI.US,5,20260126,212000,26.87,26.87,26.87,26.87,726,0
BUI.US,5,20260126,212500,26.87,26.87,26.87,26.87,401,0
BUI.US,5,20260126,213000,26.8952,26.94,26.8952,26.915,3524,0
BUI.US,5,20260126,214500,26.96,26.96,26.95,26.95,200,0
BUI.US,5,20260126,215000,26.88,26.96,26.88,26.96,334,0
BUI.US,5,20260126,215500,26.96,26.96,26.92,26.92,3110,0
BUI.US,5,20260127,153000,26.9123,26.99,26.9123,26.99,1156,0
BUI.US,5,20260127,153500,26.98,26.98,26.98,26.98,231,0
BUI.US,5,20260127,154000,26.97,27.1,26.97,27.1,1220,0
BUI.US,5,20260127,155000,27.05,27.05,27,27.05,2226,0
BUI.US,5,20260127,160000,27.08,27.09,27.08,27.08,1725,0
BUI.US,5,20260127,160500,27.1,27.105,27.0815,27.105,427,0
BUI.US,5,20260127,161000,27.13,27.16,27.1064,27.12,742,0
BUI.US,5,20260127,161500,27.16,27.19,27.1384,27.19,3399,0
BUI.US,5,20260127,162000,27.18,27.18,27.17,27.17,225,0
BUI.US,5,20260127,162500,27.155,27.155,27.12,27.12,700,0
BUI.US,5,20260127,163000,27.1,27.1,27.1,27.1,1068,0
BUI.US,5,20260127,163500,27.05,27.0678,27.05,27.0678,438,0
BUI.US,5,20260127,164000,27.1,27.1,27.1,27.1,251,0
BUI.US,5,20260127,164500,27.12,27.12,27.12,27.12,200,0
BUI.US,5,20260127,165500,27.1,27.1,27.1,27.1,100,0
BUI.US,5,20260127,170500,27.11,27.11,27.11,27.11,100,0
BUI.US,5,20260127,171000,27.1899,27.1899,27.1899,27.1899,725,0
BUI.US,5,20260127,171500,27.135,27.145,27.12,27.145,945,0
BUI.US,5,20260127,172500,27.11,27.11,27.11,27.11,100,0
BUI.US,5,20260127,173000,27.12,27.12,27.0514,27.0514,1200,0
BUI.US,5,20260127,174000,27.145,27.145,27.1405,27.1405,338,0
BUI.US,5,20260127,174500,27.14,27.14,27.14,27.14,170,0
BUI.US,5,20260127,175000,27.1899,27.1899,27.1294,27.1294,450,0
BUI.US,5,20260127,180000,27.135,27.135,27.135,27.135,618,0
BUI.US,5,20260127,180500,27.105,27.135,27.105,27.1301,400,0
BUI.US,5,20260127,181500,27.145,27.17,27.145,27.1699,3206,0
BUI.US,5,20260127,182500,27.17,27.17,27.145,27.145,200,0
BUI.US,5,20260127,183000,27.1318,27.1318,27.1318,27.1318,6000,0
BUI.US,5,20260127,183500,27.145,27.15,27.145,27.145,880,0
BUI.US,5,20260127,184000,27.16,27.16,27.15,27.15,200,0
BUI.US,5,20260127,190500,27.1504,27.1504,27.1504,27.1504,2591,0
BUI.US,5,20260127,191000,27.155,27.17,27.15,27.157,1095,0
BUI.US,5,20260127,191500,27.14,27.14,27.1,27.1,1010,0
BUI.US,5,20260127,192000,27.11,27.12,27.1,27.1,335,0
BUI.US,5,20260127,192500,27.07,27.07,27.03,27.04,2300,0
BUI.US,5,20260127,193000,27.09,27.09,27.09,27.09,100,0
BUI.US,5,20260127,193500,27.03,27.13,27.03,27.13,1223,0
BUI.US,5,20260127,195500,27.095,27.095,27.095,27.095,200,0
BUI.US,5,20260127,200500,27.095,27.095,27.095,27.095,100,0
BUI.US,5,20260127,201000,27.0401,27.0401,27.0401,27.0401,150,0
BUI.US,5,20260127,201500,27.06,27.06,27.05,27.05,500,0
BUI.US,5,20260127,202000,27.09,27.09,27.09,27.09,945,0
BUI.US,5,20260127,203000,27.13,27.13,27.0401,27.0401,362,0
BUI.US,5,20260127,203500,27.13,27.13,27.13,27.13,200,0
BUI.US,5,20260127,204000,27.13,27.13,27.13,27.13,100,0
BUI.US,5,20260127,205000,27.07,27.07,27.07,27.07,204,0
BUI.US,5,20260127,205500,27.1,27.1,27.1,27.1,1050,0
BUI.US,5,20260127,210000,27.09,27.09,27.09,27.09,412,0
BUI.US,5,20260127,211000,27.1499,27.1499,27.1499,27.1499,368,0
BUI.US,5,20260127,212000,27.095,27.095,27.095,27.095,250,0
BUI.US,5,20260127,212500,27.095,27.095,27.095,27.095,375,0
BUI.US,5,20260127,213500,27.1,27.1,27.0501,27.0501,329,0
BUI.US,5,20260127,214000,27.1387,27.1387,27.1387,27.1387,440,0
BUI.US,5,20260127,215000,27.06,27.17,27.06,27.17,380,0
BUI.US,5,20260127,215500,27.19,27.19,27.16,27.19,2206,0
BUI.US,5,20260128,153500,27.205,27.3499,27.1546,27.3499,506,0
BUI.US,5,20260128,154500,27.2014,27.2014,27.2014,27.2014,178,0
BUI.US,5,20260128,155000,27.29,27.29,27.29,27.29,1047,0
BUI.US,5,20260128,155500,27.245,27.248,27.24,27.248,550,0
BUI.US,5,20260128,160000,27.24,27.31,27.24,27.31,14962,0
BUI.US,5,20260128,160500,27.3,27.3,27.3,27.3,6348,0
BUI.US,5,20260128,163500,27.25,27.25,27.25,27.25,300,0
BUI.US,5,20260128,164500,27.25,27.25,27.25,27.25,100,0
BUI.US,5,20260128,165000,27.25,27.25,27.25,27.25,400,0
BUI.US,5,20260128,165500,27.3,27.335,27.3,27.335,629,0
BUI.US,5,20260128,170000,27.3101,27.3298,27.3101,27.3298,870,0
BUI.US,5,20260128,170500,27.31,27.31,27.31,27.31,800,0
BUI.US,5,20260128,173500,27.3,27.3,27.3,27.3,200,0
BUI.US,5,20260128,175500,27.27,27.32,27.27,27.32,330,0
BUI.US,5,20260128,180000,27.29,27.29,27.27,27.276,1730,0
BUI.US,5,20260128,180500,27.27,27.27,27.26,27.26,525,0
BUI.US,5,20260128,181500,27.31,27.31,27.31,27.31,110,0
BUI.US,5,20260128,182500,27.295923,27.295923,27.295923,27.295923,385,0
BUI.US,5,20260128,184000,27.285,27.285,27.285,27.285,100,0
BUI.US,5,20260128,185000,27.25,27.25,27.25,27.25,147,0
BUI.US,5,20260128,185500,27.28,27.28,27.28,27.28,200,0
BUI.US,5,20260128,190500,27.290202,27.290202,27.290202,27.290202,385,0
BUI.US,5,20260128,191000,27.28,27.28,27.28,27.28,1100,0
BUI.US,5,20260128,192000,27.28,27.28,27.28,27.28,400,0
BUI.US,5,20260128,192500,27.3399,27.3399,27.31,27.32,724,0
BUI.US,5,20260128,193000,27.32,27.35,27.32,27.32,3856,0
BUI.US,5,20260128,194000,27.32,27.32,27.32,27.32,1449,0
BUI.US,5,20260128,194500,27.35,27.36,27.3411,27.3572,1684,0
BUI.US,5,20260128,195000,27.3401,27.36,27.3401,27.35,1600,0
BUI.US,5,20260128,200000,27.324,27.3349,27.324,27.3349,4250,0
BUI.US,5,20260128,200500,27.3076,27.3076,27.3076,27.3076,175,0
BUI.US,5,20260128,201500,27.34,27.34,27.34,27.34,809,0
BUI.US,5,20260128,202000,27.32,27.32,27.32,27.32,100,0
BUI.US,5,20260128,202500,27.3215,27.34,27.3215,27.34,1700,0
BUI.US,5,20260128,203000,27.335,27.36,27.325,27.325,1568,0
BUI.US,5,20260128,203500,27.344,27.385,27.34,27.34,1282,0
BUI.US,5,20260128,204000,27.34,27.34,27.34,27.34,146,0
BUI.US,5,20260128,205500,27.38,27.38,27.38,27.38,1925,0
BUI.US,5,20260128,210000,27.34,27.34,27.34,27.34,100,0
BUI.US,5,20260128,210500,27.3725,27.39,27.34,27.34,4141,0
BUI.US,5,20260128,211000,27.34,27.35,27.27,27.27,23848,0
BUI.US,5,20260128,214000,27.38,27.38,27.3414,27.3414,300,0
BUI.US,5,20260128,214500,27.3899,27.39,27.3899,27.39,647,0
BUI.US,5,20260128,215000,27.381,27.381,27.3594,27.3594,2120,0
BUI.US,5,20260128,215500,27.38,27.39,27.37,27.39,3212,0
BUI.US,5,20260129,153000,27.3892,27.3892,27.3892,27.3892,545,0
BUI.US,5,20260129,153500,27.255,27.39,27.255,27.39,2000,0
BUI.US,5,20260129,155000,27.36,27.36,27.36,27.36,100,0
BUI.US,5,20260129,155500,27.3599,27.3599,27.24,27.24,794,0
BUI.US,5,20260129,160000,27.33,27.33,27.33,27.33,100,0
BUI.US,5,20260129,160500,27.24,27.33,27.24,27.33,800,0
BUI.US,5,20260129,161500,27.32,27.32,27.32,27.32,100,0
BUI.US,5,20260129,162000,27.24,27.2873,27.24,27.2873,575,0
BUI.US,5,20260129,162500,27.228,27.252,27.228,27.252,758,0
BUI.US,5,20260129,163000,27.24,27.24,27.24,27.24,500,0
BUI.US,5,20260129,163500,27.295,27.3341,27.295,27.3341,781,0
BUI.US,5,20260129,164500,27.3599,27.3599,27.295,27.295,718,0
BUI.US,5,20260129,165000,27.285,27.285,27.2684,27.27,570,0
BUI.US,5,20260129,165500,27.285,27.285,27.24,27.24,2934,0
BUI.US,5,20260129,170000,27.2412,27.2412,27.2412,27.2412,100,0
BUI.US,5,20260129,170500,27.23,27.26,27.23,27.25,3302,0
BUI.US,5,20260129,171500,27.24,27.24,27.24,27.24,118,0
BUI.US,5,20260129,172000,27.35,27.35,27.3248,27.3248,300,0
BUI.US,5,20260129,172500,27.33,27.33,27.33,27.33,100,0
BUI.US,5,20260129,173000,27.33,27.33,27.33,27.33,100,0
BUI.US,5,20260129,173500,27.33,27.3599,27.33,27.3599,1100,0
BUI.US,5,20260129,174500,27.26,27.26,27.12,27.12,298,0
BUI.US,5,20260129,175000,27.2886,27.2886,27.2491,27.2491,1557,0
BUI.US,5,20260129,175500,27.25,27.25,27.25,27.25,149,0
BUI.US,5,20260129,180500,27.3499,27.3499,27.3499,27.3499,475,0
BUI.US,5,20260129,181000,27.33,27.33,27.24,27.24,5557,0
BUI.US,5,20260129,181500,27.24,27.24,27.24,27.24,4115,0
BUI.US,5,20260129,182000,27.35,27.35,27.35,27.35,100,0
BUI.US,5,20260129,182500,27.2501,27.2501,27.2501,27.2501,1000,0
BUI.US,5,20260129,183000,27.3,27.35,27.3,27.35,200,0
BUI.US,5,20260129,184000,27.35,27.35,27.35,27.35,100,0
BUI.US,5,20260129,184500,27.305,27.305,27.25,27.2501,2103,0
BUI.US,5,20260129,185000,27.25,27.295,27.25,27.295,450,0
BUI.US,5,20260129,185500,27.295,27.295,27.295,27.295,339,0
BUI.US,5,20260129,190000,27.295,27.3053,27.2815,27.295,2000,0
BUI.US,5,20260129,190500,27.295,27.295,27.295,27.295,1900,0
BUI.US,5,20260129,191000,27.295,27.295,27.2501,27.2501,514,0
BUI.US,5,20260129,191500,27.295,27.295,27.295,27.295,1635,0
BUI.US,5,20260129,192000,27.295,27.295,27.295,27.295,600,0
BUI.US,5,20260129,193500,27.305,27.316348,27.3049,27.305,1132,0
BUI.US,5,20260129,194000,27.305,27.305,27.305,27.305,600,0
BUI.US,5,20260129,194500,27.305,27.305,27.305,27.305,101,0
BUI.US,5,20260129,195000,27.35,27.35,27.305,27.305,233,0
BUI.US,5,20260129,195500,27.305,27.305,27.305,27.305,200,0
BUI.US,5,20260129,200000,27.305,27.305,27.305,27.305,100,0
BUI.US,5,20260129,200500,27.294,27.294,27.2704,27.2704,410,0
BUI.US,5,20260129,201000,27.26,27.26,27.26,27.26,295,0
BUI.US,5,20260129,202000,27.305,27.305,27.305,27.305,1337,0
BUI.US,5,20260129,203000,27.305,27.305,27.3,27.3,461,0
BUI.US,5,20260129,204000,27.35,27.35,27.35,27.35,100,0
BUI.US,5,20260129,204500,27.35,27.35,27.35,27.35,100,0
BUI.US,5,20260129,205000,27.305,27.305,27.305,27.305,200,0
BUI.US,5,20260129,205500,27.35,27.35,27.26,27.26,586,0
BUI.US,5,20260129,210000,27.35,27.35,27.35,27.35,1326,0
BUI.US,5,20260129,210500,27.36,27.36,27.36,27.36,200,0
BUI.US,5,20260129,211000,27.36,27.36,27.36,27.36,100,0
BUI.US,5,20260129,211500,27.3325,27.35,27.305,27.305,3892,0
BUI.US,5,20260129,212500,27.2501,27.36,27.2501,27.355,1228,0
BUI.US,5,20260129,213000,27.325,27.39,27.325,27.39,2169,0
BUI.US,5,20260129,213500,27.35,27.35,27.35,27.35,199,0
BUI.US,5,20260129,214000,27.35,27.49,27.35,27.44,10547,0
BUI.US,5,20260129,214500,27.37,27.43,27.37,27.43,230,0
BUI.US,5,20260129,215000,27.39,27.5,27.39,27.485,3174,0
BUI.US,5,20260129,215500,27.49,27.49,27.4483,27.49,3327,0
BUI.US,5,20260130,153000,27.41,27.46,27.405,27.46,1146,0
BUI.US,5,20260130,153500,27.4,27.47,27.39,27.47,1366,0
BUI.US,5,20260130,154000,27.5,27.5,27.5,27.5,800,0
BUI.US,5,20260130,154500,27.45,27.45,27.45,27.45,200,0
BUI.US,5,20260130,155000,27.4739,27.49,27.47,27.475,739,0
BUI.US,5,20260130,155500,27.490075,27.490075,27.47,27.47,506,0
BUI.US,5,20260130,160000,27.49,27.54,27.49,27.54,4238,0
BUI.US,5,20260130,160500,27.4929,27.4929,27.4929,27.4929,148,0
BUI.US,5,20260130,161000,27.495,27.51,27.485,27.51,957,0
BUI.US,5,20260130,162000,27.5067,27.52,27.5067,27.52,237,0
BUI.US,5,20260130,162500,27.52,27.52,27.478,27.485,725,0
BUI.US,5,20260130,163000,27.46,27.49,27.45,27.49,2616,0
BUI.US,5,20260130,164000,27.48,27.48,27.48,27.48,300,0
BUI.US,5,20260130,164500,27.4851,27.4851,27.4851,27.4851,207,0
BUI.US,5,20260130,165500,27.51,27.51,27.48,27.48,593,0
BUI.US,5,20260130,170000,27.5041,27.5199,27.4,27.4,2912,0
BUI.US,5,20260130,170500,27.35,27.35,27.35,27.35,260,0
BUI.US,5,20260130,171000,27.4599,27.4599,27.405,27.405,670,0
BUI.US,5,20260130,171500,27.405,27.405,27.405,27.405,500,0
BUI.US,5,20260130,172000,27.3501,27.36,27.295,27.295,1275,0
BUI.US,5,20260130,172500,27.39,27.39,27.295,27.34,1557,0
BUI.US,5,20260130,173000,27.3765,27.4,27.375,27.39,6201,0
BUI.US,5,20260130,173500,27.3,27.3,27.3,27.3,472,0
BUI.US,5,20260130,174500,27.36,27.36,27.3,27.3,3760,0
BUI.US,5,20260130,175000,27.3,27.3,27.3,27.3,150,0
BUI.US,5,20260130,175500,27.39,27.39,27.39,27.39,300,0
BUI.US,5,20260130,180000,27.3,27.3,27.3,27.3,250,0
BUI.US,5,20260130,180500,27.3,27.36,27.3,27.34,648,0
BUI.US,5,20260130,181000,27.34,27.34,27.32,27.32,525,0
BUI.US,5,20260130,181500,27.3063,27.32,27.25,27.25,10219,0
BUI.US,5,20260130,183000,27.3635,27.3635,27.3635,27.3635,363,0
BUI.US,5,20260130,183500,27.34,27.34,27.34,27.34,2167,0
BUI.US,5,20260130,184500,27.34,27.34,27.3074,27.32,1212,0
BUI.US,5,20260130,185500,27.38,27.38,27.3136,27.3136,310,0
BUI.US,5,20260130,190000,27.3129,27.3129,27.3129,27.3129,200,0
BUI.US,5,20260130,192000,27.3099,27.3099,27.275,27.275,2775,0
BUI.US,5,20260130,192500,27.275,27.275,27.275,27.275,100,0
BUI.US,5,20260130,193500,27.25,27.25,27.25,27.25,100,0
BUI.US,5,20260130,194000,27.275,27.275,27.275,27.275,100,0
BUI.US,5,20260130,194500,27.3205,27.3205,27.3205,27.3205,1000,0
BUI.US,5,20260130,195000,27.34,27.375,27.34,27.375,2831,0
BUI.US,5,20260130,195500,27.363,27.363,27.363,27.363,200,0
BUI.US,5,20260130,200500,27.37,27.426,27.37,27.426,365,0
BUI.US,5,20260130,201000,27.37,27.37,27.37,27.37,200,0
BUI.US,5,20260130,201500,27.37,27.37,27.37,27.37,100,0
BUI.US,5,20260130,202000,27.37,27.37,27.37,27.37,100,0
