<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
C.US,5,20260126,153000,113.86,114.66,113.86,114.6075,150034,0
C.US,5,20260126,153500,114.65,115.23,114.65,114.815,155053,0
C.US,5,20260126,154000,114.8212,115.385,114.755,115.03,147741,0
C.US,5,20260126,154500,115.04,115.21,114.87,115.0815,163134,0
C.US,5,20260126,155000,115.1,115.415,115.05,115.32,158199,0
C.US,5,20260126,155500,115.34,115.38,114.85,114.895,193250,0
C.US,5,20260126,160000,114.89,115.29,114.88,115.11,92427,0
C.US,5,20260126,160500,115.09,115.1799,114.92,114.95,79314,0
C.US,5,20260126,161000,114.93,115.48,114.905,115.3365,136865,0
C.US,5,20260126,161500,115.33,115.34,115.13,115.3,83336,0
C.US,5,20260126,162000,115.31,115.31,115.12,115.2303,60451,0
C.US,5,20260126,162500,115.23,115.23,114.515,114.515,128168,0
C.US,5,20260126,163000,114.5001,114.91,114.495,114.795,84272,0
C.US,5,20260126,163500,114.78,114.87,114.73,114.77,49892,0
C.US,5,20260126,164000,114.75,114.82,114.615,114.7,60750,0
C.US,5,20260126,164500,114.7,114.91,114.685,114.85,44294,0
C.US,5,20260126,165000,114.86,114.89,114.77,114.83,41721,0
C.US,5,20260126,165500,114.82,114.875,114.72,114.79,48506,0
C.US,5,20260126,170000,114.78,114.79,114.64,114.71,62735,0
C.US,5,20260126,170500,114.72,114.75,114.45,114.5501,57568,0
C.US,5,20260126,171000,114.55,114.58,114.36,114.38,93905,0
C.US,5,20260126,171500,114.38,114.54,114.34,114.5,54991,0
C.US,5,20260126,172000,114.49,114.7,114.43,114.61,43734,0
C.US,5,20260126,172500,114.59,114.715,114.54,114.58,47023,0
C.US,5,20260126,173000,114.59,114.905,114.59,114.89,94024,0
C.US,5,20260126,173500,114.9,114.962,114.87,114.94,47008,0
C.US,5,20260126,174000,114.94,114.94,114.7606,114.79,43053,0
C.US,5,20260126,174500,114.78,114.9579,114.74,114.93,44151,0
C.US,5,20260126,175000,114.93,114.95,114.76,114.765,51442,0
C.US,5,20260126,175500,114.75,114.81,114.6,114.609,64332,0
C.US,5,20260126,180000,114.61,114.63,114.5,114.63,47558,0
C.US,5,20260126,180500,114.62,114.74,114.6,114.675,40646,0
C.US,5,20260126,181000,114.68,114.8455,114.65,114.8233,55534,0
C.US,5,20260126,181500,114.83,114.885,114.795,114.86,45402,0
C.US,5,20260126,182000,114.86,114.92,114.84,114.89,36207,0
C.US,5,20260126,182500,114.88,114.94,114.851,114.87,34153,0
C.US,5,20260126,183000,114.87,115.05,114.87,115.02,71738,0
C.US,5,20260126,183500,115.03,115.045,114.97,114.99,40090,0
C.US,5,20260126,184000,115,115.02,114.925,114.99,43570,0
C.US,5,20260126,184500,114.99,115.01,114.845,114.86,45099,0
C.US,5,20260126,185000,114.85,114.9,114.82,114.88,44458,0
C.US,5,20260126,185500,114.9,114.9199,114.84,114.87,37952,0
C.US,5,20260126,190000,114.87,114.91,114.83,114.8708,36046,0
C.US,5,20260126,190500,114.87,114.87,114.65,114.65,63970,0
C.US,5,20260126,191000,114.67,114.74,114.6566,114.72,37050,0
C.US,5,20260126,191500,114.72,114.89,114.64,114.87,56694,0
C.US,5,20260126,192000,114.8751,114.94,114.85,114.86,30627,0
C.US,5,20260126,192500,114.87,114.97,114.84,114.94,26403,0
C.US,5,20260126,193000,114.94,115.01,114.9,114.91,33246,0
C.US,5,20260126,193500,114.9,114.95,114.85,114.89,27571,0
C.US,5,20260126,194000,114.91,114.95,114.885,114.8941,27934,0
C.US,5,20260126,194500,114.9,114.91,114.82,114.885,26934,0
C.US,5,20260126,195000,114.88,114.905,114.84,114.9002,34888,0
C.US,5,20260126,195500,114.9,114.9399,114.81,114.92,29673,0
C.US,5,20260126,200000,114.92,115.085,114.865,115.05,42203,0
C.US,5,20260126,200500,115.04,115.13,115,115.09,41426,0
C.US,5,20260126,201000,115.08,115.08,114.985,115.06,39828,0
C.US,5,20260126,201500,115.05,115.07,115,115.04,28390,0
C.US,5,20260126,202000,115.025,115.035,114.97,115,32743,0
C.US,5,20260126,202500,114.99,115.12,114.99,115.11,41803,0
C.US,5,20260126,203000,115.11,115.16,115.1,115.14,71677,0
C.US,5,20260126,203500,115.13,115.16,115.05,115.05,36130,0
C.US,5,20260126,204000,115.05,115.08,114.99,115.03,47840,0
