<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CANG.US,5,20260126,153000,1.34,1.35,1.32,1.32,33859,0
CANG.US,5,20260126,153500,1.32,1.32,1.29,1.3,29587,0
CANG.US,5,20260126,154000,1.3,1.3099,1.3,1.309,18795,0
CANG.US,5,20260126,154500,1.3085,1.31,1.3,1.3,34205,0
CANG.US,5,20260126,155000,1.3,1.3099,1.3,1.3,9353,0
CANG.US,5,20260126,155500,1.3,1.315,1.3,1.31,13868,0
CANG.US,5,20260126,160000,1.31,1.315,1.3,1.31,7192,0
CANG.US,5,20260126,160500,1.31,1.33,1.31,1.31,66505,0
CANG.US,5,20260126,161000,1.31,1.315,1.3,1.305,4271,0
CANG.US,5,20260126,161500,1.305,1.315,1.3,1.315,10019,0
CANG.US,5,20260126,162000,1.315,1.315,1.31,1.31,4235,0
CANG.US,5,20260126,162500,1.31,1.315,1.3,1.31,6160,0
CANG.US,5,20260126,163000,1.305,1.31,1.3,1.305,9974,0
CANG.US,5,20260126,163500,1.3,1.31,1.29,1.295,23021,0
CANG.US,5,20260126,164000,1.295,1.3,1.29,1.295,8407,0
CANG.US,5,20260126,164500,1.295,1.3,1.29,1.295,6502,0
CANG.US,5,20260126,165000,1.295,1.295,1.29,1.29,3019,0
CANG.US,5,20260126,165500,1.29,1.2954,1.285,1.285,25557,0
CANG.US,5,20260126,170000,1.29,1.295,1.285,1.295,11665,0
CANG.US,5,20260126,170500,1.3,1.32,1.3,1.31,33097,0
CANG.US,5,20260126,171000,1.31,1.31,1.3,1.3,8441,0
CANG.US,5,20260126,171500,1.3,1.305,1.29,1.3,45567,0
CANG.US,5,20260126,172000,1.3,1.305,1.295,1.295,7015,0
CANG.US,5,20260126,172500,1.295,1.3,1.295,1.3,2000,0
CANG.US,5,20260126,173000,1.3,1.3,1.295,1.3,3159,0
CANG.US,5,20260126,173500,1.29,1.3,1.29,1.295,4207,0
CANG.US,5,20260126,174000,1.295,1.3,1.295,1.295,3776,0
CANG.US,5,20260126,174500,1.3,1.305,1.295,1.295,7796,0
CANG.US,5,20260126,175000,1.295,1.3,1.295,1.3,1574,0
CANG.US,5,20260126,175500,1.295,1.3,1.295,1.295,3836,0
CANG.US,5,20260126,180000,1.3,1.3,1.295,1.295,4644,0
CANG.US,5,20260126,180500,1.295,1.3,1.295,1.3,13232,0
CANG.US,5,20260126,181000,1.3,1.315,1.3,1.315,9379,0
CANG.US,5,20260126,181500,1.315,1.33,1.315,1.33,6192,0
CANG.US,5,20260126,182000,1.325,1.33,1.325,1.325,500,0
CANG.US,5,20260126,182500,1.325,1.33,1.325,1.33,800,0
CANG.US,5,20260126,183000,1.32,1.33,1.32,1.325,4440,0
CANG.US,5,20260126,183500,1.325,1.33,1.32,1.32,1135,0
CANG.US,5,20260126,184000,1.32,1.33,1.31,1.31,23170,0
CANG.US,5,20260126,184500,1.315,1.32,1.315,1.315,5417,0
CANG.US,5,20260126,185000,1.315,1.32,1.315,1.315,733,0
CANG.US,5,20260126,185500,1.315,1.32,1.31,1.315,20853,0
CANG.US,5,20260126,190000,1.31,1.315,1.3001,1.3001,19458,0
CANG.US,5,20260126,190500,1.305,1.315,1.305,1.3102,6323,0
CANG.US,5,20260126,191000,1.31,1.31,1.3,1.3015,29263,0
CANG.US,5,20260126,191500,1.305,1.305,1.305,1.305,3917,0
CANG.US,5,20260126,192000,1.3,1.305,1.29,1.305,10858,0
CANG.US,5,20260126,192500,1.305,1.305,1.3,1.305,1038,0
CANG.US,5,20260126,193000,1.305,1.305,1.3,1.305,1938,0
CANG.US,5,20260126,193500,1.305,1.31,1.305,1.305,1273,0
CANG.US,5,20260126,194000,1.305,1.308585,1.3,1.305,1402,0
CANG.US,5,20260126,194500,1.305,1.305,1.3,1.305,2846,0
CANG.US,5,20260126,195000,1.3,1.31,1.3,1.305,1654,0
CANG.US,5,20260126,195500,1.305,1.305,1.3,1.305,1547,0
CANG.US,5,20260126,200000,1.3,1.315,1.3,1.3085,8793,0
CANG.US,5,20260126,200500,1.305,1.305,1.3,1.3,6988,0
CANG.US,5,20260126,201000,1.305,1.305,1.3,1.305,870,0
CANG.US,5,20260126,201500,1.3,1.305,1.3,1.305,1998,0
CANG.US,5,20260126,202000,1.3,1.305,1.3,1.305,1492,0
CANG.US,5,20260126,202500,1.31,1.31,1.3,1.3,2362,0
CANG.US,5,20260126,203000,1.3016,1.305,1.295,1.295,9424,0
CANG.US,5,20260126,203500,1.3,1.3,1.294,1.3,2871,0
CANG.US,5,20260126,204000,1.295,1.295,1.295,1.295,1547,0
CANG.US,5,20260126,204500,1.295,1.3,1.29,1.29,3645,0
CANG.US,5,20260126,205000,1.295,1.295,1.29,1.295,1500,0
CANG.US,5,20260126,205500,1.29,1.29,1.285,1.285,13853,0
CANG.US,5,20260126,210000,1.285,1.29,1.28,1.285,3098,0
CANG.US,5,20260126,210500,1.28,1.29,1.28,1.285,9845,0
CANG.US,5,20260126,211000,1.285,1.29,1.285,1.29,10725,0
CANG.US,5,20260126,211500,1.285,1.29,1.28,1.29,9647,0
CANG.US,5,20260126,212000,1.285,1.295,1.285,1.2939,11315,0
CANG.US,5,20260126,212500,1.295,1.295,1.29,1.295,9359,0
CANG.US,5,20260126,213000,1.2997,1.2997,1.295,1.295,3080,0
CANG.US,5,20260126,213500,1.295,1.31,1.295,1.305,19592,0
CANG.US,5,20260126,214000,1.305,1.305,1.305,1.305,1415,0
CANG.US,5,20260126,214500,1.305,1.31,1.305,1.305,11570,0
CANG.US,5,20260126,215000,1.305,1.305,1.3,1.305,4966,0
CANG.US,5,20260126,215500,1.3,1.315,1.29,1.31,44156,0
CANG.US,5,20260127,153000,1.3,1.31,1.29,1.295,55339,0
CANG.US,5,20260127,153500,1.295,1.32,1.295,1.31,24438,0
CANG.US,5,20260127,154000,1.31,1.33,1.31,1.33,12888,0
CANG.US,5,20260127,154500,1.32,1.32,1.3,1.31,4879,0
CANG.US,5,20260127,155000,1.31,1.31,1.2904,1.3,29144,0
CANG.US,5,20260127,155500,1.31,1.31,1.3,1.3,2874,0
CANG.US,5,20260127,160000,1.3,1.31,1.295,1.2999,8786,0
CANG.US,5,20260127,160500,1.3,1.3,1.295,1.295,1000,0
CANG.US,5,20260127,161000,1.3,1.32,1.3,1.31,27747,0
CANG.US,5,20260127,161500,1.305,1.31,1.305,1.305,2743,0
CANG.US,5,20260127,162000,1.305,1.31,1.3001,1.305,4670,0
CANG.US,5,20260127,162500,1.305,1.305,1.3014,1.305,2682,0
CANG.US,5,20260127,163000,1.305,1.31,1.305,1.31,14764,0
CANG.US,5,20260127,163500,1.315,1.315,1.3,1.31,3600,0
CANG.US,5,20260127,164000,1.31,1.315,1.31,1.31,4201,0
CANG.US,5,20260127,164500,1.315,1.32,1.315,1.315,500,0
CANG.US,5,20260127,165000,1.315,1.315,1.31,1.31,2200,0
CANG.US,5,20260127,165500,1.31,1.33,1.305,1.33,12929,0
CANG.US,5,20260127,170000,1.33,1.335,1.325,1.33,9850,0
CANG.US,5,20260127,170500,1.33,1.34,1.33,1.335,2214,0
CANG.US,5,20260127,171000,1.335,1.335,1.325,1.33,6977,0
CANG.US,5,20260127,171500,1.33,1.34,1.33,1.34,7012,0
CANG.US,5,20260127,172000,1.34,1.35,1.335,1.345,8581,0
CANG.US,5,20260127,172500,1.345,1.3467,1.34,1.345,3400,0
CANG.US,5,20260127,173000,1.35,1.35,1.345,1.35,839,0
CANG.US,5,20260127,173500,1.35,1.35,1.34,1.35,11820,0
CANG.US,5,20260127,174000,1.35,1.35,1.345,1.345,1100,0
CANG.US,5,20260127,174500,1.35,1.35,1.345,1.35,800,0
CANG.US,5,20260127,175000,1.35,1.36,1.35,1.36,24125,0
CANG.US,5,20260127,175500,1.355,1.355,1.355,1.355,700,0
CANG.US,5,20260127,180000,1.355,1.355,1.355,1.355,800,0
CANG.US,5,20260127,180500,1.355,1.36,1.355,1.355,9334,0
CANG.US,5,20260127,181000,1.355,1.355,1.345,1.345,7120,0
CANG.US,5,20260127,181500,1.345,1.35,1.345,1.345,400,0
CANG.US,5,20260127,182000,1.345,1.35,1.34,1.34,1443,0
CANG.US,5,20260127,182500,1.345,1.35,1.345,1.345,2028,0
CANG.US,5,20260127,183000,1.35,1.36,1.345,1.355,18052,0
CANG.US,5,20260127,183500,1.34,1.35,1.34,1.345,500,0
CANG.US,5,20260127,184000,1.34,1.345,1.34,1.345,400,0
CANG.US,5,20260127,184500,1.345,1.345,1.34,1.345,400,0
CANG.US,5,20260127,185000,1.3431,1.345,1.34,1.345,600,0
CANG.US,5,20260127,185500,1.345,1.345,1.34,1.345,818,0
CANG.US,5,20260127,190000,1.345,1.35,1.335,1.335,11729,0
CANG.US,5,20260127,190500,1.335,1.335,1.33,1.33,1700,0
CANG.US,5,20260127,191000,1.335,1.34,1.335,1.335,1700,0
CANG.US,5,20260127,191500,1.335,1.335,1.33,1.335,400,0
CANG.US,5,20260127,192000,1.335,1.34,1.33,1.335,1038,0
CANG.US,5,20260127,192500,1.33,1.335,1.33,1.33,2600,0
CANG.US,5,20260127,193000,1.33,1.335,1.33,1.335,1265,0
CANG.US,5,20260127,193500,1.335,1.34,1.33,1.335,3600,0
CANG.US,5,20260127,194000,1.335,1.34,1.33,1.33,7008,0
CANG.US,5,20260127,194500,1.34,1.34,1.34,1.34,1863,0
CANG.US,5,20260127,195000,1.34,1.34,1.34,1.34,1657,0
CANG.US,5,20260127,195500,1.34,1.34,1.34,1.34,1519,0
CANG.US,5,20260127,200000,1.34,1.34,1.33,1.33,7836,0
CANG.US,5,20260127,200500,1.34,1.34,1.33,1.34,3559,0
CANG.US,5,20260127,201000,1.335,1.35,1.335,1.345,35077,0
CANG.US,5,20260127,201500,1.35,1.35,1.34,1.35,1300,0
CANG.US,5,20260127,202000,1.35,1.35,1.345,1.35,2100,0
CANG.US,5,20260127,202500,1.345,1.35,1.34,1.345,2800,0
CANG.US,5,20260127,203000,1.345,1.345,1.34,1.34,3837,0
CANG.US,5,20260127,203500,1.345,1.35,1.34,1.34,12351,0
CANG.US,5,20260127,204000,1.34,1.35,1.34,1.35,3000,0
CANG.US,5,20260127,204500,1.35,1.35,1.34,1.34,900,0
CANG.US,5,20260127,205000,1.35,1.35,1.345,1.345,1400,0
