<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CICB.US,5,20260126,153000,25.15,25.15,25.14,25.14,200,0
CICB.US,5,20260126,161000,25.23,25.35,25.22,25.35,4956,0
CICB.US,5,20260126,175000,25.2249,25.2249,25.2249,25.2249,1000,0
CICB.US,5,20260126,180000,25.2728,25.2728,25.2728,25.2728,200,0
CICB.US,5,20260126,195000,25.3,25.3,25.3,25.3,150,0
CICB.US,5,20260126,195500,25.2953,25.2953,25.2953,25.2953,262,0
CICB.US,5,20260126,200000,25.35,25.35,25.35,25.35,1404,0
CICB.US,5,20260126,201000,25.26,25.26,25.25,25.26,500,0
CICB.US,5,20260126,202000,25.3,25.3,25.3,25.3,100,0
CICB.US,5,20260126,205000,25.308,25.308,25.308,25.308,260,0
CICB.US,5,20260126,211000,25.33,25.33,25.33,25.33,100,0
CICB.US,5,20260126,212500,25.34,25.34,25.34,25.34,100,0
CICB.US,5,20260126,213500,25.33,25.33,25.33,25.33,100,0
CICB.US,5,20260126,214000,25.34,25.34,25.34,25.34,100,0
CICB.US,5,20260127,161000,25.34,25.34,25.34,25.34,173,0
CICB.US,5,20260127,175000,25.34,25.34,25.34,25.34,127,0
CICB.US,5,20260127,191000,25.35,25.35,25.27,25.27,801,0
CICB.US,5,20260127,203000,25.325,25.33,25.3,25.3,3200,0
CICB.US,5,20260127,210500,25.35,25.35,25.35,25.35,100,0
CICB.US,5,20260127,211000,25.35,25.35,25.35,25.35,100,0
CICB.US,5,20260127,212500,25.35,25.35,25.35,25.35,100,0
CICB.US,5,20260127,213500,25.35,25.35,25.35,25.35,100,0
CICB.US,5,20260127,215500,25.35,25.35,25.26,25.26,1500,0
CICB.US,5,20260128,175500,25.35,25.35,25.275,25.275,549,0
CICB.US,5,20260128,193500,25.29,25.29,25.29,25.29,497,0
CICB.US,5,20260128,215000,25.3,25.3399,25.3,25.3399,600,0
CICB.US,5,20260128,215500,25.27,25.27,25.27,25.27,100,0
CICB.US,5,20260129,183500,25.34,25.34,25.295,25.295,319,0
CICB.US,5,20260129,193500,25.3,25.3,25.3,25.3,242,0
CICB.US,5,20260129,210000,25.25,25.25,25.25,25.25,427,0
CICB.US,5,20260129,212000,25.35,25.35,25.34,25.34,200,0
CICB.US,5,20260130,185000,25.34,25.34,25.34,25.34,107,0
CICB.US,5,20260130,190000,25.34,25.35,25.27,25.35,2879,0
CICB.US,5,20260130,190500,25.35,25.35,25.31,25.34,1000,0
CICB.US,5,20260130,191000,25.34,25.37,25.34,25.37,984,0
CICB.US,5,20260130,191500,25.37,25.41,25.37,25.4,8945,0
CICB.US,5,20260130,193500,25.41,25.41,25.41,25.41,600,0
CICB.US,5,20260130,195000,25.39,25.39,25.39,25.39,300,0
CICB.US,5,20260130,195500,25.4075,25.4075,25.3801,25.3801,200,0
CICB.US,5,20260130,200000,25.382,25.382,25.38,25.38,984,0
CICB.US,5,20260130,201000,25.36,25.36,25.36,25.36,400,0
