<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CIG.US,5,20260126,153000,2.15,2.17,2.15,2.165,106494,0
CIG.US,5,20260126,153500,2.16,2.165,2.15,2.155,178035,0
CIG.US,5,20260126,154000,2.16,2.17,2.155,2.165,61552,0
CIG.US,5,20260126,154500,2.165,2.17,2.1501,2.155,40555,0
CIG.US,5,20260126,155000,2.155,2.16,2.1509,2.16,43523,0
CIG.US,5,20260126,155500,2.1587,2.165,2.155,2.1613,112478,0
CIG.US,5,20260126,160000,2.165,2.1798,2.165,2.1687,98520,0
CIG.US,5,20260126,160500,2.165,2.17,2.165,2.17,35019,0
CIG.US,5,20260126,161000,2.17,2.17,2.1608,2.165,22220,0
CIG.US,5,20260126,161500,2.165,2.166,2.15,2.155,98994,0
CIG.US,5,20260126,162000,2.155,2.166,2.1531,2.165,82614,0
CIG.US,5,20260126,162500,2.165,2.165,2.165,2.165,300,0
CIG.US,5,20260126,163000,2.165,2.17,2.165,2.165,1800,0
CIG.US,5,20260126,163500,2.165,2.165,2.16,2.165,4200,0
CIG.US,5,20260126,164000,2.165,2.166,2.1513,2.155,107275,0
CIG.US,5,20260126,164500,2.1599,2.1689,2.1585,2.165,69697,0
CIG.US,5,20260126,165000,2.165,2.17,2.16,2.1687,7000,0
CIG.US,5,20260126,165500,2.165,2.17,2.16,2.16,52127,0
CIG.US,5,20260126,170000,2.165,2.17,2.16,2.16,9284,0
CIG.US,5,20260126,170500,2.1613,2.17,2.16,2.16,25077,0
CIG.US,5,20260126,171000,2.1635,2.17,2.155,2.16,197540,0
CIG.US,5,20260126,171500,2.1588,2.16,2.1545,2.1587,227496,0
CIG.US,5,20260126,172000,2.1545,2.16,2.1545,2.1589,60051,0
CIG.US,5,20260126,172500,2.155,2.16,2.155,2.155,12173,0
CIG.US,5,20260126,173000,2.16,2.16,2.1501,2.155,10652,0
CIG.US,5,20260126,173500,2.16,2.16,2.15,2.15,4829,0
CIG.US,5,20260126,174000,2.1513,2.16,2.15,2.155,9027,0
CIG.US,5,20260126,174500,2.155,2.16,2.15,2.155,11974,0
CIG.US,5,20260126,175000,2.155,2.16,2.155,2.155,9606,0
CIG.US,5,20260126,175500,2.155,2.1555,2.15,2.155,52988,0
CIG.US,5,20260126,180000,2.15,2.155,2.15,2.155,6198,0
CIG.US,5,20260126,180500,2.16,2.16,2.15,2.1514,21003,0
CIG.US,5,20260126,181000,2.15,2.1511,2.1401,2.1445,158022,0
CIG.US,5,20260126,181500,2.1487,2.15,2.1445,2.145,19279,0
CIG.US,5,20260126,182000,2.15,2.15,2.145,2.145,900,0
CIG.US,5,20260126,182500,2.15,2.15,2.14,2.145,16051,0
CIG.US,5,20260126,183000,2.145,2.15,2.14,2.145,19627,0
CIG.US,5,20260126,183500,2.145,2.16,2.1419,2.1502,129739,0
CIG.US,5,20260126,184000,2.15,2.156,2.15,2.15,86100,0
CIG.US,5,20260126,184500,2.15,2.155,2.15,2.1513,8750,0
CIG.US,5,20260126,185000,2.15,2.155,2.15,2.15,96724,0
CIG.US,5,20260126,185500,2.15,2.155,2.14,2.1458,134766,0
CIG.US,5,20260126,190000,2.14,2.145,2.14,2.14,6021,0
CIG.US,5,20260126,190500,2.14,2.141,2.14,2.14,3396,0
CIG.US,5,20260126,191000,2.14,2.1463,2.14,2.1463,4300,0
CIG.US,5,20260126,191500,2.145,2.145,2.14,2.14,16911,0
CIG.US,5,20260126,192000,2.141,2.145,2.14,2.14,24400,0
CIG.US,5,20260126,192500,2.14,2.1401,2.14,2.1401,8163,0
CIG.US,5,20260126,193000,2.145,2.1499,2.14,2.1454,8385,0
CIG.US,5,20260126,193500,2.14,2.15,2.14,2.15,11341,0
CIG.US,5,20260126,194000,2.15,2.15,2.14,2.14,2400,0
CIG.US,5,20260126,194500,2.145,2.15,2.14,2.15,4093,0
CIG.US,5,20260126,195000,2.15,2.15,2.14,2.145,13002,0
CIG.US,5,20260126,195500,2.145,2.15,2.14,2.145,14197,0
CIG.US,5,20260126,200000,2.145,2.145,2.14,2.14,9258,0
CIG.US,5,20260126,200500,2.14,2.146,2.14,2.1413,31874,0
CIG.US,5,20260126,201000,2.14,2.1499,2.14,2.14,32777,0
CIG.US,5,20260126,201500,2.145,2.145,2.13,2.13,343368,0
CIG.US,5,20260126,202000,2.13,2.135,2.13,2.13,3400,0
CIG.US,5,20260126,202500,2.13,2.14,2.13,2.135,127102,0
CIG.US,5,20260126,203000,2.1383,2.14,2.13,2.135,9296,0
CIG.US,5,20260126,203500,2.13,2.135,2.13,2.135,6720,0
CIG.US,5,20260126,204000,2.13,2.139,2.13,2.135,2250,0
CIG.US,5,20260126,204500,2.135,2.14,2.13,2.135,10922,0
CIG.US,5,20260126,205000,2.13,2.1375,2.13,2.135,12628,0
CIG.US,5,20260126,205500,2.135,2.14,2.13,2.14,6699,0
CIG.US,5,20260126,210000,2.135,2.14,2.13,2.1387,465624,0
CIG.US,5,20260126,210500,2.135,2.14,2.13,2.135,50482,0
CIG.US,5,20260126,211000,2.138,2.14,2.13,2.135,18273,0
CIG.US,5,20260126,211500,2.135,2.14,2.13,2.135,2767,0
CIG.US,5,20260126,212000,2.14,2.14,2.13,2.135,2939,0
CIG.US,5,20260126,212500,2.135,2.14,2.13,2.135,4472,0
CIG.US,5,20260126,213000,2.135,2.14,2.13,2.1346,24972,0
CIG.US,5,20260126,213500,2.14,2.14,2.13,2.14,180741,0
CIG.US,5,20260126,214000,2.135,2.14,2.13,2.135,30908,0
CIG.US,5,20260126,214500,2.135,2.14,2.13,2.135,143224,0
CIG.US,5,20260126,215000,2.135,2.14,2.1313,2.135,55333,0
CIG.US,5,20260126,215500,2.13,2.14,2.13,2.14,300360,0
CIG.US,5,20260127,153000,2.195,2.199,2.19,2.1914,48565,0
CIG.US,5,20260127,153500,2.195,2.195,2.19,2.19,4253,0
CIG.US,5,20260127,154000,2.1915,2.1999,2.185,2.185,69648,0
CIG.US,5,20260127,154500,2.185,2.1987,2.18,2.19,138517,0
CIG.US,5,20260127,155000,2.1913,2.1951,2.19,2.1951,62487,0
CIG.US,5,20260127,155500,2.191,2.2,2.19,2.2,63001,0
CIG.US,5,20260127,160000,2.195,2.2,2.19,2.195,6730,0
CIG.US,5,20260127,160500,2.195,2.195,2.19,2.195,9193,0
CIG.US,5,20260127,161000,2.195,2.205,2.195,2.205,130376,0
CIG.US,5,20260127,161500,2.21,2.21,2.201,2.21,57168,0
CIG.US,5,20260127,162000,2.21,2.216,2.21,2.215,41680,0
CIG.US,5,20260127,162500,2.215,2.219,2.21,2.215,8725,0
CIG.US,5,20260127,163000,2.21,2.215,2.21,2.21,54882,0
CIG.US,5,20260127,163500,2.21,2.216,2.2,2.2,181206,0
CIG.US,5,20260127,164000,2.2,2.209,2.2,2.2,16116,0
CIG.US,5,20260127,164500,2.2,2.21,2.2,2.2,16647,0
CIG.US,5,20260127,165000,2.2,2.2087,2.2,2.2087,3504,0
