<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CLCG.US,5,20260126,162000,26.81,26.81,26.81,26.81,138,0
CLCG.US,5,20260126,203500,26.83,26.85,26.83,26.85,2466,0
CLCG.US,5,20260127,211000,27.04,27.04,27.04,27.04,240,0
CLCG.US,5,20260127,211500,27.05,27.05,27.05,27.05,382,0
CLCG.US,5,20260128,161000,27.06,27.06,27.06,27.06,200,0
CLCG.US,5,20260128,161500,27.08,27.08,27.08,27.08,200,0
CLCG.US,5,20260128,200000,27,27,27,27,200,0
CLCG.US,5,20260128,215500,27.08,27.08,27.08,27.08,200,0
CLCG.US,5,20260129,170000,26.34,26.355,26.34,26.355,434,0
CLCG.US,5,20260129,184500,26.65,26.65,26.65,26.65,400,0
CLCG.US,5,20260129,212000,26.72,26.72,26.72,26.72,200,0
CLCG.US,5,20260129,212500,26.71,26.72,26.71,26.72,200,0
CLCG.US,5,20260129,215500,26.87,26.87,26.87,26.87,532,0
CLCG.US,5,20260130,175000,26.56,26.56,26.56,26.56,154,0
CLCG.US,5,20260130,175500,26.57,26.57,26.57,26.57,436,0
CLCG.US,5,20260130,200000,26.6,26.6,26.6,26.6,300,0
CLCG.US,5,20260130,202500,26.57,26.57,26.57,26.57,100,0
CLCG.US,5,20260130,215500,26.53,26.53,26.53,26.53,300,0
CLCG.US,5,20260202,202500,26.71,26.71,26.71,26.71,382,0
CLCG.US,5,20260202,212500,26.65,26.65,26.65,26.65,100,0
CLCG.US,5,20260202,213000,26.64,26.64,26.64,26.64,100,0
CLCG.US,5,20260202,213500,26.64,26.64,26.64,26.64,100,0
CLCG.US,5,20260202,215500,26.65,26.65,26.65,26.65,300,0
CLCG.US,5,20260203,165500,26.25,26.27,26.25,26.27,679,0
CLCG.US,5,20260203,181000,26.14,26.15,26.14,26.15,1969,0
CLCG.US,5,20260203,184500,26.02,26.02,26.02,26.02,1100,0
CLCG.US,5,20260203,192000,26.03,26.03,26.03,26.03,400,0
CLCG.US,5,20260203,195000,25.97,25.97,25.97,25.97,898,0
CLCG.US,5,20260203,215500,26.14,26.14,26.14,26.14,700,0
CLCG.US,5,20260204,163000,25.92,25.92,25.92,25.92,286,0
CLCG.US,5,20260204,170500,25.82,25.82,25.82,25.82,681,0
CLCG.US,5,20260204,171000,25.82,25.82,25.82,25.82,705,0
CLCG.US,5,20260204,173500,25.8,25.8,25.8,25.8,202,0
CLCG.US,5,20260204,184500,25.6,25.6,25.6,25.6,200,0
CLCG.US,5,20260204,193000,25.63,25.63,25.63,25.63,862,0
CLCG.US,5,20260204,200000,25.68,25.68,25.68,25.68,1100,0
CLCG.US,5,20260204,203500,25.74,25.74,25.74,25.74,400,0
CLCG.US,5,20260204,204500,25.81,25.81,25.81,25.81,100,0
CLCG.US,5,20260204,205500,25.85,25.85,25.85,25.85,100,0
CLCG.US,5,20260205,165500,25.49,25.49,25.49,25.49,176,0
CLCG.US,5,20260205,184500,25.76,25.76,25.76,25.76,100,0
CLCG.US,5,20260205,195000,25.5301,25.5301,25.5301,25.5301,895,0
CLCG.US,5,20260205,215500,25.49,25.55,25.48,25.55,1600,0
CLCG.US,5,20260206,162000,25.87,25.87,25.87,25.87,100,0
CLCG.US,5,20260206,170000,25.96,25.96,25.96,25.96,445,0
CLCG.US,5,20260206,172000,25.995,25.995,25.995,25.995,100,0
CLCG.US,5,20260206,180500,26.05,26.05,26.035,26.049,1717,0
