<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CPRY.US,5,20260126,154000,27.23,27.2396,27.23,27.2396,604,0
CPRY.US,5,20260126,161500,27.265,27.265,27.22,27.22,1721,0
CPRY.US,5,20260126,162000,27.23,27.23,27.23,27.23,100,0
CPRY.US,5,20260126,182500,27.2574,27.2574,27.2574,27.2574,251,0
CPRY.US,5,20260126,201500,27.2468,27.2468,27.2468,27.2468,183,0
CPRY.US,5,20260126,202000,27.25,27.25,27.25,27.25,184,0
CPRY.US,5,20260126,205000,27.2101,27.2101,27.2101,27.2101,168,0
CPRY.US,5,20260127,212500,27.23,27.255,27.23,27.255,1075,0
CPRY.US,5,20260127,213000,27.255,27.255,27.255,27.255,614,0
CPRY.US,5,20260128,170000,27.221,27.221,27.22,27.22,1500,0
CPRY.US,5,20260128,205500,27.23,27.23,27.23,27.23,184,0
CPRY.US,5,20260129,175000,27.19,27.2194,27.19,27.2194,719,0
CPRY.US,5,20260129,182500,27.21,27.21,27.21,27.21,100,0
CPRY.US,5,20260129,211000,27.235,27.235,27.235,27.235,500,0
CPRY.US,5,20260130,203000,27.2,27.2,27.2,27.2,302,0
CPRY.US,5,20260130,212000,27.1802,27.1802,27.1802,27.1802,187,0
CPRY.US,5,20260202,153500,27.2207,27.2207,27.2207,27.2207,201,0
CPRY.US,5,20260202,154500,27.22,27.22,27.22,27.22,100,0
CPRY.US,5,20260202,160500,27.235,27.235,27.235,27.235,291,0
CPRY.US,5,20260202,180500,27.23,27.23,27.23,27.23,500,0
CPRY.US,5,20260202,183000,27.255,27.255,27.255,27.255,1000,0
CPRY.US,5,20260202,190000,27.22,27.22,27.22,27.22,100,0
CPRY.US,5,20260202,192500,27.255,27.255,27.255,27.255,805,0
CPRY.US,5,20260202,213500,27.21,27.21,27.21,27.21,100,0
CPRY.US,5,20260202,215000,27.245,27.245,27.245,27.245,458,0
CPRY.US,5,20260203,153000,27.255,27.255,27.255,27.255,623,0
CPRY.US,5,20260203,173000,27.22,27.22,27.22,27.22,100,0
CPRY.US,5,20260203,184500,27.19,27.19,27.19,27.19,100,0
CPRY.US,5,20260203,191500,27.2379,27.2379,27.2379,27.2379,184,0
CPRY.US,5,20260203,193500,27.2263,27.2263,27.2263,27.2263,1000,0
CPRY.US,5,20260203,200000,27.171,27.171,27.17,27.17,1400,0
CPRY.US,5,20260203,205000,27.2354,27.2354,27.2354,27.2354,158,0
CPRY.US,5,20260204,163000,27.255,27.255,27.255,27.255,458,0
CPRY.US,5,20260204,163500,27.211,27.211,27.21,27.2101,1714,0
CPRY.US,5,20260204,164500,27.22,27.22,27.22,27.22,300,0
CPRY.US,5,20260204,165000,27.21,27.25,27.21,27.25,976,0
CPRY.US,5,20260204,182500,27.18,27.18,27.18,27.18,100,0
CPRY.US,5,20260204,200500,27.15,27.16,27.15,27.15,1800,0
CPRY.US,5,20260204,210500,27.235,27.235,27.235,27.235,4000,0
CPRY.US,5,20260204,211000,27.24,27.24,27.2,27.2,600,0
CPRY.US,5,20260205,153500,27.28,27.28,27.28,27.28,1000,0
CPRY.US,5,20260205,161000,27.19,27.19,27.19,27.19,100,0
CPRY.US,5,20260205,161500,27.19,27.19,27.19,27.19,10305,0
CPRY.US,5,20260205,171000,27.16,27.16,27.16,27.16,3500,0
CPRY.US,5,20260205,174500,27.205,27.2262,27.205,27.2262,270,0
CPRY.US,5,20260205,193000,27.205,27.205,27.205,27.205,1000,0
CPRY.US,5,20260205,200000,27.17,27.17,27.15,27.15,300,0
CPRY.US,5,20260205,203000,27.17,27.17,27.17,27.17,700,0
CPRY.US,5,20260205,210000,27.16,27.16,27.16,27.16,1000,0
CPRY.US,5,20260206,162000,27.3,27.3,27.3,27.3,200,0
CPRY.US,5,20260206,183500,27.28,27.28,27.28,27.28,916,0
CPRY.US,5,20260206,193500,27.28,27.28,27.28,27.28,155,0
CPRY.US,5,20260206,215000,27.28,27.28,27.28,27.28,200,0
CPRY.US,5,20260209,161000,27.315,27.315,27.315,27.315,141,0
CPRY.US,5,20260209,173000,27.31,27.31,27.31,27.31,139,0
CPRY.US,5,20260209,192000,27.32,27.32,27.32,27.32,100,0
CPRY.US,5,20260209,201500,27.34,27.34,27.34,27.34,100,0
CPRY.US,5,20260209,212500,27.3449,27.3449,27.3449,27.3449,132,0
CPRY.US,5,20260209,213500,27.345,27.345,27.345,27.345,193,0
CPRY.US,5,20260209,215500,27.32,27.32,27.32,27.32,200,0
CPRY.US,5,20260210,215000,27.3375,27.3375,27.3375,27.3375,500,0
CPRY.US,5,20260211,161000,27.27,27.27,27.27,27.27,100,0
CPRY.US,5,20260211,194000,27.3,27.3,27.2999,27.2999,200,0
CPRY.US,5,20260211,195500,27.29,27.29,27.29,27.29,900,0
CPRY.US,5,20260211,210500,27.2877,27.2877,27.2877,27.2877,1600,0
CPRY.US,5,20260211,212500,27.3,27.315,27.3,27.3,500,0
CPRY.US,5,20260211,213000,27.27,27.27,27.27,27.27,100,0
CPRY.US,5,20260212,153000,27.2901,27.2901,27.2901,27.2901,500,0
CPRY.US,5,20260212,153500,27.3013,27.3013,27.3013,27.3013,450,0
CPRY.US,5,20260212,174500,27.22,27.22,27.22,27.22,300,0
CPRY.US,5,20260212,175500,27.21,27.21,27.21,27.21,100,0
CPRY.US,5,20260212,180000,27.21,27.21,27.21,27.21,100,0
CPRY.US,5,20260212,184500,27.21,27.21,27.21,27.21,100,0
CPRY.US,5,20260212,205000,27.2599,27.2599,27.22,27.22,1201,0
CPRY.US,5,20260212,214000,27.21,27.21,27.21,27.21,400,0
CPRY.US,5,20260212,215500,27.2,27.2,27.2,27.2,530,0
CPRY.US,5,20260213,153500,27.27,27.27,27.27,27.27,300,0
CPRY.US,5,20260213,170500,27.28,27.28,27.28,27.28,100,0
CPRY.US,5,20260213,183000,27.3,27.3,27.29,27.3,2400,0
CPRY.US,5,20260213,185000,27.29,27.29,27.29,27.29,100,0
CPRY.US,5,20260213,204000,27.35,27.35,27.35,27.35,300,0
CPRY.US,5,20260213,215500,27.26,27.26,27.26,27.26,200,0
CPRY.US,5,20260217,162000,27.23,27.23,27.23,27.23,100,0
CPRY.US,5,20260217,184000,27.29,27.29,27.29,27.29,445,0
CPRY.US,5,20260217,205000,27.33,27.33,27.27,27.3,2000,0
CPRY.US,5,20260217,215500,27.28,27.28,27.28,27.28,200,0
CPRY.US,5,20260218,162000,27.32,27.32,27.32,27.32,281,0
CPRY.US,5,20260218,164000,27.32,27.32,27.32,27.32,100,0
CPRY.US,5,20260218,185000,27.357,27.357,27.357,27.357,416,0
CPRY.US,5,20260218,191000,27.32,27.32,27.32,27.32,1500,0
CPRY.US,5,20260219,160500,27.26,27.26,27.26,27.26,100,0
CPRY.US,5,20260219,161000,27.3,27.3,27.3,27.3,262,0
CPRY.US,5,20260219,161500,27.3,27.3,27.3,27.3,763,0
