<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CRBD.US,5,20260126,153000,24.135,24.15,24.135,24.15,300,0
CRBD.US,5,20260126,153500,24.17,24.17,24.17,24.17,100,0
CRBD.US,5,20260126,154500,24.275,24.4,24.16,24.24,848,0
CRBD.US,5,20260126,160000,24.31,24.31,24.25,24.25,351,0
CRBD.US,5,20260126,162000,24.27,24.307,24.25,24.25,1565,0
CRBD.US,5,20260126,163000,24.295,24.295,24.25,24.25,603,0
CRBD.US,5,20260126,163500,24.25,24.25,24.25,24.25,100,0
CRBD.US,5,20260126,164000,24.23,24.23,24.23,24.23,158,0
CRBD.US,5,20260126,165500,24.23,24.23,24.19,24.21,4412,0
CRBD.US,5,20260126,172500,24.13,24.1301,24.08,24.0801,682,0
CRBD.US,5,20260126,175000,24.14,24.14,24.14,24.14,263,0
CRBD.US,5,20260126,181500,24.0518,24.1778,24.0518,24.1778,320,0
CRBD.US,5,20260126,182000,24.15,24.15,24.05,24.05,213,0
CRBD.US,5,20260126,182500,24.1,24.1,24.1,24.1,1000,0
CRBD.US,5,20260126,183000,24.07,24.1478,24.06,24.1478,5023,0
CRBD.US,5,20260126,183500,24.14,24.14,24.14,24.14,112,0
CRBD.US,5,20260126,184000,24.1328,24.14,24.1328,24.14,1200,0
CRBD.US,5,20260126,184500,24.12,24.12,24.12,24.12,1000,0
CRBD.US,5,20260126,185000,24.23,24.23,24.07,24.14,6854,0
CRBD.US,5,20260126,185500,24.14,24.17,24.12,24.17,1094,0
CRBD.US,5,20260126,190500,24.17,24.17,24.17,24.17,100,0
CRBD.US,5,20260126,191000,24.2292,24.2292,24.17,24.17,776,0
CRBD.US,5,20260126,195000,24.17,24.17,24.17,24.17,852,0
CRBD.US,5,20260126,202000,24.17,24.17,24.17,24.17,100,0
CRBD.US,5,20260126,203500,24.17,24.17,24.17,24.17,100,0
CRBD.US,5,20260126,204000,24.175,24.175,24.175,24.175,243,0
