<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CRS.US,5,20260126,153000,338.885,338.885,336.1,337.2,1768,0
CRS.US,5,20260126,153500,340.645,341,340.645,341,300,0
CRS.US,5,20260126,154000,341,346.5,341,345.3611,6487,0
CRS.US,5,20260126,154500,346.55,348.42,343.79,344.755,21695,0
CRS.US,5,20260126,155000,343.8875,344.53,341.305,342.85,13107,0
CRS.US,5,20260126,155500,342.43,342.47,340.02,342.47,2201,0
CRS.US,5,20260126,160000,342.47,342.47,339,339.03,3373,0
CRS.US,5,20260126,160500,339.08,339.3,338,339.3,4520,0
CRS.US,5,20260126,161000,338.48,339.94,338.47,339.6675,2239,0
CRS.US,5,20260126,161500,339,339.675,337.53,337.53,2757,0
CRS.US,5,20260126,162000,338.4,339.31,337.09,338.36,5879,0
CRS.US,5,20260126,162500,337.74,338.61,337.701,337.701,1953,0
CRS.US,5,20260126,163000,337.7,337.845,336.515,337.84,1813,0
CRS.US,5,20260126,163500,337.84,337.84,336.62,337.605,1272,0
CRS.US,5,20260126,164000,336.49,337.84,336.01,336.255,1411,0
CRS.US,5,20260126,164500,337.76,338.46,337.215,337.34,5838,0
CRS.US,5,20260126,165000,337.135,339.255,337.135,339.255,12568,0
CRS.US,5,20260126,165500,339.255,339.41,337.58,338.37,5450,0
CRS.US,5,20260126,170000,337.78,338.99,337.32,338.76,2697,0
CRS.US,5,20260126,170500,338.385,339.41,338,339.41,2600,0
CRS.US,5,20260126,171000,338.83,340.69,338.54,340.69,4395,0
CRS.US,5,20260126,171500,339.485,340,339.485,339.9075,2000,0
CRS.US,5,20260126,172000,339.02,340.13,338.76,339.155,1968,0
CRS.US,5,20260126,172500,338.22,338.22,338.22,338.22,100,0
CRS.US,5,20260126,173000,338.8,338.8875,337.95,338.77,3988,0
CRS.US,5,20260126,173500,338.72,339.25,338.56,339,12688,0
CRS.US,5,20260126,174000,339.08,339.255,338.3,338.44,3811,0
CRS.US,5,20260126,174500,338.31,338.845,338.11,338.15,1750,0
CRS.US,5,20260126,175000,338.855,338.855,338.235,338.4,1100,0
CRS.US,5,20260126,175500,338.27,338.73,338.075,338.2,800,0
CRS.US,5,20260126,180000,338.615,338.615,338.285,338.285,200,0
CRS.US,5,20260126,180500,338.615,338.615,337.515,337.65,1141,0
CRS.US,5,20260126,181000,337.65,340,337.65,340,7029,0
