<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CTRI.US,5,20260126,153000,28.44,28.44,28.24,28.24,1179,0
CTRI.US,5,20260126,153500,28.29,28.295,28.29,28.295,311,0
CTRI.US,5,20260126,154000,28.295,28.295,28.295,28.295,5920,0
CTRI.US,5,20260126,154500,28.61,28.84,28.61,28.665,2851,0
CTRI.US,5,20260126,155000,28.88,28.88,28.69,28.69,200,0
CTRI.US,5,20260126,155500,28.88,28.88,28.705,28.705,2052,0
CTRI.US,5,20260126,160000,28.88,28.88,28.73,28.83,1555,0
CTRI.US,5,20260126,160500,28.82,28.84,28.76,28.81,1967,0
CTRI.US,5,20260126,161000,28.82,28.82,28.66,28.67,6355,0
CTRI.US,5,20260126,161500,28.72,28.81,28.72,28.81,1791,0
CTRI.US,5,20260126,162000,28.795,28.885,28.795,28.83,2658,0
CTRI.US,5,20260126,162500,28.845,28.845,28.64,28.65,7261,0
CTRI.US,5,20260126,163000,28.67,28.77,28.61,28.725,9884,0
CTRI.US,5,20260126,163500,28.74,28.74,28.66,28.66,2576,0
CTRI.US,5,20260126,164000,28.65,28.65,28.56,28.56,3713,0
CTRI.US,5,20260126,164500,28.61,28.65,28.6,28.62,2634,0
CTRI.US,5,20260126,165000,28.65,28.66,28.63,28.63,2410,0
CTRI.US,5,20260126,165500,28.62,28.625,28.6,28.615,1427,0
CTRI.US,5,20260126,170000,28.6,28.6,28.58,28.6,1300,0
CTRI.US,5,20260126,170500,28.59,28.59,28.55,28.57,1662,0
CTRI.US,5,20260126,171000,28.565,28.565,28.51,28.55,4278,0
CTRI.US,5,20260126,171500,28.53,28.53,28.46,28.4833,12569,0
CTRI.US,5,20260126,172000,28.47,28.5,28.47,28.48,4050,0
CTRI.US,5,20260126,172500,28.48,28.49,28.48,28.49,3782,0
CTRI.US,5,20260126,173000,28.48,28.49,28.46,28.49,1978,0
CTRI.US,5,20260126,173500,28.48,28.48,28.47,28.475,1368,0
CTRI.US,5,20260126,174000,28.47,28.49,28.46,28.46,3560,0
CTRI.US,5,20260126,174500,28.46,28.4608,28.46,28.46,532,0
CTRI.US,5,20260126,175000,28.46,28.535,28.46,28.52,10187,0
CTRI.US,5,20260126,175500,28.51,28.54,28.51,28.535,1383,0
CTRI.US,5,20260126,180000,28.535,28.595,28.53,28.595,5538,0
CTRI.US,5,20260126,180500,28.62,28.64,28.59,28.61,4896,0
CTRI.US,5,20260126,181000,28.6,28.67,28.59,28.67,13610,0
CTRI.US,5,20260126,181500,28.66,28.66,28.615,28.615,8961,0
CTRI.US,5,20260126,182000,28.61,28.64,28.61,28.63,1981,0
CTRI.US,5,20260126,182500,28.63,28.66,28.63,28.65,41505,0
CTRI.US,5,20260126,183000,28.64,28.665,28.64,28.66,22519,0
CTRI.US,5,20260126,183500,28.65,28.72,28.65,28.72,4977,0
CTRI.US,5,20260126,184000,28.71,28.71,28.68,28.68,4319,0
