<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CWK.US,5,20260126,153000,16.19,16.215,16.09,16.09,4848,0
CWK.US,5,20260126,153500,16.11,16.21,16.09,16.17,2600,0
CWK.US,5,20260126,154000,16.197,16.3075,16.18,16.21,6696,0
CWK.US,5,20260126,154500,16.21,16.37,16.21,16.31,11754,0
CWK.US,5,20260126,155000,16.335,16.41,16.335,16.41,9418,0
CWK.US,5,20260126,155500,16.38,16.39,16.31,16.31,1700,0
CWK.US,5,20260126,160000,16.31,16.31,16.24,16.24,2133,0
CWK.US,5,20260126,161000,16.25,16.295,16.245,16.29,2741,0
CWK.US,5,20260126,161500,16.26,16.35,16.25,16.35,7951,0
CWK.US,5,20260126,162000,16.355,16.355,16.345,16.345,1547,0
CWK.US,5,20260126,162500,16.345,16.345,16.28,16.29,5192,0
CWK.US,5,20260126,163000,16.28,16.37,16.27,16.37,6500,0
CWK.US,5,20260126,163500,16.37,16.37,16.35,16.35,421,0
CWK.US,5,20260126,164000,16.34,16.345,16.33,16.33,1727,0
CWK.US,5,20260126,164500,16.32,16.355,16.32,16.35,7650,0
CWK.US,5,20260126,165000,16.37,16.38,16.35,16.38,1436,0
CWK.US,5,20260126,165500,16.38,16.42,16.38,16.4,8847,0
CWK.US,5,20260126,170000,16.405,16.42,16.39,16.4,6664,0
CWK.US,5,20260126,170500,16.4,16.4,16.39,16.4,7356,0
CWK.US,5,20260126,171000,16.4,16.405,16.39,16.39,8394,0
CWK.US,5,20260126,171500,16.39,16.41,16.3896,16.39,5246,0
CWK.US,5,20260126,172000,16.395,16.43,16.39,16.42,1409,0
CWK.US,5,20260126,172500,16.43,16.48,16.42,16.48,5081,0
CWK.US,5,20260126,173000,16.4799,16.49,16.45,16.49,8380,0
CWK.US,5,20260126,173500,16.47,16.475,16.44,16.44,14142,0
CWK.US,5,20260126,174000,16.44,16.44,16.41,16.41,2299,0
CWK.US,5,20260126,174500,16.41,16.43,16.41,16.43,640,0
