<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DEA.US,5,20260126,153000,23.6,23.61,23.46,23.46,1722,0
DEA.US,5,20260126,153500,23.47,23.525,23.46,23.525,929,0
DEA.US,5,20260126,154000,23.41,23.41,23.39,23.39,729,0
DEA.US,5,20260126,154500,23.4,23.5889,23.32,23.475,6451,0
DEA.US,5,20260126,155000,23.48,23.48,23.38,23.44,1252,0
DEA.US,5,20260126,155500,23.4,23.4,23.3,23.36,4109,0
DEA.US,5,20260126,160000,23.33,23.345,23.28,23.28,1456,0
DEA.US,5,20260126,160500,23.255,23.26,23.255,23.26,3002,0
DEA.US,5,20260126,161000,23.23,23.3,23.23,23.27,1229,0
DEA.US,5,20260126,161500,23.29,23.32,23.285,23.3,1091,0
DEA.US,5,20260126,162000,23.32,23.32,23.32,23.32,100,0
DEA.US,5,20260126,162500,23.2978,23.2978,23.24,23.24,1400,0
DEA.US,5,20260126,163000,23.22,23.305,23.21,23.305,2181,0
DEA.US,5,20260126,163500,23.26,23.26,23.21,23.21,400,0
DEA.US,5,20260126,164000,23.2456,23.29,23.19,23.21,1940,0
DEA.US,5,20260126,164500,23.18,23.18,23.17,23.18,920,0
DEA.US,5,20260126,165000,23.175,23.2,23.13,23.2,2045,0
DEA.US,5,20260126,165500,23.2,23.2,23.16,23.19,2400,0
DEA.US,5,20260126,170000,23.17,23.17,23.17,23.17,100,0
DEA.US,5,20260126,170500,23.15,23.18,23.15,23.18,5171,0
DEA.US,5,20260126,171000,23.15,23.175,23.15,23.175,353,0
DEA.US,5,20260126,171500,23.175,23.175,23.15,23.17,340,0
DEA.US,5,20260126,172000,23.15,23.165,23.15,23.165,400,0
DEA.US,5,20260126,172500,23.15,23.21,23.15,23.21,1110,0
DEA.US,5,20260126,173000,23.2,23.21,23.2,23.21,200,0
DEA.US,5,20260126,174000,23.18,23.18,23.18,23.18,100,0
DEA.US,5,20260126,174500,23.15,23.15,23.15,23.15,300,0
DEA.US,5,20260126,175000,23.1701,23.1701,23.15,23.16,604,0
DEA.US,5,20260126,175500,23.14,23.145,23.14,23.145,661,0
DEA.US,5,20260126,180000,23.13,23.16,23.13,23.16,3874,0
DEA.US,5,20260126,180500,23.16,23.175,23.16,23.175,256,0
DEA.US,5,20260126,181500,23.15,23.15,23.13,23.13,1700,0
DEA.US,5,20260126,182000,23.13,23.13,23.05,23.05,5476,0
DEA.US,5,20260126,182500,23.06,23.065,23.03,23.03,982,0
DEA.US,5,20260126,183000,23.04,23.045,23.03,23.03,1300,0
DEA.US,5,20260126,183500,23.025,23.03,23.01,23.03,600,0
DEA.US,5,20260126,184000,23.01,23.025,23.01,23.02,1581,0
DEA.US,5,20260126,184500,23.01,23.0699,23.01,23.0699,1522,0
DEA.US,5,20260126,185000,23.075,23.075,23.075,23.075,100,0
DEA.US,5,20260126,185500,23.07,23.125,23.07,23.1,1800,0
DEA.US,5,20260126,190000,23.11,23.11,23.11,23.11,100,0
DEA.US,5,20260126,190500,23.105,23.105,23.105,23.105,100,0
DEA.US,5,20260126,191000,23.11,23.11,23.095,23.095,1425,0
DEA.US,5,20260126,191500,23.095,23.1119,23.095,23.1119,610,0
DEA.US,5,20260126,192000,23.14,23.14,23.13,23.13,1894,0
DEA.US,5,20260126,192500,23.145,23.145,23.145,23.145,5000,0
DEA.US,5,20260126,193000,23.13,23.14,23.13,23.14,1300,0
