<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DLB.US,5,20260126,153000,62.17,62.515,62.17,62.515,1188,0
DLB.US,5,20260126,153500,62.3,62.33,62.3,62.33,500,0
DLB.US,5,20260126,154000,62.19,62.19,61.92,61.92,900,0
DLB.US,5,20260126,154500,62.07,62.07,62.07,62.07,200,0
DLB.US,5,20260126,155000,62.26,62.29,62.21,62.29,800,0
DLB.US,5,20260126,155500,62.285,62.285,62.0401,62.255,2796,0
DLB.US,5,20260126,160000,62.255,62.255,62.06,62.06,837,0
DLB.US,5,20260126,160500,62.205,62.205,62.06,62.145,756,0
DLB.US,5,20260126,161000,62.15,62.24,62.15,62.17,1637,0
DLB.US,5,20260126,161500,62.19,62.315,62.19,62.315,3210,0
DLB.US,5,20260126,162000,62.31,62.31,62.31,62.31,1787,0
DLB.US,5,20260126,162500,62.38,62.38,62.26,62.3767,1656,0
DLB.US,5,20260126,163000,62.2495,62.365,62.24,62.34,2760,0
DLB.US,5,20260126,163500,62.31,62.4,62.21,62.3059,6874,0
DLB.US,5,20260126,164000,62.245,62.3283,62.21,62.21,2975,0
DLB.US,5,20260126,164500,62.21,62.265,62.1127,62.1127,2229,0
DLB.US,5,20260126,165000,62.12,62.155,62.12,62.14,1181,0
DLB.US,5,20260126,165500,62.155,62.23,62.155,62.2,3302,0
DLB.US,5,20260126,170000,62.25,62.29,62.24,62.24,2363,0
DLB.US,5,20260126,170500,62.19,62.24,62.17,62.19,2081,0
DLB.US,5,20260126,171000,62.195,62.195,62.12,62.12,1491,0
DLB.US,5,20260126,171500,62.07,62.13,62.05,62.09,2532,0
DLB.US,5,20260126,172000,62.085,62.12,62.085,62.12,504,0
DLB.US,5,20260126,172500,62.1092,62.29,62.1092,62.29,3908,0
DLB.US,5,20260126,173000,62.28,62.35,62.28,62.28,1591,0
DLB.US,5,20260126,173500,62.265,62.275,62.19,62.2,2755,0
DLB.US,5,20260126,174000,62.19,62.2,62.165,62.19,2443,0
DLB.US,5,20260126,174500,62.195,62.195,62.12,62.17,1722,0
DLB.US,5,20260126,175000,62.19,62.22,62.19,62.21,7823,0
DLB.US,5,20260126,175500,62.24,62.24,62.13,62.13,6328,0
