<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DTB.US,5,20260126,153000,17.75,17.7599,17.75,17.75,900,0
DTB.US,5,20260126,155500,17.695,17.695,17.695,17.695,753,0
DTB.US,5,20260126,161000,17.7399,17.7399,17.7399,17.7399,150,0
DTB.US,5,20260126,162000,17.695,17.7599,17.695,17.7599,392,0
DTB.US,5,20260126,164500,17.76,17.76,17.76,17.76,550,0
DTB.US,5,20260126,171000,17.695,17.695,17.695,17.695,840,0
DTB.US,5,20260126,172500,17.695,17.695,17.695,17.695,163,0
DTB.US,5,20260126,181000,17.695,17.695,17.695,17.695,156,0
DTB.US,5,20260126,183000,17.7455,17.7455,17.7455,17.7455,275,0
DTB.US,5,20260126,183500,17.695,17.695,17.695,17.695,122,0
DTB.US,5,20260126,184500,17.63,17.63,17.63,17.63,500,0
DTB.US,5,20260126,185500,17.695,17.695,17.695,17.695,304,0
DTB.US,5,20260126,192500,17.65,17.65,17.65,17.65,300,0
DTB.US,5,20260126,202000,17.75,17.75,17.75,17.75,100,0
DTB.US,5,20260126,202500,17.6501,17.6501,17.6501,17.6501,500,0
DTB.US,5,20260126,211000,17.7599,17.7599,17.705,17.705,1000,0
DTB.US,5,20260126,215500,17.75,17.75,17.75,17.75,100,0
DTB.US,5,20260127,160000,17.6898,17.6898,17.6898,17.6898,250,0
DTB.US,5,20260127,160500,17.73,17.73,17.73,17.73,150,0
DTB.US,5,20260127,170500,17.8143,17.8143,17.8143,17.8143,300,0
DTB.US,5,20260127,183000,17.7144,17.7144,17.7144,17.7144,218,0
DTB.US,5,20260127,203500,17.74,17.74,17.74,17.74,714,0
DTB.US,5,20260127,211000,17.748,17.748,17.748,17.748,400,0
DTB.US,5,20260127,212500,17.75,17.8,17.75,17.7991,2625,0
DTB.US,5,20260127,215000,17.76,17.76,17.76,17.76,738,0
DTB.US,5,20260127,215500,17.78,17.79,17.78,17.79,200,0
DTB.US,5,20260128,153500,17.74,17.74,17.74,17.74,152,0
DTB.US,5,20260128,154000,17.71,17.71,17.71,17.71,100,0
DTB.US,5,20260128,154500,17.71,17.71,17.71,17.71,100,0
DTB.US,5,20260128,164500,17.745,17.745,17.745,17.745,884,0
DTB.US,5,20260128,171500,17.745,17.745,17.7001,17.71,500,0
DTB.US,5,20260128,173000,17.7001,17.7001,17.7,17.7,256,0
DTB.US,5,20260128,174000,17.7625,17.79,17.74,17.7889,2877,0
DTB.US,5,20260128,175000,17.78,17.78,17.77,17.77,339,0
DTB.US,5,20260128,183500,17.7713,17.7713,17.7713,17.7713,132,0
DTB.US,5,20260128,202500,17.6878,17.6878,17.6878,17.6878,500,0
DTB.US,5,20260128,203500,17.715,17.715,17.715,17.715,1100,0
DTB.US,5,20260128,213000,17.71,17.76,17.71,17.72,1563,0
DTB.US,5,20260128,215500,17.7,17.7,17.7,17.7,205,0
DTB.US,5,20260129,160000,17.65,17.65,17.64,17.65,2199,0
DTB.US,5,20260129,160500,17.63,17.63,17.62,17.62,800,0
DTB.US,5,20260129,161500,17.59,17.59,17.59,17.59,367,0
DTB.US,5,20260129,164500,17.62,17.62,17.62,17.62,123,0
DTB.US,5,20260129,165000,17.61,17.61,17.48,17.6,3328,0
DTB.US,5,20260129,170500,17.62,17.62,17.62,17.62,114,0
DTB.US,5,20260129,171500,17.62,17.64,17.62,17.64,200,0
DTB.US,5,20260129,172500,17.64,17.66,17.64,17.66,742,0
DTB.US,5,20260129,180000,17.67,17.6742,17.67,17.6742,277,0
DTB.US,5,20260129,183500,17.66,17.66,17.66,17.66,255,0
DTB.US,5,20260129,201500,17.628,17.628,17.628,17.628,200,0
DTB.US,5,20260129,210500,17.65,17.65,17.65,17.65,877,0
DTB.US,5,20260129,211500,17.62,17.62,17.62,17.62,100,0
DTB.US,5,20260129,212500,17.6655,17.6655,17.6655,17.6655,180,0
DTB.US,5,20260129,214000,17.65,17.65,17.65,17.65,118,0
DTB.US,5,20260129,215500,17.63,17.63,17.63,17.63,900,0
