<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EFX.US,5,20260126,153000,209.71,213,209.71,211.82,21867,0
EFX.US,5,20260126,153500,211.675,212.64,211.38,211.7,38380,0
EFX.US,5,20260126,154000,211.71,211.715,210.37,210.9,9765,0
EFX.US,5,20260126,154500,210.95,212.78,210.945,212.78,38765,0
EFX.US,5,20260126,155000,212.78,214.8,212.77,214.6,58724,0
EFX.US,5,20260126,155500,214.6,214.6,212.8,213.04,5263,0
EFX.US,5,20260126,160000,212.835,213.19,212.835,213.09,3794,0
EFX.US,5,20260126,160500,213.095,214.205,212.56,213.98,9734,0
EFX.US,5,20260126,161000,214.15,214.88,213.79,214.88,7791,0
EFX.US,5,20260126,161500,214.81,215.19,214.72,215.09,7076,0
EFX.US,5,20260126,162000,215.13,215.14,214.42,214.91,27439,0
EFX.US,5,20260126,162500,214.93,215.12,214.81,214.905,4656,0
EFX.US,5,20260126,163000,214.905,215.17,214.67,214.96,5577,0
EFX.US,5,20260126,163500,214.96,215.07,214.67,214.706,9481,0
EFX.US,5,20260126,164000,214.83,214.84,214.49,214.62,12879,0
EFX.US,5,20260126,164500,214.66,214.91,214.56,214.715,5486,0
EFX.US,5,20260126,165000,214.79,214.83,214.53,214.78,9072,0
EFX.US,5,20260126,165500,214.8,214.94,214.56,214.73,8199,0
EFX.US,5,20260126,170000,214.82,214.99,214.64,214.77,2583,0
EFX.US,5,20260126,170500,214.76,214.79,213.7414,213.85,8219,0
EFX.US,5,20260126,171000,213.86,214.64,213.85,214.391,7553,0
EFX.US,5,20260126,171500,214.39,214.92,214.34,214.595,14772,0
EFX.US,5,20260126,172000,214.645,215.03,214.46,214.8817,5238,0
EFX.US,5,20260126,172500,214.955,215.14,214.86,215.005,17581,0
EFX.US,5,20260126,173000,215.1199,215.1199,214.49,214.5,13348,0
EFX.US,5,20260126,173500,214.431,214.688,214.4,214.688,3823,0
EFX.US,5,20260126,174000,214.605,214.66,214.36,214.445,3561,0
EFX.US,5,20260126,174500,214.35,214.56,214.23,214.53,4088,0
EFX.US,5,20260126,175000,214.585,215.01,214.585,214.83,5015,0
EFX.US,5,20260126,175500,214.885,214.885,214.54,214.58,11229,0
EFX.US,5,20260126,180000,214.58,214.635,213.9,213.905,13105,0
EFX.US,5,20260126,180500,213.905,214.265,213.905,214.24,2049,0
EFX.US,5,20260126,181000,214.12,214.12,213.61,213.71,14087,0
EFX.US,5,20260126,181500,213.7,214.0173,213.6713,213.87,4647,0
