<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EPC.US,5,20260126,153500,19.47,19.47,19.47,19.47,700,0
EPC.US,5,20260126,154000,19.48,19.48,19.465,19.465,200,0
EPC.US,5,20260126,154500,19.465,19.465,19.465,19.465,7388,0
EPC.US,5,20260126,155500,19.47,19.47,19.23,19.235,15068,0
EPC.US,5,20260126,160000,19.27,19.34,19.255,19.34,3927,0
EPC.US,5,20260126,161000,19.3,19.3,19.3,19.3,400,0
EPC.US,5,20260126,161500,19.29,19.3,19.28,19.285,3660,0
EPC.US,5,20260126,162000,19.31,19.4,19.3,19.4,4840,0
EPC.US,5,20260126,162500,19.39,19.435,19.39,19.435,1986,0
EPC.US,5,20260126,163000,19.41,19.46,19.4,19.46,2470,0
EPC.US,5,20260126,163500,19.47,19.5,19.47,19.49,2100,0
EPC.US,5,20260126,164000,19.49,19.56,19.49,19.52,3815,0
EPC.US,5,20260126,164500,19.52,19.525,19.5,19.5,2479,0
EPC.US,5,20260126,165000,19.5,19.51,19.44,19.44,6242,0
EPC.US,5,20260126,165500,19.41,19.41,19.41,19.41,200,0
EPC.US,5,20260126,170000,19.41,19.41,19.385,19.395,2413,0
EPC.US,5,20260126,170500,19.4,19.4,19.37,19.38,1769,0
EPC.US,5,20260126,171000,19.36,19.36,19.31,19.31,1535,0
EPC.US,5,20260126,171500,19.3,19.3,19.28,19.28,1135,0
EPC.US,5,20260126,172000,19.29,19.3,19.29,19.3,1173,0
EPC.US,5,20260126,172500,19.32,19.39,19.32,19.37,5142,0
EPC.US,5,20260126,173000,19.36,19.39,19.33,19.35,4970,0
EPC.US,5,20260126,173500,19.36,19.38,19.31,19.315,3775,0
EPC.US,5,20260126,174000,19.315,19.315,19.27,19.27,400,0
EPC.US,5,20260126,174500,19.26,19.31,19.26,19.31,1100,0
EPC.US,5,20260126,175000,19.31,19.33,19.31,19.33,1207,0
EPC.US,5,20260126,175500,19.32,19.32,19.29,19.29,300,0
EPC.US,5,20260126,180000,19.2964,19.3,19.28,19.29,875,0
EPC.US,5,20260126,180500,19.29,19.34,19.29,19.3,1256,0
EPC.US,5,20260126,181000,19.285,19.29,19.27,19.28,3591,0
EPC.US,5,20260126,181500,19.29,19.29,19.24,19.24,3100,0
EPC.US,5,20260126,182000,19.23,19.24,19.22,19.22,400,0
EPC.US,5,20260126,182500,19.2,19.2,19.185,19.185,810,0
EPC.US,5,20260126,183000,19.19,19.2,19.185,19.2,690,0
EPC.US,5,20260126,183500,19.195,19.195,19.16,19.16,629,0
EPC.US,5,20260126,184000,19.155,19.155,19.14,19.14,420,0
EPC.US,5,20260126,184500,19.14,19.14,19.135,19.135,738,0
EPC.US,5,20260126,185000,19.14,19.15,19.08,19.08,1402,0
EPC.US,5,20260126,185500,19.0899,19.11,19.08,19.09,2013,0
EPC.US,5,20260126,190000,19.08,19.19,19.08,19.165,8467,0
EPC.US,5,20260126,190500,19.16,19.16,19.14,19.15,750,0
EPC.US,5,20260126,191000,19.1799,19.1799,19.15,19.17,705,0
EPC.US,5,20260126,191500,19.2,19.2,19.2,19.2,100,0
EPC.US,5,20260126,192000,19.2,19.2,19.2,19.2,200,0
EPC.US,5,20260126,192500,19.21,19.22,19.18,19.19,3349,0
EPC.US,5,20260126,193000,19.19,19.195,19.19,19.195,300,0
EPC.US,5,20260126,193500,19.18,19.18,19.1,19.105,3641,0
EPC.US,5,20260126,194000,19.105,19.109,19.105,19.105,1575,0
EPC.US,5,20260126,194500,19.105,19.13,19.1,19.13,6955,0
EPC.US,5,20260126,195000,19.115,19.14,19.115,19.13,1600,0
EPC.US,5,20260126,195500,19.125,19.125,19.105,19.105,1797,0
EPC.US,5,20260126,200000,19.09,19.09,19.01,19.07,3692,0
EPC.US,5,20260126,200500,19.06,19.07,19.05,19.07,600,0
EPC.US,5,20260126,201000,19.075,19.075,19.05,19.05,1077,0
EPC.US,5,20260126,201500,19.06,19.11,19.06,19.108,1803,0
EPC.US,5,20260126,202000,19.12,19.12,19.1042,19.12,607,0
EPC.US,5,20260126,202500,19.13,19.175,19.12,19.175,4318,0
EPC.US,5,20260126,203000,19.18,19.1874,19.15,19.15,9219,0
EPC.US,5,20260126,203500,19.15,19.175,19.138,19.17,3739,0
EPC.US,5,20260126,204000,19.175,19.175,19.14,19.145,1090,0
EPC.US,5,20260126,204500,19.16,19.2,19.15,19.2,2231,0
EPC.US,5,20260126,205000,19.19,19.21,19.18,19.2,500,0
EPC.US,5,20260126,205500,19.19,19.2,19.1621,19.1621,2792,0
EPC.US,5,20260126,210000,19.17,19.18,19.165,19.165,1200,0
