<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EQT.US,5,20260126,153000,56.5,56.5,55.58,55.688,146015,0
EQT.US,5,20260126,153500,55.655,55.795,55.52,55.71,91023,0
EQT.US,5,20260126,154000,55.74,55.88,55.22,55.267,183061,0
EQT.US,5,20260126,154500,55.23,55.23,54.94,55.035,135641,0
EQT.US,5,20260126,155000,55.03,55.24,55.01,55.11,114507,0
EQT.US,5,20260126,155500,55.11,55.14,54.88,54.88,92091,0
EQT.US,5,20260126,160000,54.875,55.4189,54.875,55.41,137555,0
EQT.US,5,20260126,160500,55.4032,55.835,55.4,55.49,178086,0
EQT.US,5,20260126,161000,55.51,55.74,55.495,55.71,114420,0
EQT.US,5,20260126,161500,55.725,55.84,55.59,55.59,93608,0
EQT.US,5,20260126,162000,55.6,55.7,55.555,55.59,81985,0
EQT.US,5,20260126,162500,55.58,55.68,55.45,55.51,151983,0
EQT.US,5,20260126,163000,55.52,55.545,55.45,55.49,84919,0
EQT.US,5,20260126,163500,55.49,55.6,55.48,55.55,122284,0
EQT.US,5,20260126,164000,55.55,55.6,55.46,55.54,137062,0
EQT.US,5,20260126,164500,55.539,55.66,55.535,55.62,129174,0
EQT.US,5,20260126,165000,55.61,55.665,55.565,55.655,141643,0
EQT.US,5,20260126,165500,55.65,55.755,55.56,55.63,105055,0
EQT.US,5,20260126,170000,55.63,55.63,55.465,55.47,73513,0
EQT.US,5,20260126,170500,55.46,55.54,55.38,55.52,65527,0
EQT.US,5,20260126,171000,55.54,55.6,55.48,55.54,54280,0
EQT.US,5,20260126,171500,55.54,55.57,55.4709,55.54,71610,0
EQT.US,5,20260126,172000,55.545,55.675,55.52,55.5606,51268,0
EQT.US,5,20260126,172500,55.57,55.69,55.56,55.69,52284,0
EQT.US,5,20260126,173000,55.7,55.74,55.6,55.67,48428,0
EQT.US,5,20260126,173500,55.675,55.7059,55.6,55.68,56306,0
EQT.US,5,20260126,174000,55.685,55.69,55.56,55.58,47882,0
EQT.US,5,20260126,174500,55.581,55.75,55.58,55.735,63139,0
EQT.US,5,20260126,175000,55.735,55.83,55.72,55.825,55498,0
EQT.US,5,20260126,175500,55.83,56.05,55.82,56.05,66325,0
EQT.US,5,20260126,180000,56.045,56.33,56.045,56.305,65897,0
EQT.US,5,20260126,180500,56.305,56.425,56.29,56.39,67642,0
EQT.US,5,20260126,181000,56.395,56.46,56.325,56.365,73017,0
EQT.US,5,20260126,181500,56.365,56.365,56.18,56.195,84110,0
EQT.US,5,20260126,182000,56.195,56.34,56.1701,56.32,78777,0
EQT.US,5,20260126,182500,56.32,56.39,56.28,56.39,113687,0
EQT.US,5,20260126,183000,56.39,56.6,56.36,56.435,291021,0
EQT.US,5,20260126,183500,56.44,56.57,56.4016,56.535,199496,0
EQT.US,5,20260126,184000,56.535,56.79,56.53,56.78,101925,0
EQT.US,5,20260126,184500,56.775,56.79,56.68,56.78,52440,0
EQT.US,5,20260126,185000,56.78,56.85,56.77,56.84,61884,0
EQT.US,5,20260126,185500,56.85,56.9,56.76,56.78,72261,0
EQT.US,5,20260126,190000,56.785,56.81,56.73,56.755,87738,0
EQT.US,5,20260126,190500,56.77,56.8,56.585,56.59,52522,0
EQT.US,5,20260126,191000,56.59,56.61,56.46,56.47,48380,0
EQT.US,5,20260126,191500,56.47,56.58,56.4652,56.5,51977,0
EQT.US,5,20260126,192000,56.5,56.535,56.39,56.39,39730,0
