<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ESNT.US,5,20260126,153000,61.2,61.2,61.2,61.2,1360,0
ESNT.US,5,20260126,153500,61.24,61.71,61.24,61.585,4363,0
ESNT.US,5,20260126,154500,61.785,61.785,61.56,61.685,4122,0
ESNT.US,5,20260126,155000,61.56,61.56,61.56,61.56,180,0
ESNT.US,5,20260126,155500,61.47,61.48,61.37,61.48,3833,0
ESNT.US,5,20260126,160000,61.46,61.62,61.45,61.62,1650,0
ESNT.US,5,20260126,161500,61.57,61.57,61.39,61.46,3740,0
ESNT.US,5,20260126,162000,61.455,61.53,61.455,61.515,2998,0
ESNT.US,5,20260126,162500,61.48,61.55,61.46,61.515,1640,0
ESNT.US,5,20260126,163000,61.57,61.58,61.57,61.58,500,0
ESNT.US,5,20260126,163500,61.55,61.55,61.55,61.55,100,0
ESNT.US,5,20260126,164000,61.5,61.55,61.5,61.55,400,0
ESNT.US,5,20260126,164500,61.63,61.68,61.63,61.645,1100,0
ESNT.US,5,20260126,165000,61.67,61.67,61.67,61.67,200,0
ESNT.US,5,20260126,165500,61.65,61.72,61.65,61.72,900,0
ESNT.US,5,20260126,170000,61.715,61.76,61.71,61.76,539,0
ESNT.US,5,20260126,170500,61.75,61.77,61.72,61.76,1300,0
ESNT.US,5,20260126,171000,61.71,61.73,61.7,61.72,1662,0
ESNT.US,5,20260126,171500,61.69,61.69,61.53,61.53,3454,0
ESNT.US,5,20260126,172000,61.52,61.56,61.52,61.54,800,0
ESNT.US,5,20260126,172500,61.55,61.6,61.55,61.6,200,0
ESNT.US,5,20260126,173000,61.57,61.57,61.545,61.545,1320,0
ESNT.US,5,20260126,173500,61.58,61.58,61.57,61.57,900,0
ESNT.US,5,20260126,174000,61.55,61.55,61.47,61.47,8174,0
ESNT.US,5,20260126,174500,61.46,61.5,61.46,61.47,990,0
ESNT.US,5,20260126,175000,61.47,61.47,61.47,61.47,940,0
ESNT.US,5,20260126,175500,61.43,61.43,61.42,61.42,621,0
ESNT.US,5,20260126,180000,61.48,61.48,61.34,61.42,3265,0
ESNT.US,5,20260126,180500,61.4026,61.48,61.4026,61.48,854,0
ESNT.US,5,20260126,181000,61.47,61.47,61.45,61.45,200,0
ESNT.US,5,20260126,181500,61.445,61.53,61.445,61.53,2970,0
ESNT.US,5,20260126,182000,61.54,61.569,61.54,61.56,1852,0
ESNT.US,5,20260126,182500,61.57,61.65,61.57,61.65,1927,0
ESNT.US,5,20260126,183000,61.635,61.635,61.635,61.635,705,0
ESNT.US,5,20260126,183500,61.61,61.63,61.59,61.59,1622,0
ESNT.US,5,20260126,184000,61.61,61.7,61.61,61.7,2948,0
ESNT.US,5,20260126,184500,61.68,61.68,61.6524,61.6524,1742,0
ESNT.US,5,20260126,185000,61.66,61.69,61.66,61.69,1533,0
ESNT.US,5,20260126,185500,61.6686,61.6686,61.66,61.665,3775,0
ESNT.US,5,20260126,190000,61.665,61.82,61.665,61.79,2010,0
ESNT.US,5,20260126,190500,61.81,61.82,61.77,61.77,2600,0
ESNT.US,5,20260126,191000,61.79,61.79,61.75,61.75,600,0
ESNT.US,5,20260126,191500,61.8,61.84,61.79,61.8,2032,0
ESNT.US,5,20260126,192000,61.81,61.85,61.81,61.85,3961,0
ESNT.US,5,20260126,192500,61.83,61.86,61.795,61.795,2622,0
ESNT.US,5,20260126,193000,61.72,61.8,61.72,61.8,1335,0
ESNT.US,5,20260126,193500,61.77,61.77,61.74,61.74,900,0
ESNT.US,5,20260126,194000,61.74,61.77,61.74,61.75,1368,0
ESNT.US,5,20260126,194500,61.76,61.795,61.76,61.79,818,0
ESNT.US,5,20260126,195000,61.78,61.78,61.74,61.755,2548,0
ESNT.US,5,20260126,195500,61.74,61.76,61.73,61.76,1118,0
ESNT.US,5,20260126,200000,61.78,61.81,61.765,61.79,1544,0
ESNT.US,5,20260126,200500,61.8285,61.89,61.8285,61.87,10071,0
ESNT.US,5,20260126,201000,61.84,61.93,61.84,61.93,4938,0
ESNT.US,5,20260126,201500,61.93,62,61.93,62,700,0
ESNT.US,5,20260126,202000,61.995,62.085,61.995,62.085,1972,0
ESNT.US,5,20260126,202500,62.085,62.09,62.085,62.09,318,0
ESNT.US,5,20260126,203000,62.1,62.19,62.1,62.1424,3474,0
ESNT.US,5,20260126,203500,62.11,62.12,62.07,62.12,2115,0
ESNT.US,5,20260126,204000,62.12,62.14,62.08,62.08,3284,0
