<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ETSS.US,5,20260604,153500,9.77,9.77,9.77,9.77,100,0
ETSS.US,5,20260604,160500,9.92,9.92,9.92,9.92,100,0
ETSS.US,5,20260604,165000,9.9,9.9,9.9,9.9,1000,0
ETSS.US,5,20260604,200000,9.8697,9.8697,9.8697,9.8697,100,0
ETSS.US,5,20260604,211500,9.87,9.87,9.87,9.87,500,0
ETSS.US,5,20260604,214500,9.87,9.87,9.87,9.87,500,0
ETSS.US,5,20260604,215500,9.87,9.87,9.87,9.87,1200,0
ETSS.US,5,20260605,153000,9.87,9.87,9.85,9.8502,1800,0
ETSS.US,5,20260605,154500,9.85,9.85,9.85,9.85,100,0
ETSS.US,5,20260605,202500,9.86,9.86,9.85,9.85,500,0
ETSS.US,5,20260609,213000,9.89,9.89,9.85,9.85,300,0
ETSS.US,5,20260611,184500,9.86,9.86,9.86,9.86,100,0
ETSS.US,5,20260616,171000,9.89,9.89,9.89,9.89,900,0
