<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ETU.US,5,20260126,153000,13.24,13.44,13.15,13.4,2148,0
ETU.US,5,20260126,153500,13.45,13.59,13.44,13.59,2692,0
ETU.US,5,20260126,154000,13.525,13.63,13.525,13.5629,2898,0
ETU.US,5,20260126,154500,13.56,13.56,13.53,13.53,700,0
ETU.US,5,20260126,155500,13.59,13.6581,13.59,13.59,1539,0
ETU.US,5,20260126,160500,13.5899,13.5899,13.5119,13.58,1658,0
ETU.US,5,20260126,161000,13.75,13.75,13.75,13.75,921,0
ETU.US,5,20260126,162500,13.635,13.635,13.635,13.635,100,0
ETU.US,5,20260126,163000,13.4901,13.5101,13.4901,13.5101,1360,0
ETU.US,5,20260126,163500,13.49,13.5103,13.49,13.5103,700,0
ETU.US,5,20260126,164000,13.44,13.475,13.27,13.27,1342,0
ETU.US,5,20260126,164500,13.28,13.28,13.28,13.28,2400,0
ETU.US,5,20260126,165000,13.395,13.4691,13.38,13.4691,6750,0
ETU.US,5,20260126,165500,13.41,13.41,13.355,13.355,700,0
ETU.US,5,20260126,170000,13.34,13.34,13.34,13.34,100,0
ETU.US,5,20260126,171500,13.2917,13.2917,13.2917,13.2917,125,0
ETU.US,5,20260126,172000,13.51,13.51,13.51,13.51,2000,0
ETU.US,5,20260126,172500,13.41,13.41,13.41,13.41,100,0
ETU.US,5,20260126,173000,13.415,13.415,13.415,13.415,2000,0
ETU.US,5,20260126,174000,13.36,13.36,13.36,13.36,214,0
ETU.US,5,20260126,175500,13.36,13.36,13.36,13.36,100,0
ETU.US,5,20260126,180000,13.3516,13.46,13.3516,13.46,2617,0
ETU.US,5,20260126,180500,13.45,13.4524,13.4,13.4,700,0
ETU.US,5,20260126,182000,13.31,13.31,13.2635,13.2635,400,0
ETU.US,5,20260126,182500,13.35,13.36,13.35,13.36,400,0
ETU.US,5,20260126,183000,13.3,13.3,13.26,13.26,200,0
ETU.US,5,20260126,183500,13.3,13.45,13.3,13.44,2500,0
ETU.US,5,20260126,191000,13.549,13.549,13.549,13.549,206,0
ETU.US,5,20260126,191500,13.57,13.57,13.57,13.57,100,0
ETU.US,5,20260126,193000,13.5915,13.67,13.5915,13.62,1866,0
ETU.US,5,20260126,193500,13.63,13.63,13.61,13.61,300,0
ETU.US,5,20260126,194000,13.5915,13.5915,13.4732,13.4732,200,0
ETU.US,5,20260126,200000,13.68,13.68,13.68,13.68,100,0
ETU.US,5,20260126,202500,13.64,13.64,13.64,13.64,100,0
ETU.US,5,20260126,203000,13.62,13.62,13.62,13.62,1199,0
ETU.US,5,20260126,204000,13.71,13.71,13.67,13.67,200,0
ETU.US,5,20260126,204500,13.705,13.705,13.705,13.705,100,0
ETU.US,5,20260126,205000,13.67,13.67,13.67,13.67,100,0
ETU.US,5,20260126,210500,13.61,13.61,13.595,13.595,1600,0
ETU.US,5,20260126,211000,13.63,13.63,13.63,13.63,105,0
ETU.US,5,20260126,211500,13.585,13.585,13.54,13.54,700,0
ETU.US,5,20260126,212000,13.55,13.55,13.52,13.52,500,0
ETU.US,5,20260126,212500,13.52,13.52,13.48,13.48,1000,0
ETU.US,5,20260126,215500,13.395,13.42,13.33,13.42,1456,0
ETU.US,5,20260127,153000,13.6,13.6,13.6,13.6,450,0
ETU.US,5,20260127,153500,13.45,13.46,13.45,13.46,1110,0
ETU.US,5,20260127,154500,13.45,13.45,13.44,13.44,602,0
ETU.US,5,20260127,155500,13.5882,13.5882,13.5882,13.5882,892,0
ETU.US,5,20260127,160000,13.51,13.51,13.51,13.51,100,0
ETU.US,5,20260127,160500,13.5967,13.5967,13.5967,13.5967,100,0
ETU.US,5,20260127,161000,13.67,13.67,13.67,13.67,100,0
ETU.US,5,20260127,161500,13.6395,13.6395,13.6395,13.6395,2000,0
ETU.US,5,20260127,162000,13.5551,13.5551,13.5551,13.5551,225,0
ETU.US,5,20260127,162500,13.53,13.53,13.53,13.53,100,0
ETU.US,5,20260127,163500,13.57,13.57,13.5634,13.5634,200,0
ETU.US,5,20260127,164000,13.5506,13.5506,13.49,13.49,1007,0
ETU.US,5,20260127,164500,13.5724,13.5724,13.5724,13.5724,1500,0
ETU.US,5,20260127,165000,13.58,13.63,13.58,13.63,300,0
ETU.US,5,20260127,170000,13.7699,13.78,13.7699,13.78,772,0
ETU.US,5,20260127,170500,13.8,13.9985,13.8,13.9985,2814,0
ETU.US,5,20260127,171000,14.02,14.03,14.02,14.03,660,0
ETU.US,5,20260127,171500,14.0817,14.1099,13.97,14.02,2674,0
ETU.US,5,20260127,173000,14.05,14.2,14.05,14.14,3657,0
ETU.US,5,20260127,173500,14.1277,14.2,14.1277,14.2,675,0
ETU.US,5,20260127,174000,14.18,14.25,14.18,14.25,628,0
ETU.US,5,20260127,174500,14.215,14.215,14.215,14.215,100,0
ETU.US,5,20260127,175000,14.155,14.155,14.155,14.155,300,0
ETU.US,5,20260127,180500,14.125,14.125,14.05,14.05,1592,0
ETU.US,5,20260127,181000,14.023,14.023,13.912,13.912,1257,0
ETU.US,5,20260127,181500,13.7,13.7,13.7,13.7,325,0
ETU.US,5,20260127,182000,13.7,13.71,13.685,13.71,48328,0
ETU.US,5,20260127,182500,13.79,13.79,13.79,13.79,100,0
ETU.US,5,20260127,184000,13.61,13.61,13.61,13.61,200,0
ETU.US,5,20260127,184500,13.574,13.574,13.574,13.574,200,0
ETU.US,5,20260127,190000,13.65,13.7201,13.65,13.7201,701,0
ETU.US,5,20260127,190500,13.6901,13.6901,13.6901,13.6901,690,0
ETU.US,5,20260127,191000,13.72,13.72,13.72,13.72,400,0
ETU.US,5,20260127,192000,13.75,13.75,13.75,13.75,100,0
ETU.US,5,20260127,192500,13.765,13.765,13.765,13.765,500,0
ETU.US,5,20260127,193000,13.8,13.8,13.8,13.8,100,0
ETU.US,5,20260127,195500,14.12,14.14,14.11,14.14,1700,0
ETU.US,5,20260127,201000,14.02,14.02,14.02,14.02,100,0
ETU.US,5,20260127,204000,14.12,14.15,14.12,14.15,735,0
ETU.US,5,20260127,211500,14.225,14.3,14.225,14.3,3181,0
ETU.US,5,20260127,212000,14.3675,14.41,14.365,14.41,725,0
ETU.US,5,20260127,212500,14.39,14.39,14.39,14.39,100,0
ETU.US,5,20260127,213000,14.39,14.4,14.39,14.4,1100,0
ETU.US,5,20260127,213500,14.31,14.31,14.31,14.31,100,0
ETU.US,5,20260127,214000,14.27,14.27,14.27,14.27,100,0
ETU.US,5,20260127,214500,14.5,14.52,14.5,14.52,1000,0
ETU.US,5,20260127,215000,14.45,14.45,14.45,14.45,200,0
ETU.US,5,20260127,215500,14.4305,14.5,14.4305,14.48,3970,0
ETU.US,5,20260128,153000,14.44,14.44,14.44,14.44,200,0
ETU.US,5,20260128,153500,14.57,14.6199,14.5022,14.5022,1075,0
ETU.US,5,20260128,154000,14.48,14.48,14.48,14.48,100,0
ETU.US,5,20260128,154500,14.43,14.43,14.3798,14.3798,1350,0
ETU.US,5,20260128,155000,14.43,14.43,14.35,14.36,1114,0
ETU.US,5,20260128,155500,14.3524,14.395,14.3524,14.395,1834,0
ETU.US,5,20260128,160000,14.44,14.44,14.44,14.44,200,0
ETU.US,5,20260128,161000,14.2716,14.2716,14.1301,14.1301,1484,0
ETU.US,5,20260128,161500,14.18,14.22,14.18,14.211,450,0
ETU.US,5,20260128,162500,14.2698,14.27,14.26,14.27,762,0
ETU.US,5,20260128,170000,14.3548,14.3548,14.2799,14.2799,2602,0
ETU.US,5,20260128,170500,14.265,14.29,14.255,14.29,800,0
ETU.US,5,20260128,171000,14.2262,14.2262,14.2262,14.2262,1050,0
ETU.US,5,20260128,171500,14.25,14.25,14.25,14.25,200,0
ETU.US,5,20260128,172500,14.35,14.35,14.35,14.35,100,0
ETU.US,5,20260128,180000,14.28,14.28,14.28,14.28,100,0
ETU.US,5,20260128,181500,14.3222,14.3222,14.3222,14.3222,100,0
ETU.US,5,20260128,183000,14.22,14.24,14.17,14.2,3390,0
ETU.US,5,20260128,185000,14.48,14.48,14.48,14.48,100,0
ETU.US,5,20260128,185500,14.46,14.46,14.46,14.46,100,0
ETU.US,5,20260128,192000,14.48,14.48,14.48,14.48,100,0
ETU.US,5,20260128,200500,14.4,14.4,14.4,14.4,2216,0
ETU.US,5,20260128,201000,14.37,14.37,14.37,14.37,300,0
ETU.US,5,20260128,201500,14.38,14.38,14.38,14.38,200,0
ETU.US,5,20260128,202500,14.36,14.36,14.36,14.36,100,0
ETU.US,5,20260128,204000,14.245,14.245,14.245,14.245,100,0
ETU.US,5,20260128,204500,14.28,14.28,14.28,14.28,100,0
ETU.US,5,20260128,205000,14.45,14.45,14.45,14.45,100,0
ETU.US,5,20260128,205500,14.49,14.49,14.49,14.49,100,0
ETU.US,5,20260128,210000,14.5,14.51,14.5,14.51,400,0
ETU.US,5,20260128,211000,14.5,14.54,14.46,14.46,557,0
ETU.US,5,20260128,211500,14.51,14.52,14.51,14.52,200,0
ETU.US,5,20260128,212500,14.4987,14.65,14.4987,14.61,3000,0
ETU.US,5,20260128,214500,14.407,14.41,14.37,14.41,1750,0
ETU.US,5,20260128,215500,14.4,14.4,14.33,14.34,1225,0
ETU.US,5,20260129,153000,13.42,13.47,13.4,13.4,1884,0
ETU.US,5,20260129,153500,13.38,13.391,13.3379,13.341,1427,0
ETU.US,5,20260129,154000,13.39,13.39,13.39,13.39,119,0
ETU.US,5,20260129,154500,13.34,13.4,13.34,13.4,2100,0
ETU.US,5,20260129,155000,13.28,13.28,13.28,13.28,150,0
ETU.US,5,20260129,155500,13.23,13.23,13.04,13.1,2498,0
ETU.US,5,20260129,160000,13,13,12.71,12.8199,21026,0
ETU.US,5,20260129,160500,12.78,12.79,12.6011,12.6011,857,0
ETU.US,5,20260129,161000,12.58,12.7,12.5,12.5,4964,0
ETU.US,5,20260129,161500,12.52,12.52,12.3947,12.51,3081,0
ETU.US,5,20260129,162000,12.54,12.67,12.54,12.63,1600,0
ETU.US,5,20260129,162500,12.67,12.6901,12.67,12.6901,385,0
ETU.US,5,20260129,163000,12.71,12.71,12.52,12.65,700,0
ETU.US,5,20260129,163500,12.55,12.56,12.55,12.56,292,0
ETU.US,5,20260129,164000,12.55,12.55,12.2847,12.34,11037,0
ETU.US,5,20260129,164500,12.4359,12.4359,12.4359,12.4359,300,0
ETU.US,5,20260129,165000,12.3608,12.485,12.36,12.485,4037,0
ETU.US,5,20260129,165500,12.52,12.531,12.51,12.51,8980,0
ETU.US,5,20260129,170000,12.51,12.5184,12.45,12.5184,8351,0
ETU.US,5,20260129,170500,12.455,12.455,12.39,12.39,8895,0
ETU.US,5,20260129,171500,12.505,12.505,12.445,12.445,725,0
ETU.US,5,20260129,172000,12.5,12.5,12.44,12.44,1101,0
ETU.US,5,20260129,172500,12.4,12.4774,12.4,12.4774,1650,0
ETU.US,5,20260129,173000,12.46,12.46,12.44,12.44,2013,0
ETU.US,5,20260129,173500,12.46,12.46,12.44,12.44,1600,0
ETU.US,5,20260129,174000,12.51,12.51,12.51,12.51,400,0
ETU.US,5,20260129,174500,12.47,12.47,12.47,12.47,100,0
ETU.US,5,20260129,175500,12.67,12.67,12.67,12.67,968,0
ETU.US,5,20260129,180000,12.67,12.755,12.6653,12.755,1932,0
ETU.US,5,20260129,182000,12.89,12.89,12.81,12.82,550,0
ETU.US,5,20260129,182500,12.75,12.75,12.75,12.75,500,0
ETU.US,5,20260129,183000,12.71,12.73,12.71,12.73,500,0
ETU.US,5,20260129,183500,12.74,12.74,12.73,12.73,11748,0
ETU.US,5,20260129,184000,12.675,12.675,12.61,12.61,475,0
ETU.US,5,20260129,184500,12.57,12.63,12.57,12.61,706,0
ETU.US,5,20260129,185000,12.62,12.64,12.56,12.5734,760,0
ETU.US,5,20260129,185500,12.54,12.54,12.54,12.54,100,0
ETU.US,5,20260129,190000,12.57,12.57,12.57,12.57,100,0
ETU.US,5,20260129,191500,12.56,12.56,12.41,12.45,1748,0
ETU.US,5,20260129,192000,12.39,12.39,12.39,12.39,738,0
ETU.US,5,20260129,192500,12.37,12.39,12.34,12.36,1439,0
ETU.US,5,20260129,193000,12.3,12.3,12.11,12.16,2140,0
